geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04, -Log.p.value,Student's T-test q-value daf2_d10_N2_d10,log2FC,Student's T-test Test statistic daf2_d10_N2_d10,Sign p-val: 0.05 
pps-1,-2.61437,3.68234,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,14.9095,14.5201,14.0743,14.7224,16.9277,16.9882,16.7831,17.9848,3.68234,3.24E-05,-2.61437,-7.96959,+
cka-1,-2.71905,2.22645,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,12.7984,12.9611,13.6862,13.8228,14.8416,15.4305,16.2572,17.6152,2.22645,0.00065821,-2.71905,-4.16115,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-1.86514,4.07845,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",12.6173,13.0353,12.4388,12.5493,14.2815,14.3868,14.4725,14.9605,4.07845,0,-1.86514,-9.37722,+
spp-18,2.49665,3.68944,A0A061AKY5;Q19837,SaPosin-like Protein family,16.373,16.9781,16.7208,17.007,14.277,14.1225,13.6839,15.0089,3.68944,3.27E-05,2.49665,7.99313,+
lin-66,-0.0164068,0.0221002,A0A061AL58;O62020,Uncharacterized protein,14.5827,14.6179,13.6819,14.7544,14.25,14.441,14.4749,14.5368,0.0221002,0.890226,-0.0164068,-0.0648692,
"CELE_F09E10,7",-0.00990081,0.0162624,A0A078BPG0,Uncharacterized protein,14.2571,14.4518,14.1071,14.5699,14.2173,14.1746,14.1429,14.8907,0.0162624,0.919106,-0.00990081,-0.0480357,
"CELE_F10C1,9",-2.70049,4.00763,A0A078BPH9;G4S1A4,Uncharacterized protein,11.8453,12.2266,11.2579,11.6011,14.1701,14.1251,14.3814,15.0562,4.00763,0,-2.70049,-9.11065,+
itx-1,-1.3436,3.74294,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.0718,14.9494,14.8635,14.9809,16.1639,16.1252,16.1658,16.7853,3.74294,3.41E-05,-1.3436,-8.17228,+
"CELE_Y41E3,7",-1.34458,2.25076,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.3709,13.8693,13.9608,13.8687,14.6389,15.5725,16.038,15.1986,2.25076,0.000624689,-1.34458,-4.21153,+
"CELE_Y105C5B,15",-0.767177,1.53423,A0A078BQP7;Q9U309,Purple acid phosphatase,13.783,13.271,13.2557,13.5441,14.3666,14.1884,13.6107,14.7568,1.53423,0.00401594,-0.767177,-2.84884,+
lim-9,0.33119,0.795275,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.6326,14.7163,14.7474,15.1376,14.3061,14.3051,14.3001,14.9978,0.795275,0.0362469,0.33119,1.60224,+
"CELE_Y105E8A,25",-1.26754,2.71585,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.5123,13.1816,13.0543,13.2151,14.281,14.4162,14.1802,15.156,2.71585,0.00023949,-1.26754,-5.24787,+
pgp-2,-0.491858,0.837289,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.1777,15.1321,15.0575,15.1647,15.5056,14.8773,15.8577,16.2587,0.837289,0.0315771,-0.491858,-1.67253,+
lpd-3,0.101042,0.101196,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,14.3259,14.0766,13.9736,15.5266,14.5079,14.1863,14.3007,14.5037,0.101196,0.566783,0.101042,0.275541,
tln-1,-0.83861,1.30071,A0A0K3AQU9,TaLiN,14.0114,14.7436,14.0475,15.0478,14.7834,15.8676,15.3835,15.1703,1.30071,0.00761107,-0.83861,-2.44638,+
max-2,-3.38823,4.09721,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.9622,15.2805,14.0682,14.3596,18.3792,17.8231,17.5291,18.4921,4.09721,0,-3.38823,-9.44895,+
egl-27,0.0208538,0.0254951,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.9714,13.8412,14.4128,14.5895,14.397,14.1208,14.3659,14.8478,0.0254951,0.873576,0.0208538,0.0745643,
cdc-14,-3.67783,4.97365,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,10.7319,10.7653,10.6617,10.7681,14.0134,13.9992,14.4636,15.1621,4.97365,0,-3.67783,-13.4151,+
daf-16,0.294352,0.738615,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.7956,14.4813,14.4375,15.0285,14.1039,14.3826,14.3178,14.7611,0.738615,0.0432925,0.294352,1.50692,+
"CELE_T16H12,3;T16H12,3",-1.9288,4.04765,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.4629,12.3007,12.5033,11.9589,14.2774,14.3938,13.7544,14.5154,4.04765,0,-1.9288,-9.26045,+
lev-11,-3.12076,3.68769,A0A0K3ARC0,Uncharacterized protein,14.5642,15.0783,13.9281,14.3618,17.5835,17.5333,16.8948,18.4039,3.68769,3.25E-05,-3.12076,-7.98732,+
gld-2,-4.11685,4.57497,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,10.6805,10.4422,9.39442,10.5435,14.3488,14.3527,13.9096,14.9169,4.57497,0,-4.11685,-11.4518,+
ncl-1,-0.897543,0.877725,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,14.3242,12.2912,13.6919,14.1284,14.4803,13.9704,14.4543,15.1209,0.877725,0.0278374,-0.897543,-1.73996,+
"CELE_D1069,3",-2.74789,1.68288,A0A0K3ARJ1;Q6A586,Uncharacterized protein,10.7146,10.8241,10.7882,10.7076,14.4058,11.0788,13.4142,15.1272,1.68288,0.00253621,-2.74789,-3.11354,+
lin-23,0.198603,0.236672,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,14.3646,15.1011,14.299,14.4251,14.4909,14.3822,13.5793,14.943,0.236672,0.283939,0.198603,0.584999,
"CELE_Y50D4B,1",-3.77546,5.77879,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,10.3434,10.6748,10.5864,10.8263,14.4588,14.3447,13.9316,14.7977,5.77879,0,-3.77546,-18.394,+
"CELE_Y39A1A,21",-4.46334,3.04802,A0A0K3ARX5;Q9XX11,Uncharacterized protein,10.6527,10.4638,10.6992,7.86698,14.5117,14.1148,13.8624,15.0471,3.04802,6.48E-05,-4.46334,-6.0856,+
dre-1,-2.31724,1.16852,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",16.7971,16.1175,16.858,15.1961,18.8041,18.8026,15.9709,20.6601,1.16852,0.0111507,-2.31724,-2.22384,+
gck-1,-0.863144,0.42179,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.8571,14.8287,14.8672,15.2236,15.7454,13.3462,16.5441,17.5934,0.42179,0.129912,-0.863144,-0.950356,
gly-7,-3.53229,6.68261,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.9867,14.2007,14.251,14.5712,17.6391,17.7547,17.8132,17.9318,6.68261,0,-3.53229,-26.1209,+
"CELE_F40A3,3;F40A3,3",-1.95732,3.54036,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",18.3115,18.3569,18.4892,18.2786,19.9898,20.3698,19.8862,21.0196,3.54036,2.95E-05,-1.95732,-7.51134,+
"CELE_Y50D4B,4",-0.704679,0.949555,A0A0K3ASH9,Uncharacterized protein,13.0031,12.7598,13.2396,12.9808,12.8793,13.7637,13.5127,14.6463,0.949555,0.022398,-0.704679,-1.8594,+
cdf-1,-4.15529,5.991,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,10.698,10.8586,10.7126,10.8259,15.0753,14.3218,15.2003,15.1188,5.991,0,-4.15529,-19.9778,+
unc-34,-3.80816,5.79419,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,15.0819,14.8671,14.7745,15.3677,18.6095,19.2727,18.5954,18.8462,5.79419,0,-3.80816,-18.5046,+
tbh-1,-1.53946,1.87117,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,16.6736,16.5867,16.3346,16.5949,17.546,17.7325,17.6712,19.3978,1.87117,0.00150393,-1.53946,-3.46084,+
lev-11,-2.9243,6.60383,A0A0K3ATS1,Uncharacterized protein,21.2103,20.8595,21.0874,20.8664,23.9041,24.1488,23.792,23.8759,6.60383,0,-2.9243,-25.337,+
imp-3,-2.63152,2.87572,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,12.9046,13.0004,13.0576,12.5168,14.2619,16.3201,15.9757,15.4478,2.87572,8.31E-05,-2.63152,-5.63982,+
prdx-2,-0.971478,2.88482,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.1287,20.9678,21.3437,21.5406,22.1243,21.961,22.5156,22.2658,2.88482,8.36E-05,-0.971478,-5.66275,+
jhdm-1,-0.418083,0.915855,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.0335,14.1637,13.4546,13.3101,14.17,14.0463,13.9909,14.4271,0.915855,0.0248002,-0.418083,-1.8034,+
mrck-1,-1.63013,2.56263,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,14.1914,12.9244,13.7289,13.7921,14.9463,15.0883,15.8627,15.26,2.56263,0.000348243,-1.63013,-4.89029,+
nhr-86,-3.6569,5.98732,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,10.471,10.8163,10.7526,10.6428,14.3783,14.425,13.8587,14.6482,5.98732,0,-3.6569,-19.9493,+
aat-3,0.0168922,0.013715,A0A0K3AVL7;O17395,Amino Acid Transporter,13.7738,14.022,14.1976,15.0863,14.4877,13.4276,14.8521,14.2447,0.013715,0.931857,0.0168922,0.0406242,
"CELE_M02H5,8",-1.68789,3.871,A0A0K3AVS5,Uncharacterized protein,16.5139,16.3679,16.3025,16.1643,18.3782,17.6726,17.7523,18.2971,3.871,0,-1.68789,-8.61522,+
"CELE_T08B1,1",-2.30461,4.1394,A0A0K3AVV4,Uncharacterized protein,15.0028,14.8971,15.1028,15.2087,17.1682,17.1618,18.0439,17.056,4.1394,0,-2.30461,-9.61215,+
lipl-5,-4.24399,2.01355,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,16.6334,12.451,12.7817,12.4426,17.4404,17.3251,17.2111,19.3081,2.01355,0.00107903,-4.24399,-3.73382,+
fln-2,-1.48726,4.2218,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.6979,16.9687,16.7577,17.2056,18.5361,18.3068,18.1672,18.5688,4.2218,0,-1.48726,-9.93808,+
"C14C6,5",-0.510527,0.736167,A0A0K3AXM4;O44667,Uncharacterized protein,17.2245,17.3291,16.9134,16.9622,18.169,16.7952,18.1042,17.4029,0.736167,0.0436659,-0.510527,-1.50278,+
"CELE_T08B1,1",-6.30064,1.22783,A0A0K3AY44,Uncharacterized protein,10.6035,10.8302,10.7831,0,14.5177,13.3085,14.4646,15.1285,1.22783,0.00943536,-6.30064,-2.32331,+
zig-11,-4.72386,3.79052,A0A0K3AY85,2 (Zwei) IG domain protein,12.0862,11.0736,13.7421,12.2774,16.8464,16.7332,17.3151,17.1802,3.79052,3.55E-05,-4.72386,-8.33449,+
ilys-5,-4.37821,4.04803,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,12.065,13.6606,13.2594,12.0087,16.6843,17.1937,16.9247,17.7038,4.04803,0,-4.37821,-9.26187,+
irg-3,-0.327302,0.298908,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,15.9325,15.9699,15.4955,15.1808,16.6299,15.221,16.7599,15.2772,0.298908,0.215523,-0.327302,-0.713298,
tns-1,-1.65763,2.87636,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.7823,15.7919,15.6604,15.6684,17.6292,16.934,16.8778,18.0926,2.87636,8.33E-05,-1.65763,-5.64143,+
ubr-4,-5.97961,1.0211,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,0,11.9561,10.7551,12.7516,14.8,15.1381,13.5592,15.8839,1.0211,0.0175455,-5.97961,-1.97823,+
ccar-1,-1.64291,2.55733,A0A0S4XR43,CCAR1 homolog,15.023,15.0496,14.7465,14.3862,16.2876,16.5611,15.7444,17.1838,2.55733,0.000346582,-1.64291,-4.87823,+
ulp-2,0.208534,0.308787,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.4602,15.024,14.2957,14.8033,14.516,14.2873,13.9184,15.0274,0.308787,0.206099,0.208534,0.733076,
"CELE_T23F4,2",-1.91946,3.47081,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,14.5471,14.7748,14.0305,14.5973,16.228,15.9278,16.5846,16.8872,3.47081,2.82E-05,-1.91946,-7.29504,+
sago-1,-2.18136,4.86007,A0A0T7CIX3,Piwi-like protein,14.1362,14.0414,13.6342,13.658,15.9689,15.7802,16.2823,16.1639,4.86007,0,-2.18136,-12.8258,+
sago-2,-3.70341,4.63552,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,10.6629,10.6147,10.7247,10.737,14.4562,14.4209,13.5713,15.1045,4.63552,0,-3.70341,-11.7316,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-0.813802,2.04316,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",13.2659,13.5931,13.3036,14.1517,14.3337,14.3133,14.3359,14.5867,2.04316,0.00105758,-0.813802,-3.79183,+
daf-4,-2.75411,2.88321,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.4753,14.0473,14.51,13.5032,16.1254,17.9632,17.1751,16.2886,2.88321,8.35E-05,-2.75411,-5.65868,+
hpo-3,-3.10304,5.08634,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,10.6859,10.7691,10.5642,10.6948,14.1363,13.1518,13.8659,13.9722,5.08634,0,-3.10304,-14.0248,+
acs-22,-0.775198,1.60831,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,13.6796,13.7942,13.5549,13.6508,14.3847,14.3445,13.9106,15.1405,1.60831,0.00322138,-0.775198,-2.97981,+
tag-10,-1.80536,4.00189,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,14.8294,14.9925,14.8679,15.2808,16.7774,16.7127,16.4418,17.2602,4.00189,0,-1.80536,-9.08935,+
imb-2,-2.44266,3.64243,A0A131MBF9;O62332,IMportin Beta family,13.8619,13.1635,13.9737,13.8219,16.5141,15.4188,16.4522,16.2065,3.64243,3.14E-05,-2.44266,-7.83846,+
brf-1,-1.16219,1.66873,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.4864,12.8357,12.3836,12.6489,13.5358,13.4215,13.2232,14.8229,1.66873,0.00257875,-1.16219,-3.08802,+
"CELE_W09B6,4",-3.50896,3.53476,A0A131MBG4;H2L0M1,Uncharacterized protein,12.4148,11.579,12.7699,12.7387,14.8901,15.7108,16.5247,16.4126,3.53476,2.94E-05,-3.50896,-7.49374,+
irg-7,-1.26935,2.35579,A0A131MBU3,Protein irg-7,18.4573,18.483,17.9461,17.8792,19.3271,19.0947,19.2671,20.1542,2.35579,0.000475277,-1.26935,-4.43325,+
"CELE_F27B10,1",-0.223694,0.369502,A0A131MCJ0,Uncharacterized protein,14.1458,14.0031,14.2464,13.9139,14.3632,13.6236,14.3735,14.8436,0.369502,0.160064,-0.223694,-0.851685,
"CELE_T22F3,3",-3.73808,6.38906,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",10.5721,10.8726,10.7132,10.7171,14.4646,14.27,14.2207,14.8722,6.38906,0,-3.73808,-23.3153,+
die-1,-1.09601,1.92452,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,13.3717,13.4448,13.714,12.4583,14.4552,14.3986,13.9343,14.5848,1.92452,0.0012985,-1.09601,-3.56202,+
dhs-11,1.28601,1.10611,A0A163UT65,"DeHydrogenases, Short chain",16.7545,16.9089,14.8474,14.8397,14.5057,14.1558,14.4594,15.0856,1.10611,0.0135527,1.28601,2.11963,+
tbc-14,-1.50138,3.15045,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.6036,14.6016,14.5903,14.7006,16.0316,16.81,15.7661,15.8938,3.15045,6.84E-05,-1.50138,-6.36292,+
cyp-34a6,-2.51221,1.1017,A0A164D3C9;O44656,CYtochrome P450 family,9.83085,9.20679,12.5598,14.2051,13.8158,13.5077,14.4739,14.054,1.1017,0.0136719,-2.51221,-2.11228,+
fipp-1,-0.570714,1.05759,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,15.3189,15.3967,15.1668,14.7277,15.9003,15.0766,15.7207,16.1953,1.05759,0.0155984,-0.570714,-2.03888,+
unc-132,-2.07976,5.65561,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,14.8667,14.488,14.7824,14.8884,16.7321,16.7146,16.8607,17.0371,5.65561,0,-2.07976,-17.5312,+
cdh-4,-0.213797,0.232514,A0A1C3NSI5;Q19319,Cadherin-4,13.652,14.7801,13.7688,14.6286,14.3364,14.0395,14.216,15.0928,0.232514,0.289579,-0.213797,-0.576175,
ajm-1,-1.86629,2.14274,A0A1C3NSL1,Apical Junction Molecule,12.9455,13.156,12.1875,11.4545,14.1897,13.9917,13.9553,15.072,2.14274,0.000768547,-1.86629,-3.99022,+
"CELE_ZC412,3",-0.958334,2.51653,A0A1C3NSL5,Uncharacterized protein,18.597,18.6886,18.4328,18.5917,19.361,19.3437,19.3241,20.1146,2.51653,0.000425499,-0.958334,-4.78596,+
farl-11,-3.37932,4.25494,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,10.7302,11.9712,11.1118,10.5329,14.325,14.3164,14.4535,14.7686,4.25494,0,-3.37932,-10.072,+
let-711,-2.05106,2.0801,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,14.6028,13.8219,14.4322,14.5107,16.6155,15.1614,16.2159,17.5791,2.0801,0.000987621,-2.05106,-3.86481,+
"C40H1,7",-0.58319,0.756206,A0A1I6CM73,Uncharacterized protein,13.5665,12.9184,14.514,14.3156,14.4782,14.1286,14.43,14.6104,0.756206,0.0409693,-0.58319,-1.53659,+
spat-2,-2.54488,3.81048,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,14.1855,14.3438,14.6448,14.1279,16.2014,16.6957,17.0625,17.522,3.81048,3.59E-05,-2.54488,-8.40338,+
aakg-1,-3.2233,3.71656,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,13.2727,12.6293,13.4365,13.2746,15.5354,16.2973,16.397,17.2766,3.71656,3.34E-05,-3.2233,-8.08351,+
grl-23,-3.69605,2.30216,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),12.011,8.21634,11.4746,10.7432,14.0845,14.3953,14.0122,14.7374,2.30216,0.0006,-3.69605,-4.31922,+
spat-2,-4.24058,3.79183,A0A1I6CM95,Suppressor of PAr-Two defect,12.862,13.6701,12.6267,12.5273,17.1363,16.0308,17.3242,18.1571,3.79183,3.55E-05,-4.24058,-8.339,+
"CELE_Y55F3BR,6",-1.10352,2.04297,A0A1I6CMC9,Uncharacterized protein,13.5166,13.7825,12.9928,12.9953,14.2976,14.1019,14.2455,15.0564,2.04297,0.00105723,-1.10352,-3.79145,+
vab-10,-2.95184,4.19371,A0A1N7SYP3,Uncharacterized protein,18.0784,18.1301,18.1264,18.1399,21.0819,20.3173,21.0967,21.7864,4.19371,0,-2.95184,-9.82589,+
"eif-3,l;eif-3,L",-0.86698,1.35522,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,16.5486,16.7697,16.9001,17.1028,17.3957,17.3569,17.3764,18.6601,1.35522,0.00643303,-0.86698,-2.5391,+
"npp-25;npp-25;npp-25;Y37D8A,17",-1.18082,1.45654,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,15.1151,14.8798,15.6263,15.6452,17.6128,16.3803,16.2,15.7966,1.45654,0.00480849,-1.18082,-2.71333,+
cnt-1,-1.62623,3.42106,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,13.211,12.924,13.2353,12.4004,14.4444,14.4314,14.475,14.9247,3.42106,2.74E-05,-1.62623,-7.14348,+
"C26G2,2",-3.94933,3.74497,A0A1N7SYU2,Uncharacterized protein,11.5342,10.4889,11.9452,11.6,14.3312,15.4872,15.4595,16.0877,3.74497,3.41E-05,-3.94933,-8.17916,+
"CELE_F43B10,1",-0.405755,0.371355,A0A1N7SYW5,Uncharacterized protein,14.458,14.8763,14.1917,12.8478,14.3564,14.2042,14.4094,15.0269,0.371355,0.158912,-0.405755,-0.855232,
ubc-15,-0.247568,0.309207,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,14.3409,13.5595,13.3431,14.4728,14.4648,14.4094,14.1878,13.6447,0.309207,0.205627,-0.247568,-0.733915,
"CELE_Y55F3BR,10",-0.989579,1.07328,A0A9S0,Uncharacterized protein,14.1099,14.0166,12.2744,13.5986,14.2362,14.423,14.1566,15.1419,1.07328,0.0149248,-0.989579,-2.06498,+
"CELE_Y38F2AR,12",-0.614889,1.54711,A0A9S2,Uncharacterized protein,13.5852,13.5163,13.611,13.5721,14.1664,13.6575,14.7004,14.2198,1.54711,0.00392123,-0.614889,-2.87148,+
ttr-42,-1.26192,2.07341,A2V8C3,TransThyretin-Related family domain,17.2967,17.275,17.1519,17.8419,17.8589,18.5957,19.0153,19.1432,2.07341,0.000986631,-1.26192,-3.85155,+
