geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04, -Log.p.value,Student's T-test q-value eat2_d1_N2_d1,log2FC,Student's T-test Test statistic eat2_d1_N2_d1,Sign p-val: 0.05 
pps-1,-0.375295,0.357934,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,14.9067,13.8865,13.7469,14.701,15.3031,13.9893,14.1854,15.2644,0.357934,0.584119,-0.375295,-0.829449,
cka-1,0.207247,0.277136,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,14.5009,14.8805,14.8057,15.3388,14.182,15.2123,15.0108,14.2918,0.277136,0.661048,0.207247,0.669172,
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-0.53595,2.02619,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",12.9254,12.9859,13.2029,12.5426,13.3919,13.4873,13.3822,13.5391,2.02619,0.0521942,-0.53595,-3.75854,
spp-18,-1.45007,1.06284,A0A061AKY5;Q19837,SaPosin-like Protein family,13.4882,13.6665,16.0098,13.7283,14.7652,15.4042,15.9958,16.5278,1.06284,0.201809,-1.45007,-2.04761,
lin-66,1.1975,0.908315,A0A061AL58;O62020,Uncharacterized protein,13.6137,13.1062,13.7746,15.0526,13.7457,13.1536,12.5701,11.2878,0.908315,0.254256,1.1975,1.79086,
"CELE_F09E10,7",0.071475,0.201074,A0A078BPG0,Uncharacterized protein,13.6949,13.4141,13.5184,13.6471,13.1297,13.6954,13.5721,13.5913,0.201074,0.738987,0.071475,0.508279,
"CELE_F10C1,9",0.181875,0.264798,A0A078BPH9;G4S1A4,Uncharacterized protein,15.0309,14.0591,13.8953,14.538,14.5513,14.0597,14.1416,14.0431,0.264798,0.674473,0.181875,0.643817,
itx-1,-0.37883,3.38928,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,14.4921,14.3969,14.5247,14.3475,14.8645,14.8632,14.8308,14.718,3.38928,0.00954331,-0.37883,-7.04802,+
"CELE_Y41E3,7",-0.267207,0.23608,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,13.5437,15.1879,14.7286,14.2836,14.6259,14.8664,15.37,13.9504,0.23608,0.70367,-0.267207,-0.583746,
"CELE_Y105C5B,15",0.308137,0.767185,A0A078BQP7;Q9U309,Purple acid phosphatase,13.706,13.7134,13.1718,13.0678,13.2965,12.9016,12.9735,13.2549,0.767185,0.315265,0.308137,1.55507,
lim-9,0.597042,2.66655,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,15.2467,15.1198,15.1758,15.3573,14.5234,14.4169,14.8993,14.6719,2.66655,0.0247051,0.597042,5.13095,+
"CELE_Y105E8A,25",0.219943,0.447352,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.7928,13.4321,13.2535,14.0893,13.2962,13.2075,13.7434,13.4407,0.447352,0.514897,0.219943,0.997614,
pgp-2,-0.333625,3.04348,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,14.603,14.3793,14.4219,14.4792,14.7292,14.8409,14.8326,14.8153,3.04348,0.0157874,-0.333625,-6.07353,+
lpd-3,-0.785901,0.413064,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,14.1782,16.6237,15.4979,16.5383,14.7406,16.5295,17.4577,17.254,0.413064,0.537636,-0.785901,-0.934084,
tln-1,-0.0772102,0.0846361,A0A0K3AQU9,TaLiN,14.3502,13.2031,13.3245,14.2834,13.7721,13.5973,14.1944,13.9062,0.0846361,0.883547,-0.0772102,-0.233775,
max-2,-0.0347173,0.068184,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.1707,13.7061,14.0444,13.8003,14.2807,13.6385,13.8102,14.131,0.068184,0.906207,-0.0347173,-0.19116,
egl-27,2.2027,2.38156,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,16.3502,17.2088,15.8581,16.6099,13.5924,15.3326,14.5495,13.7417,2.38156,0.0336853,2.2027,4.48867,+
cdc-14,0.541606,2.5881,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,10.6858,10.2011,10.4073,10.5605,10.0184,9.87131,9.89537,9.90331,2.5881,0.0268391,0.541606,4.94856,+
daf-16,0.42101,0.821783,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.1166,13.8847,13.1839,14.1824,13.4251,13.116,13.6714,13.4711,0.821783,0.290426,0.42101,1.64662,
"CELE_T16H12,3;T16H12,3",0.950029,1.0396,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",14.3255,14.0321,12.9174,14.2336,12.4847,13.4082,13.6087,12.207,1.0396,0.209435,0.950029,2.00897,
lev-11,0.758587,1.95881,A0A0K3ARC0,Uncharacterized protein,14.6444,14.4137,14.0062,14.6316,13.6743,13.3467,13.5871,14.0535,1.95881,0.0585205,0.758587,3.62774,
gld-2,-0.195683,0.187592,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,12.4825,12.7573,12.3399,13.0231,13.0836,13.5281,13.015,11.7589,0.187592,0.755285,-0.195683,-0.478481,
ncl-1,-0.0765924,0.474326,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,15.0048,15.1274,15.0056,14.8777,15.027,15.1476,15.1867,14.9605,0.474326,0.495958,-0.0765924,-1.04688,
"CELE_D1069,3",-0.130824,0.0270836,A0A0K3ARJ1;Q6A586,Uncharacterized protein,10.3262,12.131,7.60835,10.4998,12.4808,10.997,11.3155,6.29544,0.0270836,0.96109,-0.130824,-0.0790774,
lin-23,1.70993,4.72119,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,16.7725,16.4028,16.1503,16.3081,14.6164,14.6201,14.8182,14.7393,4.72119,0.0024,1.70993,12.1384,+
"CELE_Y50D4B,1",1.10165,0.801932,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,14.6389,14.1407,15.2596,15.4452,13.6227,12.8805,13.0266,15.548,0.801932,0.300219,1.10165,1.61339,
"CELE_Y39A1A,21",-0.24317,0.25937,A0A0K3ARX5;Q9XX11,Uncharacterized protein,11.3144,12.1267,12.0295,10.6682,11.3098,11.7244,11.9371,12.1402,0.25937,0.678776,-0.24317,-0.632581,
dre-1,-0.395353,0.401559,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",16.4058,17.7578,17.2062,16,16.8521,17.5528,17.5296,17.0168,0.401559,0.546088,-0.395353,-0.912516,
gck-1,-0.0727947,0.29468,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.0427,14.7422,14.8521,14.9281,15.126,15.0707,14.7736,14.886,0.29468,0.641284,-0.0727947,-0.704786,
gly-7,-0.395613,0.766782,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.2416,13.7346,13.7728,14.3512,14.4632,13.9384,14.0462,14.235,0.766782,0.315253,-0.395613,-1.55439,
"CELE_F40A3,3;F40A3,3",-0.280037,0.579382,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",17.7456,17.9368,17.8551,17.4634,17.6745,18.587,18.0588,17.8006,0.579382,0.419243,-0.280037,-1.23383,
"CELE_Y50D4B,4",0.255995,0.522531,A0A0K3ASH9,Uncharacterized protein,14.9787,15.6712,15.6459,15.6076,14.7622,15.344,15.3902,15.3831,0.522531,0.457845,0.255995,1.13354,
cdf-1,-2.27369,3.42326,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,10.5696,10.3252,10.3024,10.6677,13.5598,12.8471,12.2454,12.3073,3.42326,0.00967213,-2.27369,-7.15012,+
unc-34,-1.68145,2.45879,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,13.8518,14.466,14.6832,13.4427,16.1005,16.2428,15.4881,15.338,2.45879,0.0309451,-1.68145,-4.65732,+
tbh-1,0.410797,0.777008,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,14.5926,15.0296,14.5775,14.9913,14.8463,13.869,14.1361,14.6965,0.777008,0.311489,0.410797,1.57158,
lev-11,-0.51801,1.27166,A0A0K3ATS1,Uncharacterized protein,21.1675,21.4134,20.9223,20.7806,21.6604,21.8609,21.7249,21.1096,1.27166,0.146045,-0.51801,-2.3972,
imp-3,1.14842,2.15581,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,12.6899,13.082,12.4051,13.601,11.6595,11.537,11.9189,12.0689,2.15581,0.0454634,1.14842,4.01666,+
prdx-2,0.0405178,0.109875,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,20.8942,21.3648,21.233,21.3462,20.93,21.236,21.3004,21.2097,0.109875,0.852136,0.0405178,0.297013,
jhdm-1,-0.467448,1.69687,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,13.7639,13.4889,13.5012,13.6998,14.3853,14.2042,13.9326,13.8015,1.69687,0.0827708,-0.467448,-3.13886,
mrck-1,-0.25526,0.865245,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.765,13.044,13.4002,13.11,13.3518,13.2695,13.1939,13.5251,0.865245,0.271198,-0.25526,-1.71917,
nhr-86,-0.285864,0.462166,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,12.1407,12.7157,12.5374,11.5439,12.3253,12.373,12.634,12.7489,0.462166,0.504216,-0.285864,-1.02474,
aat-3,0.414545,0.888688,A0A0K3AVL7;O17395,Amino Acid Transporter,12.9043,13.3256,12.9065,13.1466,12.1389,13.0892,12.9022,12.4945,0.888688,0.261501,0.414545,1.75821,
"CELE_M02H5,8",-0.519357,1.6472,A0A0K3AVS5,Uncharacterized protein,18.1582,18.0209,17.6519,17.7006,18.7358,18.3593,18.3323,18.1816,1.6472,0.0893733,-0.519357,-3.0493,
"CELE_T08B1,1",0.078675,0.497806,A0A0K3AVV4,Uncharacterized protein,15.6044,15.5163,15.4616,15.5904,15.4472,15.5818,15.5373,15.2916,0.497806,0.476551,0.078675,1.08929,
lipl-5,-0.54332,1.5924,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,14.0593,14.0521,14.0562,13.4379,14.6172,14.4394,14.1656,14.5566,1.5924,0.0959201,-0.54332,-2.95153,
fln-2,-0.120712,0.520766,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,15.7683,15.5146,15.573,15.6207,15.8547,15.4755,15.7544,15.8749,0.520766,0.458345,-0.120712,-1.13039,
"C14C6,5",-0.549109,0.436501,A0A0K3AXM4;O44667,Uncharacterized protein,13.3778,12.4916,14.7746,12.5963,13.4761,13.7285,14.4,13.8321,0.436501,0.521498,-0.549109,-0.977626,
"CELE_T08B1,1",0.55887,3.37193,A0A0K3AY44,Uncharacterized protein,10.6738,10.3378,10.406,10.3975,9.92087,9.83609,9.95917,9.86356,3.37193,0.00984615,0.55887,6.99633,+
zig-11,-1.05639,3.04703,A0A0K3AY85,2 (Zwei) IG domain protein,11.4791,11.9132,11.7059,11.4122,12.6669,12.4196,12.6057,13.0438,3.04703,0.0153137,-1.05639,-6.08297,+
ilys-5,-1.2495,3.99964,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,16.3559,16.2442,16.7785,16.5289,17.7451,17.5708,17.6705,17.9189,3.99964,0.00428169,-1.2495,-9.08102,+
irg-3,-1.22064,1.43579,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,12.0239,13.6031,14.0724,13.2157,14.5273,14.1672,14.347,14.7562,1.43579,0.117841,-1.22064,-2.67744,
tns-1,0.100183,0.54028,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.3103,15.0886,14.9067,15.0705,14.9621,15.0611,14.9681,14.9841,0.54028,0.44563,0.100183,1.16505,
ubr-4,-0.0228574,0.0224009,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,12.175,13.4889,12.5708,12.6153,12.4933,13.1581,12.2734,13.0165,0.0224009,0.965339,-0.0228574,-0.0657305,
ccar-1,-0.115345,0.35983,A0A0S4XR43,CCAR1 homolog,15.1376,15.0373,15.1087,15.0186,14.9522,15.1393,15.5796,15.0925,0.35983,0.582557,-0.115345,-0.833102,
ulp-2,0.886526,0.919348,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.6588,13.6319,13.6467,14.3612,12.7519,13.8253,12.2326,13.9428,0.919348,0.250291,0.886526,1.80921,
"CELE_T23F4,2",-0.747605,1.19356,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,13.3763,12.8645,13.2779,12.2445,14.0498,13.1419,13.5994,13.9626,1.19356,0.166809,-0.747605,-2.26577,
sago-1,0.0590775,0.145056,A0A0T7CIX3,Piwi-like protein,13.6895,13.542,13,13.434,13.4302,13.4341,13.3097,13.2551,0.145056,0.809157,0.0590775,0.381394,
sago-2,1.77568,1.54857,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,14.5988,14.3745,14.9379,12.6879,11.8545,11.9899,12.216,13.436,1.54857,0.101256,1.77568,2.87405,
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-0.180845,0.203642,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",13.6059,13.0851,13.4806,12.171,13.6684,13.1754,13.0629,13.1592,0.203642,0.735945,-0.180845,-0.513907,
daf-4,0.200163,0.26515,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.3909,13.1758,13.5505,13.6891,13.7149,13.1534,13.8904,13.247,0.26515,0.674267,0.200163,0.644545,
hpo-3,0.127386,0.110029,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,11.1086,11.7108,11.3353,11.1251,10.424,11.9341,11.8484,10.5638,0.110029,0.852523,0.127386,0.297392,
acs-22,0.115985,0.692076,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,14.7618,14.6566,14.8523,14.5628,14.6643,14.6948,14.526,14.4845,0.692076,0.350874,0.115985,1.42803,
tag-10,0.279765,0.490831,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.3004,15.4845,15.367,16.1844,14.8529,15.4464,15.6012,15.3167,0.490831,0.48092,0.279765,1.07674,
imb-2,0.203652,0.486707,A0A131MBF9;O62332,IMportin Beta family,14.1157,14.0364,13.76,14.1524,14.2464,13.7576,13.8201,13.4258,0.486707,0.484149,0.203652,1.06929,
brf-1,-0.234823,0.148217,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.86,10.1685,12.0832,12.4267,12.2107,11.89,11.9915,12.3855,0.148217,0.804684,-0.234823,-0.388783,
"CELE_W09B6,4",0.158252,0.190708,A0A131MBG4;H2L0M1,Uncharacterized protein,12.7675,13.888,13.6697,13.2255,12.7863,13.1092,13.2238,13.7984,0.190708,0.751967,0.158252,0.485407,
irg-7,-0.344295,1.16382,A0A131MBU3,Protein irg-7,17.7776,17.5662,17.9636,17.7546,18.4433,18.1981,17.9343,17.8635,1.16382,0.174291,-0.344295,-2.21597,
"CELE_F27B10,1",-2.43607,0.454544,A0A131MCJ0,Uncharacterized protein,13.8266,4.00029,13.1449,13.4906,12.9254,14.2495,14.251,12.7808,0.454544,0.508979,-2.43607,-1.01081,
"CELE_T22F3,3",0.518069,1.89614,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",10.6188,9.99572,10.4122,10.5953,9.88843,9.835,9.84919,9.97705,1.89614,0.0642372,0.518069,3.50804,
die-1,-0.819012,0.673733,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,10.2499,12.8387,12.2804,12.0761,12.188,12.711,12.9452,12.8769,0.673733,0.362194,-0.819012,-1.39676,
dhs-11,0.112505,0.484478,A0A163UT65,"DeHydrogenases, Short chain",15.1228,15.1509,15.364,15.081,15.0334,15.1715,15.2211,14.8428,0.484478,0.486187,0.112505,1.06527,
tbc-14,0.402635,2.78893,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.8343,15.0339,14.9136,15.0513,14.4735,14.6009,14.4625,14.6856,2.78893,0.0211818,0.402635,5.42455,+
cyp-34a6,0.250582,0.531229,A0A164D3C9;O44656,CYtochrome P450 family,13.4694,13.5735,13.0709,12.9564,13.1808,13.1618,12.5421,13.1831,0.531229,0.451518,0.250582,1.14901,
fipp-1,-0.11414,0.131297,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,14.2437,13.3246,14.3555,13.8089,14.3137,13.6219,13.703,14.5507,0.131297,0.827046,-0.11414,-0.348876,
unc-132,-0.166888,0.556934,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,14.6151,14.4978,14.8069,14.7951,14.8457,14.5438,14.8722,15.1207,0.556934,0.433286,-0.166888,-1.19445,
cdh-4,-0.985963,0.567024,A0A1C3NSI5;Q19319,Cadherin-4,11.7879,11.5006,11.1287,11.4683,14.6285,10.7644,12.3328,12.1037,0.567024,0.426543,-0.985963,-1.21219,
ajm-1,0.711541,0.540106,A0A1C3NSL1,Apical Junction Molecule,10.9694,9.90974,11.0537,11.2009,11.6345,9.20727,9.73068,9.71515,0.540106,0.445635,0.711541,1.16475,
"CELE_ZC412,3",-0.10485,0.450083,A0A1C3NSL5,Uncharacterized protein,16.173,16.0842,16.1339,16.3324,16.3825,16.3468,16.0183,16.3954,0.450083,0.512222,-0.10485,-1.00263,
farl-11,-0.525834,0.629881,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,11.4386,12.1576,11.4889,11.3118,12.5623,12.2601,12.5787,11.0992,0.629881,0.389714,-0.525834,-1.3215,
let-711,0.142287,0.645617,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,14.7561,14.9078,15.0526,15.1894,14.9091,14.9139,14.7055,14.8083,0.645617,0.380285,0.142287,1.34859,
"C40H1,7",0.89906,0.918319,A0A1I6CM73,Uncharacterized protein,15.6414,15.1485,14.5656,15.8509,14.2645,13.5869,14.2285,15.5304,0.918319,0.25082,0.89906,1.8075,
spat-2,-0.306235,0.74067,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,14.0406,14.6327,14.1608,14.6439,14.5842,14.6005,15.0498,14.4684,0.74067,0.324634,-0.306235,-1.51039,
aakg-1,0.355707,0.794286,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,13.0576,12.9201,12.9037,13.4031,12.5361,12.4798,12.5641,13.2818,0.794286,0.30423,0.355707,1.60058,
grl-23,4.26966,1.83054,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),14.5158,14.7975,15.1834,14.9063,12.3924,7.84233,13.0013,9.08838,1.83054,0.0711433,4.26966,3.38465,
spat-2,0.128037,0.307123,A0A1I6CM95,Suppressor of PAr-Two defect,13.7933,13.2742,12.9591,13.3979,13.255,13.2865,13.1384,13.2323,0.307123,0.629763,0.128037,0.729756,
"CELE_Y55F3BR,6",-0.23381,0.291064,A0A1I6CMC9,Uncharacterized protein,13.2224,12.0115,13.2091,12.6604,13.4095,12.62,12.8433,13.1659,0.291064,0.646035,-0.23381,-0.697486,
vab-10,-0.542418,1.40937,A0A1N7SYP3,Uncharacterized protein,16.7322,16.2592,16.5955,17.0891,17.4039,16.9936,17.0356,17.4125,1.40937,0.122707,-0.542418,-2.63189,
"eif-3,l;eif-3,L",-0.132338,0.290717,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,17.1061,16.5901,16.7168,17.0278,17.153,16.7416,16.7568,17.3188,0.290717,0.645984,-0.132338,-0.696785,
"npp-25;npp-25;npp-25;Y37D8A,17",0.0573652,0.137948,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,16.0175,16.6041,15.9879,16.0504,16.1433,16.2131,16.1249,15.949,0.137948,0.817079,0.0573652,0.364668,
cnt-1,1.13064,1.18803,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,14.2779,12.7615,12.6716,13.297,11.1371,12.6871,12.2839,12.3774,1.18803,0.167774,1.13064,2.2565,
"C26G2,2",-0.0868199,0.0572461,A0A1N7SYU2,Uncharacterized protein,12.4263,12.8725,12.6666,10.847,12.1694,12.535,12.8624,11.5929,0.0572461,0.920123,-0.0868199,-0.162159,
"CELE_F43B10,1",0.126773,0.303099,A0A1N7SYW5,Uncharacterized protein,13.6452,13.6701,13.5638,13.571,13.0402,13.4013,13.6621,13.8394,0.303099,0.63343,0.126773,0.721706,
ubc-15,0.0337498,0.0332853,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,14.4611,14.8595,14.681,14.7091,13.8559,14.9652,15.4026,14.352,0.0332853,0.951767,0.0337498,0.096559,
"CELE_Y55F3BR,10",-3.99912,8.56284,A0A9S0,Uncharacterized protein,10.305,10.3478,10.3067,10.5818,14.4562,14.2971,14.4081,14.3763,8.56284,0,-3.99912,-53.9055,+
"CELE_Y38F2AR,12",0.716275,2.18459,A0A9S2,Uncharacterized protein,14.4601,13.7661,14.0696,14.0969,13.6756,13.3228,13.189,13.3403,2.18459,0.043523,0.716275,4.07518,+
ttr-42,0.225388,0.322579,A2V8C3,TransThyretin-Related family domain,15.9733,16.3299,16.4235,16.1323,15.3834,16.6743,16.1653,15.7346,0.322579,0.616243,0.225388,0.76045,
"CELE_H29C22,1",0.152232,0.323485,A2V8C8,Uncharacterized protein,16.1022,16.0613,15.7707,16.5717,16.0658,16.055,16.1323,15.6438,0.323485,0.614832,0.152232,0.76224,
"CELE_F07G6,10",0.224999,0.0938966,A3FPJ3,Uncharacterized protein,12.6363,15.1037,13.9715,14.0265,12.2307,15.4786,14.18,12.9487,0.0938966,0.871857,0.224999,0.257264,
