geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value eat2_d5_N2_d5,log2FC,Student's T-test Test statistic eat2_d5_N2_d5,Sign p-val: 0.05 
pps-1,0.0705495,0.0962665,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,14.6654,14.5446,14.8951,14.5906,14.3474,14.1023,14.6768,15.287,0.0962665,0.706147,0.0705495,0.263221,
cka-1,1.35086,3.14912,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,15.2113,15.2708,15.2935,14.6747,13.4878,14.1536,13.55,13.8556,3.14912,0.000588477,1.35086,6.35924,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-0.23465,0.220716,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",13.5273,13.4948,13.3414,13.3991,13.343,14.7779,12.7744,13.8059,0.220716,0.460687,-0.23465,-0.550945,
spp-18,1.27144,2.0477,A0A061AKY5;Q19837,SaPosin-like Protein family,16.4987,16.7147,17.2833,16.7405,15.0469,15.1157,15.7014,16.2875,2.0477,0.003889,1.27144,3.80075,+
lin-66,-2.44561,3.94402,A0A061AL58;O62020,Uncharacterized protein,11.9923,11.9933,11.806,11.4557,14.0077,13.7704,14.3544,14.8973,3.94402,0.000371212,-2.44561,-8.87697,+
"CELE_F09E10,7",-0.501218,1.13514,A0A078BPG0,Uncharacterized protein,13.584,13.4527,12.8148,13.6212,13.6093,13.9933,14.1876,13.6874,1.13514,0.0350799,-0.501218,-2.16805,+
"CELE_F10C1,9",-0.630115,1.39939,A0A078BPH9;G4S1A4,Uncharacterized protein,13.1674,12.9395,13.0649,12.9296,13.9452,13.0582,13.5171,14.1013,1.39939,0.0173924,-0.630115,-2.61474,+
itx-1,0.44598,1.73309,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.392,15.4007,15.3164,15.3035,15.0756,14.6052,14.7545,15.1934,1.73309,0.00784468,0.44598,3.20475,+
"CELE_Y41E3,7",0.197442,0.311802,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.8861,15.2158,14.6431,15.0318,14.5143,14.874,15.3494,14.2494,0.311802,0.348794,0.197442,0.739084,
"CELE_Y105C5B,15",-0.303345,1.07831,A0A078BQP7;Q9U309,Purple acid phosphatase,14.4415,14.4753,14.7231,14.8048,14.7875,14.7886,14.8223,15.2597,1.07831,0.0411615,-0.303345,-2.07334,+
lim-9,-0.234102,0.238168,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,13.5294,15.0585,14.5216,13.7324,14.2439,14.2245,14.3268,14.9832,0.238168,0.436318,-0.234102,-0.588166,
"CELE_Y105E8A,25",1.11651,2.74694,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.9565,14.6444,14.1362,14.1668,12.7547,13.4247,12.9829,13.2754,2.74694,0.000923315,1.11651,5.32253,+
pgp-2,0.427137,1.04132,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,14.7406,14.5345,14.7663,14.542,14.4009,14.1815,13.6723,14.6201,1.04132,0.0453969,0.427137,2.01183,+
lpd-3,2.82791,1.86675,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,19.8249,18.7062,20.3346,16.7774,15.4549,16.4514,16.337,16.0881,1.86675,0.00579213,2.82791,3.45253,+
tln-1,0.616822,1.24277,A0A0K3AQU9,TaLiN,15.2793,14.4381,15.0734,14.2001,14.1918,13.9737,14.107,14.251,1.24277,0.0265907,0.616822,2.34846,+
max-2,-0.00290489,0.00181323,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,15.0382,14.7899,13.6586,14.2145,15.5204,14.5985,13.4376,14.1562,0.00181323,0.992974,-0.00290489,-0.005443,
egl-27,1.11461,2.95706,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.4324,13.7939,13.9669,14.1113,12.576,13.1572,13.132,12.9809,2.95706,0.000714924,1.11461,5.84713,+
cdc-14,0.502422,1.84597,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,11.9383,11.9019,11.7932,11.7711,11.472,11.1757,11.0624,11.6847,1.84597,0.00614418,0.502422,3.4135,+
daf-16,0.0259726,0.0270663,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.4295,14.2156,13.8791,13.6415,14.585,14.0713,13.2523,14.1532,0.0270663,0.906817,0.0259726,0.0790285,
"CELE_T16H12,3;T16H12,3",3.68391,5.24626,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",15.5488,15.0549,14.68,14.8117,11.412,11.2337,10.9874,11.7267,5.24626,0.000346457,3.68391,14.9353,+
lev-11,0.34164,0.703593,A0A0K3ARC0,Uncharacterized protein,15.4347,15.3798,15.0622,15.2719,15.1948,14.4688,14.6904,15.4279,0.703593,0.112359,0.34164,1.44761,
gld-2,2.65935,3.51837,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,13.6346,14.8193,13.2643,14.2192,11.3677,11.1951,11.1271,11.6101,3.51837,0.000710633,2.65935,7.44238,+
ncl-1,-1.4725,1.98629,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,13.1435,13.1674,13.0787,13.801,14.5409,15.7414,14.0072,14.7912,1.98629,0.00443056,-1.4725,-3.68081,+
"CELE_D1069,3",-0.916544,1.38127,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.2505,12.6677,13.2142,12.9798,13.2709,14.0571,14.3065,13.1438,1.38127,0.0184053,-0.916544,-2.58365,+
lin-23,1.40756,2.23489,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,14.6408,14.4002,14.6111,13.9143,13.3327,12.299,12.7186,13.5858,2.23489,0.00261433,1.40756,4.17862,+
"CELE_Y50D4B,1",0.625051,1.72521,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.0247,11.927,11.8877,11.8275,11.4711,11.1696,10.8206,11.7053,1.72521,0.00789241,0.625051,3.19038,+
"CELE_Y39A1A,21",0.491991,1.82778,A0A0K3ARX5;Q9XX11,Uncharacterized protein,11.9399,12.0333,11.7241,11.8611,11.4521,11.2233,11.1725,11.7425,1.82778,0.00642785,0.491991,3.37951,+
dre-1,3.23469,3.88131,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",20.2126,19.6131,18.8943,19.4377,17.0121,16.1905,15.7812,16.2351,3.88131,0.000421818,3.23469,8.65175,+
gck-1,-1.38078,3.49387,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.3773,14.2831,14.0127,14.5954,15.9078,15.5024,15.404,15.9773,3.49387,0.000698413,-1.38078,-7.36617,+
gly-7,0.203482,0.0743726,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,11.2755,15.1297,15.0505,14.4373,13.0441,13.3419,14.657,14.036,0.0743726,0.764231,0.203482,0.207328,
"CELE_F40A3,3;F40A3,3",-0.56389,3.73864,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",18.3487,18.515,18.2594,18.3426,19.056,18.863,18.8798,18.9224,3.73864,0.000564103,-0.56389,-8.15775,+
"CELE_Y50D4B,4",1.31843,1.81531,A0A0K3ASH9,Uncharacterized protein,15.3412,15.5574,15.5704,15.3773,13.0729,14.5398,14.8538,14.1061,1.81531,0.0067105,1.31843,3.35627,+
cdf-1,0.729379,1.95335,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,12.0563,11.899,12.0896,11.7262,11.2309,10.7954,11.1403,11.687,1.95335,0.00467186,0.729379,3.61723,+
unc-34,-4.16543,4.73046,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,11.9426,11.8636,11.7552,11.6065,15.7234,15.4259,16.9355,15.7449,4.73046,0.000187234,-4.16543,-12.1832,+
tbh-1,0.27063,0.566824,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,16.7275,16.8248,16.8399,16.8284,16.5062,16.1452,16.3245,17.1621,0.566824,0.164141,0.27063,1.21183,
lev-11,0.00834179,0.0130657,A0A0K3ATS1,Uncharacterized protein,21.4624,21.8729,21.9365,22.0176,21.9299,22.0167,22.0209,21.2885,0.0130657,0.953802,0.00834179,0.0387288,
imp-3,2.28045,0.715544,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,13.9553,13.9725,13.8905,14.0618,8.93078,11.0402,10.6452,16.142,0.715544,0.10931,2.28045,1.46789,
prdx-2,-0.238087,1.78176,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.8293,21.9154,21.7058,21.7695,22.0854,22.1847,21.9447,21.9577,1.78176,0.00715168,-0.238087,-3.29411,+
jhdm-1,-0.875283,2.86286,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.1711,14.1869,13.9833,14.0792,15.3243,14.7986,14.6742,15.1245,2.86286,0.00083165,-0.875283,-5.60753,+
mrck-1,-0.279953,0.179197,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,11.8907,12.17,11.9556,13.6651,11.7395,13.5955,13.2878,12.1785,0.179197,0.529022,-0.279953,-0.459703,
nhr-86,0.570131,2.64114,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,11.994,11.7847,11.651,11.8729,11.2685,11.0428,11.2468,11.4639,2.64114,0.00115328,0.570131,5.07138,+
aat-3,-0.0770874,0.0484,A0A0K3AVL7;O17395,Amino Acid Transporter,13.2901,13.4854,12.9914,13.0669,12.9627,13.0532,12.2852,14.8411,0.0484,0.839019,-0.0770874,-0.138284,
"CELE_M02H5,8",0.414608,1.77168,A0A0K3AVS5,Uncharacterized protein,19.4784,19.5861,19.6017,19.5462,19.1224,19.493,18.9658,18.9728,1.77168,0.00721851,0.414608,3.27553,+
"CELE_T08B1,1",-0.710297,2.4434,A0A0K3AVV4,Uncharacterized protein,14.2144,13.8772,13.9616,14.0191,15.1187,14.4887,14.6688,14.6374,2.4434,0.00171685,-0.710297,-4.6234,+
lipl-5,0.799795,0.610041,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,13.6179,13.7515,13.3196,13.5035,13.731,13.7747,12.2415,11.2462,0.610041,0.145523,0.799795,1.2872,
fln-2,-0.233908,1.32431,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.3692,16.3087,16.2015,16.2124,16.3907,16.6015,16.3384,16.6967,1.32431,0.0215011,-0.233908,-2.48644,+
"C14C6,5",0.77684,2.5415,A0A0K3AXM4;O44667,Uncharacterized protein,17.0053,17.1095,16.9841,17.0243,16.5878,15.9716,15.9966,16.4598,2.5415,0.0014847,0.77684,4.84228,+
"CELE_T08B1,1",0.630952,2.34608,A0A0K3AY44,Uncharacterized protein,11.842,12.1194,12.1122,11.8781,11.3308,11.1458,11.2457,11.7057,2.34608,0.0020438,0.630952,4.41248,+
zig-11,1.50144,3.78624,A0A0K3AY85,2 (Zwei) IG domain protein,13.6489,13.9017,13.8618,13.8864,12.3575,12.1928,12.7751,11.9676,3.78624,0.000389916,1.50144,8.3198,+
ilys-5,0.0788524,0.131033,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,16.3945,16.3511,16.3527,16.3028,16.4699,15.8699,15.9315,16.8144,0.131033,0.623838,0.0788524,0.348245,
irg-3,-1.27411,4.13023,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.071,16.0031,15.8602,15.8577,17.5753,17.0789,17.0426,17.1917,4.13023,0.000101382,-1.27411,-9.57646,+
tns-1,-0.13008,0.29767,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.1657,14.8884,14.9202,14.9698,15.5425,14.8938,14.7866,15.2415,0.29767,0.362827,-0.13008,-0.710809,
ubr-4,3.0826,1.21174,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,13.7513,13.275,18.4954,13.2745,10.9007,10.8419,12.2295,12.4937,1.21174,0.0285564,3.0826,2.29627,+
ccar-1,-0.24423,0.629174,A0A0S4XR43,CCAR1 homolog,14.6417,14.5149,14.456,14.3481,15.0733,14.9261,14.6607,14.2776,0.629174,0.138373,-0.24423,-1.32028,
ulp-2,-0.97051,1.86906,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,13.9047,13.6471,12.912,13.352,13.9227,14.4907,14.8008,14.4837,1.86906,0.00573864,-0.97051,-3.45687,+
"CELE_T23F4,2",-0.411474,0.450132,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,14.3993,13.9547,13.198,13.7822,14.6301,13.4505,13.9936,14.9059,0.450132,0.228646,-0.411474,-1.00272,
sago-1,1.0162,1.90298,A0A0T7CIX3,Piwi-like protein,14.1281,13.7752,14.015,13.6909,13.2114,12.9299,12.1103,13.2928,1.90298,0.00531682,1.0162,3.52101,+
sago-2,-0.493275,1.42256,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,15.757,16.1672,15.8732,16.0161,16.7445,16.7038,16.0956,16.2426,1.42256,0.016221,-0.493275,-2.6546,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",1.10715,0.448288,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",13.6991,13.832,13.4278,14.0084,13.6279,13.9799,13.589,9.34186,0.448288,0.229804,1.10715,0.999335,
daf-4,-0.28446,0.347339,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.0073,13.9238,13.733,13.9805,13.9809,14.3527,13.3982,15.0507,0.347339,0.311548,-0.28446,-0.80894,
hpo-3,0.531574,1.99388,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,12.0557,11.692,11.8544,11.8086,11.2987,11.1394,11.1731,11.6731,1.99388,0.00437413,0.531574,3.69554,+
acs-22,1.62477,4.78137,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,15.5221,15.5952,15.4355,15.4668,14.1217,13.6942,13.6335,14.0711,4.78137,0.000197309,1.62477,12.432,+
tag-10,0.525442,1.95878,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.3715,15.1153,15.1104,15.1775,15.0082,14.5885,14.3784,14.6979,1.95878,0.0046286,0.525442,3.62768,+
imb-2,0.546863,2.58265,A0A131MBF9;O62332,IMportin Beta family,14.56,14.623,14.18,14.2704,13.9174,13.882,13.8402,13.8063,2.58265,0.00134637,0.546863,4.93605,+
brf-1,-1.34958,3.0727,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.0288,12.0353,11.8507,11.8149,13.4709,13.1394,12.7689,13.7489,3.0727,0.000656891,-1.34958,-6.15154,+
"CELE_W09B6,4",-0.174895,0.157034,A0A131MBG4;H2L0M1,Uncharacterized protein,13.9942,12.6971,13.2133,13.2552,13.9775,12.4984,13.5548,13.8286,0.157034,0.57084,-0.174895,-0.409239,
irg-7,0.609165,3.34191,A0A131MBU3,Protein irg-7,19.0294,19.0553,18.9044,18.959,18.4456,18.298,18.1992,18.5686,3.34191,0.000622642,0.609165,6.90765,+
"CELE_F27B10,1",2.15787,0.386688,A0A131MCJ0,Uncharacterized protein,13.448,13.2788,12.8441,12.9414,14.3326,3.91271,14.0929,11.5426,0.386688,0.277102,2.15787,0.884436,
"CELE_T22F3,3",3.02413,5.10748,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",14.4729,13.7536,14.4411,14.5207,11.3367,11.033,11.168,11.5541,5.10748,0.000289474,3.02413,14.1421,+
die-1,-2.06779,2.64722,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,12.576,13.2845,12.6689,12.931,15.0588,15.0866,13.8978,15.6883,2.64722,0.00115751,-2.06779,-5.08558,+
dhs-11,-0.291643,1.27137,A0A163UT65,"DeHydrogenases, Short chain",15.1269,14.7252,14.7219,14.9904,15.0343,15.2846,15.3123,15.0999,1.27137,0.0250159,-0.291643,-2.39671,+
tbc-14,0.639317,1.38229,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,15.3428,15.0569,14.6554,15.0507,14.2654,13.9874,14.3445,14.9511,1.38229,0.0183479,0.639317,2.5854,+
cyp-34a6,2.85358,5.59406,A0A164D3C9;O44656,CYtochrome P450 family,14.0835,13.9058,14.4655,13.9734,11.3622,11.0841,11.056,11.5117,5.59406,0.000505747,2.85358,17.1149,+
fipp-1,-1.77658,4.52743,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,13.4667,13.6388,13.8091,13.5684,15.5543,15.7114,15.2037,15.1199,4.52743,0.000151203,-1.77658,-11.2364,+
unc-132,0.0160401,0.0386868,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,14.4148,14.4258,14.2715,13.9988,13.9565,14.3631,14.313,14.4141,0.0386868,0.870139,0.0160401,0.11161,
cdh-4,-2.77161,4.91794,A0A1C3NSI5;Q19319,Cadherin-4,13.3504,13.1353,13.0658,12.8024,15.3575,16.0375,16.173,15.8722,4.91794,0.000235294,-2.77161,-13.1229,+
ajm-1,0.534986,2.2423,A0A1C3NSL1,Apical Junction Molecule,11.8713,12.009,11.8276,11.8538,11.255,11.1898,11.2619,11.715,2.2423,0.00257061,0.534986,4.19397,+
"CELE_ZC412,3",-0.670567,4.08685,A0A1C3NSL5,Uncharacterized protein,17.3815,17.4424,17.573,17.3302,18.137,18.0159,18.0333,18.2232,4.08685,9.76E-05,-0.670567,-9.40928,+
farl-11,1.61833,3.87113,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,12.854,13.1664,12.6039,12.9723,11.2682,10.9403,11.2586,11.656,3.87113,0.000418018,1.61833,8.61568,+
let-711,0.324415,2.24107,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,15.0757,14.9147,14.7872,14.9327,14.6299,14.5406,14.5097,14.7324,2.24107,0.00256621,0.324415,4.19141,+
"C40H1,7",1.78073,1.67706,A0A1I6CM73,Uncharacterized protein,14.8673,14.7142,15.055,15.2103,12.1926,14.3166,13.9831,12.2316,1.67706,0.00863479,1.78073,3.10304,+
spat-2,-0.150515,0.237599,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.2126,15.1118,15.1529,15.2583,15.2715,16.0483,15.169,14.849,0.237599,0.437074,-0.150515,-0.586963,
aakg-1,1.30305,2.35551,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,14.5098,14.3517,14.0566,14.3917,12.2939,13.639,13.1443,13.0203,2.35551,0.00199634,1.30305,4.43265,+
grl-23,0.468985,1.61633,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),11.9143,11.9663,11.7497,11.5434,11.2154,11.1904,11.1949,11.6971,1.61633,0.0102186,0.468985,2.99409,+
spat-2,-1.44037,2.50177,A0A1I6CM95,Suppressor of PAr-Two defect,12.9068,14.0977,13.3469,13.3409,15.3208,14.5097,14.693,14.9303,2.50177,0.00151952,-1.44037,-4.75286,+
"CELE_Y55F3BR,6",-0.503397,1.55193,A0A1I6CMC9,Uncharacterized protein,12.0709,11.8597,11.8302,11.7828,11.9964,12.6013,12.7059,12.2536,1.55193,0.0121093,-0.503397,-2.87996,+
vab-10,-0.31195,0.581778,A0A1N7SYP3,Uncharacterized protein,19.2772,19.2947,18.8533,19.1476,19.4632,20.1036,19.1478,19.1059,0.581778,0.157583,-0.31195,-1.23802,
"eif-3,l;eif-3,L",1.60671,4.74901,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,18.8992,18.485,18.6725,18.5558,16.9735,17.242,16.8179,17.1523,4.74901,0.000192982,1.60671,12.2733,+
"npp-25;npp-25;npp-25;Y37D8A,17",1.39345,3.61515,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,16.1403,16.7812,16.8121,16.7729,15.368,15.1084,15.3659,15.0904,3.61515,0.000517647,1.39345,7.74988,+
cnt-1,-2.81153,2.64048,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,12.1153,11.9476,9.87085,11.5245,13.8988,14.717,14.2952,13.7935,2.64048,0.0011516,-2.81153,-5.06985,+
"C26G2,2",2.66386,3.98738,A0A1N7SYU2,Uncharacterized protein,14.1511,14.121,13.4449,13.8114,10.7174,11.7878,11.4483,10.9196,3.98738,0.000222664,2.66386,9.0357,+
"CELE_F43B10,1",-0.29904,0.402284,A0A1N7SYW5,Uncharacterized protein,13.6242,13.0234,13.1848,12.9121,12.7073,13.758,14.0414,13.4339,0.402284,0.263776,-0.29904,-0.913879,
ubc-15,-0.267343,0.238549,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,13.1848,13.219,13.572,13.253,13.9815,12.2419,14.0954,13.9793,0.238549,0.435659,-0.267343,-0.588972,
"CELE_Y55F3BR,10",-1.06911,2.44153,A0A9S0,Uncharacterized protein,12.8284,13.0734,12.57,13.2446,13.5168,14.3793,14.0736,14.0231,2.44153,0.00171575,-1.06911,-4.61929,+
"CELE_Y38F2AR,12",0.60564,1.39116,A0A9S2,Uncharacterized protein,13.8951,14.335,14.0047,14.3626,13.7159,13.8113,12.9448,13.7027,1.39116,0.0177712,0.60564,2.60061,+
ttr-42,1.18764,3.65553,A2V8C3,TransThyretin-Related family domain,17.5578,17.4002,17.6601,17.6665,16.6593,16.2092,16.0935,16.572,3.65553,0.000529323,1.18764,7.88132,+
"CELE_H29C22,1",0.0307651,0.0373931,A2V8C8,Uncharacterized protein,17.2318,17.8005,17.7423,17.385,17.6766,17.1523,17.0689,18.1387,0.0373931,0.874023,0.0307651,0.10802,
