geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04, -Log.p.value,Student's T-test q-value eat2_d5_eat2_d1,log2FC,Student's T-test Test statistic eat2_d15_eat2_d1,Sign p-val: 0.05 
pps-1,0.363661,0.567667,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,14.6654,14.5446,14.8951,14.5906,14.9067,13.8865,13.7469,14.701,0.567667,0.148081,0.363661,1.21331,
cka-1,0.231107,0.458263,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,15.2113,15.2708,15.2935,14.6747,14.5009,14.8805,14.8057,15.3388,0.458263,0.204712,0.231107,1.01761,
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",0.526438,1.9738,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",13.5273,13.4948,13.3414,13.3991,12.9254,12.9859,13.2029,12.5426,1.9738,0.00431814,0.526438,3.65665,+
spp-18,2.5861,2.22932,A0A061AKY5;Q19837,SaPosin-like Protein family,16.4987,16.7147,17.2833,16.7405,13.4882,13.6665,16.0098,13.7283,2.22932,0.00217759,2.5861,4.16709,+
lin-66,-2.07497,2.5202,A0A061AL58;O62020,Uncharacterized protein,11.9923,11.9933,11.806,11.4557,13.6137,13.1062,13.7746,15.0526,2.5202,0.00115692,-2.07497,-4.79422,+
"CELE_F09E10,7",-0.200415,0.454115,A0A078BPG0,Uncharacterized protein,13.584,13.4527,12.8148,13.6212,13.6949,13.4141,13.5184,13.6471,0.454115,0.207139,-0.200415,-1.01002,
"CELE_F10C1,9",-1.35548,2.6832,A0A078BPH9;G4S1A4,Uncharacterized protein,13.1674,12.9395,13.0649,12.9296,15.0309,14.0591,13.8953,14.538,2.6832,0.000688086,-1.35548,-5.17022,+
itx-1,0.91286,5.85274,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.392,15.4007,15.3164,15.3035,14.4921,14.3969,14.5247,14.3475,5.85274,0,0.91286,18.9315,+
"CELE_Y41E3,7",0.508245,0.659449,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.8861,15.2158,14.6431,15.0318,13.5437,15.1879,14.7286,14.2836,0.659449,0.113331,0.508245,1.37232,
"CELE_Y105C5B,15",1.19642,3.08104,A0A078BQP7;Q9U309,Purple acid phosphatase,14.4415,14.4753,14.7231,14.8048,13.706,13.7134,13.1718,13.0678,3.08104,0.000322034,1.19642,6.17397,+
lim-9,-1.01444,1.52458,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,13.5294,15.0585,14.5216,13.7324,15.2467,15.1198,15.1758,15.3573,1.52458,0.0116353,-1.01444,-2.83191,+
"CELE_Y105E8A,25",0.584072,1.3081,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.9565,14.6444,14.1362,14.1668,13.7928,13.4321,13.2535,14.0893,1.3081,0.0202548,0.584072,2.4589,+
pgp-2,0.174972,1.1623,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,14.7406,14.5345,14.7663,14.542,14.603,14.3793,14.4219,14.4792,1.1623,0.0293346,0.174972,2.21343,+
lpd-3,3.2012,1.77893,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,19.8249,18.7062,20.3346,16.7774,14.1782,16.6237,15.4979,16.5383,1.77893,0.00664968,3.2012,3.2889,+
tln-1,0.957395,1.27582,A0A0K3AQU9,TaLiN,15.2793,14.4381,15.0734,14.2001,14.3502,13.2031,13.3245,14.2834,1.27582,0.0218857,0.957395,2.40423,+
max-2,0.494898,0.74396,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,15.0382,14.7899,13.6586,14.2145,14.1707,13.7061,14.0444,13.8003,0.74396,0.0889249,0.494898,1.51594,
egl-27,-2.43065,3.62721,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.4324,13.7939,13.9669,14.1113,16.3502,17.2088,15.8581,16.6099,3.62721,0.000212346,-2.43065,-7.78896,+
cdc-14,1.38744,4.77039,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,11.9383,11.9019,11.7932,11.7711,10.6858,10.2011,10.4073,10.5605,4.77039,0,1.38744,12.3779,+
daf-16,0.199548,0.289101,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.4295,14.2156,13.8791,13.6415,14.1166,13.8847,13.1839,14.1824,0.289101,0.346934,0.199548,0.693515,
"CELE_T16H12,3;T16H12,3",1.14668,1.63925,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",15.5488,15.0549,14.68,14.8117,14.3255,14.0321,12.9174,14.2336,1.63925,0.0092728,1.14668,3.03505,+
lev-11,0.863193,2.64156,A0A0K3ARC0,Uncharacterized protein,15.4347,15.3798,15.0622,15.2719,14.6444,14.4137,14.0062,14.6316,2.64156,0.000795798,0.863193,5.07237,+
gld-2,1.33363,1.93243,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,13.6346,14.8193,13.2643,14.2192,12.4825,12.7573,12.3399,13.0231,1.93243,0.00467914,1.33363,3.57713,+
ncl-1,-1.70621,4.15549,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,13.1435,13.1674,13.0787,13.801,15.0048,15.1274,15.0056,14.8777,4.15549,0,-1.70621,-9.675,+
"CELE_D1069,3",2.63668,1.4757,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.2505,12.6677,13.2142,12.9798,10.3262,12.131,7.60835,10.4998,1.4757,0.0132893,2.63668,2.74659,+
lin-23,-2.01684,4.09566,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,14.6408,14.4002,14.6111,13.9143,16.7725,16.4028,16.1503,16.3081,4.09566,0,-2.01684,-9.44303,+
"CELE_Y50D4B,1",-2.9544,4.18957,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.0247,11.927,11.8877,11.8275,14.6389,14.1407,15.2596,15.4452,4.18957,0,-2.9544,-9.80944,+
"CELE_Y39A1A,21",0.354899,0.460858,A0A0K3ARX5;Q9XX11,Uncharacterized protein,11.9399,12.0333,11.7241,11.8611,11.3144,12.1267,12.0295,10.6682,0.460858,0.203671,0.354899,1.02236,
dre-1,2.69695,2.87097,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",20.2126,19.6131,18.8943,19.4377,16.4058,17.7578,17.2062,16,2.87097,0.000459161,2.69695,5.62789,+
gck-1,-0.574163,2.25093,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.3773,14.2831,14.0127,14.5954,15.0427,14.7422,14.8521,14.9281,2.25093,0.00204187,-0.574163,-4.2119,+
gly-7,0.198185,0.0756997,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,11.2755,15.1297,15.0505,14.4373,13.2416,13.7346,13.7728,14.3512,0.0756997,0.734159,0.198185,0.210773,
"CELE_F40A3,3;F40A3,3",0.616185,2.7358,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",18.3487,18.515,18.2594,18.3426,17.7456,17.9368,17.8551,17.4634,2.7358,0.000578911,0.616185,5.2957,+
"CELE_Y50D4B,4",-0.0142775,0.0277104,A0A0K3ASH9,Uncharacterized protein,15.3412,15.5574,15.5704,15.3773,14.9787,15.6712,15.6459,15.6076,0.0277104,0.895409,-0.0142775,-0.0808543,
cdf-1,1.47658,4.69557,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,12.0563,11.899,12.0896,11.7262,10.5696,10.3252,10.3024,10.6677,4.69557,0,1.47658,12.0154,+
unc-34,-2.3189,3.66476,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,11.9426,11.8636,11.7552,11.6065,13.8518,14.466,14.6832,13.4427,3.66476,0.00021883,-2.3189,-7.9116,+
tbh-1,2.00738,5.41442,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,16.7275,16.8248,16.8399,16.8284,14.5926,15.0296,14.5775,14.9913,5.41442,0,2.00738,15.9536,+
lev-11,0.751412,2.16442,A0A0K3ATS1,Uncharacterized protein,21.4624,21.8729,21.9365,22.0176,21.1675,21.4134,20.9223,20.7806,2.16442,0.00254471,0.751412,4.03411,+
imp-3,1.0255,2.10853,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,13.9553,13.9725,13.8905,14.0618,12.6899,13.082,12.4051,13.601,2.10853,0.00287754,1.0255,3.92146,+
prdx-2,0.595478,2.63311,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.8293,21.9154,21.7058,21.7695,20.8942,21.3648,21.233,21.3462,2.63311,0.000833006,0.595478,5.05267,+
jhdm-1,0.491688,2.95833,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.1711,14.1869,13.9833,14.0792,13.7639,13.4889,13.5012,13.6998,2.95833,0.000366484,0.491688,5.8504,+
mrck-1,-0.659448,0.735809,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,11.8907,12.17,11.9556,13.6651,12.765,13.044,13.4002,13.11,0.735809,0.0910887,-0.659448,-1.50218,
nhr-86,-0.408784,0.74441,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,11.994,11.7847,11.651,11.8729,12.1407,12.7157,12.5374,11.5439,0.74441,0.0887894,-0.408784,-1.5167,
aat-3,0.137677,0.399137,A0A0K3AVL7;O17395,Amino Acid Transporter,13.2901,13.4854,12.9914,13.0669,12.9043,13.3256,12.9065,13.1466,0.399137,0.246816,0.137677,0.907958,
"CELE_M02H5,8",1.67018,4.94351,A0A0K3AVS5,Uncharacterized protein,19.4784,19.5861,19.6017,19.5462,18.1582,18.0209,17.6519,17.7006,4.94351,0,1.67018,13.2563,+
"CELE_T08B1,1",-1.52507,5.90186,A0A0K3AVV4,Uncharacterized protein,14.2144,13.8772,13.9616,14.0191,15.6044,15.5163,15.4616,15.5904,5.90186,0,-1.52507,-19.297,+
lipl-5,-0.35324,1.01448,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,13.6179,13.7515,13.3196,13.5035,14.0593,14.0521,14.0562,13.4379,1.01448,0.0423096,-0.35324,-1.96722,+
fln-2,0.653777,4.15873,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.3692,16.3087,16.2015,16.2124,15.7683,15.5146,15.573,15.6207,4.15873,0,0.653777,9.68771,+
"C14C6,5",3.72074,3.39159,A0A0K3AXM4;O44667,Uncharacterized protein,17.0053,17.1095,16.9841,17.0243,13.3778,12.4916,14.7746,12.5963,3.39159,0.000179728,3.72074,7.05491,+
"CELE_T08B1,1",1.53415,5.17959,A0A0K3AY44,Uncharacterized protein,11.842,12.1194,12.1122,11.8781,10.6738,10.3378,10.406,10.3975,5.17959,0,1.53415,14.5491,+
zig-11,2.19709,5.59148,A0A0K3AY85,2 (Zwei) IG domain protein,13.6489,13.9017,13.8618,13.8864,11.4791,11.9132,11.7059,11.4122,5.59148,0,2.19709,17.0976,+
ilys-5,-0.12657,0.4893,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,16.3945,16.3511,16.3527,16.3028,16.3559,16.2442,16.7785,16.5289,0.4893,0.186234,-0.12657,-1.07397,
irg-3,2.71921,3.07607,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.071,16.0031,15.8602,15.8577,12.0239,13.6031,14.0724,13.2157,3.07607,0.000319865,2.71921,6.16061,+
tns-1,-0.107992,0.471819,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.1657,14.8884,14.9202,14.9698,15.3103,15.0886,14.9067,15.0705,0.471819,0.19677,-0.107992,-1.04232,
ubr-4,1.98656,0.750974,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,13.7513,13.275,18.4954,13.2745,12.175,13.4889,12.5708,12.6153,0.750974,0.087214,1.98656,1.52777,
ccar-1,-0.585358,3.88976,A0A0S4XR43,CCAR1 homolog,14.6417,14.5149,14.456,14.3481,15.1376,15.0373,15.1087,15.0186,3.88976,7.78E-05,-0.585358,-8.68182,+
ulp-2,-0.620696,0.945437,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,13.9047,13.6471,12.912,13.352,14.6588,13.6319,13.6467,14.3612,0.945437,0.0507226,-0.620696,-1.85256,
"CELE_T23F4,2",0.892723,1.32982,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,14.3993,13.9547,13.198,13.7822,13.3763,12.8645,13.2779,12.2445,1.32982,0.0191281,0.892723,2.49581,+
sago-1,0.485985,1.4493,A0A0T7CIX3,Piwi-like protein,14.1281,13.7752,14.015,13.6909,13.6895,13.542,13,13.434,1.4493,0.0139473,0.485985,2.7008,+
sago-2,1.8036,1.91595,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,15.757,16.1672,15.8732,16.0161,14.5988,14.3745,14.9379,12.6879,1.91595,0.00480397,1.8036,3.54567,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",0.656175,0.969391,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",13.6991,13.832,13.4278,14.0084,13.6059,13.0851,13.4806,12.171,0.969391,0.0475549,0.656175,1.89235,+
daf-4,0.209605,0.343561,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.0073,13.9238,13.733,13.9805,14.3909,13.1758,13.5505,13.6891,0.343561,0.293057,0.209605,0.801592,
hpo-3,0.532697,1.80833,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,12.0557,11.692,11.8544,11.8086,11.1086,11.7108,11.3353,11.1251,1.80833,0.00602408,0.532697,3.34331,+
acs-22,0.796535,4.48942,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,15.5221,15.5952,15.4355,15.4668,14.7618,14.6566,14.8523,14.5628,4.48942,0,0.796535,11.0669,+
tag-10,-0.390375,0.93511,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.3715,15.1153,15.1104,15.1775,15.3004,15.4845,15.367,16.1844,0.93511,0.0524954,-0.390375,-1.8354,
imb-2,0.39221,1.50887,A0A131MBF9;O62332,IMportin Beta family,14.56,14.623,14.18,14.2704,14.1157,14.0364,13.76,14.1524,1.50887,0.0121396,0.39221,2.80442,+
brf-1,0.0478404,0.0274794,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.0288,12.0353,11.8507,11.8149,12.86,10.1685,12.0832,12.4267,0.0274794,0.896371,0.0478404,0.0801996,
"CELE_W09B6,4",-0.0977323,0.0981922,A0A131MBG4;H2L0M1,Uncharacterized protein,13.9942,12.6971,13.2133,13.2552,12.7675,13.888,13.6697,13.2255,0.0981922,0.669087,-0.0977323,-0.268045,
irg-7,1.22155,5.05555,A0A131MBU3,Protein irg-7,19.0294,19.0553,18.9044,18.959,17.7776,17.5662,17.9636,17.7546,5.05555,0,1.22155,13.8556,+
"CELE_F27B10,1",2.01246,0.366301,A0A131MCJ0,Uncharacterized protein,13.448,13.2788,12.8441,12.9414,13.8266,4.00029,13.1449,13.4906,0.366301,0.273309,2.01246,0.845548,
"CELE_T22F3,3",3.89161,5.54144,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",14.4729,13.7536,14.4411,14.5207,10.6188,9.99572,10.4122,10.5953,5.54144,0,3.89161,16.7665,+
die-1,1.00382,0.867162,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,12.576,13.2845,12.6689,12.931,10.2499,12.8387,12.2804,12.0761,0.867162,0.0635807,1.00382,1.72236,
dhs-11,-0.288555,1.29025,A0A163UT65,"DeHydrogenases, Short chain",15.1269,14.7252,14.7219,14.9904,15.1228,15.1509,15.364,15.081,1.29025,0.0211481,-0.288555,-2.42864,+
tbc-14,0.0681872,0.176558,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,15.3428,15.0569,14.6554,15.0507,14.8343,15.0339,14.9136,15.0513,0.176558,0.500575,0.0681872,0.453761,
cyp-34a6,0.83951,2.29332,A0A164D3C9;O44656,CYtochrome P450 family,14.0835,13.9058,14.4655,13.9734,13.4694,13.5735,13.0709,12.9564,2.29332,0.0019118,0.83951,4.30059,+
fipp-1,-0.312408,0.601762,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,13.4667,13.6388,13.8091,13.5684,14.2437,13.3246,14.3555,13.8089,0.601762,0.133894,-0.312408,-1.27283,
unc-132,-0.400985,1.74507,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,14.4148,14.4258,14.2715,13.9988,14.6151,14.4978,14.8069,14.7951,1.74507,0.00720267,-0.400985,-3.22667,+
cdh-4,1.61707,4.0286,A0A1C3NSI5;Q19319,Cadherin-4,13.3504,13.1353,13.0658,12.8024,11.7879,11.5006,11.1287,11.4683,4.0286,0,1.61707,9.18888,+
ajm-1,1.10698,2.00432,A0A1C3NSL1,Apical Junction Molecule,11.8713,12.009,11.8276,11.8538,10.9694,9.90974,11.0537,11.2009,2.00432,0.00378561,1.10698,3.71584,+
"CELE_ZC412,3",1.25089,5.52814,A0A1C3NSL5,Uncharacterized protein,17.3815,17.4424,17.573,17.3302,16.173,16.0842,16.1339,16.3324,5.52814,0,1.25089,16.6796,+
farl-11,1.2999,2.94698,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,12.854,13.1664,12.6039,12.9723,11.4386,12.1576,11.4889,11.3118,2.94698,0.000363636,1.2999,5.82113,+
let-711,-0.0489199,0.171857,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,15.0757,14.9147,14.7872,14.9327,14.7561,14.9078,15.0526,15.1894,0.171857,0.508653,-0.0489199,-0.443135,
"C40H1,7",-0.339905,0.509986,A0A1I6CM73,Uncharacterized protein,14.8673,14.7142,15.055,15.2103,15.6414,15.1485,14.5656,15.8509,0.509986,0.174964,-0.339905,-1.11114,
spat-2,0.814405,2.6434,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.2126,15.1118,15.1529,15.2583,14.0406,14.6327,14.1608,14.6439,2.6434,0.000796321,0.814405,5.07666,+
aakg-1,1.25627,3.79075,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,14.5098,14.3517,14.0566,14.3917,13.0576,12.9201,12.9037,13.4031,3.79075,7.24E-05,1.25627,8.3353,+
grl-23,-3.05732,5.75511,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),11.9143,11.9663,11.7497,11.5434,14.5158,14.7975,15.1834,14.9063,5.75511,0,-3.05732,-18.2249,+
spat-2,0.0669575,0.0800527,A0A1I6CM95,Suppressor of PAr-Two defect,12.9068,14.0977,13.3469,13.3409,13.7933,13.2742,12.9591,13.3979,0.0800527,0.720509,0.0669575,0.222019,
"CELE_Y55F3BR,6",-0.88995,1.63799,A0A1I6CMC9,Uncharacterized protein,12.0709,11.8597,11.8302,11.7828,13.2224,12.0115,13.2091,12.6604,1.63799,0.00926173,-0.88995,-3.0328,+
vab-10,2.4742,4.77213,A0A1N7SYP3,Uncharacterized protein,19.2772,19.2947,18.8533,19.1476,16.7322,16.2592,16.5955,17.0891,4.77213,0,2.4742,12.3864,+
"eif-3,l;eif-3,L",1.79292,4.63323,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,18.8992,18.485,18.6725,18.5558,17.1061,16.5901,16.7168,17.0278,4.63323,0,1.79292,11.7209,+
"npp-25;npp-25;npp-25;Y37D8A,17",0.461663,1.09942,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,16.1403,16.7812,16.8121,16.7729,16.0175,16.6041,15.9879,16.0504,1.09942,0.0342852,0.461663,2.10848,+
cnt-1,-1.88745,1.61219,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,12.1153,11.9476,9.87085,11.5245,14.2779,12.7615,12.6716,13.297,1.61219,0.00977376,-1.88745,-2.98672,+
"C26G2,2",1.67898,1.85412,A0A1N7SYU2,Uncharacterized protein,14.1511,14.121,13.4449,13.8114,12.4263,12.8725,12.6666,10.847,1.85412,0.00547719,1.67898,3.42879,+
"CELE_F43B10,1",-0.426426,1.44208,A0A1N7SYW5,Uncharacterized protein,13.6242,13.0234,13.1848,12.9121,13.6452,13.6701,13.5638,13.571,1.44208,0.0142479,-0.426426,-2.68831,+
ubc-15,-1.37047,4.53969,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,13.1848,13.219,13.572,13.253,14.4611,14.8595,14.681,14.7091,4.53969,0,-1.37047,-11.2916,+
"CELE_Y55F3BR,10",2.54377,5.38537,A0A9S0,Uncharacterized protein,12.8284,13.0734,12.57,13.2446,10.305,10.3478,10.3067,10.5818,5.38537,0,2.54377,15.7731,+
"CELE_Y38F2AR,12",0.0511305,0.10196,A0A9S2,Uncharacterized protein,13.8951,14.335,14.0047,14.3626,14.4601,13.7661,14.0696,14.0969,0.10196,0.65911,0.0511305,0.277443,
ttr-42,1.35639,4.57488,A2V8C3,TransThyretin-Related family domain,17.5578,17.4002,17.6601,17.6665,15.9733,16.3299,16.4235,16.1323,4.57488,0,1.35639,11.4514,+
"CELE_H29C22,1",1.41342,3.22059,A2V8C8,Uncharacterized protein,17.2318,17.8005,17.7423,17.385,16.1022,16.0613,15.7707,16.5717,3.22059,0.000264186,1.41342,6.55836,+
"CELE_F07G6,10",0.105256,0.0726986,A3FPJ3,Uncharacterized protein,14.1786,14.2982,13.8313,13.851,12.6363,15.1037,13.9715,14.0265,0.0726986,0.743284,0.105256,0.202971,
