geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04, -Log.p.value,Student's T-test q-value N2_d15_N2_d1,log2FC,Student's T-test Test statistic N2_d15_N2_d1,Sign p-val: 0.05 
unc-34,-0.115726,0.0704098,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,15.5482,16.6145,16.3491,14.1947,16.1005,16.2428,15.4881,15.338,0.0704098,0.754,-0.115726,-0.196995,
tbh-1,2.73558,3.76101,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.2381,16.7317,16.769,17.7514,14.8463,13.869,14.1361,14.6965,3.76101,0.000108108,2.73558,8.23357,+
lev-11,-0.145591,0.308004,A0A0K3ATS1,Uncharacterized protein,21.3013,21.6226,21.6428,21.2067,21.6604,21.8609,21.7249,21.1096,0.308004,0.333525,-0.145591,-0.731514,
imp-3,1.38775,2.29819,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,13.22,13.9208,12.4619,13.1327,11.6595,11.537,11.9189,12.0689,2.29819,0.00280821,1.38775,4.31085,+
prdx-2,0.412553,1.41952,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.1967,21.7105,21.6292,21.7899,20.93,21.236,21.3004,21.2097,1.41952,0.0172164,0.412553,2.64936,+
jhdm-1,-0.00523734,0.00659612,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,13.8697,14.0829,13.6371,14.7129,14.3853,14.2042,13.9326,13.8015,0.00659612,0.974692,-0.00523734,-0.0196932,
mrck-1,-0.200675,0.285076,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.4491,13.8097,13.2853,12.9935,13.3518,13.2695,13.1939,13.5251,0.285076,0.358037,-0.200675,-0.685352,
nhr-86,-0.208992,0.52354,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,12.3474,11.9073,12.338,12.6526,12.3253,12.373,12.634,12.7489,0.52354,0.175956,-0.208992,-1.13533,
aat-3,1.39989,2.51873,A0A0K3AVL7;O17395,Amino Acid Transporter,13.7955,13.7154,14.1138,14.5997,12.1389,13.0892,12.9022,12.4945,2.51873,0.00167963,1.39989,4.79092,+
"CELE_M02H5,8",-1.71388,4.5836,A0A0K3AVS5,Uncharacterized protein,16.7706,16.4557,16.8819,16.6453,18.7358,18.3593,18.3323,18.1816,4.5836,0,-1.71388,-11.4913,+
"CELE_T08B1,1",-0.171098,0.785912,A0A0K3AVV4,Uncharacterized protein,15.2299,15.0815,15.4726,15.3896,15.4472,15.5818,15.5373,15.2916,0.785912,0.0874011,-0.171098,-1.58653,
lipl-5,-2.13457,3.80792,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,12.5115,12.7463,12.3242,11.6584,14.6172,14.4394,14.1656,14.5566,3.80792,0.000112397,-2.13457,-8.39452,+
fln-2,0.631883,2.85035,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.5033,16.4151,16.1892,16.3794,15.8547,15.4755,15.7544,15.8749,2.85035,0.00115391,0.631883,5.57627,+
"C14C6,5",3.55648,4.87079,A0A0K3AXM4;O44667,Uncharacterized protein,17.5557,17.1518,17.0527,17.9023,13.4761,13.7285,14.4,13.8321,4.87079,0,3.55648,12.8804,+
"CELE_T08B1,1",1.28856,0.484256,A0A0K3AY44,Uncharacterized protein,12.2605,7.56696,12.2317,12.6748,9.92087,9.83609,9.95917,9.86356,0.484256,0.196609,1.28856,1.06486,
zig-11,3.50215,5.77174,A0A0K3AY85,2 (Zwei) IG domain protein,16.2769,15.7868,16.4307,16.2501,12.6669,12.4196,12.6057,13.0438,5.77174,0,3.50215,18.3435,+
ilys-5,-2.50082,3.63303,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,15.3527,14.6582,14.8408,16.0504,17.7451,17.5708,17.6705,17.9189,3.63303,0.000172414,-2.50082,-7.80786,+
irg-3,1.63901,4.41486,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.2616,16.172,15.862,16.0581,14.5273,14.1672,14.347,14.7562,4.41486,0,1.63901,10.7413,+
tns-1,0.023195,0.0277896,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.7967,15.0843,14.5449,14.6423,14.9621,15.0611,14.9681,14.9841,0.0277896,0.893436,0.023195,0.0810787,
ubr-4,1.67278,3.05523,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.6862,14.2663,14.7037,13.9764,12.4933,13.1581,12.2734,13.0165,3.05523,0.000740465,1.67278,6.1048,+
ccar-1,0.677262,1.24816,A0A0S4XR43,CCAR1 homolog,15.6838,15.4989,15.6726,16.6174,14.9522,15.1393,15.5796,15.0925,1.24816,0.0271572,0.677262,2.35755,+
ulp-2,1.365,1.38754,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.3568,14.8961,13.7463,15.2134,12.7519,13.8253,12.2326,13.9428,1.38754,0.0189528,1.365,2.5944,+
"CELE_T23F4,2",-0.296231,0.213836,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,13.7214,11.8686,13.9238,14.055,14.0498,13.1419,13.5994,13.9626,0.213836,0.450406,-0.296231,-0.536097,
sago-1,1.04821,1.97615,A0A0T7CIX3,Piwi-like protein,14.6002,14.504,13.5997,14.9181,13.4302,13.4341,13.3097,13.2551,1.97615,0.00540267,1.04821,3.66118,+
sago-2,2.77359,2.00629,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,13.6746,16.7754,14.7026,15.4382,11.8545,11.9899,12.216,13.436,2.00629,0.00518301,2.77359,3.71966,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",1.31054,1.80579,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",15.4848,13.7097,14.7137,14.3998,13.6684,13.1754,13.0629,13.1592,1.80579,0.00798181,1.31054,3.33859,+
daf-4,1.47097,2.15074,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.2304,15.7894,15.0189,14.8508,13.7149,13.1534,13.8904,13.247,2.15074,0.00354217,1.47097,4.00639,+
hpo-3,1.23271,1.52339,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,12.5497,12.0427,12.3137,12.7951,10.424,11.9341,11.8484,10.5638,1.52339,0.013764,1.23271,2.82982,+
acs-22,-0.394363,0.640602,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,13.7891,14.413,14.9177,13.6723,14.6643,14.6948,14.526,14.4845,0.640602,0.127814,-0.394363,-1.33997,
tag-10,0.58053,1.68549,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.9353,15.9125,15.6252,16.0664,14.8529,15.4464,15.6012,15.3167,1.68549,0.00969987,0.58053,3.11826,+
imb-2,0.829122,1.46459,A0A131MBF9;O62332,IMportin Beta family,14.6552,13.9765,15.2055,14.7292,14.2464,13.7576,13.8201,13.4258,1.46459,0.0157662,0.829122,2.72728,+
brf-1,0.226452,0.319634,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.9838,12.6423,11.8547,11.9026,12.2107,11.89,11.9915,12.3855,0.319634,0.320508,0.226452,0.754629,
"CELE_W09B6,4",0.6105,0.420929,A0A131MBG4;H2L0M1,Uncharacterized protein,12.5637,13.6647,13.638,15.4934,12.7863,13.1092,13.2238,13.7984,0.420929,0.23554,0.6105,0.948753,
irg-7,0.879539,2.3894,A0A131MBU3,Protein irg-7,19.3032,18.6666,18.8452,19.1423,18.4433,18.1981,17.9343,17.8635,2.3894,0.00233313,0.879539,4.50563,+
"CELE_F27B10,1",-1.31954,1.65586,A0A131MCJ0,Uncharacterized protein,12.5327,12.146,11.8592,12.3906,12.9254,14.2495,14.251,12.7808,1.65586,0.0102821,-1.31954,-3.06485,+
"CELE_T22F3,3",2.59898,6.57539,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",12.4841,12.438,12.2738,12.7496,9.88843,9.835,9.84919,9.97705,6.57539,0,2.59898,25.0597,+
die-1,-0.310843,0.657124,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,12.5758,12.0228,12.2221,12.657,12.188,12.711,12.9452,12.8769,0.657124,0.122426,-0.310843,-1.36834,
dhs-11,-0.272837,0.63122,A0A163UT65,"DeHydrogenases, Short chain",14.7328,14.5548,14.5467,15.3431,15.0334,15.1715,15.2211,14.8428,0.63122,0.131689,-0.272837,-1.32381,
tbc-14,0.391318,2.86293,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.9593,15.0688,14.8847,14.875,14.4735,14.6009,14.4625,14.6856,2.86293,0.00112745,0.391318,5.60772,+
cyp-34a6,0.16917,0.101757,A0A164D3C9;O44656,CYtochrome P450 family,13.0764,11.5576,14.0873,14.0232,13.1808,13.1618,12.5421,13.1831,0.101757,0.669546,0.16917,0.276937,
fipp-1,0.546642,1.05825,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,14.9299,14.6095,14.5956,14.2408,14.3137,13.6219,13.703,14.5507,1.05825,0.043828,0.546642,2.03998,+
unc-132,-0.12248,0.223154,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,15.1687,14.3471,14.4985,14.8781,14.8457,14.5438,14.8722,15.1207,0.223154,0.436661,-0.12248,-0.556183,
cdh-4,1.26565,0.681697,A0A1C3NSI5;Q19319,Cadherin-4,14.5779,13.0921,12.9828,14.2392,14.6285,10.7644,12.3328,12.1037,0.681697,0.114702,1.26565,1.41035,
ajm-1,2.18357,2.15363,A0A1C3NSL1,Apical Junction Molecule,12.0427,12.1788,12.2816,12.5187,11.6345,9.20727,9.73068,9.71515,2.15363,0.003548,2.18357,4.01223,+
"CELE_ZC412,3",1.79263,5.21807,A0A1C3NSL5,Uncharacterized protein,18.1896,17.836,18.1577,18.1301,16.3825,16.3468,16.0183,16.3954,5.21807,0,1.79263,14.7709,+
farl-11,0.26739,0.289472,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,12.5083,12.0778,12.1917,12.7921,12.5623,12.2601,12.5787,11.0992,0.289472,0.353195,0.26739,0.694265,
let-711,0.83196,2.25838,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,15.8793,15.3042,15.3884,16.0928,14.9091,14.9139,14.7055,14.8083,2.25838,0.00303806,0.83196,4.2274,+
"C40H1,7",0.0118847,0.00736835,A0A1I6CM73,Uncharacterized protein,14.075,14.7573,13.61,15.2156,14.2645,13.5869,14.2285,15.5304,0.00736835,0.971754,0.0118847,0.0219797,
spat-2,-0.29587,0.239989,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,14.5529,14.9108,15.0863,12.9694,14.5842,14.6005,15.0498,14.4684,0.239989,0.413803,-0.29587,-0.592014,
aakg-1,1.63091,2.67775,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,14.7717,14.7973,13.9239,13.8926,12.5361,12.4798,12.5641,13.2818,2.67775,0.00128373,1.63091,5.15736,+
grl-23,1.75669,0.666826,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),12.3988,11.8428,12.335,12.7745,12.3924,7.84233,13.0013,9.08838,0.666826,0.119053,1.75669,1.38495,
spat-2,0.0726104,0.168015,A0A1I6CM95,Suppressor of PAr-Two defect,12.8533,13.2564,13.5538,13.5393,13.255,13.2865,13.1384,13.2323,0.168015,0.525438,0.0726104,0.434407,
"CELE_Y55F3BR,6",-0.775333,1.7745,A0A1I6CMC9,Uncharacterized protein,11.8997,12.0767,12.3249,12.6361,13.4095,12.62,12.8433,13.1659,1.7745,0.00845236,-0.775333,-3.28073,+
vab-10,2.20311,4.18604,A0A1N7SYP3,Uncharacterized protein,19.1162,19.7155,19.0447,19.7817,17.4039,16.9936,17.0356,17.4125,4.18604,0,2.20311,9.79542,+
"eif-3,l;eif-3,L",1.44305,3.21657,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,17.9479,18.6287,18.6657,18.5,17.153,16.7416,16.7568,17.3188,3.21657,0.000568465,1.44305,6.54704,+
"npp-25;npp-25;npp-25;Y37D8A,17",-0.684472,0.751495,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,14.3938,16.0699,16.2536,14.9752,16.1433,16.2131,16.1249,15.949,0.751495,0.0956056,-0.684472,-1.52865,
cnt-1,2.67198,3.32742,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,14.7335,15.1038,14.2772,15.059,11.1371,12.6871,12.2839,12.3774,3.32742,0.000436445,2.67198,6.86518,+
"C26G2,2",0.0116823,0.0120674,A0A1N7SYU2,Uncharacterized protein,12.0976,12.594,11.8982,12.6167,12.1694,12.535,12.8624,11.5929,0.0120674,0.952985,0.0116823,0.0358091,
"CELE_F43B10,1",1.50347,0.835049,A0A1N7SYW5,Uncharacterized protein,16.9676,12.6693,15.2697,15.0502,13.0402,13.4013,13.6621,13.8394,0.835049,0.0771312,1.50347,1.66879,
ubc-15,0.49804,0.591099,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,15.4401,14.7199,14.8632,15.5447,13.8559,14.9652,15.4026,14.352,0.591099,0.145931,0.49804,1.25428,
"CELE_Y55F3BR,10",0.203268,0.164038,A0A9S0,Uncharacterized protein,15.0545,14.4322,13.3283,15.5359,14.4562,14.2971,14.4081,14.3763,0.164038,0.532613,0.203268,0.42533,
"CELE_Y38F2AR,12",0.1004,0.194606,A0A9S2,Uncharacterized protein,13.4022,13.7541,13.7528,13.0202,13.6756,13.3228,13.189,13.3403,0.194606,0.481219,0.1004,0.494038,
ttr-42,2.04762,2.97234,A2V8C3,TransThyretin-Related family domain,17.5558,17.8404,18.4754,18.2763,15.3834,16.6743,16.1653,15.7346,2.97234,0.00084007,2.04762,5.8867,+
"CELE_H29C22,1",2.45741,5.0743,A2V8C8,Uncharacterized protein,18.1007,18.3741,18.7573,18.4946,16.0658,16.055,16.1323,15.6438,5.0743,0,2.45741,13.9584,+
"CELE_F07G6,10",2.77213,2.06,A3FPJ3,Uncharacterized protein,16.8309,16.4265,16.4289,16.2402,12.2307,15.4786,14.18,12.9487,2.06,0.0045201,2.77213,3.82501,+
