geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04, -Log.p.value,Student's T-test q-value N2_d10_N2_d1,log2FC,Student's T-test Test statistic N2_d10_N2_d1,Sign p-val: 0.05 
"CELE_Y41E3,7",0.658827,0.780128,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.6389,15.5725,16.038,15.1986,14.6259,14.8664,15.37,13.9504,0.780128,0.0395783,0.658827,1.57682,+
"CELE_Y105C5B,15",1.12402,2.31935,A0A078BQP7;Q9U309,Purple acid phosphatase,14.3666,14.1884,13.6107,14.7568,13.2965,12.9016,12.9735,13.2549,2.31935,0.000454352,1.12402,4.35558,+
lim-9,-0.15061,0.314075,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.3061,14.3051,14.3001,14.9978,14.5234,14.4169,14.8993,14.6719,0.314075,0.198013,-0.15061,-0.743604,
"CELE_Y105E8A,25",1.08641,2.31079,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,14.281,14.4162,14.1802,15.156,13.2962,13.2075,13.7434,13.4407,2.31079,0.000489594,1.08641,4.33744,+
pgp-2,0.820348,1.50098,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.5056,14.8773,15.8577,16.2587,14.7292,14.8409,14.8326,14.8153,1.50098,0.00477166,0.820348,2.79062,+
lpd-3,-2.12081,1.84101,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,14.5079,14.1863,14.3007,14.5037,14.7406,16.5295,17.4577,17.254,1.84101,0.00169627,-2.12081,-3.40422,+
tln-1,1.43367,2.83623,A0A0K3AQU9,TaLiN,14.7834,15.8676,15.3835,15.1703,13.7721,13.5973,14.1944,13.9062,2.83623,0.000101576,1.43367,5.54111,+
max-2,4.09076,5.26915,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,18.3792,17.8231,17.5291,18.4921,14.2807,13.6385,13.8102,14.131,5.26915,0,4.09076,15.0702,+
egl-27,0.128802,0.110975,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.397,14.1208,14.3659,14.8478,13.5924,15.3326,14.5495,13.7417,0.110975,0.526678,0.128802,0.299714,
cdc-14,4.48749,5.47213,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,14.0134,13.9992,14.4636,15.1621,10.0184,9.87131,9.89537,9.90331,5.47213,0,4.48749,16.3182,+
daf-16,0.9705,2.79183,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.1039,14.3826,14.3178,14.7611,13.4251,13.116,13.6714,13.4711,2.79183,0.000163371,0.9705,5.43165,+
"CELE_T16H12,3;T16H12,3",1.30809,1.85391,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",14.2774,14.3938,13.7544,14.5154,12.4847,13.4082,13.6087,12.207,1.85391,0.00158491,1.30809,3.42838,+
lev-11,3.9385,4.58623,A0A0K3ARC0,Uncharacterized protein,17.5835,17.5333,16.8948,18.4039,13.6743,13.3467,13.5871,14.0535,4.58623,0,3.9385,11.5034,+
gld-2,1.53564,1.91905,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,14.3488,14.3527,13.9096,14.9169,13.0836,13.5281,13.015,11.7589,1.91905,0.00129767,1.53564,3.55158,+
ncl-1,-0.573987,1.25812,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,14.4803,13.9704,14.4543,15.1209,15.027,15.1476,15.1867,14.9605,1.25812,0.00927916,-0.573987,-2.37435,+
"CELE_D1069,3",3.23434,1.02924,A0A0K3ARJ1;Q6A586,Uncharacterized protein,14.4058,11.0788,13.4142,15.1272,12.4808,10.997,11.3155,6.29544,1.02924,0.0185141,3.23434,1.99175,+
lin-23,-0.349645,0.56809,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,14.4909,14.3822,13.5793,14.943,14.6164,14.6201,14.8182,14.7393,0.56809,0.0773463,-0.349645,-1.21406,
"CELE_Y50D4B,1",0.613724,0.426695,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,14.4588,14.3447,13.9316,14.7977,13.6227,12.8805,13.0266,15.548,0.426695,0.127831,0.613724,0.95947,
"CELE_Y39A1A,21",2.60612,3.78465,A0A0K3ARX5;Q9XX11,Uncharacterized protein,14.5117,14.1148,13.8624,15.0471,11.3098,11.7244,11.9371,12.1402,3.78465,0,2.60612,8.31433,+
dre-1,1.32163,0.642599,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",18.8041,18.8026,15.9709,20.6601,16.8521,17.5528,17.5296,17.0168,0.642599,0.0608822,1.32163,1.3434,
gck-1,0.843204,0.410653,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.7454,13.3462,16.5441,17.5934,15.126,15.0707,14.7736,14.886,0.410653,0.135232,0.843204,0.929574,
gly-7,3.61401,6.83825,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,17.6391,17.7547,17.8132,17.9318,14.4632,13.9384,14.0462,14.235,6.83825,0,3.61401,27.7407,+
"CELE_F40A3,3;F40A3,3",2.2861,3.37376,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",19.9898,20.3698,19.8862,21.0196,17.6745,18.587,18.0588,17.8006,3.37376,0,2.2861,7.00176,+
"CELE_Y50D4B,4",-1.51938,2.06248,A0A0K3ASH9,Uncharacterized protein,12.8793,13.7637,13.5127,14.6463,14.7622,15.344,15.3902,15.3831,2.06248,0.00083917,-1.51938,-3.82992,+
cdf-1,2.18917,3.00313,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,15.0753,14.3218,15.2003,15.1188,13.5598,12.8471,12.2454,12.3073,3.00313,4.94E-05,2.18917,5.96702,+
unc-34,3.0386,4.5004,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,18.6095,19.2727,18.5954,18.8462,16.1005,16.2428,15.4881,15.338,4.5004,0,3.0386,11.1157,+
tbh-1,3.69992,3.52576,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.546,17.7325,17.6712,19.3978,14.8463,13.869,14.1361,14.6965,3.52576,0,3.69992,7.46549,+
lev-11,2.34126,4.86655,A0A0K3ATS1,Uncharacterized protein,23.9041,24.1488,23.792,23.8759,21.6604,21.8609,21.7249,21.1096,4.86655,0,2.34126,12.8588,+
imp-3,3.70528,3.67501,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,14.2619,16.3201,15.9757,15.4478,11.6595,11.537,11.9189,12.0689,3.67501,0,3.70528,7.9454,+
prdx-2,1.04765,3.47717,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,22.1243,21.961,22.5156,22.2658,20.93,21.236,21.3004,21.2097,3.47717,0,1.04765,7.3146,+
jhdm-1,0.0776756,0.186034,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.17,14.0463,13.9909,14.4271,14.3853,14.2042,13.9326,13.8015,0.186034,0.353195,0.0776756,0.475009,
mrck-1,1.95426,4.01628,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,14.9463,15.0883,15.8627,15.26,13.3518,13.2695,13.1939,13.5251,4.01628,0,1.95426,9.14284,+
nhr-86,1.80727,4.04086,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,14.3783,14.425,13.8587,14.6482,12.3253,12.373,12.634,12.7489,4.04086,0,1.80727,9.23487,+
aat-3,1.59681,2.30402,A0A0K3AVL7;O17395,Amino Acid Transporter,14.4877,13.4276,14.8521,14.2447,12.1389,13.0892,12.9022,12.4945,2.30402,0.000524798,1.59681,4.32313,+
"CELE_M02H5,8",-0.377215,0.877684,A0A0K3AVS5,Uncharacterized protein,18.3782,17.6726,17.7523,18.2971,18.7358,18.3593,18.3323,18.1816,0.877684,0.0290687,-0.377215,-1.73989,+
"CELE_T08B1,1",1.893,3.66735,A0A0K3AVV4,Uncharacterized protein,17.1682,17.1618,18.0439,17.056,15.4472,15.5818,15.5373,15.2916,3.66735,0,1.893,7.92014,+
lipl-5,3.37649,3.25257,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,17.4404,17.3251,17.2111,19.3081,14.6172,14.4394,14.1656,14.5566,3.25257,0,3.37649,6.64906,+
fln-2,2.65483,5.9948,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,18.5361,18.3068,18.1672,18.5688,15.8547,15.4755,15.7544,15.8749,5.9948,0,2.65483,20.0074,+
"C14C6,5",3.75868,4.21897,A0A0K3AXM4;O44667,Uncharacterized protein,18.169,16.7952,18.1042,17.4029,13.4761,13.7285,14.4,13.8321,4.21897,0,3.75868,9.92674,+
"CELE_T08B1,1",4.45991,4.63049,A0A0K3AY44,Uncharacterized protein,14.5177,13.3085,14.4646,15.1285,9.92087,9.83609,9.95917,9.86356,4.63049,0,4.45991,11.7082,+
zig-11,4.33472,6.33991,A0A0K3AY85,2 (Zwei) IG domain protein,16.8464,16.7332,17.3151,17.1802,12.6669,12.4196,12.6057,13.0438,6.33991,0,4.33472,22.8754,+
ilys-5,-0.599715,1.39035,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,16.6843,17.1937,16.9247,17.7038,17.7451,17.5708,17.6705,17.9189,1.39035,0.00656117,-0.599715,-2.59922,+
irg-3,1.52257,1.88387,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.6299,15.221,16.7599,15.2772,14.5273,14.1672,14.347,14.7562,1.88387,0.00140178,1.52257,3.48481,+
tns-1,2.38956,3.74146,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,17.6292,16.934,16.8778,18.0926,14.9621,15.0611,14.9681,14.9841,3.74146,0,2.38956,8.16728,+
ubr-4,2.10995,2.14426,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.8,15.1381,13.5592,15.8839,12.4933,13.1581,12.2734,13.0165,2.14426,0.000668223,2.10995,3.99328,+
ccar-1,1.25334,2.05484,A0A0S4XR43,CCAR1 homolog,16.2876,16.5611,15.7444,17.1838,14.9522,15.1393,15.5796,15.0925,2.05484,0.000852056,1.25334,3.81483,+
ulp-2,1.24912,1.4032,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.516,14.2873,13.9184,15.0274,12.7519,13.8253,12.2326,13.9428,1.4032,0.00625785,1.24912,2.62129,+
"CELE_T23F4,2",2.71846,4.04511,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,16.228,15.9278,16.5846,16.8872,14.0498,13.1419,13.5994,13.9626,4.04511,0,2.71846,9.25087,+
sago-1,2.69155,6.30868,A0A0T7CIX3,Piwi-like protein,15.9689,15.7802,16.2823,16.1639,13.4302,13.4341,13.3097,13.2551,6.30868,0,2.69155,22.6001,+
sago-2,2.01416,2.24646,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,14.4562,14.4209,13.5713,15.1045,11.8545,11.9899,12.216,13.436,2.24646,0.000564315,2.01416,4.2026,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",1.12592,3.52359,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",14.3337,14.3133,14.3359,14.5867,13.6684,13.1754,13.0629,13.1592,3.52359,0,1.12592,7.45871,+
daf-4,3.38667,3.48199,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,16.1254,17.9632,17.1751,16.2886,13.7149,13.1534,13.8904,13.247,3.48199,0,3.38667,7.32943,+
hpo-3,2.58895,2.8743,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,14.1363,13.1518,13.8659,13.9722,10.424,11.9341,11.8484,10.5638,2.8743,8.73E-05,2.58895,5.63624,+
acs-22,-0.1473,0.22742,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,14.3847,14.3445,13.9106,15.1405,14.6643,14.6948,14.526,14.4845,0.22742,0.290285,-0.1473,-0.565318,
tag-10,1.49371,3.15207,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,16.7774,16.7127,16.4418,17.2602,14.8529,15.4464,15.6012,15.3167,3.15207,5.35E-05,1.49371,6.36737,+
imb-2,2.33544,3.60124,A0A131MBF9;O62332,IMportin Beta family,16.5141,15.4188,16.4522,16.2065,14.2464,13.7576,13.8201,13.4258,3.60124,0,2.33544,7.70504,+
brf-1,1.63143,2.2911,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,13.5358,13.4215,13.2232,14.8229,12.2107,11.89,11.9915,12.3855,2.2911,0.000521861,1.63143,4.29591,+
"CELE_W09B6,4",2.65511,3.06923,A0A131MBG4;H2L0M1,Uncharacterized protein,14.8901,15.7108,16.5247,16.4126,12.7863,13.1092,13.2238,13.7984,3.06923,5.12E-05,2.65511,6.14226,+
irg-7,1.35097,2.6046,A0A131MBU3,Protein irg-7,19.3271,19.0947,19.2671,20.1542,18.4433,18.1981,17.9343,17.8635,2.6046,0.000264345,1.35097,4.98656,+
"CELE_F27B10,1",0.749322,0.777561,A0A131MCJ0,Uncharacterized protein,14.3632,13.6236,14.3735,14.8436,12.9254,14.2495,14.251,12.7808,0.777561,0.0398694,0.749322,1.57251,+
"CELE_T22F3,3",4.56945,7.05463,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",14.4646,14.27,14.2207,14.8722,9.88843,9.835,9.84919,9.97705,7.05463,0,4.56945,30.1583,+
die-1,1.66291,3.52987,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,14.4552,14.3986,13.9343,14.5848,12.188,12.711,12.9452,12.8769,3.52987,0,1.66291,7.47836,+
dhs-11,-0.515552,1.29327,A0A163UT65,"DeHydrogenases, Short chain",14.5057,14.1558,14.4594,15.0856,15.0334,15.1715,15.2211,14.8428,1.29327,0.00831493,-0.515552,-2.43376,+
tbc-14,1.5698,3.20872,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,16.0316,16.81,15.7661,15.8938,14.4735,14.6009,14.4625,14.6856,3.20872,5.56E-05,1.5698,6.52496,+
cyp-34a6,0.945883,1.97831,A0A164D3C9;O44656,CYtochrome P450 family,13.8158,13.5077,14.4739,14.054,13.1808,13.1618,12.5421,13.1831,1.97831,0.00108112,0.945883,3.66536,+
fipp-1,1.67594,2.65318,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,15.9003,15.0766,15.7207,16.1953,14.3137,13.6219,13.703,14.5507,2.65318,0.000223935,1.67594,5.09954,+
unc-132,1.99055,5.12716,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,16.7321,16.7146,16.8607,17.0371,14.8457,14.5438,14.8722,15.1207,5.12716,0,1.99055,14.2521,+
cdh-4,1.96381,1.2448,A0A1C3NSI5;Q19319,Cadherin-4,14.3364,14.0395,14.216,15.0928,14.6285,10.7644,12.3328,12.1037,1.2448,0.00974013,1.96381,2.35189,+
ajm-1,4.23026,3.40798,A0A1C3NSL1,Apical Junction Molecule,14.1897,13.9917,13.9553,15.072,11.6345,9.20727,9.73068,9.71515,3.40798,0,4.23026,7.10405,+
"CELE_ZC412,3",3.25012,5.30193,A0A1C3NSL5,Uncharacterized protein,19.361,19.3437,19.3241,20.1146,16.3825,16.3468,16.0183,16.3954,5.30193,0,3.25012,15.2654,+
farl-11,2.34079,3.16655,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,14.325,14.3164,14.4535,14.7686,12.5623,12.2601,12.5787,11.0992,3.16655,5.39E-05,2.34079,6.40738,+
let-711,1.55876,1.67545,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,16.6155,15.1614,16.2159,17.5791,14.9091,14.9139,14.7055,14.8083,1.67545,0.0026582,1.55876,3.10013,+
"C40H1,7",0.00924492,0.00738933,A0A1I6CM73,Uncharacterized protein,14.4782,14.1286,14.43,14.6104,14.2645,13.5869,14.2285,15.5304,0.00738933,0.960572,0.00924492,0.0220418,
spat-2,2.19468,3.41697,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,16.2014,16.6957,17.0625,17.522,14.5842,14.6005,15.0498,14.4684,3.41697,0,2.19468,7.13112,+
aakg-1,3.66112,3.99636,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,15.5354,16.2973,16.397,17.2766,12.5361,12.4798,12.5641,13.2818,3.99636,0,3.66112,9.06886,+
grl-23,3.72625,1.58935,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),14.0845,14.3953,14.0122,14.7374,12.3924,7.84233,13.0013,9.08838,1.58935,0.00348628,3.72625,2.94612,+
spat-2,3.93401,3.96902,A0A1I6CM95,Suppressor of PAr-Two defect,17.1363,16.0308,17.3242,18.1571,13.255,13.2865,13.1384,13.2323,3.96902,0,3.93401,8.96817,+
"CELE_Y55F3BR,6",1.41566,2.66439,A0A1I6CMC9,Uncharacterized protein,14.2976,14.1019,14.2455,15.0564,13.4095,12.62,12.8433,13.1659,2.66439,0.000197309,1.41566,5.12586,+
vab-10,3.85915,4.6969,A0A1N7SYP3,Uncharacterized protein,21.0819,20.3173,21.0967,21.7864,17.4039,16.9936,17.0356,17.4125,4.6969,0,3.85915,12.0217,+
"eif-3,l;eif-3,L",0.704717,1.03512,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,17.3957,17.3569,17.3764,18.6601,17.153,16.7416,16.7568,17.3188,1.03512,0.018216,0.704717,2.00152,+
"npp-25;npp-25;npp-25;Y37D8A,17",0.38982,0.441102,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,17.6128,16.3803,16.2,15.7966,16.1433,16.2131,16.1249,15.949,0.441102,0.120904,0.38982,0.986115,
cnt-1,2.4475,3.30796,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,14.4444,14.4314,14.475,14.9247,11.1371,12.6871,12.2839,12.3774,3.30796,0,2.4475,6.80846,+
"C26G2,2",3.05146,3.26488,A0A1N7SYU2,Uncharacterized protein,14.3312,15.4872,15.4595,16.0877,12.1694,12.535,12.8624,11.5929,3.26488,0,3.05146,6.68421,+
"CELE_F43B10,1",1.01348,2.16656,A0A1N7SYW5,Uncharacterized protein,14.3564,14.2042,14.4094,15.0269,13.0402,13.4013,13.6621,13.8394,2.16656,0.000657018,1.01348,4.03847,+
ubc-15,-0.467255,0.562745,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,14.4648,14.4094,14.1878,13.6447,13.8559,14.9652,15.4026,14.352,0.562745,0.0787985,-0.467255,-1.20467,
"CELE_Y55F3BR,10",0.104999,0.180446,A0A9S0,Uncharacterized protein,14.2362,14.423,14.1566,15.1419,14.4562,14.2971,14.4081,14.3763,0.180446,0.363405,0.104999,0.462507,
"CELE_Y38F2AR,12",0.804116,1.83482,A0A9S2,Uncharacterized protein,14.1664,13.6575,14.7004,14.2198,13.6756,13.3228,13.189,13.3403,1.83482,0.00170686,0.804116,3.39264,+
ttr-42,2.66394,3.2457,A2V8C3,TransThyretin-Related family domain,17.8589,18.5957,19.0153,19.1432,15.3834,16.6743,16.1653,15.7346,3.2457,0,2.66394,6.6295,+
"CELE_H29C22,1",3.4698,5.83011,A2V8C8,Uncharacterized protein,19.7232,19.0382,19.4349,19.5799,16.0658,16.055,16.1323,15.6438,5.83011,0,3.4698,18.7654,+
"CELE_F07G6,10",0.404679,0.219068,A3FPJ3,Uncharacterized protein,14.0299,13.6734,14.1505,14.6029,12.2307,15.4786,14.18,12.9487,0.219068,0.301224,0.404679,0.547399,
ttr-34,-1.17184,2.33842,A3FPK9,TransThyretin-Related family domain,14.142,14.4011,14.2462,14.9528,15.2377,15.9983,15.8902,15.3033,2.33842,0.000422254,-1.17184,-4.39611,+
"CELE_Y49E10,29",4.56078,7.69809,A3FPL3,Uncharacterized protein,14.3041,14.38,14.4774,14.8269,9.88784,9.90324,9.96685,9.98732,7.69809,0,4.56078,38.649,+
