geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04, -Log.p.value,Student's T-test q-value daf2_d5_eat2_d5,log2FC,Student's T-test Test statistic daf2_d5_eat2_d5,Sign p-val: 0.05 
spp-18,1.62804,2.39227,A0A061AKY5;Q19837,SaPosin-like Protein family,18.1612,19.2322,18.6168,17.7392,16.4987,16.7147,17.2833,16.7405,2.39227,0.00124465,1.62804,4.51183,+
lin-66,2.23034,4.44974,A0A061AL58;O62020,Uncharacterized protein,13.9607,13.9884,14.4919,13.7276,11.9923,11.9933,11.806,11.4557,4.44974,0.000108844,2.23034,10.8925,+
"CELE_F09E10,7",1.19357,1.10804,A0A078BPG0,Uncharacterized protein,15.7667,14.3877,14.8697,13.2229,13.584,13.4527,12.8148,13.6212,1.10804,0.0263993,1.19357,2.12285,+
"CELE_F10C1,9",-0.0757961,0.172392,A0A078BPH9;G4S1A4,Uncharacterized protein,12.8939,13.335,13.0136,12.5557,13.1674,12.9395,13.0649,12.9296,0.172392,0.456535,-0.0757961,-0.444347,
itx-1,0.0840299,0.157119,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.4011,15.9398,15.4638,14.944,15.392,15.4007,15.3164,15.3035,0.157119,0.483253,0.0840299,0.409436,
"CELE_Y41E3,7",-0.706547,1.65218,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,13.6666,14.2938,14.4558,14.5345,14.8861,15.2158,14.6431,15.0318,1.65218,0.00576028,-0.706547,-3.05824,+
"CELE_Y105C5B,15",0.613875,1.71356,A0A078BQP7;Q9U309,Purple acid phosphatase,15.3516,15.3146,15.5079,14.7261,14.4415,14.4753,14.7231,14.8048,1.71356,0.00466478,0.613875,3.16916,+
lim-9,1.37249,2.07133,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,15.5677,15.4778,15.6519,15.6344,13.5294,15.0585,14.5216,13.7324,2.07133,0.00209109,1.37249,3.84743,+
"CELE_Y105E8A,25",0.751376,1.02905,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,15.2256,15.7982,14.7094,14.1762,13.9565,14.6444,14.1362,14.1668,1.02905,0.0328182,0.751376,1.99144,+
pgp-2,0.28641,0.638437,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.1878,15.1079,14.3195,15.1138,14.7406,14.5345,14.7663,14.542,0.638437,0.100672,0.28641,1.33624,
lpd-3,-2.67275,1.47942,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,15.7376,15.4629,15.8295,17.9221,19.8249,18.7062,20.3346,16.7774,1.47942,0.00906737,-2.67275,-2.75305,+
tln-1,0.0558498,0.0445636,A0A0K3AQU9,TaLiN,14.0896,14.3584,15.1304,15.6357,15.2793,14.4381,15.0734,14.2001,0.0445636,0.806048,0.0558498,0.127807,
max-2,0.985906,1.42497,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.939,15.944,15.3661,15.3956,15.0382,14.7899,13.6586,14.2145,1.42497,0.0104181,0.985906,2.65875,+
egl-27,-1.3062,2.88307,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,13.0035,12.9126,12.9519,12.2116,14.4324,13.7939,13.9669,14.1113,2.88307,0.000411215,-1.3062,-5.65833,+
cdc-14,1.07072,3.19747,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,13.1162,13.1696,12.9349,12.4668,11.9383,11.9019,11.7932,11.7711,3.19747,0.000245687,1.07072,6.49342,+
daf-16,1.32683,2.10808,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,15.5029,16.118,14.7924,15.0596,14.4295,14.2156,13.8791,13.6415,2.10808,0.00195014,1.32683,3.92058,+
"CELE_T16H12,3;T16H12,3",-2.20253,3.54501,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.8176,13.243,13.0141,12.2105,15.5488,15.0549,14.68,14.8117,3.54501,0.000156997,-2.20253,-7.52598,+
lev-11,2.7409,5.50049,A0A0K3ARC0,Uncharacterized protein,18.1945,18.2566,17.6161,18.0451,15.4347,15.3798,15.0622,15.2719,5.50049,0,2.7409,16.5002,+
gld-2,-0.890002,1.34429,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,13.108,13.3404,12.8983,13.0307,13.6346,14.8193,13.2643,14.2192,1.34429,0.0128396,-0.890002,-2.52045,+
ncl-1,-0.375263,0.688678,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,13.1233,13.2828,12.9295,12.354,13.1435,13.1674,13.0787,13.801,0.688678,0.086814,-0.375263,-1.42225,
"CELE_D1069,3",0.807655,0.97895,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.8579,14.5717,13.6722,13.2409,12.2505,12.6677,13.2142,12.9798,0.97895,0.0381919,0.807655,1.90822,+
lin-23,-1.5455,3.5704,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,12.9811,13.007,12.8844,12.5119,14.6408,14.4002,14.6111,13.9143,3.5704,0.000159722,-1.5455,-7.6064,+
"CELE_Y50D4B,1",1.02708,4.21432,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.6791,13.1274,12.9582,13.0105,12.0247,11.927,11.8877,11.8275,4.21432,0.000161335,1.02708,9.90812,+
"CELE_Y39A1A,21",1.00596,3.88548,A0A0K3ARX5;Q9XX11,Uncharacterized protein,12.6679,13.1328,12.9236,12.858,11.9399,12.0333,11.7241,11.8611,3.88548,0.000123404,1.00596,8.66656,+
dre-1,-2.98069,3.89787,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",15.9558,16.6216,16.771,16.8865,20.2126,19.6131,18.8943,19.4377,3.89787,0.00012527,-2.98069,-8.71074,+
gck-1,0.688575,1.14318,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.3471,15.7522,14.8482,15.0752,14.3773,14.2831,14.0127,14.5954,1.14318,0.0232913,0.688575,2.18147,+
gly-7,-1.10307,0.563052,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,12.8568,12.9011,13.0341,12.6887,11.2755,15.1297,15.0505,14.4373,0.563052,0.125797,-1.10307,-1.20521,
"CELE_F40A3,3;F40A3,3",0.913565,4.94505,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",19.229,19.3653,19.1852,19.3404,18.3487,18.515,18.2594,18.3426,4.94505,0.000161209,0.913565,13.2643,+
"CELE_Y50D4B,4",-0.518667,1.45207,A0A0K3ASH9,Uncharacterized protein,14.882,14.4573,15.2848,15.1476,15.3412,15.5574,15.5704,15.3773,1.45207,0.00975377,-0.518667,-2.70558,+
cdf-1,1.04687,3.44185,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,13.0061,13.2643,13.0052,12.683,12.0563,11.899,12.0896,11.7262,3.44185,0.000188348,1.04687,7.2065,+
unc-34,2.89349,4.96438,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,14.2026,15.0414,14.4932,15.0047,11.9426,11.8636,11.7552,11.6065,4.96438,0.000163683,2.89349,13.366,+
tbh-1,0.961123,3.93366,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.6662,17.8817,17.5238,17.9933,16.7275,16.8248,16.8399,16.8284,3.93366,0.000128177,0.961123,8.83943,+
lev-11,0.825983,2.25358,A0A0K3ATS1,Uncharacterized protein,23.0006,22.2853,22.7563,22.5511,21.4624,21.8729,21.9365,22.0176,2.25358,0.00151465,0.825983,4.21741,+
imp-3,-1.13833,0.688432,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,12.7313,12.1635,11.3552,15.0767,13.9553,13.9725,13.8905,14.0618,0.688432,0.0868823,-1.13833,-1.42183,
prdx-2,0.674882,2.77379,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,22.1747,22.6427,22.6826,22.4196,21.8293,21.9154,21.7058,21.7695,2.77379,0.000540243,0.674882,5.38761,+
jhdm-1,1.55933,4.59716,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,15.7781,15.9676,15.4427,15.4694,14.1711,14.1869,13.9833,14.0792,4.59716,0.000122137,1.55933,11.5536,+
mrck-1,0.508709,0.526797,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.7559,13.37,12.706,12.8845,11.8907,12.17,11.9556,13.6651,0.526797,0.14026,0.508709,1.14113,
nhr-86,1.12882,2.89981,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,12.6024,13.4257,12.7296,13.0602,11.994,11.7847,11.651,11.8729,2.89981,0.000339623,1.12882,5.70066,+
aat-3,-0.677171,0.797278,A0A0K3AVL7;O17395,Amino Acid Transporter,12.2343,13.2752,13.096,11.5196,13.2901,13.4854,12.9914,13.0669,0.797278,0.0638521,-0.677171,-1.60559,
"CELE_M02H5,8",0.760575,3.09748,A0A0K3AVS5,Uncharacterized protein,20.5728,20.4468,20.1832,20.0518,19.4784,19.5861,19.6017,19.5462,3.09748,0.000259909,0.760575,6.21833,+
"CELE_T08B1,1",0.574837,0.563004,A0A0K3AVV4,Uncharacterized protein,13.9687,15.669,13.6532,15.0808,14.2144,13.8772,13.9616,14.0191,0.563004,0.125781,0.574837,1.20513,
lipl-5,-0.488224,1.96943,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,12.9409,13.3299,13.0737,12.895,13.6179,13.7515,13.3196,13.5035,1.96943,0.00247892,-0.488224,-3.64821,+
fln-2,0.792615,5.04974,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,17.1875,17.0114,17.0332,17.0301,16.3692,16.3087,16.2015,16.2124,5.04974,0.000176796,0.792615,13.8239,+
"C14C6,5",0.427247,1.05974,A0A0K3AXM4;O44667,Uncharacterized protein,17.6022,17.9422,16.9657,17.3221,17.0053,17.1095,16.9841,17.0243,1.05974,0.0303963,0.427247,2.04244,+
"CELE_T08B1,1",0.919004,2.40895,A0A0K3AY44,Uncharacterized protein,12.9457,13.4114,12.5344,12.7363,11.842,12.1194,12.1122,11.8781,2.40895,0.00123452,0.919004,4.54806,+
zig-11,0.895017,4.22503,A0A0K3AY85,2 (Zwei) IG domain protein,14.6646,14.9156,14.6061,14.6926,13.6489,13.9017,13.8618,13.8864,4.22503,0.000163842,0.895017,9.95107,+
ilys-5,-0.486093,1.21818,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,15.4203,16.3956,15.6699,15.9709,16.3945,16.3511,16.3527,16.3028,1.21818,0.0187455,-0.486093,-2.3071,+
irg-3,1.86687,5.34035,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,17.9414,18.0534,17.6153,17.6493,16.071,16.0031,15.8602,15.8577,5.34035,0,1.86687,15.4972,+
tns-1,1.18068,2.00093,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,16.0681,16.9153,15.4012,16.2823,15.1657,14.8884,14.9202,14.9698,2.00093,0.00225629,1.18068,3.70923,+
ubr-4,-0.957948,0.287829,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.211,14.9714,13.4002,12.3817,13.7513,13.275,18.4954,13.2745,0.287829,0.301212,-0.957948,-0.690939,
ccar-1,1.28557,3.35995,A0A0S4XR43,CCAR1 homolog,15.9062,15.9134,15.2593,16.0242,14.6417,14.5149,14.456,14.3481,3.35995,0.000180015,1.28557,6.96084,+
ulp-2,0.945254,1.27231,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,15.0984,14.8328,13.81,13.8557,13.9047,13.6471,12.912,13.352,1.27231,0.0157561,0.945254,2.3983,+
"CELE_T23F4,2",2.19437,3.36773,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,15.9524,16.4898,15.5611,16.1083,14.3993,13.9547,13.198,13.7822,3.36773,0.000180704,2.19437,6.98386,+
sago-1,0.21533,0.341885,A0A0T7CIX3,Piwi-like protein,14.3915,14.6744,13.799,13.6058,14.1281,13.7752,14.015,13.6909,0.341885,0.251662,0.21533,0.798327,
sago-2,-3.03036,6.52663,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,13.0358,12.9485,12.6741,13.0336,15.757,16.1672,15.8732,16.0161,6.52663,0,-3.03036,-24.5912,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-2.52468,0.321282,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",12.7838,16.1689,14.468,1.44776,13.6991,13.832,13.4278,14.0084,0.321282,0.268771,-2.52468,-0.757888,
daf-4,2.03299,4.99358,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,15.6361,15.9767,15.8681,16.2957,14.0073,13.9238,13.733,13.9805,4.99358,0.000170213,2.03299,13.521,+
hpo-3,1.13939,4.14043,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,13.0529,13.1946,12.7602,12.9604,12.0557,11.692,11.8544,11.8086,4.14043,0.000152632,1.13939,9.61613,+
acs-22,-0.44002,0.462537,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,14.1682,14.5332,15.989,15.5692,15.5221,15.5952,15.4355,15.4668,0.462537,0.169932,-0.44002,-1.02542,
tag-10,0.31454,0.280324,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,16.2946,16.1949,14.3355,15.2078,15.3715,15.1153,15.1104,15.1775,0.280324,0.309145,0.31454,0.67568,
imb-2,-0.0833952,0.182691,A0A131MBF9;O62332,IMportin Beta family,14.6148,14.4241,13.9407,14.3202,14.56,14.623,14.18,14.2704,0.182691,0.438775,-0.0833952,-0.46754,
brf-1,1.04356,3.15978,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.7888,13.4321,12.8594,12.8237,12.0288,12.0353,11.8507,11.8149,3.15978,0.000240703,1.04356,6.38865,+
"CELE_W09B6,4",5.27612,4.92061,A0A131MBG4;H2L0M1,Uncharacterized protein,18.1146,18.5456,18.1833,19.4207,13.9942,12.6971,13.2133,13.2552,4.92061,0.000158025,5.27612,13.1368,+
irg-7,0.0820699,0.705898,A0A131MBU3,Protein irg-7,19.0268,19.1906,18.9814,19.0776,19.0294,19.0553,18.9044,18.959,0.705898,0.0825637,0.0820699,1.45152,
"CELE_F27B10,1",-0.328338,0.543113,A0A131MCJ0,Uncharacterized protein,13.1074,13.1898,12.1236,12.7781,13.448,13.2788,12.8441,12.9414,0.543113,0.133605,-0.328338,-1.17007,
"CELE_T22F3,3",-1.26818,2.81231,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",12.8923,13.4142,12.751,13.0582,14.4729,13.7536,14.4411,14.5207,2.81231,0.000519597,-1.26818,-5.48195,+
die-1,3.58665,5.21126,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,16.3004,16.0633,16.51,16.9333,12.576,13.2845,12.6689,12.931,5.21126,0,3.58665,14.7314,+
dhs-11,0.339592,0.667179,A0A163UT65,"DeHydrogenases, Short chain",15.0893,15.8438,14.7803,15.2094,15.1269,14.7252,14.7219,14.9904,0.667179,0.0925995,0.339592,1.38556,
tbc-14,0.70871,0.89239,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.8553,16.014,15.4592,16.612,15.3428,15.0569,14.6554,15.0507,0.89239,0.048605,0.70871,1.76437,+
cyp-34a6,-1.23505,2.76491,A0A164D3C9;O44656,CYtochrome P450 family,12.3641,13.2767,13.0265,12.8207,14.0835,13.9058,14.4655,13.9734,2.76491,0.000580822,-1.23505,-5.36604,+
fipp-1,2.81146,5.36471,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,16.0472,16.4329,16.3972,16.8514,13.4667,13.6388,13.8091,13.5684,5.36471,0,2.81146,15.6459,+
unc-132,-2.03187,1.56146,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,10.2837,13.3735,13.0603,12.2659,14.4148,14.4258,14.2715,13.9988,1.56146,0.00716317,-2.03187,-2.89678,+
cdh-4,0.0337155,0.0856014,A0A1C3NSI5;Q19319,Cadherin-4,13.025,13.3835,13.0428,13.0373,13.3504,13.1353,13.0658,12.8024,0.0856014,0.661172,0.0337155,0.236239,
ajm-1,1.1396,5.67741,A0A1C3NSL1,Apical Junction Molecule,13.1122,13.1061,12.9004,13.0015,11.8713,12.009,11.8276,11.8538,5.67741,0,1.1396,17.681,+
"CELE_ZC412,3",2.19242,4.32646,A0A1C3NSL5,Uncharacterized protein,19.7955,20.1051,19.1745,19.4218,17.3815,17.4424,17.573,17.3302,4.32646,0.000177642,2.19242,10.3664,+
farl-11,0.101767,0.338169,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,13.1377,12.9324,13.0251,12.9084,12.854,13.1664,12.6039,12.9723,0.338169,0.254342,0.101767,0.791077,
let-711,-0.079983,0.149667,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,14.9965,15.2469,14.8239,14.323,15.0757,14.9147,14.7872,14.9327,0.149667,0.498387,-0.079983,-0.392163,
"C40H1,7",-0.774233,0.452932,A0A1I6CM73,Uncharacterized protein,13.1229,12.7546,14.8726,15.9999,14.8673,14.7142,15.055,15.2103,0.452932,0.174806,-0.774233,-1.00785,
spat-2,1.1207,3.62149,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.9484,16.3552,16.2828,16.632,15.2126,15.1118,15.1529,15.2583,3.62149,0.000164433,1.1207,7.77041,+
aakg-1,-0.731058,0.978119,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,12.8972,13.1733,14.5788,13.7361,14.5098,14.3517,14.0566,14.3917,0.978119,0.0381912,-0.731058,-1.90684,+
grl-23,1.10632,2.48905,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),13.0913,13.3827,12.7234,12.4017,11.9143,11.9663,11.7497,11.5434,2.48905,0.000873966,1.10632,4.72447,+
spat-2,1.90175,2.65569,A0A1I6CM95,Suppressor of PAr-Two defect,14.8033,16.0039,14.9417,15.5504,12.9068,14.0977,13.3469,13.3409,2.65569,0.000696559,1.90175,5.10543,+
"CELE_Y55F3BR,6",1.04874,4.24001,A0A1I6CMC9,Uncharacterized protein,12.9897,13.0292,12.6868,13.0329,12.0709,11.8597,11.8302,11.7828,4.24001,0.000165714,1.04874,10.0114,+
vab-10,0.764102,1.95801,A0A1N7SYP3,Uncharacterized protein,20.0954,20.2813,19.4332,19.8193,19.2772,19.2947,18.8533,19.1476,1.95801,0.00253093,0.764102,3.6262,+
"eif-3,l;eif-3,L",-0.854018,2.18169,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,17.5801,17.3923,18.2137,18.0103,18.8992,18.485,18.6725,18.5558,2.18169,0.00173626,-0.854018,-4.06927,+
"npp-25;npp-25;npp-25;Y37D8A,17",-0.153973,0.119303,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,15.8287,15.5854,17.4472,17.0293,16.1403,16.7812,16.8121,16.7729,0.119303,0.567002,-0.153973,-0.320032,
cnt-1,1.44216,1.43523,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,12.688,13.1241,13.015,12.4,12.1153,11.9476,9.87085,11.5245,1.43523,0.0101274,1.44216,2.67647,+
"C26G2,2",-1.16933,1.91149,A0A1N7SYU2,Uncharacterized protein,11.8541,13.0257,13.0141,12.9573,14.1511,14.121,13.4449,13.8114,1.91149,0.00295731,-1.16933,-3.53719,+
"CELE_F43B10,1",1.90612,3.12833,A0A1N7SYW5,Uncharacterized protein,14.524,15.5469,15.5152,14.7828,13.6242,13.0234,13.1848,12.9121,3.12833,0.000266134,1.90612,6.30221,+
ubc-15,-0.421263,2.1504,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,12.7512,13.0022,12.845,12.9454,13.1848,13.219,13.572,13.253,2.1504,0.00180183,-0.421263,-4.0057,+
"CELE_Y55F3BR,10",4.83782,5.37397,A0A9S0,Uncharacterized protein,17.4587,18.1853,17.1625,18.2611,12.8284,13.0734,12.57,13.2446,5.37397,0,4.83782,15.7028,+
"CELE_Y38F2AR,12",0.699192,1.19609,A0A9S2,Uncharacterized protein,14.8264,15.6474,14.3326,14.5878,13.8951,14.335,14.0047,14.3626,1.19609,0.0198224,0.699192,2.27002,+
ttr-42,0.92899,1.99122,A2V8C3,TransThyretin-Related family domain,18.114,18.0754,18.7389,19.0724,17.5578,17.4002,17.6601,17.6665,1.99122,0.00235211,0.92899,3.69038,+
"CELE_H29C22,1",1.55117,2.92081,A2V8C8,Uncharacterized protein,18.7345,18.6543,19.4117,19.5639,17.2318,17.8005,17.7423,17.385,2.92081,0.000342653,1.55117,5.75405,+
