geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04, -Log.p.value,Student's T-test q-value N2_d15_N2_d10,log2FC,Student's T-test Test statistic N2_d15_N2_d10,Sign p-val: 0.05 
pps-1,-1.90097,3.05586,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,15.271,14.9418,15.2142,15.653,16.9277,16.9882,16.7831,17.9848,3.05586,5.98E-05,-1.90097,-6.10648,+
cka-1,-2.1124,1.69953,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,13.0951,14.5308,14.0703,13.9988,14.8416,15.4305,16.2572,17.6152,1.69953,0.00426775,-2.1124,-3.14369,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-1.09365,2.20843,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",13.3137,12.9601,13.441,14.0119,14.2815,14.3868,14.4725,14.9605,2.20843,0.00120764,-1.09365,-4.12402,+
spp-18,2.79274,3.65893,A0A061AKY5;Q19837,SaPosin-like Protein family,16.8055,17.5007,17.378,16.5791,14.277,14.1225,13.6839,15.0089,3.65893,0,2.79274,7.89245,+
lin-66,-2.04208,5.1199,A0A061AL58;O62020,Uncharacterized protein,12.317,12.1892,12.2635,12.7647,14.25,14.441,14.4749,14.5368,5.1199,0,-2.04208,-14.2114,+
"CELE_F09E10,7",-0.422928,0.280423,A0A078BPG0,Uncharacterized protein,15.7195,13.3313,13.1655,13.5176,14.2173,14.1746,14.1429,14.8907,0.280423,0.291114,-0.422928,-0.675883,
"CELE_F10C1,9",-1.97844,2.68411,A0A078BPH9;G4S1A4,Uncharacterized protein,13.0658,12.3597,12.7821,11.6115,14.1701,14.1251,14.3814,15.0562,2.68411,0.000347444,-1.97844,-5.17237,+
itx-1,-1.00506,3.05074,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.3792,15.1967,15.3792,15.2648,16.1639,16.1252,16.1658,16.7853,3.05074,5.95E-05,-1.00506,-6.09285,+
"CELE_Y41E3,7",-0.367492,0.377025,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.6143,15.5077,15.5166,14.3394,14.6389,15.5725,16.038,15.1986,0.377025,0.200736,-0.367492,-0.866061,
"CELE_Y105C5B,15",0.220728,0.362809,A0A078BQP7;Q9U309,Purple acid phosphatase,14.2368,14.7536,14.3432,14.4718,14.3666,14.1884,13.6107,14.7568,0.362809,0.211672,0.220728,0.838839,
lim-9,-0.0283499,0.034276,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.2082,15.1166,14.3389,14.132,14.3061,14.3051,14.3001,14.9978,0.034276,0.862279,-0.0283499,-0.0993316,
"CELE_Y105E8A,25",-0.0836012,0.0984842,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,14.9721,14.2083,13.9657,14.553,14.281,14.4162,14.1802,15.156,0.0984842,0.643378,-0.0836012,-0.268775,
pgp-2,-0.37537,0.555449,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.439,14.9654,15.155,15.4384,15.5056,14.8773,15.8577,16.2587,0.555449,0.109403,-0.37537,-1.19184,
lpd-3,1.54307,1.70959,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,17.1681,14.8397,15.6861,15.9769,14.5079,14.1863,14.3007,14.5037,1.70959,0.0041432,1.54307,3.16194,+
tln-1,-0.426112,0.453384,A0A0K3AQU9,TaLiN,14.5501,14.8535,14.223,15.8737,14.7834,15.8676,15.3835,15.1703,0.453384,0.15293,-0.426112,-1.00868,
max-2,-3.01381,2.79559,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,15.6531,14.5138,13.9053,16.096,18.3792,17.8231,17.5291,18.4921,2.79559,0.000371765,-3.01381,-5.44087,+
egl-27,0.0216284,0.00971781,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.2126,14.6101,16.28,12.7153,14.397,14.1208,14.3659,14.8478,0.00971781,0.959693,0.0216284,0.0289121,
cdc-14,-2.31906,3.14016,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,11.742,11.9868,11.8271,12.8061,14.0134,13.9992,14.4636,15.1621,3.14016,6.41E-05,-2.31906,-6.33462,+
daf-16,-1.97883,4.16298,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,12.5541,12.0724,12.2682,12.7554,14.1039,14.3826,14.3178,14.7611,4.16298,0,-1.97883,-9.70444,+
"CELE_T16H12,3;T16H12,3",-1.86767,3.65624,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.5835,12.0612,12.1027,12.7229,14.2774,14.3938,13.7544,14.5154,3.65624,0,-1.86767,-7.88365,+
lev-11,-1.63792,2.29218,A0A0K3ARC0,Uncharacterized protein,16.2472,15.6724,15.509,16.4352,17.5835,17.5333,16.8948,18.4039,2.29218,0.000982736,-1.63792,-4.29818,+
gld-2,-2.64618,2.32723,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,12.5522,11.2392,10.3677,12.7843,14.3488,14.3527,13.9096,14.9169,2.32723,0.000893309,-2.64618,-4.37229,+
ncl-1,-2.06222,3.61447,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,12.542,12.1807,12.316,12.7383,14.4803,13.9704,14.4543,15.1209,3.61447,0,-2.06222,-7.74768,+
"CELE_D1069,3",-1.15826,0.61993,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.3731,12.0944,12.3316,12.5939,14.4058,11.0788,13.4142,15.1272,0.61993,0.0901597,-1.15826,-1.30432,
lin-23,1.37152,1.81821,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,15.6396,15.0569,16.4845,15.7004,14.4909,14.3822,13.5793,14.943,1.81821,0.00315745,1.37152,3.36167,+
"CELE_Y50D4B,1",-2.13799,4.27801,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.4011,12.1045,12.01,12.4652,14.4588,14.3447,13.9316,14.7977,4.27801,0,-2.13799,-10.1661,+
"CELE_Y39A1A,21",-2.02114,3.25952,A0A0K3ARX5;Q9XX11,Uncharacterized protein,12.3942,12.0197,12.2596,12.778,14.5117,14.1148,13.8624,15.0471,3.25952,4.34E-05,-2.02114,-6.6689,+
dre-1,-1.75451,0.786071,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",15.5708,18.1573,16.945,16.5466,18.8041,18.8026,15.9709,20.6601,0.786071,0.0548155,-1.75451,-1.5868,
gck-1,-0.476192,0.196403,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.0399,14.6068,16.002,15.6756,15.7454,13.3462,16.5441,17.5934,0.196403,0.413511,-0.476192,-0.498005,
gly-7,-3.77685,2.9196,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.0861,12.734,14.7532,15.4581,17.6391,17.7547,17.8132,17.9318,2.9196,0.000149004,-3.77685,-5.75098,+
"CELE_F40A3,3;F40A3,3",-2.53063,3.59394,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",17.5826,18.1105,18.1486,17.3012,19.9898,20.3698,19.8862,21.0196,3.59394,0,-2.53063,-7.68159,+
"CELE_Y50D4B,4",1.2892,1.72563,A0A0K3ASH9,Uncharacterized protein,14.7283,14.6614,15.269,15.3,12.8793,13.7637,13.5127,14.6463,1.72563,0.00393278,1.2892,3.19114,+
cdf-1,-2.56468,4.53158,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,12.5581,12.1584,12.2233,12.5177,15.0753,14.3218,15.2003,15.1188,4.53158,0,-2.56468,-11.2551,+
unc-34,-3.15432,2.84903,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,15.5482,16.6145,16.3491,14.1947,18.6095,19.2727,18.5954,18.8462,2.84903,0.000263415,-3.15432,-5.57299,+
tbh-1,-0.96434,0.99205,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.2381,16.7317,16.769,17.7514,17.546,17.7325,17.6712,19.3978,0.99205,0.0302228,-0.96434,-1.92998,+
lev-11,-2.48685,5.78325,A0A0K3ATS1,Uncharacterized protein,21.3013,21.6226,21.6428,21.2067,23.9041,24.1488,23.792,23.8759,5.78325,0,-2.48685,-18.4259,+
imp-3,-2.31753,2.28808,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,13.22,13.9208,12.4619,13.1327,14.2619,16.3201,15.9757,15.4478,2.28808,0.000979268,-2.31753,-4.28957,+
prdx-2,-0.6351,1.93781,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.1967,21.7105,21.6292,21.7899,22.1243,21.961,22.5156,22.2658,1.93781,0.00243178,-0.6351,-3.58743,+
jhdm-1,-0.0829129,0.123769,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,13.8697,14.0829,13.6371,14.7129,14.17,14.0463,13.9909,14.4271,0.123769,0.572206,-0.0829129,-0.330828,
mrck-1,-2.15494,3.08579,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.4491,13.8097,13.2853,12.9935,14.9463,15.0883,15.8627,15.26,3.08579,6.13E-05,-2.15494,-6.18676,+
nhr-86,-2.01626,3.94928,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,12.3474,11.9073,12.338,12.6526,14.3783,14.425,13.8587,14.6482,3.94928,0,-2.01626,-8.8961,+
aat-3,-0.196923,0.21702,A0A0K3AVL7;O17395,Amino Acid Transporter,13.7955,13.7154,14.1138,14.5997,14.4877,13.4276,14.8521,14.2447,0.21702,0.378858,-0.196923,-0.542981,
"CELE_M02H5,8",-1.33667,3.22263,A0A0K3AVS5,Uncharacterized protein,16.7706,16.4557,16.8819,16.6453,18.3782,17.6726,17.7523,18.2971,3.22263,6.79E-05,-1.33667,-6.56413,+
"CELE_T08B1,1",-2.06409,3.80614,A0A0K3AVV4,Uncharacterized protein,15.2299,15.0815,15.4726,15.3896,17.1682,17.1618,18.0439,17.056,3.80614,0,-2.06409,-8.38836,+
lipl-5,-5.51106,4.24213,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,12.5115,12.7463,12.3242,11.6584,17.4404,17.3251,17.2111,19.3081,4.24213,0,-5.51106,-10.02,+
fln-2,-2.02294,5.6354,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.5033,16.4151,16.1892,16.3794,18.5361,18.3068,18.1672,18.5688,5.6354,0,-2.02294,-17.3934,+
"C14C6,5",-0.2022,0.212817,A0A0K3AXM4;O44667,Uncharacterized protein,17.5557,17.1518,17.0527,17.9023,18.169,16.7952,18.1042,17.4029,0.212817,0.385427,-0.2022,-0.533891,
"CELE_T08B1,1",-3.17135,1.33291,A0A0K3AY44,Uncharacterized protein,12.2605,7.56696,12.2317,12.6748,14.5177,13.3085,14.4646,15.1285,1.33291,0.0117436,-3.17135,-2.50107,+
zig-11,-0.832573,2.27753,A0A0K3AY85,2 (Zwei) IG domain protein,16.2769,15.7868,16.4307,16.2501,16.8464,16.7332,17.3151,17.1802,2.27753,0.000973257,-0.832573,-4.26742,+
ilys-5,-1.9011,2.60693,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,15.3527,14.6582,14.8408,16.0504,16.6843,17.1937,16.9247,17.7038,2.60693,0.000484334,-1.9011,-4.99193,+
irg-3,0.116435,0.100006,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.2616,16.172,15.862,16.0581,16.6299,15.221,16.7599,15.2772,0.100006,0.638967,0.116435,0.272576,
tns-1,-2.36636,2.9392,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.7967,15.0843,14.5449,14.6423,17.6292,16.934,16.8778,18.0926,2.9392,0.000152031,-2.36636,-5.80114,+
ubr-4,-0.437169,0.367416,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.6862,14.2663,14.7037,13.9764,14.8,15.1381,13.5592,15.8839,0.367416,0.207858,-0.437169,-0.847686,
ccar-1,-0.576075,0.716337,A0A0S4XR43,CCAR1 homolog,15.6838,15.4989,15.6726,16.6174,16.2876,16.5611,15.7444,17.1838,0.716337,0.0674817,-0.576075,-1.46923,
ulp-2,0.115881,0.107861,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.3568,14.8961,13.7463,15.2134,14.516,14.2873,13.9184,15.0274,0.107861,0.616539,0.115881,0.292055,
"CELE_T23F4,2",-3.01469,2.79823,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,13.7214,11.8686,13.9238,14.055,16.228,15.9278,16.5846,16.8872,2.79823,0.000372422,-3.01469,-5.44733,+
sago-1,-1.64333,2.78419,A0A0T7CIX3,Piwi-like protein,14.6002,14.504,13.5997,14.9181,15.9689,15.7802,16.2823,16.1639,2.78419,0.000368084,-1.64333,-5.41297,+
sago-2,0.759434,0.475563,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,13.6746,16.7754,14.7026,15.4382,14.4562,14.4209,13.5713,15.1045,0.475563,0.142074,0.759434,1.04912,
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",0.184621,0.194531,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",15.4848,13.7097,14.7137,14.3998,14.3337,14.3133,14.3359,14.5867,0.194531,0.416566,0.184621,0.493872,
daf-4,-1.91569,1.93992,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.2304,15.7894,15.0189,14.8508,16.1254,17.9632,17.1751,16.2886,1.93992,0.00237148,-1.91569,-3.59147,+
hpo-3,-1.35624,2.61781,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,12.5497,12.0427,12.3137,12.7951,14.1363,13.1518,13.8659,13.9722,2.61781,0.000467449,-1.35624,-5.01712,+
acs-22,-0.247062,0.262742,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,13.7891,14.413,14.9177,13.6723,14.3847,14.3445,13.9106,15.1405,0.262742,0.312705,-0.247062,-0.639568,
tag-10,-0.913183,2.48069,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.9353,15.9125,15.6252,16.0664,16.7774,16.7127,16.4418,17.2602,2.48069,0.000539105,-0.913183,-4.70585,+
imb-2,-1.50632,2.25417,A0A131MBF9;O62332,IMportin Beta family,14.6552,13.9765,15.2055,14.7292,16.5141,15.4188,16.4522,16.2065,2.25417,0.000963542,-1.50632,-4.21864,+
brf-1,-1.40498,1.65813,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.9838,12.6423,11.8547,11.9026,13.5358,13.4215,13.2232,14.8229,1.65813,0.00477618,-1.40498,-3.06893,+
"CELE_W09B6,4",-2.04461,1.53942,A0A131MBG4;H2L0M1,Uncharacterized protein,12.5637,13.6647,13.638,15.4934,14.8901,15.7108,16.5247,16.4126,1.53942,0.00677717,-2.04461,-2.85795,+
irg-7,-0.471431,0.856903,A0A131MBU3,Protein irg-7,19.3032,18.6666,18.8452,19.1423,19.3271,19.0947,19.2671,20.1542,0.856903,0.0445297,-0.471431,-1.70526,+
"CELE_F27B10,1",-2.06887,3.40042,A0A131MCJ0,Uncharacterized protein,12.5327,12.146,11.8592,12.3906,14.3632,13.6236,14.3735,14.8436,3.40042,0,-2.06887,-7.08134,+
"CELE_T22F3,3",-1.97046,4.49057,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",12.4841,12.438,12.2738,12.7496,14.4646,14.27,14.2207,14.8722,4.49057,0,-1.97046,-11.072,+
die-1,-1.97376,4.13365,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,12.5758,12.0228,12.2221,12.657,14.4552,14.3986,13.9343,14.5848,4.13365,0,-1.97376,-9.58974,+
dhs-11,0.242714,0.394004,A0A163UT65,"DeHydrogenases, Short chain",14.7328,14.5548,14.5467,15.3431,14.5057,14.1558,14.4594,15.0856,0.394004,0.188571,0.242714,0.898279,
tbc-14,-1.17848,2.58227,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.9593,15.0688,14.8847,14.875,16.0316,16.81,15.7661,15.8938,2.58227,0.000477737,-1.17848,-4.93517,+
cyp-34a6,-0.776714,0.585422,A0A164D3C9;O44656,CYtochrome P450 family,13.0764,11.5576,14.0873,14.0232,13.8158,13.5077,14.4739,14.054,0.585422,0.0998979,-0.776714,-1.24438,
fipp-1,-1.1293,2.19703,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,14.9299,14.6095,14.5956,14.2408,15.9003,15.0766,15.7207,16.1953,2.19703,0.00121299,-1.1293,-4.10064,+
unc-132,-2.11303,4.37096,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,15.1687,14.3471,14.4985,14.8781,16.7321,16.7146,16.8607,17.0371,4.37096,0,-2.11303,-10.5536,+
cdh-4,-0.698162,0.736266,A0A1C3NSI5;Q19319,Cadherin-4,14.5779,13.0921,12.9828,14.2392,14.3364,14.0395,14.216,15.0928,0.736266,0.0637542,-0.698162,-1.50295,
ajm-1,-2.04669,3.47266,A0A1C3NSL1,Apical Junction Molecule,12.0427,12.1788,12.2816,12.5187,14.1897,13.9917,13.9553,15.072,3.47266,0,-2.04669,-7.3007,+
"CELE_ZC412,3",-1.45749,3.35705,A0A1C3NSL5,Uncharacterized protein,18.1896,17.836,18.1577,18.1301,19.361,19.3437,19.3241,20.1146,3.35705,0,-1.45749,-6.95227,+
farl-11,-2.0734,4.4169,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,12.5083,12.0778,12.1917,12.7921,14.325,14.3164,14.4535,14.7686,4.4169,0,-2.0734,-10.7501,+
let-711,-0.726805,0.650766,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,15.8793,15.3042,15.3884,16.0928,16.6155,15.1614,16.2159,17.5791,0.650766,0.0822317,-0.726805,-1.35743,
"C40H1,7",0.00263977,0.00237585,A0A1I6CM73,Uncharacterized protein,14.075,14.7573,13.61,15.2156,14.4782,14.1286,14.43,14.6104,0.00237585,0.990226,0.00263977,0.00712732,
spat-2,-2.49055,2.36885,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,14.5529,14.9108,15.0863,12.9694,16.2014,16.6957,17.0625,17.522,2.36885,0.000743281,-2.49055,-4.46129,+
aakg-1,-2.03021,2.45299,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,14.7717,14.7973,13.9239,13.8926,15.5354,16.2973,16.397,17.2766,2.45299,0.000660232,-2.03021,-4.64452,+
grl-23,-1.96956,3.62478,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),12.3988,11.8428,12.335,12.7745,14.0845,14.3953,14.0122,14.7374,3.62478,0,-1.96956,-7.78105,+
spat-2,-3.8614,3.76992,A0A1I6CM95,Suppressor of PAr-Two defect,12.8533,13.2564,13.5538,13.5393,17.1363,16.0308,17.3242,18.1571,3.76992,0,-3.8614,-8.26394,+
"CELE_Y55F3BR,6",-2.19099,3.74943,A0A1I6CMC9,Uncharacterized protein,11.8997,12.0767,12.3249,12.6361,14.2976,14.1019,14.2455,15.0564,3.74943,0,-2.19099,-8.19424,+
vab-10,-1.65603,2.44866,A0A1N7SYP3,Uncharacterized protein,19.1162,19.7155,19.0447,19.7817,21.0819,20.3173,21.0967,21.7864,2.44866,0.000683349,-1.65603,-4.63499,+
"eif-3,l;eif-3,L",0.738328,1.05933,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,17.9479,18.6287,18.6657,18.5,17.3957,17.3569,17.3764,18.6601,1.05933,0.0253038,0.738328,2.04177,+
"npp-25;npp-25;npp-25;Y37D8A,17",-1.07429,0.922661,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,14.3938,16.0699,16.2536,14.9752,17.6128,16.3803,16.2,15.7966,0.922661,0.0371097,-1.07429,-1.81471,+
cnt-1,0.224482,0.447724,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,14.7335,15.1038,14.2772,15.059,14.4444,14.4314,14.475,14.9247,0.447724,0.156296,0.224482,0.998298,
"C26G2,2",-3.03977,3.51839,A0A1N7SYU2,Uncharacterized protein,12.0976,12.594,11.8982,12.6167,14.3312,15.4872,15.4595,16.0877,3.51839,0,-3.03977,-7.44245,+
"CELE_F43B10,1",0.489988,0.217015,A0A1N7SYW5,Uncharacterized protein,16.9676,12.6693,15.2697,15.0502,14.3564,14.2042,14.4094,15.0269,0.217015,0.378776,0.489988,0.542972,
ubc-15,0.965295,1.87746,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,15.4401,14.7199,14.8632,15.5447,14.4648,14.4094,14.1878,13.6447,1.87746,0.00271632,0.965295,3.47272,+
"CELE_Y55F3BR,10",0.0982692,0.0664044,A0A9S0,Uncharacterized protein,15.0545,14.4322,13.3283,15.5359,14.2362,14.423,14.1566,15.1419,0.0664044,0.744986,0.0982692,0.18648,
"CELE_Y38F2AR,12",-0.703716,1.36282,A0A9S2,Uncharacterized protein,13.4022,13.7541,13.7528,13.0202,14.1664,13.6575,14.7004,14.2198,1.36282,0.0108743,-0.703716,-2.55208,+
ttr-42,-0.616322,0.871029,A2V8C3,TransThyretin-Related family domain,17.5558,17.8404,18.4754,18.2763,17.8589,18.5957,19.0153,19.1432,0.871029,0.0427165,-0.616322,-1.7288,+
"CELE_H29C22,1",-1.01239,2.62796,A2V8C8,Uncharacterized protein,18.1007,18.3741,18.7573,18.4946,19.7232,19.0382,19.4349,19.5799,2.62796,0.000438238,-1.01239,-5.04067,+
