geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04, -Log.p.value,Student's T-test q-value eat2_d15_N2_d15,log2FC,Student's T-test Test statistic eat2_d15_N2_d15,Sign p-val: 0.05 
"CELE_T08B1,1",3.23799,1.41674,A0A0K3AY44,Uncharacterized protein,14.5274,14.9106,14.1329,14.1151,12.2605,7.56696,12.2317,12.6748,1.41674,0.00881053,3.23799,2.64458,+
zig-11,0.598729,1.89539,A0A0K3AY85,2 (Zwei) IG domain protein,17.0251,16.7949,16.5392,16.7802,16.2769,15.7868,16.4307,16.2501,1.89539,0.00297106,0.598729,3.50661,+
ilys-5,2.81439,3.8999,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,18.2089,18.0073,17.8211,18.1223,15.3527,14.6582,14.8408,16.0504,3.8999,0,2.81439,8.71801,+
irg-3,-1.7975,4.31437,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,14.2564,13.9323,14.303,14.672,16.2616,16.172,15.862,16.0581,4.31437,0,-1.7975,-10.3162,+
tns-1,1.57644,2.46032,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,16.6829,16.1602,16.4987,17.0321,15.7967,15.0843,14.5449,14.6423,2.46032,0.000975982,1.57644,4.6607,+
ubr-4,0.29849,0.642358,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.9076,14.8515,14.3097,14.7577,14.6862,14.2663,14.7037,13.9764,0.642358,0.068611,0.29849,1.34299,
ccar-1,1.65348,2.162,A0A0S4XR43,CCAR1 homolog,16.9135,18.0429,17.0148,18.1154,15.6838,15.4989,15.6726,16.6174,2.162,0.00164281,1.65348,4.02919,+
ulp-2,0.376261,0.462724,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.5088,15.3408,14.8214,15.0466,14.3568,14.8961,13.7463,15.2134,0.462724,0.120962,0.376261,1.02576,
"CELE_T23F4,2",1.36327,1.33891,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,14.4437,14.7402,14.5769,15.2609,13.7214,11.8686,13.9238,14.055,1.33891,0.0104655,1.36327,2.51128,+
sago-1,0.150527,0.183073,A0A0T7CIX3,Piwi-like protein,14.2698,14.6345,14.9513,14.3684,14.6002,14.504,13.5997,14.9181,0.183073,0.361792,0.150527,0.468395,
sago-2,-0.304587,0.165888,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,14.7205,15.3466,14.1093,15.1959,13.6746,16.7754,14.7026,15.4382,0.165888,0.394622,-0.304587,-0.429559,
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",0.0781069,0.055266,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",15.0152,15.4174,14.0271,14.1608,15.4848,13.7097,14.7137,14.3998,0.055266,0.726744,0.0781069,0.156848,
daf-4,1.88709,2.69276,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,16.7812,17.1397,16.4086,17.1083,14.2304,15.7894,15.0189,14.8508,2.69276,0.000662781,1.88709,5.19288,+
hpo-3,2.55714,3.65176,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,14.2153,15.2885,14.9233,15.5025,12.5497,12.0427,12.3137,12.7951,3.65176,0.000150628,2.55714,7.86896,+
acs-22,3.21166,4.10891,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,17.4286,17.1168,17.8944,17.1989,13.7891,14.413,14.9177,13.6723,4.10891,0,3.21166,9.49397,+
tag-10,0.405582,0.320622,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.4904,16.1751,15.6821,17.814,15.9353,15.9125,15.6252,16.0664,0.320622,0.200521,0.405582,0.756583,
imb-2,2.64808,4.12286,A0A131MBF9;O62332,IMportin Beta family,17.0963,17.2883,17.1651,17.6089,14.6552,13.9765,15.2055,14.7292,4.12286,0,2.64808,9.54785,+
brf-1,2.23839,2.56741,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,13.5014,14.8787,14.9912,14.9658,12.9838,12.6423,11.8547,11.9026,2.56741,0.000852485,2.23839,4.90119,+
"CELE_W09B6,4",1.59594,1.2313,A0A131MBG4;H2L0M1,Uncharacterized protein,15.1018,15.8048,14.7287,16.1082,12.5637,13.6647,13.638,15.4934,1.2313,0.013373,1.59594,2.32916,+
irg-7,-0.158712,0.323665,A0A131MBU3,Protein irg-7,18.486,19.0949,18.6693,19.0721,19.3032,18.6666,18.8452,19.1423,0.323665,0.198233,-0.158712,-0.762594,
"CELE_F27B10,1",2.62306,4.90628,A0A131MCJ0,Uncharacterized protein,14.9512,15.1653,14.7827,14.5216,12.5327,12.146,11.8592,12.3906,4.90628,0,2.62306,13.0625,+
"CELE_T22F3,3",2.58588,4.68397,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",14.8386,15.4973,14.6679,15.2853,12.4841,12.438,12.2738,12.7496,4.68397,0,2.58588,11.9601,+
die-1,2.68146,4.605,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,14.7368,15.4125,14.7582,15.2962,12.5758,12.0228,12.2221,12.657,4.605,0,2.68146,11.5898,+
dhs-11,-0.340527,0.469764,A0A163UT65,"DeHydrogenases, Short chain",14.8537,13.8747,14.1222,14.9647,14.7328,14.5548,14.5467,15.3431,0.469764,0.118167,-0.340527,-1.03859,
tbc-14,1.15492,5.17761,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,16.0663,16.2508,15.9408,16.1495,14.9593,15.0688,14.8847,14.875,5.17761,0,1.15492,14.5378,+
cyp-34a6,1.74902,1.43479,A0A164D3C9;O44656,CYtochrome P450 family,14.3041,15.4268,14.617,15.3927,13.0764,11.5576,14.0873,14.0232,1.43479,0.00854514,1.74902,2.67571,+
fipp-1,0.166267,0.240667,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,15.029,15.2687,14.1828,14.5604,14.9299,14.6095,14.5956,14.2408,0.240667,0.277758,0.166267,0.593445,
unc-132,2.53467,4.36202,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,17.5211,17.356,17.34,16.814,15.1687,14.3471,14.4985,14.8781,4.36202,0,2.53467,10.5158,+
cdh-4,1.17414,1.36537,A0A1C3NSI5;Q19319,Cadherin-4,14.5094,15.4919,14.6169,14.9703,14.5779,13.0921,12.9828,14.2392,1.36537,0.00975,1.17414,2.55643,+
ajm-1,2.49166,4.87488,A0A1C3NSL1,Apical Junction Molecule,14.2628,14.8545,15.0037,14.8676,12.0427,12.1788,12.2816,12.5187,4.87488,0,2.49166,12.9013,+
"CELE_ZC412,3",0.371925,1.66796,A0A1C3NSL5,Uncharacterized protein,18.4237,18.5668,18.2106,18.6,18.1896,17.836,18.1577,18.1301,1.66796,0.0050841,0.371925,3.08663,+
farl-11,2.63896,4.60743,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,14.6816,15.437,14.9032,15.1038,12.5083,12.0778,12.1917,12.7921,4.60743,0,2.63896,11.6011,+
let-711,-0.0387626,0.0358434,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,15.8234,15.3592,16.4145,14.9125,15.8793,15.3042,15.3884,16.0928,0.0358434,0.814365,-0.0387626,-0.103707,
"C40H1,7",0.489877,0.588645,A0A1I6CM73,Uncharacterized protein,14.9823,14.6351,14.665,15.3349,14.075,14.7573,13.61,15.2156,0.588645,0.0814802,0.489877,1.25,
spat-2,1.94132,2.09556,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.9712,16.3456,16.4401,16.5278,14.5529,14.9108,15.0863,12.9694,2.09556,0.00193562,1.94132,3.89557,+
aakg-1,0.652724,1.12283,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,14.8144,15.4542,15.0403,14.6875,14.7717,14.7973,13.9239,13.8926,1.12283,0.0184483,0.652724,2.14752,+
grl-23,4.91992,4.56955,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),16.6746,17.4854,16.6199,18.2509,12.3988,11.8428,12.335,12.7745,4.56955,0,4.91992,11.4271,+
spat-2,1.65334,3.19519,A0A1I6CM95,Suppressor of PAr-Two defect,14.5589,15.4747,14.7881,14.9943,12.8533,13.2564,13.5538,13.5393,3.19519,0.00026469,1.65334,6.48707,+
"CELE_Y55F3BR,6",2.60188,4.18786,A0A1I6CMC9,Uncharacterized protein,14.8097,14.4842,14.6116,15.4395,11.8997,12.0767,12.3249,12.6361,4.18786,0,2.60188,9.80265,+
vab-10,1.61682,3.13363,A0A1N7SYP3,Uncharacterized protein,20.7031,21.3275,20.7838,21.3111,19.1162,19.7155,19.0447,19.7817,3.13363,0.000256937,1.61682,6.31673,+
"eif-3,l;eif-3,L",0.506915,0.373613,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,19.6491,18.0783,17.8849,20.1577,17.9479,18.6287,18.6657,18.5,0.373613,0.16407,0.506915,0.859549,
"npp-25;npp-25;npp-25;Y37D8A,17",-0.532943,0.501534,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,14.5257,15.4335,14.6882,14.9133,14.3938,16.0699,16.2536,14.9752,0.501534,0.106541,-0.532943,-1.09599,
cnt-1,-0.220661,0.248483,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,14.0825,15.3217,14.0565,14.8301,14.7335,15.1038,14.2772,15.059,0.248483,0.268856,-0.220661,-0.609879,
"C26G2,2",5.05549,6.221,A0A1N7SYU2,Uncharacterized protein,17.2878,17.3288,17.0572,17.7547,12.0976,12.594,11.8982,12.6167,6.221,0,5.05549,21.8445,+
"CELE_F43B10,1",-0.166712,0.064474,A0A1N7SYW5,Uncharacterized protein,14.0703,15.0618,15.034,15.124,16.9676,12.6693,15.2697,15.0502,0.064474,0.688225,-0.166712,-0.181386,
ubc-15,-0.448536,0.513011,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,13.7413,14.6593,15.0532,15.3199,15.4401,14.7199,14.8632,15.5447,0.513011,0.102831,-0.448536,-1.11655,
"CELE_Y55F3BR,10",-0.182912,0.120613,A0A9S0,Uncharacterized protein,14.062,14.6214,13.781,15.1548,15.0545,14.4322,13.3283,15.5359,0.120613,0.499493,-0.182912,-0.323206,
"CELE_Y38F2AR,12",1.52844,3.71748,A0A9S2,Uncharacterized protein,14.9567,14.8565,15.0333,15.1966,13.4022,13.7541,13.7528,13.0202,3.71748,9.84E-05,1.52844,8.08659,+
ttr-42,2.23332,3.68139,A2V8C3,TransThyretin-Related family domain,19.7982,20.5462,20.1392,20.5977,17.5558,17.8404,18.4754,18.2763,3.68139,9.48E-05,2.23332,7.96645,+
"CELE_H29C22,1",1.21591,3.43665,A2V8C8,Uncharacterized protein,19.5576,19.7935,19.4083,19.8309,18.1007,18.3741,18.7573,18.4946,3.43665,0.000251066,1.21591,7.19067,+
"CELE_F07G6,10",-1.50455,4.28062,A3FPJ3,Uncharacterized protein,14.7525,15.1287,15.0067,15.0204,16.8309,16.4265,16.4289,16.2402,4.28062,0,-1.50455,-10.1768,+
ttr-34,-1.51376,1.74006,A3FPK9,TransThyretin-Related family domain,14.7474,14.6052,13.9862,15.4864,16.0783,16.9299,16.5809,15.2911,1.74006,0.004268,-1.51376,-3.2175,+
