geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04, -Log.p.value,Student's T-test q-value eat2_d15_eat2_d10,log2FC,Student's T-test Test statistic eat2_d15_eat2_d10,Sign p-val: 0.05 
cdc-14,1.46825,2.20324,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,14.9576,15.4854,13.9322,14.2619,13.2845,13.3007,12.968,13.2109,2.20324,0.00277159,1.46825,4.11337,+
daf-16,1.06772,1.35196,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,13.9248,15.4823,13.9326,13.6722,13.3413,13.1219,12.9981,13.2798,1.35196,0.0154689,1.06772,2.53354,+
"CELE_T16H12,3;T16H12,3",1.90574,3.92929,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",14.5306,14.5676,14.7485,15.431,12.9464,12.9749,12.9777,12.7559,3.92929,0.000107006,1.90574,8.8236,+
lev-11,0.972328,2.20162,A0A0K3ARC0,Uncharacterized protein,17.5938,17.7435,17.6884,17.0757,16.8021,16.9075,16.1494,16.3531,2.20162,0.00276712,0.972328,4.11004,+
gld-2,1.98034,1.79264,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,14.9741,15.5163,13.4171,15.0916,11.6598,13.227,12.8715,13.3196,1.79264,0.00630759,1.98034,3.31423,+
ncl-1,2.19411,4.40308,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,15.0217,15.2217,14.819,15.1931,13.1967,12.997,12.3461,12.9394,4.40308,0,2.19411,10.6906,+
"CELE_D1069,3",2.00134,4.86927,A0A0K3ARJ1;Q6A586,Uncharacterized protein,14.5316,15.1375,15.0211,15.0412,13.0882,13.0249,12.7673,12.8456,4.86927,0,2.00134,12.8726,+
lin-23,-0.569111,0.921581,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,14.7922,15.1266,14.8369,14.9976,15.1276,16.229,15.7774,14.8958,0.921581,0.0412494,-0.569111,-1.81292,+
"CELE_Y50D4B,1",-0.0851409,0.0807368,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,14.8821,15.0305,14.947,15.4674,15.5986,15.8312,14.2319,15.0058,0.0807368,0.667045,-0.0851409,-0.223779,
"CELE_Y39A1A,21",1.67868,3.83898,A0A0K3ARX5;Q9XX11,Uncharacterized protein,14.8786,14.5327,14.0664,14.8981,12.8914,12.9515,12.8376,12.9806,3.83898,9.71E-05,1.67868,8.50257,+
dre-1,1.41919,1.11454,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",19.0011,20.0038,19.1395,20.0611,18.4446,16.6005,17.9721,19.5115,1.11454,0.0258298,1.41919,2.13369,+
gck-1,-0.00599885,0.00562723,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.9316,14.6014,14.6561,14.423,14.6814,15.4939,13.8252,14.6357,0.00562723,0.973315,-0.00599885,-0.0168189,
gly-7,0.592428,0.809138,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,14.1129,14.3868,14.857,15.1964,14.3704,14.538,13.3101,13.9649,0.809138,0.0561536,0.592428,1.62546,
"CELE_F40A3,3;F40A3,3",0.751,2.85758,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",19.443,19.5954,19.7306,19.5887,18.7264,19.1993,18.7377,18.6904,2.85758,0.00105856,0.751,5.59433,+
"CELE_Y50D4B,4",-1.89186,1.54924,A0A0K3ASH9,Uncharacterized protein,12.8441,15.5238,13.2333,14.9485,15.8591,16.0364,16.3143,15.9072,1.54924,0.00999684,-1.89186,-2.87524,+
cdf-1,1.61614,4.4486,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,14.6911,14.6039,14.2977,14.9354,13.1981,12.9418,12.8851,13.0385,4.4486,0,1.61614,10.8875,+
unc-34,4.95879,6.45852,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,17.5071,18.1994,18.1953,18.0443,13.1527,13.0222,12.6769,13.2592,6.45852,0,4.95879,23.9511,+
tbh-1,0.73847,1.37728,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,18.8977,19.9425,19.2313,19.9725,18.6965,19.0548,18.5569,18.7819,1.37728,0.0148541,0.73847,2.5768,+
lev-11,2.20041,2.66877,A0A0K3ATS1,Uncharacterized protein,22.9724,24.6822,24.2346,24.7799,21.8933,21.9091,22.2696,21.7953,2.66877,0.00150791,2.20041,5.13618,+
imp-3,1.87356,3.69293,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,16.4129,17.053,16.6976,16.9933,14.9406,15.3301,14.4438,14.9481,3.69293,0.000293467,1.87356,8.0047,+
prdx-2,0.875673,2.12358,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,22.4809,23.0663,22.5501,22.7704,21.8193,21.3514,22.029,22.1654,2.12358,0.00335182,0.875673,3.95163,+
jhdm-1,1.59938,2.31308,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.7536,15.4294,14.4854,14.7113,13.3619,13.9144,13.2782,12.4277,2.31308,0.00224863,1.59938,4.34228,+
mrck-1,1.9206,3.89042,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,14.904,14.5921,14.4733,15.3829,12.9324,12.8595,12.7296,13.1484,3.89042,0.000103067,1.9206,8.68415,+
nhr-86,1.45714,2.97574,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,14.3599,14.1527,14.3449,15.146,13.2412,13.1367,12.723,13.0741,2.97574,0.000874474,1.45714,5.89552,+
aat-3,0.534728,0.321888,A0A0K3AVL7;O17395,Amino Acid Transporter,13.5977,15.3824,14.9495,15.245,14.8507,12.5438,14.7044,14.9367,0.321888,0.240739,0.534728,0.759085,
"CELE_M02H5,8",0.212905,0.294457,A0A0K3AVS5,Uncharacterized protein,17.6104,18.1733,17.6761,18.3232,17.8814,18.3561,17.4129,17.281,0.294457,0.265006,0.212905,0.704338,
"CELE_T08B1,1",2.5236,4.42298,A0A0K3AVV4,Uncharacterized protein,18.8259,19.1867,18.758,18.8376,16.8075,16.6283,16.2253,15.8527,4.42298,0,2.5236,10.7763,+
lipl-5,1.19685,2.03491,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,14.3911,15.2,14.2999,15.2366,13.7875,13.0386,13.6151,13.8991,2.03491,0.00396245,1.19685,3.77562,+
fln-2,1.33473,4.64118,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,18.6103,18.663,18.4095,18.5762,17.2401,17.0084,17.1824,17.4893,4.64118,0,1.33473,11.7581,+
"C14C6,5",0.333667,0.407027,A0A0K3AXM4;O44667,Uncharacterized protein,18.1679,16.9759,18.0635,17.7752,17.8759,17.7461,16.8533,17.1726,0.407027,0.17955,0.333667,0.922783,
"CELE_T08B1,1",1.46985,3.18061,A0A0K3AY44,Uncharacterized protein,14.5274,14.9106,14.1329,14.1151,12.7405,13.151,12.721,13.194,3.18061,0.000684932,1.46985,6.4464,+
zig-11,3.02505,4.1522,A0A0K3AY85,2 (Zwei) IG domain protein,17.0251,16.7949,16.5392,16.7802,13.8044,13.0533,13.6798,14.5018,4.1522,0,3.02505,9.66215,+
ilys-5,1.93922,4.31573,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,18.2089,18.0073,17.8211,18.1223,16.3846,16.399,15.7997,15.8194,4.31573,0,1.93922,10.3218,+
irg-3,-1.69882,1.90043,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,14.2564,13.9323,14.303,14.672,16.1604,17.0106,14.7837,16.0043,1.90043,0.00507359,-1.69882,-3.51617,+
tns-1,0.788253,1.60718,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,16.6829,16.1602,16.4987,17.0321,15.776,16.3484,15.637,15.4595,1.60718,0.00900807,0.788253,2.97779,+
ubr-4,-0.165721,0.264285,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.9076,14.8515,14.3097,14.7577,14.2463,15.2113,14.8975,15.1344,0.264285,0.296121,-0.165721,-0.642759,
ccar-1,2.06317,2.96454,A0A0S4XR43,CCAR1 homolog,16.9135,18.0429,17.0148,18.1154,15.5799,15.5482,15.0462,15.6596,2.96454,0.0008677,2.06317,5.86648,+
ulp-2,1.93442,3.9451,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.5088,15.3408,14.8214,15.0466,13.0063,12.9344,12.7092,13.3301,3.9451,0.000108247,1.93442,8.8809,+
"CELE_T23F4,2",-0.539176,1.01233,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,14.4437,14.7402,14.5769,15.2609,15.8133,14.8054,15.3543,15.2055,1.01233,0.033643,-0.539176,-1.96366,+
sago-1,0.667433,1.51915,A0A0T7CIX3,Piwi-like protein,14.2698,14.6345,14.9513,14.3684,14.2528,13.9308,13.39,13.9807,1.51915,0.0105691,0.667433,2.8224,+
sago-2,-1.12209,2.11689,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,14.7205,15.3466,14.1093,15.1959,15.9714,16.1316,15.8783,15.8794,2.11689,0.00334008,-1.12209,-3.93822,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-0.0679832,0.0584455,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",15.0152,15.4174,14.0271,14.1608,15.1338,14.0937,14.6206,15.0443,0.0584455,0.746391,-0.0679832,-0.165366,
daf-4,0.940707,1.79525,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,16.7812,17.1397,16.4086,17.1083,15.3938,15.8197,16.4897,15.9718,1.79525,0.00631838,0.940707,3.31906,+
hpo-3,1.77158,3.02171,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,14.2153,15.2885,14.9233,15.5025,13.3048,13.2918,12.9594,13.2874,3.02171,0.000860853,1.77158,6.01588,+
acs-22,2.49597,4.70011,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,17.4286,17.1168,17.8944,17.1989,14.7458,14.7142,15.1839,15.011,4.70011,0,2.49597,12.0371,+
tag-10,0.302002,0.181008,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.4904,16.1751,15.6821,17.814,16.1245,17.0136,15.4118,15.4037,0.181008,0.417595,0.302002,0.463769,
imb-2,1.76297,2.69366,A0A131MBF9;O62332,IMportin Beta family,17.0963,17.2883,17.1651,17.6089,15.6993,16.2368,14.6958,15.4748,2.69366,0.001526,1.76297,5.19502,+
brf-1,1.57904,2.24047,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,13.5014,14.8787,14.9912,14.9658,13.0458,12.7342,12.9938,13.2471,2.24047,0.00262526,1.57904,4.19017,+
"CELE_W09B6,4",0.347714,0.328978,A0A131MBG4;H2L0M1,Uncharacterized protein,15.1018,15.8048,14.7287,16.1082,15.68,15.5589,14.7706,14.3431,0.328978,0.234946,0.347714,0.773061,
irg-7,-0.411796,1.1988,A0A131MBU3,Protein irg-7,18.486,19.0949,18.6693,19.0721,19.4416,19.381,19.0262,19.1209,1.1988,0.0214193,-0.411796,-2.27456,+
"CELE_F27B10,1",1.69088,4.04104,A0A131MCJ0,Uncharacterized protein,14.9512,15.1653,14.7827,14.5216,13.2298,13.2916,12.8022,13.3336,4.04104,0.000122628,1.69088,9.23555,+
"CELE_T22F3,3",1.9028,3.72698,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",14.8386,15.4973,14.6679,15.2853,13.3209,13.3028,12.7684,13.2858,3.72698,0.000172662,1.9028,8.1185,+
die-1,1.97439,3.66755,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,14.7368,15.4125,14.7582,15.2962,13.1744,13.2054,12.5641,13.3621,3.66755,0.000286555,1.97439,7.92079,+
dhs-11,-0.159907,0.0925771,A0A163UT65,"DeHydrogenases, Short chain",14.8537,13.8747,14.1222,14.9647,13.765,13.5004,15.6562,15.5333,0.0925771,0.629095,-0.159907,-0.253938,
tbc-14,0.291908,2.01421,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,16.0663,16.2508,15.9408,16.1495,15.6906,15.8106,15.8825,15.8561,2.01421,0.00426339,0.291908,3.73511,+
cyp-34a6,-0.635338,1.05021,A0A164D3C9;O44656,CYtochrome P450 family,14.3041,15.4268,14.617,15.3927,15.1899,15.7969,15.5454,15.7498,1.05021,0.0305742,-0.635338,-2.0266,+
fipp-1,1.62256,3.09727,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,15.029,15.2687,14.1828,14.5604,13.2832,13.113,12.8723,13.2821,3.09727,0.000675325,1.62256,6.21774,+
unc-132,1.4018,3.15181,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,17.5211,17.356,17.34,16.814,16.1923,15.5441,16.0539,15.6335,3.15181,0.000672948,1.4018,6.36665,+
cdh-4,1.79704,3.38816,A0A1C3NSI5;Q19319,Cadherin-4,14.5094,15.4919,14.6169,14.9703,13.3397,12.9297,12.8374,13.2936,3.38816,0.00043949,1.79704,7.04468,+
ajm-1,1.73022,3.73448,A0A1C3NSL1,Apical Junction Molecule,14.2628,14.8545,15.0037,14.8676,13.0441,13.1996,12.6299,13.194,3.73448,0.000173018,1.73022,8.14373,+
"CELE_ZC412,3",-0.0140176,0.0160817,A0A1C3NSL5,Uncharacterized protein,18.4237,18.5668,18.2106,18.6,18.8669,19.0285,18.0189,17.9431,0.0160817,0.924228,-0.0140176,-0.0475112,
farl-11,2.06256,4.10824,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,14.6816,15.437,14.9032,15.1038,13.3,13.0025,12.9875,12.5854,4.10824,0,2.06256,9.49138,+
let-711,-0.0470223,0.0476366,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,15.8234,15.3592,16.4145,14.9125,15.9654,15.3583,15.7342,15.6397,0.0476366,0.788089,-0.0470223,-0.136205,
"C40H1,7",-0.100074,0.100664,A0A1I6CM73,Uncharacterized protein,14.9823,14.6351,14.665,15.3349,14.5763,14.4699,15.9008,15.0706,0.100664,0.606002,-0.100074,-0.274217,
spat-2,0.931547,2.25908,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.9712,16.3456,16.4401,16.5278,15.5621,15.8213,15.0436,15.1316,2.25908,0.00249134,0.931547,4.22886,+
aakg-1,-1.00195,2.62561,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,14.8144,15.4542,15.0403,14.6875,15.9258,16.2658,16.0502,15.7623,2.62561,0.00148819,-1.00195,-5.03522,+
grl-23,4.2246,4.40765,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),16.6746,17.4854,16.6199,18.2509,12.844,13.2261,12.9642,13.0982,4.40765,0,4.2246,10.7102,+
spat-2,0.291423,0.197459,A0A1I6CM95,Suppressor of PAr-Two defect,14.5589,15.4747,14.7881,14.9943,14.143,13.3995,15.8371,15.2707,0.197459,0.389231,0.291423,0.500332,
"CELE_Y55F3BR,6",1.67883,3.55548,A0A1I6CMC9,Uncharacterized protein,14.8097,14.4842,14.6116,15.4395,13.1881,13.2986,12.9785,13.1643,3.55548,0.000303249,1.67883,7.55906,+
vab-10,1.91798,4.23088,A0A1N7SYP3,Uncharacterized protein,20.7031,21.3275,20.7838,21.3111,19.3241,19.188,18.8759,19.0655,4.23088,0,1.91798,9.97462,+
"eif-3,l;eif-3,L",0.390207,0.25837,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,19.6491,18.0783,17.8849,20.1577,18.3123,17.9605,18.9907,18.9457,0.25837,0.302866,0.390207,0.630504,
"npp-25;npp-25;npp-25;Y37D8A,17",-1.76118,2.5354,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,14.5257,15.4335,14.6882,14.9133,16.4943,15.8518,17.1822,17.0772,2.5354,0.00179336,-1.76118,-4.82849,+
cnt-1,-0.485985,0.416571,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,14.0825,15.3217,14.0565,14.8301,15.9609,14.8263,14.0249,15.4226,0.416571,0.174023,-0.485985,-0.940632,
"C26G2,2",3.35841,4.02264,A0A1N7SYU2,Uncharacterized protein,17.2878,17.3288,17.0572,17.7547,13.5636,13.5028,14.9584,13.9699,4.02264,0.000120516,3.35841,9.16659,+
"CELE_F43B10,1",1.88797,2.51481,A0A1N7SYW5,Uncharacterized protein,14.0703,15.0618,15.034,15.124,13.1894,13.1562,12.0314,13.3612,2.51481,0.00177211,1.88797,4.78209,+
ubc-15,0.138175,0.148387,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,13.7413,14.6593,15.0532,15.3199,14.6706,14.6209,14.3081,14.6214,0.148387,0.482151,0.138175,0.38918,
"CELE_Y55F3BR,10",-1.00277,0.825781,A0A9S0,Uncharacterized protein,14.062,14.6214,13.781,15.1548,15.7842,15.5107,13.9367,16.3988,0.825781,0.053948,-1.00277,-1.6533,
"CELE_Y38F2AR,12",0.815546,1.04613,A0A9S2,Uncharacterized protein,14.9567,14.8565,15.0333,15.1966,14.3588,13.0704,14.4108,14.9409,1.04613,0.0309929,0.815546,2.01982,+
ttr-42,2.01831,1.5969,A2V8C3,TransThyretin-Related family domain,19.7982,20.5462,20.1392,20.5977,17.0684,17.1944,19.1209,19.6243,1.5969,0.00915074,2.01831,2.95951,+
"CELE_H29C22,1",0.685023,1.23905,A2V8C8,Uncharacterized protein,19.5576,19.7935,19.4083,19.8309,19.1467,18.3187,18.7729,19.6119,1.23905,0.0198718,0.685023,2.34221,+
"CELE_F07G6,10",0.0805197,0.0351541,A3FPJ3,Uncharacterized protein,14.7525,15.1287,15.0067,15.0204,13.2493,14.0597,16.8222,15.455,0.0351541,0.841235,0.0805197,0.101784,
