geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04, -Log.p.value,Student's T-test q-value eat2_d10_eat2_d1,log2FC,Student's T-test Test statistic eat2_d10_eat2_d1,Sign p-val: 0.05 
"CELE_F09E10,7",1.92015,0.835046,A0A078BPG0,Uncharacterized protein,17.8345,17.0631,13.2338,13.8236,13.6949,13.4141,13.5184,13.6471,0.835046,0.0538485,1.92015,1.66878,
"CELE_F10C1,9",-0.20419,0.251916,A0A078BPH9;G4S1A4,Uncharacterized protein,14.5694,14.4741,13.679,13.984,15.0309,14.0591,13.8953,14.538,0.251916,0.323492,-0.20419,-0.617061,
itx-1,1.54032,5.57745,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,16.1498,16.0867,15.8294,15.8565,14.4921,14.3969,14.5247,14.3475,5.57745,0,1.54032,17.0042,+
"CELE_Y41E3,7",-0.0193477,0.0103877,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.3975,14.9845,12.9662,15.3183,13.5437,15.1879,14.7286,14.2836,0.0103877,0.949627,-0.0193477,-0.030882,
"CELE_Y105C5B,15",-0.392004,0.961462,A0A078BQP7;Q9U309,Purple acid phosphatase,13.3157,12.9472,12.7502,13.0779,13.706,13.7134,13.1718,13.0678,0.961462,0.0389715,-0.392004,-1.87918,+
lim-9,-0.175105,0.572236,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,15.3832,14.8193,14.8473,15.1495,15.2467,15.1198,15.1758,15.3573,0.572236,0.112757,-0.175105,-1.22132,
"CELE_Y105E8A,25",0.653168,1.09043,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.9614,13.7784,14.6478,14.7926,13.7928,13.4321,13.2535,14.0893,1.09043,0.0278899,0.653168,2.09352,+
pgp-2,1.19354,3.34817,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.6228,16.1057,15.6253,15.3039,14.603,14.3793,14.4219,14.4792,3.34817,0.000509091,1.19354,6.92608,+
lpd-3,-0.0263555,0.0136926,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,15.3052,15.0215,16.074,16.332,14.1782,16.6237,15.4979,16.5383,0.0136926,0.934319,-0.0263555,-0.040559,
tln-1,1.19608,1.92983,A0A0K3AQU9,TaLiN,14.6647,14.9014,15.0604,15.3191,14.3502,13.2031,13.3245,14.2834,1.92983,0.00406634,1.19608,3.57215,+
max-2,1.5365,2.68318,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,16.1548,15.1678,14.8959,15.649,14.1707,13.7061,14.0444,13.8003,2.68318,0.000840885,1.5365,5.17017,+
egl-27,-3.35086,4.55567,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,13.2442,13.2268,12.8905,13.262,16.3502,17.2088,15.8581,16.6099,4.55567,0,-3.35086,-11.3639,+
cdc-14,2.72734,6.12368,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,13.2845,13.3007,12.968,13.2109,10.6858,10.2011,10.4073,10.5605,6.12368,0,2.72734,21.0348,+
daf-16,-0.65663,1.46125,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,13.3413,13.1219,12.9981,13.2798,14.1166,13.8847,13.1839,14.1824,1.46125,0.0112256,-0.65663,-2.7215,+
"CELE_T16H12,3;T16H12,3",-0.963461,1.57423,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.9464,12.9749,12.9777,12.7559,14.3255,14.0321,12.9174,14.2336,1.57423,0.00824828,-0.963461,-2.91933,+
lev-11,2.12909,4.00476,A0A0K3ARC0,Uncharacterized protein,16.8021,16.9075,16.1494,16.3531,14.6444,14.4137,14.0062,14.6316,4.00476,0.000221437,2.12909,9.09999,+
gld-2,0.118767,0.106564,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,11.6598,13.227,12.8715,13.3196,12.4825,12.7573,12.3399,13.0231,0.106564,0.588475,0.118767,0.288855,
ncl-1,-2.13409,4.52605,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,13.1967,12.997,12.3461,12.9394,15.0048,15.1274,15.0056,14.8777,4.52605,0,-2.13409,-11.2302,+
"CELE_D1069,3",2.79018,1.60169,A0A0K3ARJ1;Q6A586,Uncharacterized protein,13.0882,13.0249,12.7673,12.8456,10.3262,12.131,7.60835,10.4998,1.60169,0.00770748,2.79018,2.96802,+
lin-23,-0.900991,1.45772,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,15.1276,16.229,15.7774,14.8958,16.7725,16.4028,16.1503,16.3081,1.45772,0.01124,-0.900991,-2.71538,+
"CELE_Y50D4B,1",0.295779,0.260999,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,15.5986,15.8312,14.2319,15.0058,14.6389,14.1407,15.2596,15.4452,0.260999,0.314162,0.295779,0.63596,
"CELE_Y39A1A,21",1.38057,2.16339,A0A0K3ARX5;Q9XX11,Uncharacterized protein,12.8914,12.9515,12.8376,12.9806,11.3144,12.1267,12.0295,10.6682,2.16339,0.0024183,1.38057,4.03201,+
dre-1,1.28973,0.906709,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",18.4446,16.6005,17.9721,19.5115,16.4058,17.7578,17.2062,16,0.906709,0.0448589,1.28973,1.78819,+
gck-1,-0.232256,0.277605,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.6814,15.4939,13.8252,14.6357,15.0427,14.7422,14.8521,14.9281,0.277605,0.296042,-0.232256,-0.670129,
gly-7,0.270772,0.32357,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,14.3704,14.538,13.3101,13.9649,13.2416,13.7346,13.7728,14.3512,0.32357,0.251137,0.270772,0.762408,
"CELE_F40A3,3;F40A3,3",1.08821,3.322,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",18.7264,19.1993,18.7377,18.6904,17.7456,17.9368,17.8551,17.4634,3.322,0.000496674,1.08821,6.84934,+
"CELE_Y50D4B,4",0.55341,1.52734,A0A0K3ASH9,Uncharacterized protein,15.8591,16.0364,16.3143,15.9072,14.9787,15.6712,15.6459,15.6076,1.52734,0.00918619,0.55341,2.83674,+
cdf-1,2.54965,6.29562,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,13.1981,12.9418,12.8851,13.0385,10.5696,10.3252,10.3024,10.6677,6.29562,0,2.54965,22.486,+
unc-34,-1.08316,1.88365,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,13.1527,13.0222,12.6769,13.2592,13.8518,14.466,14.6832,13.4427,1.88365,0.00451937,-1.08316,-3.4844,+
tbh-1,3.97476,6.5253,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,18.6965,19.0548,18.5569,18.7819,14.5926,15.0296,14.5775,14.9913,6.5253,0,3.97476,24.5785,+
lev-11,0.895917,2.67542,A0A0K3ATS1,Uncharacterized protein,21.8933,21.9091,22.2696,21.7953,21.1675,21.4134,20.9223,20.7806,2.67542,0.000836478,0.895917,5.15185,+
imp-3,1.97113,3.10124,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,14.9406,15.3301,14.4438,14.9481,12.6899,13.082,12.4051,13.601,3.10124,0.000468912,1.97113,6.22851,+
prdx-2,0.631724,1.63322,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.8193,21.3514,22.029,22.1654,20.8942,21.3648,21.233,21.3462,1.63322,0.00730813,0.631724,3.02426,+
jhdm-1,-0.367915,0.542395,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,13.3619,13.9144,13.2782,12.4277,13.7639,13.4889,13.5012,13.6998,0.542395,0.123548,-0.367915,-1.1688,
mrck-1,-0.162354,0.466928,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.9324,12.8595,12.7296,13.1484,12.765,13.044,13.4002,13.11,0.466928,0.156123,-0.162354,-1.03342,
nhr-86,0.809312,1.54103,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,13.2412,13.1367,12.723,13.0741,12.1407,12.7157,12.5374,11.5439,1.54103,0.00883063,0.809312,2.86078,+
aat-3,1.18814,1.05757,A0A0K3AVL7;O17395,Amino Acid Transporter,14.8507,12.5438,14.7044,14.9367,12.9043,13.3256,12.9065,13.1466,1.05757,0.0301851,1.18814,2.03884,+
"CELE_M02H5,8",-0.150048,0.219522,A0A0K3AVS5,Uncharacterized protein,17.8814,18.3561,17.4129,17.281,18.1582,18.0209,17.6519,17.7006,0.219522,0.365694,-0.150048,-0.548377,
"CELE_T08B1,1",0.835287,2.08145,A0A0K3AVV4,Uncharacterized protein,16.8075,16.6283,16.2253,15.8527,15.6044,15.5163,15.4616,15.5904,2.08145,0.00288488,0.835287,3.8675,+
lipl-5,-0.316327,0.6096,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,13.7875,13.0386,13.6151,13.8991,14.0593,14.0521,14.0562,13.4379,0.6096,0.101247,-0.316327,-1.28643,
fln-2,1.61088,5.12143,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,17.2401,17.0084,17.1824,17.4893,15.7683,15.5146,15.573,15.6207,5.12143,0,1.61088,14.22,+
"C14C6,5",4.10191,3.40083,A0A0K3AXM4;O44667,Uncharacterized protein,17.8759,17.7461,16.8533,17.1726,13.3778,12.4916,14.7746,12.5963,3.40083,0.000522551,4.10191,7.08258,+
"CELE_T08B1,1",2.49783,5.55471,A0A0K3AY44,Uncharacterized protein,12.7405,13.151,12.721,13.194,10.6738,10.3378,10.406,10.3975,5.55471,0,2.49783,16.8537,+
zig-11,2.13221,3.27147,A0A0K3AY85,2 (Zwei) IG domain protein,13.8044,13.0533,13.6798,14.5018,11.4791,11.9132,11.7059,11.4122,3.27147,0.000479315,2.13221,6.70311,+
ilys-5,-0.376158,0.937599,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,16.3846,16.399,15.7997,15.8194,16.3559,16.2442,16.7785,16.5289,0.937599,0.041678,-0.376158,-1.83954,+
irg-3,2.76097,2.31765,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.1604,17.0106,14.7837,16.0043,12.0239,13.6031,14.0724,13.2157,2.31765,0.00185169,2.76097,4.35197,+
tns-1,0.711203,1.83678,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.776,16.3484,15.637,15.4595,15.3103,15.0886,14.9067,15.0705,1.83678,0.00479942,0.711203,3.3963,+
ubr-4,2.15985,3.0587,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.2463,15.2113,14.8975,15.1344,12.175,13.4889,12.5708,12.6153,3.0587,0.000461146,2.15985,6.11407,+
ccar-1,0.38292,1.44388,A0A0S4XR43,CCAR1 homolog,15.5799,15.5482,15.0462,15.6596,15.1376,15.0373,15.1087,15.0186,1.44388,0.0114682,0.38292,2.69142,+
ulp-2,-1.07968,2.01654,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,13.0063,12.9344,12.7092,13.3301,14.6588,13.6319,13.6467,14.3612,2.01654,0.00340376,-1.07968,-3.73967,+
"CELE_T23F4,2",2.35382,3.41108,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,15.8133,14.8054,15.3543,15.2055,13.3763,12.8645,13.2779,12.2445,3.41108,0.000526646,2.35382,7.11338,+
sago-1,0.472231,1.04657,A0A0T7CIX3,Piwi-like protein,14.2528,13.9308,13.39,13.9807,13.6895,13.542,13,13.434,1.04657,0.0312184,0.472231,2.02055,+
sago-2,1.81542,1.94394,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,15.9714,16.1316,15.8783,15.8794,14.5988,14.3745,14.9379,12.6879,1.94394,0.00399696,1.81542,3.59917,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",1.63747,2.18236,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",15.1338,14.0937,14.6206,15.0443,13.6059,13.0851,13.4806,12.171,2.18236,0.00239262,1.63747,4.07062,+
daf-4,2.21719,3.2061,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,15.3938,15.8197,16.4897,15.9718,14.3909,13.1758,13.5505,13.6891,3.2061,0.000462491,2.21719,6.51761,+
hpo-3,1.89089,4.60225,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,13.3048,13.2918,12.9594,13.2874,11.1086,11.7108,11.3353,11.1251,4.60225,0,1.89089,11.5771,+
acs-22,0.205345,0.793425,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,14.7458,14.7142,15.1839,15.011,14.7618,14.6566,14.8523,14.5628,0.793425,0.0604758,0.205345,1.59914,
tag-10,0.404345,0.413828,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,16.1245,17.0136,15.4118,15.4037,15.3004,15.4845,15.367,16.1844,0.413828,0.184755,0.404345,0.935511,
imb-2,1.51058,2.41065,A0A131MBF9;O62332,IMportin Beta family,15.6993,16.2368,14.6958,15.4748,14.1157,14.0364,13.76,14.1524,2.41065,0.00147899,1.51058,4.55176,+
brf-1,1.12062,0.948959,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,13.0458,12.7342,12.9938,13.2471,12.86,10.1685,12.0832,12.4267,0.948959,0.0402996,1.12062,1.85841,+
"CELE_W09B6,4",1.70047,2.24439,A0A131MBG4;H2L0M1,Uncharacterized protein,15.68,15.5589,14.7706,14.3431,12.7675,13.888,13.6697,13.2255,2.24439,0.00209103,1.70047,4.1983,+
irg-7,1.47692,4.57507,A0A131MBU3,Protein irg-7,19.4416,19.381,19.0262,19.1209,17.7776,17.5662,17.9636,17.7546,4.57507,0,1.47692,11.4523,+
"CELE_F27B10,1",2.04871,0.374456,A0A131MCJ0,Uncharacterized protein,13.2298,13.2916,12.8022,13.3336,13.8266,4.00029,13.1449,13.4906,0.374456,0.210525,2.04871,0.861159,
"CELE_T22F3,3",2.76399,5.09052,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",13.3209,13.3028,12.7684,13.2858,10.6188,9.99572,10.4122,10.5953,5.09052,0,2.76399,14.0479,+
die-1,1.21524,1.07505,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,13.1744,13.2054,12.5641,13.3621,10.2499,12.8387,12.2804,12.0761,1.07505,0.0291442,1.21524,2.06792,+
dhs-11,-0.565963,0.441981,A0A163UT65,"DeHydrogenases, Short chain",13.765,13.5004,15.6562,15.5333,15.1228,15.1509,15.364,15.081,0.441981,0.168342,-0.565963,-0.987734,
tbc-14,0.8517,4.84939,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,15.6906,15.8106,15.8825,15.8561,14.8343,15.0339,14.9136,15.0513,4.84939,0,0.8517,12.7717,+
cyp-34a6,2.30295,4.54068,A0A164D3C9;O44656,CYtochrome P450 family,15.1899,15.7969,15.5454,15.7498,13.4694,13.5735,13.0709,12.9564,4.54068,0,2.30295,11.2961,+
fipp-1,-0.795515,1.69362,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,13.2832,13.113,12.8723,13.2821,14.2437,13.3246,14.3555,13.8089,1.69362,0.00638771,-0.795515,-3.13297,+
unc-132,1.17727,3.28533,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,16.1923,15.5441,16.0539,15.6335,14.6151,14.4978,14.8069,14.7951,3.28533,0.000484499,1.17727,6.74295,+
cdh-4,1.6287,3.92179,A0A1C3NSI5;Q19319,Cadherin-4,13.3397,12.9297,12.8374,13.2936,11.7879,11.5006,11.1287,11.4683,3.92179,0.000314856,1.6287,8.79656,+
ajm-1,2.23346,3.33632,A0A1C3NSL1,Apical Junction Molecule,13.0441,13.1996,12.6299,13.194,10.9694,9.90974,11.0537,11.2009,3.33632,0.000503371,2.23346,6.89123,+
"CELE_ZC412,3",2.28342,3.68245,A0A1C3NSL5,Uncharacterized protein,18.8669,19.0285,18.0189,17.9431,16.173,16.0842,16.1339,16.3324,3.68245,0.000326761,2.28342,7.96997,+
farl-11,1.36962,2.90331,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,13.3,13.0025,12.9875,12.5854,11.4386,12.1576,11.4889,11.3118,2.90331,0.000578116,1.36962,5.70953,+
let-711,0.697932,2.3686,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,15.9654,15.3583,15.7342,15.6397,14.7561,14.9078,15.0526,15.1894,2.3686,0.00165353,0.697932,4.46075,+
"C40H1,7",-0.297225,0.284908,A0A1I6CM73,Uncharacterized protein,14.5763,14.4699,15.9008,15.0706,15.6414,15.1485,14.5656,15.8509,0.284908,0.28846,-0.297225,-0.685011,
spat-2,1.02014,2.25852,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.5621,15.8213,15.0436,15.1316,14.0406,14.6327,14.1608,14.6439,2.25852,0.00208421,1.02014,4.22769,+
aakg-1,2.92988,5.81315,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,15.9258,16.2658,16.0502,15.7623,13.0576,12.9201,12.9037,13.4031,5.81315,0,2.92988,18.6419,+
grl-23,-1.81766,4.54045,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),12.844,13.2261,12.9642,13.0982,14.5158,14.7975,15.1834,14.9063,4.54045,0,-1.81766,-11.2951,+
spat-2,1.30649,1.19661,A0A1I6CM95,Suppressor of PAr-Two defect,14.143,13.3995,15.8371,15.2707,13.7933,13.2742,12.9591,13.3979,1.19661,0.0213486,1.30649,2.27089,+
"CELE_Y55F3BR,6",0.381522,0.615978,A0A1I6CMC9,Uncharacterized protein,13.1881,13.2986,12.9785,13.1643,13.2224,12.0115,13.2091,12.6604,0.615978,0.0993681,0.381522,1.29748,
vab-10,2.44437,4.78529,A0A1N7SYP3,Uncharacterized protein,19.3241,19.188,18.8759,19.0655,16.7322,16.2592,16.5955,17.0891,4.78529,0,2.44437,12.4513,+
"eif-3,l;eif-3,L",1.69209,3.0367,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,18.3123,17.9605,18.9907,18.9457,17.1061,16.5901,16.7168,17.0278,3.0367,0.000455919,1.69209,6.05554,+
"npp-25;npp-25;npp-25;Y37D8A,17",0.4864,0.693888,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,16.4943,15.8518,17.1822,17.0772,16.0175,16.6041,15.9879,16.0504,0.693888,0.0795863,0.4864,1.43111,
cnt-1,1.80666,1.75949,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,15.9609,14.8263,14.0249,15.4226,14.2779,12.7615,12.6716,13.297,1.75949,0.00557869,1.80666,3.2531,+
"C26G2,2",1.79558,1.70086,A0A1N7SYU2,Uncharacterized protein,13.5636,13.5028,14.9584,13.9699,12.4263,12.8725,12.6666,10.847,1.70086,0.00625051,1.79558,3.14609,+
"CELE_F43B10,1",-0.677994,1.16564,A0A1N7SYW5,Uncharacterized protein,13.1894,13.1562,12.0314,13.3612,13.6452,13.6701,13.5638,13.571,1.16564,0.0231314,-0.677994,-2.21901,+
ubc-15,-0.122421,0.474452,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,14.6706,14.6209,14.3081,14.6214,14.4611,14.8595,14.681,14.7091,0.474452,0.152346,-0.122421,-1.04711,
"CELE_Y55F3BR,10",5.02224,4.11145,A0A9S0,Uncharacterized protein,15.7842,15.5107,13.9367,16.3988,10.305,10.3478,10.3067,10.5818,4.11145,0.000241645,5.02224,9.50375,+
"CELE_Y38F2AR,12",0.0970201,0.0831305,A0A9S2,Uncharacterized protein,14.3588,13.0704,14.4108,14.9409,14.4601,13.7661,14.0696,14.0969,0.0831305,0.659367,0.0970201,0.229923,
ttr-42,2.03725,1.65949,A2V8C3,TransThyretin-Related family domain,17.0684,17.1944,19.1209,19.6243,15.9733,16.3299,16.4235,16.1323,1.65949,0.00682432,2.03725,3.07139,+
"CELE_H29C22,1",2.83607,3.93318,A2V8C8,Uncharacterized protein,19.1467,18.3187,18.7729,19.6119,16.1022,16.0613,15.7707,16.5717,3.93318,0.000210056,2.83607,8.8377,+
"CELE_F07G6,10",0.962063,0.464341,A3FPJ3,Uncharacterized protein,13.2493,14.0597,16.8222,15.455,12.6363,15.1037,13.9715,14.0265,0.464341,0.157236,0.962063,1.02871,
