geneName,log2FC,pvalue,Leading.proteins,Proteins,Protein.names,Positions.within.proteins,Localization.prob,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04, -Log.p.value, Student's T-test q-value N2_d10_N2_d5,log2FC,Student's T-test Test statistic N2_d10_N2_d5,Sign p-val: 0.05 
pgp-2,-1.85289,2.67574,G5EDF9,G5EDF9;A0A0K3AQN5;A0A0K3AWK1;A0A0K3AU66,,521;521;514;514,1,18.7538,18.7701,18.7407,19.0366,21.2489,20.283,21.2956,19.8853,2.67574,0.000527753,-1.85289,-5.15261,+
lev-11,-0.352975,0.187496,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;A0A0K3AUC0;Q27249,Tropomyosin isoforms a/b/d/f;Tropomyosin isoforms c/e,98;189;161;189;189;189;189;60;161,1,21.4698,20.5738,19.1009,21.3845,21.9577,20.3436,19.9513,21.6882,0.187496,0.428786,-0.352975,-0.478268,
lev-11,-5.42687,3.88869,A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866;A0A0K3AUC0,Tropomyosin isoforms a/b/d/f,58;149;149;149;20,1,20.2377,19.7373,18.5143,17.9382,23.824,24.2237,24.7437,25.3436,3.88869,0.000262467,-5.42687,-8.678,+
lev-11,-0.273992,0.294154,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866;A0A0K3AUC0,Tropomyosin isoforms a/b/d/f,173;264;236;264;264;264;135,1,26.045,25.6702,27.109,26.0397,25.9499,27.0139,26.7184,26.2778,0.294154,0.274506,-0.273992,-0.703726,
lev-11,-4.66009,2.35829,A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,Tropomyosin isoforms a/b/d/f,21;112;112;112;112;112,1,17.2868,18.7173,21.439,20.6722,23.6729,23.1417,24.9478,24.9932,2.35829,0.00119603,-4.66009,-4.43862,+
lev-11,-3.75598,2.70103,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866;A0A0K3AUC0,Tropomyosin isoforms a/b/d/f,160;251;223;251;251;251;122,1,19.6958,21.2905,19.8868,17.9633,24.0717,23.4302,22.9369,23.4216,2.70103,0.000537535,-3.75598,-5.21252,+
lev-11,-1.27303,0.876554,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;A0A0K3AUC0;Q27249,Tropomyosin isoforms a/b/d/f;Tropomyosin isoforms c/e,122;213;185;213;213;84;185,1,26.1909,26.0301,26.2682,25.1585,26.349,25.7396,28.6875,27.9636,0.876554,0.0356814,-1.27303,-1.73801,+
lev-11,-6.94096,3.8011,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;A0A0K3AUC0;Q27249,Tropomyosin isoforms a/b/d/f;Tropomyosin isoforms c/e,114;205;177;205;205;76;177,1,20.8913,17.5493,19.4176,17.826,25.3626,25.5536,25.8357,26.6962,3.8011,0.00023753,-6.94096,-8.37096,+
lev-11,4.49602,4.52203,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,Tropomyosin isoforms a/b/d/f,28;28;28;28;28,1,26.014,26.2594,25.0266,26.2841,21.7925,21.4862,20.6125,21.7089,4.52203,0,4.49602,11.2122,+
lev-11,-2.01319,2.78552,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,Tropomyosin isoforms a/b/d/f,76;76;76;76;76,1,18.993,19.9835,19.3398,18.5383,21.2213,20.6539,21.3595,21.6727,2.78552,0.000571429,-2.01319,-5.41621,+
lev-11,-4.47224,3.15659,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,Tropomyosin isoforms a/b/d/f,15;15;15;15;15,1,20.9316,22.1213,22.664,22.536,26.9802,27.5772,24.8865,26.698,3.15659,0.000373541,-4.47224,-6.37983,+
,-3.16972,2.20855,A0A0K3AUF2,A0A0K3AUF2;A0A0K3AQW3,,802;858,0.882807,23.1616,21.0025,23.9234,22.1368,24.6033,26.5485,25.5014,26.25,2.20855,0.00151966,-3.16972,-4.12427,+
lev-11,-1.92046,1.20619,A0A0K3ARB5;Q27249,A0A0K3ARB5;Q27249,Tropomyosin isoforms c/e,19;19,0.976835,16.6725,18.9985,20.2566,18.3358,21.0321,20.6476,20.909,19.3567,1.20619,0.0139193,-1.92046,-2.28696,+
lev-11,-0.821178,1.37433,A0A0K3ARB5;Q27249,A0A0K3ARB5;Q27249,Tropomyosin isoforms c/e,20;20,0.862584,20.1902,19.864,20.7307,20.6126,21.3307,20.4895,21.1832,21.6788,1.37433,0.00886706,-0.821178,-2.57177,+
lev-11,-2.71997,2.22669,A0A0K3ARB5;Q27249,A0A0K3ARB5;Q27249,Tropomyosin isoforms c/e,6;6,1,19.3227,18.3609,20.7834,19.0101,22.6,21.0657,21.8268,22.8644,2.22669,0.00149752,-2.71997,-4.16164,+
egl-8,-1.57261,1.02294,A0A0K3AS90,A0A0K3AS90;A0A0K3AXK2;A0A0K3AV92;A0A0K3ARR2;A0A0K3AUN1;A0A0K3AS85;A0A0K3AVA5;A0A0K3AXI3;A0A0K3ARS4;A0A0K3AV83;A0A0K3AUL7;A0A0K3AS74;A0A0K3AXJ6;A0A0K3AV97;A0A0K3ARR7;A0A0K3ARQ7;A0A0K3AUM3;A0A0K3AUL3;A0A0K3AS80;A0A0K3AXJ0;A0A0K3AS71;A0A0K3AXH8;G5EBH0,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta egl-8",1163;1175;1191;1203;1223;1235;1244;1251;1256;1263;1272;1284;1304;1316;1329;1332;1341;1344;1410;1422;1438;1450;1369,0.998205,19.4441,19.905,20.9288,17.4719,21.7563,20.9889,21.1133,20.1818,1.02294,0.0241732,-1.57261,-1.98129,+
ubxn-3,-0.640911,0.605027,A0A0K3AWX1,A0A0K3AWX1;A0A0K3ATZ0;Q6A589;H2L056;A0A0K3ARL0,,391;396;485;490;111,1,22.1038,22.4952,21.6995,23.0648,22.1248,23.6775,23.6823,22.4424,0.605027,0.0872755,-0.640911,-1.2785,
ubxn-3,-2.87746,1.63047,A0A0K3AWX1,A0A0K3AWX1;A0A0K3ATZ0;Q6A589;H2L056;A0A0K3ARL0,,378;383;472;477;98,0.999489,17.8536,18.3688,20.5987,16.6337,21.9468,19.9293,21.1922,21.8962,1.63047,0.00521418,-2.87746,-3.01934,+
,-3.2039,1.87129,A0A0K3AVS5,A0A0K3AVS5,,10,0.67993,17.2241,21.0138,20.6899,20.4135,23.465,22.3017,23.5394,22.8507,1.87129,0.00304962,-3.2039,-3.46108,+
fln-2,-4.16183,2.48001,A0A0K3AW96,A0A0K3AW96;D0VWL6;A0A0K3AYH6;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AT74;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AVI4;A0A0K3ASN9;A0A0K3ASM8;A0A0K3AVH5,,1148;1781;1117;765;829;885;973;1750;734;798;854;942;524;493;352;352,1,18.2501,17.3024,21.2568,19.0738,23.5389,22.7835,23.635,22.5729,2.48001,0.000938875,-4.16183,-4.70434,+
fln-2,-4.65332,2.05517,A0A0K3AW96,A0A0K3AW96;D0VWL6;A0A0K3AYH6;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AT74;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AVI4;A0A0K3ASN9;A0A0K3ASM8;A0A0K3AVH5,,1306;1939;1275;923;987;1043;1131;1908;892;956;1012;1100;682;651;510;510,0.961697,16.8861,21.0535,20.4705,17.0515,24.9522,23.5613,23.0364,22.5249,2.05517,0.00210677,-4.65332,-3.81548,+
fln-2,-2.84972,2.06287,A0A0K3AW96,A0A0K3AW96;D0VWL6;A0A0K3AYH6;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AT74;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AVI4;A0A0K3ASN9;A0A0K3ASM8;A0A0K3AVH5,,2799;3432;2414;2416;2480;2536;2624;3047;2031;2095;2151;2239;2175;1790;1649;2003,1,19.7319,22.0958,23.0487,21.4519,24.9466,23.9871,23.9962,24.7973,2.06287,0.00201962,-2.84972,-3.83068,+
fln-2,-4.36014,3.41046,A0A0K3AW96,A0A0K3AW96;D0VWL6;A0A0K3AYH6;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AT74;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AVI4;A0A0K3ASN9;A0A0K3ASM8;A0A0K3AVH5,,2725;3358;2340;2342;2406;2462;2550;2973;1957;2021;2077;2165;2101;1716;1575;1929,1,18.2568,18.7759,20.7289,19.3757,23.8979,23.0221,24.3683,23.2894,3.41046,0.0002304,-4.36014,-7.1115,+
oac-14,0.107612,0.125937,A0A0K3AWB0,A0A0K3AWB0;Q19239,,580;673,1,24.3395,24.7182,25.2893,24.3565,24.8829,24.2192,25.0415,24.1295,0.125937,0.559124,0.107612,0.336043,
oac-14,-3.55378,2.26185,A0A0K3AWB0,A0A0K3AWB0;Q19239,,588;681,0.999991,20.6595,19.0061,19.501,18.684,21.3795,22.2431,24.3223,24.1208,2.26185,0.00135438,-3.55378,-4.23464,+
,-6.19497,3.18109,A0A0K3AWM6,A0A0K3AWM6,,430,1,21.3268,19.617,18.1588,18.4386,26.7002,26.3703,23.8664,25.3843,3.18109,0.000381963,-6.19497,-6.44772,+
lsy-13,-1.37889,0.914502,A0A0K3AXE0,A0A0K3AXE0;A3QMD7,,11;86,0.998518,17.7523,20.3766,20.8437,19.1607,21.5984,20.8447,21.1628,20.043,0.914502,0.0320386,-1.37889,-1.80115,+
,3.59865,3.58161,A0A0K3AXT9,A0A0K3AXT9;A0A0K3ASI3,,687;583,1,26.6331,25.5033,26.0056,25.2301,23.091,22.314,21.3517,22.2208,3.58161,0.000277457,3.59865,7.64214,+
,3.4786,3.8655,A0A0K3AXT9,A0A0K3AXT9;A0A0K3ASI3,,697;593,1,25.6837,27.4236,26.7681,26.3518,23.1995,23.1103,22.5907,23.4123,3.8655,0.000254453,3.4786,8.59575,+
,2.5257,3.06927,A0A0K3AXT9,A0A0K3AXT9;A0A0K3ASI3,,677;573,1,22.9459,23.2731,24.2958,22.699,21.0903,20.3276,20.5,21.1932,3.06927,0.000348247,2.5257,6.14237,+
,1.86914,1.11197,A0A0K3AXT9,A0A0K3AXT9;A0A0K3ASI3,,683;579,0.999981,26.4625,27.1201,26.9259,23.9472,24.9417,22.9695,24.0447,25.0233,1.11197,0.0183035,1.86914,2.1294,+
,-0.440707,0.307645,A0A0K3AY44;O44557,A0A0K3AY44;O44557;A0A0K3AVV4,,449;589;610,1,20.4477,21.1136,21.5285,22.3123,21.718,20.6425,21.9202,22.8842,0.307645,0.261185,-0.440707,-0.730797,
,-2.10833,2.06611,A0A0K3AY44;O44557,A0A0K3AY44;O44557;A0A0K3AVV4,,442;582;603,1,18.7914,18.0536,18.9134,20.0179,21.8112,21.4014,20.9117,20.0854,2.06611,0.00202492,-2.10833,-3.83709,+
oig-6,-5.01487,2.76691,A0A0K3AY85;Q9BPN5,A0A0K3AY85;Q9BPN5,,173;301,1,18.0733,19.3085,20.6588,17.6614,24.8996,24.8557,22.1453,23.861,2.76691,0.000562561,-5.01487,-5.37088,+
oig-6,-1.88233,2.15406,A0A0K3AY85;Q9BPN5,A0A0K3AY85;Q9BPN5,,152;280,1,19.8893,18.5783,19.0812,19.4721,21.2685,20.0667,21.3877,21.8274,2.15406,0.00163075,-1.88233,-4.01311,+
,-8.53108,4.68024,A0A0K3AYE8,A0A0K3AYE8,,172,1,20.1948,17.4668,19.5318,17.8033,27.9055,27.0344,27.5142,26.667,4.68024,0,-8.53108,-11.9424,+
,3.23428,3.77105,A0A0M7RFG7,A0A0M7RFG7;G5EDZ6,,49;244,1,23.7544,25.0076,24.5941,24.4377,21.2617,21.7142,20.3843,21.4964,3.77105,0.000229358,3.23428,8.26779,+
,0.0269427,0.0170279,A0A0S4XRR1,A0A0S4XRR1;Q9TXY2,,215;225,1,24.8747,23.4387,24.2034,23.0068,24.4258,22.9297,24.3081,23.7522,0.0170279,0.926753,0.0269427,0.0502548,
,-1.61028,1.77881,A0A0T7CIX3,A0A0T7CIX3,,487,0.998635,19.51,19.1802,20.3095,19.3,21.6439,21.5395,19.9315,21.6258,1.77881,0.00353931,-1.61028,-3.28868,+
,-1.69319,4.10217,A0A0T7CIX3,A0A0T7CIX3,,136,1,19.0947,19.2576,19.5517,19.6653,21.3052,20.7546,21.0599,21.2222,4.10217,0.000327869,-1.69319,-9.46803,+
,-2.35969,2.10679,A0A0T7CIX3,A0A0T7CIX3,,543,1,18.5236,19.0979,18.6697,19.6895,21.269,20.3956,20.863,22.8918,2.10679,0.00200936,-2.35969,-3.91799,+
rpl-11.1,-6.01358,4.39279,A0A131MBQ6;Q94300,A0A131MBQ6;Q94300,60S ribosomal protein L11,32;166,1,18.383,19.7354,20.2466,18.8817,24.9599,26.4599,24.8678,25.0134,4.39279,0,-6.01358,-10.6465,+
mdt-18,-3.85932,1.9819,A0A131MCJ5,A0A131MCJ5;Q966M5,Mediator of RNA polymerase II transcription subunit 18,53;114,1,20.0335,20.9121,18.073,16.3575,22.3347,23.0865,22.1952,23.197,1.9819,0.00237157,-3.85932,-3.67231,+
rnf-5,0.729723,1.77638,A0A131MD51,A0A131MD51;Q09463,RING finger protein 5,18;18,1,24.1954,24.241,24.7764,24.8024,23.9651,23.6088,24.0779,23.4445,1.77638,0.0035354,0.729723,3.28418,+
fipp-1,-1.19417,0.963294,O16293,O16293;A0A164D3G3,,195;195,0.997078,19.1847,19.6218,19.2725,21.1687,21.9341,19.9444,21.4413,20.7045,0.963294,0.0286931,-1.19417,-1.88222,+
,-3.52671,2.8249,O02147,O02147;A0A1C3NSL8,Carboxylic ester hydrolase,540;560,0.612164,18.1144,20.3707,19.4255,20.6059,22.8932,22.4723,23.4205,23.8374,2.8249,0.000475327,-3.52671,-5.51303,+
spat-2,-1.60033,0.798498,F3Y5Q3,F3Y5Q3;F3Y5Q7;A0A1I6CM84;A0A1I6CM87;A0A1I6CM95,,84;152;152;501;514,0.850926,19.6783,20.0169,21.5682,16.9123,20.6423,21.2153,20.9879,21.7316,0.798498,0.0456339,-1.60033,-1.60764,+
,1.09592,1.02175,Q9N350,Q9N350;A0A1I6CMC9,,17;90,1,22.7144,23.3217,24.9161,23.4527,23.3747,22.079,22.1664,22.4012,1.02175,0.0243088,1.09592,1.97931,+
,-0.220845,0.172435,Q9N350,Q9N350;A0A1I6CMC9,,179;252,1,23.2303,23.3644,23.6562,23.8135,24.1499,24.1082,22.3118,24.3778,0.172435,0.456129,-0.220845,-0.444445,
,2.58177,3.04591,A0A1N7SYR3,A0A1N7SYR3;A0A1N7SZF8;A0A1N7SYW0,,844;973;985,1,23.8067,23.9231,23.9464,22.5394,20.8211,20.3356,21.5111,21.2207,3.04591,0.000343675,2.58177,6.07999,+
,0.85466,1.13778,A1IMB7,A1IMB7,,151,1,23.4745,23.6091,23.6917,23.2513,23.5733,21.7845,22.8928,22.3574,1.13778,0.0167387,0.85466,2.17246,+
,2.38304,2.45301,A3QMB7,A3QMB7,,63,0.647627,22.3757,23.0182,23.0929,23.6651,19.9455,20.6474,20.1293,21.8976,2.45301,0.00102169,2.38304,4.64456,+
,-1.86948,1.52603,J7SF86,J7SF86;A4UVK2,,65;130,1,19.2189,19.3868,20.6807,17.793,20.7098,21.5219,20.5711,21.7545,1.52603,0.00656486,-1.86948,-2.83444,+
,-0.587904,0.342972,U4PRJ1;Q95ZL3,U4PRJ1;A5HU95;Q5TYL1;H2L0G8;Q95ZL3,,143;178;188;239;145,1,20.6035,19.2351,21.7549,19.1234,21.8276,20.8291,20.0543,20.3575,0.342972,0.226922,-0.587904,-0.800446,
dhs-3,-2.04874,1.23382,A5JYX4,A5JYX4;A5JYX5,,101;103,1,18.3523,21.2156,19.5447,17.3114,21.5185,20.5444,20.9012,21.6549,1.23382,0.013054,-2.04874,-2.3334,+
dhs-3,0.503369,0.340759,A5JYX4,A5JYX4;A5JYX5,,81;83,1,24.5257,24.5425,25.5771,23.5064,23.8395,23.0608,23.9176,25.3203,0.340759,0.229234,0.503369,0.796132,
dhs-3,-1.73861,1.24671,A5JYX4,A5JYX4;A5JYX5,,77;79,0.981574,19.4325,18.2136,17.8687,20.5942,20.7993,19.6805,20.9888,21.5947,1.24671,0.01262,-1.73861,-2.35511,+
dhs-3,-0.462811,0.512524,A5JYX4,A5JYX4;A5JYX5,,130;132,0.5,21.005,20.0773,22.036,21.2865,21.698,21.3442,21.4864,21.7275,0.512524,0.122473,-0.462811,-1.11568,
dhs-3,-1.08945,0.554274,A5JYX4,A5JYX4;A5JYX5,,131;133,0.5,17.617,18.5062,21.6379,20.0051,21.0697,20.5825,19.883,20.5889,0.554274,0.104072,-1.08945,-1.18977,
,-0.209432,0.16942,A5PEY0,A5PEY0,,153,1,26.2413,27.5532,26.1096,26.2722,27.4033,26.922,25.801,26.8877,0.16942,0.462129,-0.209432,-0.437605,
,-0.880902,1.48296,I2HA81,I2HA81;A5Z2T9,,362;364,1,25.2276,25.7521,25.6308,26.0658,26.6272,25.9055,27.2079,26.4594,1.48296,0.00694606,-0.880902,-2.75921,+
,-1.73444,2.29336,A5Z2W7,A5Z2W7;O45637,,48;59,1,19.6461,19.5996,18.897,18.4448,20.8655,20.101,21.3691,21.1898,2.29336,0.00134996,-1.73444,-4.30067,+
,-5.56128,4.40124,A5Z2W7,A5Z2W7;O45637,,56;67,1,19.6908,17.3903,19.388,18.9776,24.4835,24.6633,24.3086,24.2365,4.40124,0,-5.56128,-10.6827,+
,-4.12469,3.05908,A6PVA5,A6PVA5;O16314,,9;9,1,18.1628,19.9157,18.4803,16.7249,21.99,22.4947,22.7624,22.5354,3.05908,0.000345738,-4.12469,-6.11509,+
,-1.5602,1.07349,Q20621,Q20621;A6ZJ46;Q8I4I4,,425;479;420,0.978756,18.0417,19.0986,21.2424,20.0471,21.6043,20.7484,20.4864,21.8316,1.07349,0.020994,-1.5602,-2.06532,+
tag-296,-1.61512,0.925614,A7DT41,A7DT41,,137,1,19.7301,18.9493,17.5281,21.1365,19.6347,21.7686,21.4388,20.9624,0.925614,0.0312012,-1.61512,-1.81962,+
tag-296,-1.69039,1.54234,A7DT41,A7DT41,,240,1,18.9047,19.4749,17.9286,20.2632,21.7511,20.3296,20.3976,20.8546,1.54234,0.00644926,-1.69039,-2.86309,+
tag-296,-3.48969,2.97019,A7DT41,A7DT41,,165,1,20.8749,20.6043,20.1402,19.1318,24.5874,23.6456,22.4487,24.0283,2.97019,0.000472687,-3.48969,-5.8811,+
tag-296,-2.7476,1.04471,A7DT41,A7DT41,,223,1,15.1323,20.626,17.4691,20.6805,21.5633,20.72,20.9932,21.6218,1.04471,0.0225856,-2.7476,-2.01746,+
tag-296,-5.40757,3.7202,A7DT41,A7DT41,,158,0.989902,18.682,20.2086,18.7456,18.0015,24.3909,24.2133,23.16,25.5037,3.7202,0.00021978,-5.40757,-8.09572,+
tag-296,-5.18402,2.67394,A7DT41,A7DT41,,262,1,16.7566,19.8939,20.5756,20.2203,24.1986,24.159,23.8291,25.9958,2.67394,0.000525839,-5.18402,-5.14837,+
