geneName,log2FC,pvalue,ProteinAccessions,,ProteinDescriptions,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value N2_d10_N2_d5,log2FC,Student's T-test Test statistic N2_d10_N2_d5,Sign p-val: 0.05 
pps-1,2.56758,3.31614,A0A061AE05;Q22501,,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,16.9277,16.9882,16.7831,17.9848,14.3474,14.1023,14.6768,15.287,3.31614,0,2.56758,6.83224,+
cka-1,2.27442,1.97878,A0A061AIW1;B3GWD5;O17610,,Choline Kinase A,14.8416,15.4305,16.2572,17.6152,13.4878,14.1536,13.55,13.8556,1.97878,0.00120822,2.27442,3.66626,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",0.850015,0.968363,A0A061AJK8;A0A061AL89;Q21920,,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.2815,14.3868,14.4725,14.9605,13.343,14.7779,12.7744,13.8059,0.968363,0.0244698,0.850015,1.89064,+
spp-18,-1.26479,1.70996,A0A061AKY5;Q19837,,SaPosin-like Protein family,14.277,14.1225,13.6839,15.0089,15.0469,15.1157,15.7014,16.2875,1.70996,0.00263069,-1.26479,-3.16262,+
lin-66,0.168216,0.275843,A0A061AL58;O62020,,Uncharacterized protein,14.25,14.441,14.4749,14.5368,14.0077,13.7704,14.3544,14.8973,0.275843,0.253324,0.168216,0.666527,
"CELE_F09E10,7",0.486991,1.14006,A0A078BPG0,,Uncharacterized protein,14.2173,14.1746,14.1429,14.8907,13.6093,13.9933,14.1876,13.6874,1.14006,0.0149556,0.486991,2.17627,+
"CELE_F10C1,9",0.77775,1.30028,A0A078BPH9;G4S1A4,,Uncharacterized protein,14.1701,14.1251,14.3814,15.0562,13.9452,13.0582,13.5171,14.1013,1.30028,0.0092405,0.77775,2.44564,+
itx-1,1.40286,3.26842,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,,InTestinal NeureXin-like,16.1639,16.1252,16.1658,16.7853,15.0756,14.6052,14.7545,15.1934,3.26842,0,1.40286,6.69437,+
"CELE_Y41E3,7",0.615231,0.805577,A0A078BQL1;O62444;Q2XMY1,,Uncharacterized protein,14.6389,15.5725,16.038,15.1986,14.5143,14.874,15.3494,14.2494,0.805577,0.040245,0.615231,1.6195,+
"CELE_Y105C5B,15",-0.683881,1.38104,A0A078BQP7;Q9U309,,Purple acid phosphatase,14.3666,14.1884,13.6107,14.7568,14.7875,14.7886,14.8223,15.2597,1.38104,0.00721838,-0.683881,-2.58325,+
lim-9,0.0326824,0.0455064,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,,LIM domain family,14.3061,14.3051,14.3001,14.9978,14.2439,14.2245,14.3268,14.9832,0.0455064,0.787999,0.0326824,0.130389,
"CELE_Y105E8A,25",1.3989,2.71137,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,,Uncharacterized protein,14.281,14.4162,14.1802,15.156,12.7547,13.4247,12.9829,13.2754,2.71137,0.000210723,1.3989,5.23716,+
pgp-2,1.40614,2.12106,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.5056,14.8773,15.8577,16.2587,14.4009,14.1815,13.6723,14.6201,2.12106,0.000693276,1.40614,3.94657,+
lpd-3,-1.7082,3.44919,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,,LiPid Depleted,14.5079,14.1863,14.3007,14.5037,15.4549,16.4514,16.337,16.0881,3.44919,0,-1.7082,-7.22884,+
tln-1,1.17031,2.61238,A0A0K3AQU9,,TaLiN,14.7834,15.8676,15.3835,15.1703,14.1918,13.9737,14.107,14.251,2.61238,0.000305778,1.17031,5.00453,+
max-2,3.62767,3.49673,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,18.3792,17.8231,17.5291,18.4921,15.5204,14.5985,13.4376,14.1562,3.49673,0,3.62767,7.37503,+
egl-27,1.47137,3.46235,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.397,14.1208,14.3659,14.8478,12.576,13.1572,13.132,12.9809,3.46235,0,1.47137,7.26908,+
cdc-14,3.06086,4.22583,A0A0K3AQY3;A0A0K3ATW0;P81299,,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,14.0134,13.9992,14.4636,15.1621,11.472,11.1757,11.0624,11.6847,4.22583,0,3.06086,9.95429,+
daf-16,0.375916,0.567121,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.1039,14.3826,14.3178,14.7611,14.585,14.0713,13.2523,14.1532,0.567121,0.0871487,0.375916,1.21236,
"CELE_T16H12,3;T16H12,3",2.89529,4.82853,A0A0K3ARA8;P34566,,"Uncharacterized protein;Uncharacterized protein T16H12,3",14.2774,14.3938,13.7544,14.5154,11.412,11.2337,10.9874,11.7267,4.82853,0,2.89529,12.6666,+
lev-11,2.65836,3.3699,A0A0K3ARC0,,Uncharacterized protein,17.5835,17.5333,16.8948,18.4039,15.1948,14.4688,14.6904,15.4279,3.3699,0,2.65836,6.99032,+
gld-2,3.05704,4.91944,A0A0K3ARE1;A0A0K3AWQ7;O17087,,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,14.3488,14.3527,13.9096,14.9169,11.3677,11.1951,11.1271,11.6101,4.91944,0,3.05704,13.1307,+
ncl-1,-0.26368,0.248249,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,14.4803,13.9704,14.4543,15.1209,14.5409,15.7414,14.0072,14.7912,0.248249,0.285855,-0.26368,-0.609389,
"CELE_D1069,3",-0.188066,0.0726091,A0A0K3ARJ1;Q6A586,,Uncharacterized protein,14.4058,11.0788,13.4142,15.1272,13.2709,14.0571,14.3065,13.1438,0.0726091,0.681355,-0.188066,-0.202738,
lin-23,1.36482,1.8128,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,14.4909,14.3822,13.5793,14.943,13.3327,12.299,12.7186,13.5858,1.8128,0.00207547,1.36482,3.35161,+
"CELE_Y50D4B,1",3.09153,4.65118,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,,Uncharacterized protein,14.4588,14.3447,13.9316,14.7977,11.4711,11.1696,10.8206,11.7053,4.65118,0,3.09153,11.805,+
"CELE_Y39A1A,21",2.98638,4.31713,A0A0K3ARX5;Q9XX11,,Uncharacterized protein,14.5117,14.1148,13.8624,15.0471,11.4521,11.2233,11.1725,11.7425,4.31713,0,2.98638,10.3276,+
dre-1,2.25473,1.1856,A0A0K3AS68;Q94251,,"Daf-12, REdundant with;F-box protein dre-1",18.8041,18.8026,15.9709,20.6601,17.0121,16.1905,15.7812,16.2351,1.1856,0.0132398,2.25473,2.25243,+
gck-1,0.109382,0.0415703,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.7454,13.3462,16.5441,17.5934,15.9078,15.5024,15.404,15.9773,0.0415703,0.805406,0.109382,0.11958,
gly-7,4.01492,4.46368,A0A0K3ASG4;O61397,,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,17.6391,17.7547,17.8132,17.9318,13.0441,13.3419,14.657,14.036,4.46368,0,4.01492,10.9535,+
"CELE_F40A3,3;F40A3,3",1.38606,2.74923,A0A0K3ASH2;O16264,,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",19.9898,20.3698,19.8862,21.0196,19.056,18.863,18.8798,18.9224,2.74923,0.000198001,1.38606,5.32806,+
"CELE_Y50D4B,4",-0.442669,0.357977,A0A0K3ASH9,,Uncharacterized protein,12.8793,13.7637,13.5127,14.6463,13.0729,14.5398,14.8538,14.1061,0.357977,0.182697,-0.442669,-0.82953,
cdf-1,3.71565,4.99614,A0A0K3ASM2;Q95QW4,,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,15.0753,14.3218,15.2003,15.1188,11.2309,10.7954,11.1403,11.687,4.99614,0,3.71565,13.5347,+
unc-34,2.87351,3.62297,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,18.6095,19.2727,18.5954,18.8462,15.7234,15.4259,16.9355,15.7449,3.62297,0,2.87351,7.7752,+
tbh-1,1.55237,1.70741,A0A0K3ATC0;Q9XTQ6,,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.546,17.7325,17.6712,19.3978,16.5062,16.1452,16.3245,17.1621,1.70741,0.0026395,1.55237,3.15798,+
lev-11,2.1162,4.47473,A0A0K3ATS1,,Uncharacterized protein,23.9041,24.1488,23.792,23.8759,21.9299,22.0167,22.0209,21.2885,4.47473,0,2.1162,11.0021,+
imp-3,3.8118,1.24791,A0A0K3AUD2;Q18408,,IntraMembrane Protease (IMPAS) family,14.2619,16.3201,15.9757,15.4478,8.93078,11.0402,10.6452,16.142,1.24791,0.0109407,3.8118,2.35712,+
prdx-2,0.173571,0.634676,A0A0K3AUJ9;H2KZL7;Q8IG31,,PeRoxireDoXin,22.1243,21.961,22.5156,22.2658,22.0854,22.1847,21.9447,21.9577,0.634676,0.0692258,0.173571,1.32977,
jhdm-1,-0.821847,2.44455,A0A0K3AUW2;Q95Q98,,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.17,14.0463,13.9909,14.4271,15.3243,14.7986,14.6742,15.1245,2.44455,0.000381186,-0.821847,-4.62595,+
mrck-1,2.58902,2.7508,A0A0K3AUZ7;O01583,,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,14.9463,15.0883,15.8627,15.26,11.7395,13.5955,13.2878,12.1785,2.7508,0.000198095,2.58902,5.33185,+
nhr-86,3.07205,5.47728,A0A0K3AVA9;Q965W2,,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,14.3783,14.425,13.8587,14.6482,11.2685,11.0428,11.2468,11.4639,5.47728,0,3.07205,16.351,+
aat-3,0.967501,0.764304,A0A0K3AVL7;O17395,,Amino Acid Transporter,14.4877,13.4276,14.8521,14.2447,12.9627,13.0532,12.2852,14.8411,0.764304,0.0461326,0.967501,1.55022,+
"CELE_M02H5,8",-1.11343,2.63719,A0A0K3AVS5,,Uncharacterized protein,18.3782,17.6726,17.7523,18.2971,19.1224,19.493,18.9658,18.9728,2.63719,0.000285971,-1.11343,-5.06216,+
"CELE_T08B1,1",2.62909,4.19546,A0A0K3AVV4,,Uncharacterized protein,17.1682,17.1618,18.0439,17.056,15.1187,14.4887,14.6688,14.6374,4.19546,0,2.62909,9.83284,+
lipl-5,5.07284,3.16888,A0A0K3AW68;A0A0K3AYF1;O61866,,Lipase;LIPase Like;Lipase,17.4404,17.3251,17.2111,19.3081,13.731,13.7747,12.2415,11.2462,3.16888,5.95E-05,5.07284,6.41383,+
fln-2,1.88786,5.21417,A0A0K3AW96;D0VWL6,,FiLamiN (Actin binding protein) homolog,18.5361,18.3068,18.1672,18.5688,16.3907,16.6015,16.3384,16.6967,5.21417,0,1.88786,14.7482,+
"C14C6,5",1.36388,2.03657,A0A0K3AXM4;O44667,,Uncharacterized protein,18.169,16.7952,18.1042,17.4029,16.5878,15.9716,15.9966,16.4598,2.03657,0.000949318,1.36388,3.77888,+
"CELE_T08B1,1",2.99784,3.54049,A0A0K3AY44,,Uncharacterized protein,14.5177,13.3085,14.4646,15.1285,11.3308,11.1458,11.2457,11.7057,3.54049,0,2.99784,7.51174,+
zig-11,4.69546,6.17649,A0A0K3AY85,,2 (Zwei) IG domain protein,16.8464,16.7332,17.3151,17.1802,12.3575,12.1928,12.7751,11.9676,6.17649,0,4.69546,21.4704,+
ilys-5,0.855202,1.46115,A0A0K3AYJ1;Q19698,,Invertebrate LYSozyme,16.6843,17.1937,16.9247,17.7038,16.4699,15.8699,15.9315,16.8144,1.46115,0.00563573,0.855202,2.72132,+
irg-3,-1.25012,1.5455,A0A0M7REP5;A0A0M7RF66;P91316,,Infection Response protein,16.6299,15.221,16.7599,15.2772,17.5753,17.0789,17.0426,17.1917,1.5455,0.00425304,-1.25012,-2.86865,+
tns-1,2.26729,3.2685,A0A0S4XR31;H2L045;H2L046,,TeNSin homolog,17.6292,16.934,16.8778,18.0926,15.5425,14.8938,14.7866,15.2415,3.2685,0,2.26729,6.69458,+
ubr-4,3.22884,2.59461,A0A0S4XR36;O01808,,UBR E3 ubiquitin ligase homolog,14.8,15.1381,13.5592,15.8839,10.9007,10.8419,12.2295,12.4937,2.59461,0.000303217,3.22884,4.96353,+
ccar-1,1.70981,2.58207,A0A0S4XR43,,CCAR1 homolog,16.2876,16.5611,15.7444,17.1838,15.0733,14.9261,14.6607,14.2776,2.58207,0.000301622,1.70981,4.93472,+
ulp-2,0.0127833,0.0146223,A0A0S4XR45;Q23238,,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.516,14.2873,13.9184,15.0274,13.9227,14.4907,14.8008,14.4837,0.0146223,0.928071,0.0127833,0.0432685,
"CELE_T23F4,2",2.16187,2.8506,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,,Uncharacterized protein,16.228,15.9278,16.5846,16.8872,14.6301,13.4505,13.9936,14.9059,2.8506,0.000161919,2.16187,5.57689,+
sago-1,3.16269,4.43791,A0A0T7CIX3,,Piwi-like protein,15.9689,15.7802,16.2823,16.1639,13.2114,12.9299,12.1103,13.2928,4.43791,0,3.16269,10.841,+
sago-2,-2.05839,2.94294,A0A0U1RML5;A0A0U1RML6,,Piwi-like protein,14.4562,14.4209,13.5713,15.1045,16.7445,16.7038,16.0956,16.2426,2.94294,0.000135092,-2.05839,-5.81074,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",1.75774,0.7901,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",14.3337,14.3133,14.3359,14.5867,13.6279,13.9799,13.589,9.34186,0.7901,0.0420343,1.75774,1.59356,+
daf-4,2.69244,2.56864,A0A131MB12;G8JY02;P50488,,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,16.1254,17.9632,17.1751,16.2886,13.9809,14.3527,13.3982,15.0507,2.56864,0.000328839,2.69244,4.90399,+
hpo-3,2.46044,4.20572,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,,Uncharacterized protein,14.1363,13.1518,13.8659,13.9722,11.2987,11.1394,11.1731,11.6731,4.20572,0,2.46044,9.87371,+
acs-22,0.564952,1.02443,A0A131MBB2;Q18916,,Fatty Acid CoA Synthetase family,14.3847,14.3445,13.9106,15.1405,14.1217,13.6942,13.6335,14.0711,1.02443,0.0206277,0.564952,1.98376,+
tag-10,2.12977,4.21314,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,,Uncharacterized protein,16.7774,16.7127,16.4418,17.2602,15.0082,14.5885,14.3784,14.6979,4.21314,0,2.12977,9.90338,+
imb-2,2.28644,3.98685,A0A131MBF9;O62332,,IMportin Beta family,16.5141,15.4188,16.4522,16.2065,13.9174,13.882,13.8402,13.8063,3.98685,0,2.28644,9.03373,+
brf-1,0.468834,0.512418,A0A131MBG0;A0A131MCT5,,BRF (Transcription factor) homolog,13.5358,13.4215,13.2232,14.8229,13.4709,13.1394,12.7689,13.7489,0.512418,0.104868,0.468834,1.11549,
"CELE_W09B6,4",2.41969,2.52436,A0A131MBG4;H2L0M1,,Uncharacterized protein,14.8901,15.7108,16.5247,16.4126,13.9775,12.4984,13.5548,13.8286,2.52436,0.000339156,2.41969,4.80359,+
irg-7,1.08288,2.30855,A0A131MBU3,,Protein irg-7,19.3271,19.0947,19.2671,20.1542,18.4456,18.298,18.1992,18.5686,2.30855,0.00051444,1.08288,4.3327,+
"CELE_F27B10,1",3.3308,0.652389,A0A131MCJ0,,Uncharacterized protein,14.3632,13.6236,14.3735,14.8436,14.3326,3.91271,14.0929,11.5426,0.652389,0.0652293,3.3308,1.36022,
"CELE_T22F3,3",3.1839,5.59507,A0A131MCL1,,"Alpha-1,4 glucan phosphorylase",14.4646,14.27,14.2207,14.8722,11.3367,11.033,11.168,11.5541,5.59507,0,3.1839,17.1216,+
die-1,-0.589688,0.71865,A0A131MCL4;A0A131MCR4,,Dorsal Intercalation and Elongation defect,14.4552,14.3986,13.9343,14.5848,15.0588,15.0866,13.8978,15.6883,0.71865,0.0534151,-0.589688,-1.47315,
dhs-11,-0.631144,1.65651,A0A163UT65,,"DeHydrogenases, Short chain",14.5057,14.1558,14.4594,15.0856,15.0343,15.2846,15.3123,15.0999,1.65651,0.00296858,-0.631144,-3.06601,+
tbc-14,1.73829,2.86132,A0A164D380;A0A168H1X0,,TBC (Tre-2/Bub2/Cdc16) domain family,16.0316,16.81,15.7661,15.8938,14.2654,13.9874,14.3445,14.9511,2.86132,0.000144942,1.73829,5.60369,+
cyp-34a6,2.70937,4.62692,A0A164D3C9;O44656,,CYtochrome P450 family,13.8158,13.5077,14.4739,14.054,11.3622,11.0841,11.056,11.5117,4.62692,0,2.70937,11.6915,+
fipp-1,0.325907,0.550726,A0A164D3G3;O16293,,Factor Interacting with Poly(A) Polymerase,15.9003,15.0766,15.7207,16.1953,15.5543,15.7114,15.2037,15.1199,0.550726,0.0917864,0.325907,1.18351,
unc-132,2.57446,6.013,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,,Uncharacterized protein,16.7321,16.7146,16.8607,17.0371,13.9565,14.3631,14.313,14.4141,6.013,0,2.57446,20.1494,+
cdh-4,-1.43891,2.5738,A0A1C3NSI5;Q19319,,Cadherin-4,14.3364,14.0395,14.216,15.0928,15.3575,16.0375,16.173,15.8722,2.5738,0.000329699,-1.43891,-4.91578,+
ajm-1,2.94672,4.29123,A0A1C3NSL1,,Apical Junction Molecule,14.1897,13.9917,13.9553,15.072,11.255,11.1898,11.2619,11.715,4.29123,0,2.94672,10.2204,+
"CELE_ZC412,3",1.43351,3.44058,A0A1C3NSL5,,Uncharacterized protein,19.361,19.3437,19.3241,20.1146,18.137,18.0159,18.0333,18.2232,3.44058,0,1.43351,7.20262,+
farl-11,3.18505,5.67106,A0A1D3PCL0;Q19300,,FAR (Factor ARrest) Like,14.325,14.3164,14.4535,14.7686,11.2682,10.9403,11.2586,11.656,5.67106,0,3.18505,17.6372,+
let-711,1.78981,1.92302,A0A1D3PCL8;A0A1D3PCM5;Q20937,,Uncharacterized protein;Uncharacterized protein;NTL-1a,16.6155,15.1614,16.2159,17.5791,14.6299,14.5406,14.5097,14.7324,1.92302,0.00149545,1.78981,3.55915,+
"C40H1,7",1.23082,1.12386,A0A1I6CM73,,Uncharacterized protein,14.4782,14.1286,14.43,14.6104,12.1926,14.3166,13.9831,12.2316,1.12386,0.015648,1.23082,2.14922,+
spat-2,1.536,2.17794,A0A1I6CM84;F3Y5Q7,,Suppressor of PAr-Two defect,16.2014,16.6957,17.0625,17.522,15.2715,16.0483,15.169,14.849,2.17794,0.000659032,1.536,4.06163,+
aakg-1,3.3522,3.51086,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,,AMP-Activated protein Kinase Gamma subunit,15.5354,16.2973,16.397,17.2766,12.2939,13.639,13.1443,13.0203,3.51086,0,3.3522,7.41894,+
grl-23,2.98289,5.15333,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,,GRound-Like (Grd related),14.0845,14.3953,14.0122,14.7374,11.2154,11.1904,11.1949,11.6971,5.15333,0,2.98289,14.3996,+
spat-2,2.29865,2.55719,A0A1I6CM95,,Suppressor of PAr-Two defect,17.1363,16.0308,17.3242,18.1571,15.3208,14.5097,14.693,14.9303,2.55719,0.00032699,2.29865,4.8779,+
"CELE_Y55F3BR,6",2.03602,3.55699,A0A1I6CMC9,,Uncharacterized protein,14.2976,14.1019,14.2455,15.0564,11.9964,12.6013,12.7059,12.2536,3.55699,0,2.03602,7.56384,+
vab-10,1.61542,2.27867,A0A1N7SYP3,,Uncharacterized protein,21.0819,20.3173,21.0967,21.7864,19.4632,20.1036,19.1478,19.1059,2.27867,0.000536995,1.61542,4.26982,+
"eif-3,l;eif-3,L",0.65085,1.00101,A0A1N7SYP6;Q95QW0,,Eukaryotic translation initiation factor 3 subunit L,17.3957,17.3569,17.3764,18.6601,16.9735,17.242,16.8179,17.1523,1.00101,0.022234,0.65085,1.94485,+
"npp-25;npp-25;npp-25;Y37D8A,17",1.26424,1.7138,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,17.6128,16.3803,16.2,15.7966,15.368,15.1084,15.3659,15.0904,1.7138,0.00260465,1.26424,3.16959,+
cnt-1,0.392768,0.809665,A0A1N7SYT2;Q9XXH8,,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,14.4444,14.4314,14.475,14.9247,13.8988,14.717,14.2952,13.7935,0.809665,0.0397255,0.392768,1.62634,+
"C26G2,2",4.12315,4.07309,A0A1N7SYU2,,Uncharacterized protein,14.3312,15.4872,15.4595,16.0877,10.7174,11.7878,11.4483,10.9196,4.07309,0,4.12315,9.35678,+
"CELE_F43B10,1",1.01409,1.61099,A0A1N7SYW5,,Uncharacterized protein,14.3564,14.2042,14.4094,15.0269,12.7073,13.758,14.0414,13.4339,1.61099,0.00339239,1.01409,2.98457,+
ubc-15,0.602123,0.587043,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,,UBiquitin Conjugating enzyme,14.4648,14.4094,14.1878,13.6447,13.9815,12.2419,14.0954,13.9793,0.587043,0.0814086,0.602123,1.24721,
"CELE_Y55F3BR,10",0.491246,0.860775,A0A9S0,,Uncharacterized protein,14.2362,14.423,14.1566,15.1419,13.5168,14.3793,14.0736,14.0231,0.860775,0.0340727,0.491246,1.71172,+
"CELE_Y38F2AR,12",0.642351,1.1493,A0A9S2,,Uncharacterized protein,14.1664,13.6575,14.7004,14.2198,13.7159,13.8113,12.9448,13.7027,1.1493,0.0144811,0.642351,2.19169,+
ttr-42,2.26981,3.40176,A2V8C3,,TransThyretin-Related family domain,17.8589,18.5957,19.0153,19.1432,16.6593,16.2092,16.0935,16.572,3.40176,0,2.26981,7.08538,+
"CELE_H29C22,1",1.93492,3.26341,A2V8C8,,Uncharacterized protein,19.7232,19.0382,19.4349,19.5799,17.6766,17.1523,17.0689,18.1387,3.26341,0,1.93492,6.68002,+
"CELE_F07G6,10",1.84016,2.66227,A3FPJ3,,Uncharacterized protein,14.0299,13.6734,14.1505,14.6029,12.0488,11.8308,12.0437,13.1728,2.66227,0.000289354,1.84016,5.12088,+
