geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04, -Log.p.value,Student's T-test q-value daf2_d15_eat2_d15,log2FC,Student's T-test Test statistic daf2_d15_eat2_d15,Sign p-val: 0.05 
"CELE_Y105C5B,15",-0.432334,1.04146,A0A078BQP7;Q9U309,Purple acid phosphatase,14.3337,14.6362,14.8568,15.0861,14.8389,15.4545,15.0084,15.3403,1.04146,0.0200922,-0.432334,-2.01206,+
lim-9,-0.385739,0.801165,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,13.9325,14.4416,14.4983,14.9111,14.9571,15.1334,14.5622,14.6738,0.801165,0.0387293,-0.385739,-1.61211,+
"CELE_Y105E8A,25",-2.35362,3.43032,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.1338,12.4764,12.0041,13.3743,14.9662,15.3609,14.9144,15.1615,3.43032,0.000128192,-2.35362,-7.17147,+
pgp-2,-1.48797,1.10341,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.5517,15.5128,15.1444,15.5406,16.263,15.942,16.5103,18.9858,1.10341,0.0171783,-1.48797,-2.11513,+
lpd-3,2.77702,3.5514,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,17.5258,16.8627,17.8107,18.2929,14.7356,14.4461,14.7467,15.4556,3.5514,0.000136752,2.77702,7.54615,+
tln-1,-0.241949,0.335197,A0A0K3AQU9,TaLiN,14.028,14.6544,14.7886,14.9017,14.9324,15.4181,14.2691,14.7208,0.335197,0.171358,-0.241949,-0.785263,
max-2,-1.91025,2.09832,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,12.3222,12.2655,14.0327,12.933,14.9873,14.8484,14.0506,15.3082,2.09832,0.00151821,-1.91025,-3.90108,+
egl-27,1.38891,0.99838,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,16.4987,14.5871,16.1889,15.6524,14.4995,14.7387,12.7065,15.4268,0.99838,0.0224453,1.38891,1.94049,+
cdc-14,-2.81259,3.64036,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,11.6871,11.8917,11.7372,12.0707,14.9576,15.4854,13.9322,14.2619,3.64036,0.000143097,-2.81259,-7.83172,+
daf-16,-2.32366,2.81709,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,11.7855,12.0595,11.7779,12.0944,13.9248,15.4823,13.9326,13.6722,2.81709,0.000282132,-2.32366,-5.49374,+
"CELE_T16H12,3;T16H12,3",-2.87855,4.76855,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.1525,12.0584,11.7014,11.8513,14.5306,14.5676,14.7485,15.431,4.76855,7.66E-05,-2.87855,-12.3688,+
lev-11,-4.62007,4.84386,A0A0K3ARC0,Uncharacterized protein,12.0055,13.1996,12.879,13.5371,17.5938,17.7435,17.6884,17.0757,4.84386,8.17E-05,-4.62007,-12.7438,+
gld-2,-2.90534,2.9333,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,12.3058,11.3864,11.6527,12.033,14.9741,15.5163,13.4171,15.0916,2.9333,0.00021044,-2.90534,-5.78601,+
ncl-1,-3.27251,4.88508,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,12.2917,11.4481,11.3373,12.0885,15.0217,15.2217,14.819,15.1931,4.88508,8.49E-05,-3.27251,-12.9535,+
"CELE_D1069,3",-3.00337,5.92568,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.0465,11.8805,11.7464,12.0446,14.5316,15.1375,15.0211,15.0412,5.92568,0.000310881,-3.00337,-19.4767,+
lin-23,1.51567,3.96618,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,16.8271,16.1133,16.3452,16.5303,14.7922,15.1266,14.8369,14.9976,3.96618,0.000117406,1.51567,8.95779,+
"CELE_Y50D4B,1",-3.10268,5.31608,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.3083,12.0572,11.5711,11.9796,14.8821,15.0305,14.947,15.4674,5.31608,0.000137615,-3.10268,-15.3504,+
"CELE_Y39A1A,21",-2.68671,4.86403,A0A0K3ARX5;Q9XX11,Uncharacterized protein,11.8309,11.9709,11.7413,12.0859,14.8786,14.5327,14.0664,14.8981,4.86403,8.32E-05,-2.68671,-12.846,+
dre-1,-3.26969,3.06792,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",15.8318,15.248,16.804,17.2428,19.0011,20.0038,19.1395,20.0611,3.06792,0.000222126,-3.26969,-6.13873,+
gck-1,1.28493,2.36321,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.9486,16.6889,15.6395,15.4748,14.9316,14.6014,14.6561,14.423,2.36321,0.000786525,1.28493,4.44916,+
gly-7,-1.10652,0.544774,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.241,14.1866,15.5177,11.1818,14.1129,14.3868,14.857,15.1964,0.544774,0.0824879,-1.10652,-1.173,
"CELE_F40A3,3;F40A3,3",-0.963257,5.24532,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",18.6079,18.7012,18.5758,18.6198,19.443,19.5954,19.7306,19.5887,5.24532,0.00012474,-0.963257,-14.9299,+
"CELE_Y50D4B,4",-0.109154,0.0589598,A0A0K3ASH9,Uncharacterized protein,14.152,14.1712,13.9178,13.872,12.8441,15.5238,13.2333,14.9485,0.0589598,0.670948,-0.109154,-0.16674,
cdf-1,-2.82196,5.2584,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,11.5121,12.0259,11.6543,12.0479,14.6911,14.6039,14.2977,14.9354,5.2584,0.00012766,-2.82196,-15.0067,+
unc-34,-3.10964,5.07865,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,14.846,15.3107,14.6993,14.6516,17.5071,18.1994,18.1953,18.0443,5.07865,0.000102041,-3.10964,-13.9824,+
tbh-1,-1.76306,3.20303,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.7529,17.8255,17.6134,17.8,18.8977,19.9425,19.2313,19.9725,3.20303,0.000183402,-1.76306,-6.50899,+
lev-11,-2.75896,2.94054,A0A0K3ATS1,Uncharacterized protein,22.0097,20.8857,21.353,21.3849,22.9724,24.6822,24.2346,24.7799,2.94054,0.000211134,-2.75896,-5.80457,+
imp-3,-3.04432,1.04621,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,14.8424,15.6232,15.2432,9.27069,16.4129,17.053,16.6976,16.9933,1.04621,0.0198194,-3.04432,-2.01995,+
prdx-2,-0.99148,2.6883,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.5481,21.431,21.9352,21.9874,22.4809,23.0663,22.5501,22.7704,2.6883,0.000360914,-0.99148,-5.1823,+
jhdm-1,-0.546661,1.37904,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.3262,14.4487,14.2435,14.1746,14.7536,15.4294,14.4854,14.7113,1.37904,0.00842978,-0.546661,-2.57982,+
mrck-1,-2.98676,4.497,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.2878,11.9467,11.7135,11.4571,14.904,14.5921,14.4733,15.3829,4.497,0.000119284,-2.98676,-11.1006,+
nhr-86,-2.95144,3.82455,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,11.8844,12.058,10.8493,11.4062,14.3599,14.1527,14.3449,15.146,3.82455,0.000105977,-2.95144,-8.45222,+
aat-3,-1.62324,1.2697,A0A0K3AVL7;O17395,Amino Acid Transporter,12.7838,14.2457,13.8184,11.8336,13.5977,15.3824,14.9495,15.245,1.2697,0.0109008,-1.62324,-2.3939,+
"CELE_M02H5,8",-0.605132,1.61191,A0A0K3AVS5,Uncharacterized protein,17.177,17.306,17.2586,17.621,17.6104,18.1733,17.6761,18.3232,1.61191,0.00468259,-0.605132,-2.98621,+
"CELE_T08B1,1",-4.2175,5.21765,A0A0K3AVV4,Uncharacterized protein,14.5049,14.2596,14.5014,15.4723,18.8259,19.1867,18.758,18.8376,5.21765,0.000121212,-4.2175,-14.7684,+
lipl-5,-2.87512,2.32159,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,13.65,11.7346,11.3934,10.8491,14.3911,15.2,14.2999,15.2366,2.32159,0.000846259,-2.87512,-4.36033,+
fln-2,-1.61445,6.29497,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.8634,16.9329,16.9231,17.082,18.6103,18.663,18.4095,18.5762,6.29497,0,-1.61445,-22.4803,+
"C14C6,5",-1.04839,1.69751,A0A0K3AXM4;O44667,Uncharacterized protein,17.1087,16.9448,16.2745,16.4609,18.1679,16.9759,18.0635,17.7752,1.69751,0.00368033,-1.04839,-3.14001,+
"CELE_T08B1,1",-5.71475,1.01132,A0A0K3AY44,Uncharacterized protein,11.1797,0,11.7027,11.9444,14.5274,14.9106,14.1329,14.1151,1.01132,0.0218441,-5.71475,-1.96198,+
zig-11,-4.74766,5.74663,A0A0K3AY85,2 (Zwei) IG domain protein,11.6281,11.721,12.6924,12.1074,17.0251,16.7949,16.5392,16.7802,5.74663,0.000245902,-4.74766,-18.1648,+
ilys-5,-5.47781,6.55837,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,12.4012,13.0067,12.079,12.7615,18.2089,18.0073,17.8211,18.1223,6.55837,0,-5.47781,-24.8952,+
irg-3,2.56803,4.92338,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.969,17.1551,16.6583,16.6533,14.2564,13.9323,14.303,14.672,4.92338,8.78E-05,2.56803,13.1512,+
tns-1,-1.17337,2.28526,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.548,15.909,14.9418,15.2816,16.6829,16.1602,16.4987,17.0321,2.28526,0.000920902,-1.17337,-4.28363,+
ubr-4,-2.90807,3.32679,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,12.8848,11.3349,11.9022,11.0724,14.9076,14.8515,14.3097,14.7577,3.32679,0.00019084,-2.90807,-6.86332,+
ccar-1,-2.52183,3.07322,A0A0S4XR43,CCAR1 homolog,14.3554,14.8698,15.2589,15.5152,16.9135,18.0429,17.0148,18.1154,3.07322,0.000196778,-2.52183,-6.15295,+
ulp-2,-2.58555,1.79344,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,10.3791,12.9526,13.9639,12.0798,14.5088,15.3408,14.8214,15.0466,1.79344,0.00279774,-2.58555,-3.3157,+
"CELE_T23F4,2",0.695313,1.41166,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,15.6695,15.2273,15.0333,15.8729,14.4437,14.7402,14.5769,15.2609,1.41166,0.0076881,0.695313,2.63583,+
sago-1,-0.746874,1.05604,A0A0T7CIX3,Piwi-like protein,14.2199,14.5321,13.2238,13.2607,14.2698,14.6345,14.9513,14.3684,1.05604,0.0193665,-0.746874,-2.0363,+
sago-2,0.10067,0.067952,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,14.5608,13.9,15.9433,15.3709,14.7205,15.3466,14.1093,15.1959,0.067952,0.631955,0.10067,0.190551,
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-2.00877,1.7857,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",11.9446,14.1103,12.5545,11.976,15.0152,15.4174,14.0271,14.1608,1.7857,0.00287967,-2.00877,-3.30139,+
daf-4,-2.12174,3.23683,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.2522,14.2834,15.2578,15.1575,16.7812,17.1397,16.4086,17.1083,3.23683,0.00018596,-2.12174,-6.60429,+
hpo-3,-2.89719,3.90728,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,12.1904,11.6131,12.4417,12.0958,14.2153,15.2885,14.9233,15.5025,3.90728,0.000112345,-2.89719,-8.7444,+
acs-22,-2.49557,3.61307,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,14.8595,14.4487,14.6613,15.687,17.4286,17.1168,17.8944,17.1989,3.61307,0.000140892,-2.49557,-7.74317,+
tag-10,-1.01465,0.953402,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,14.9965,15.5489,15.1183,15.4392,15.4904,16.1751,15.6821,17.814,0.953402,0.0254171,-1.01465,-1.86579,+
imb-2,-3.31266,6.55668,A0A131MBF9;O62332,IMportin Beta family,13.7875,14.0472,14.1074,13.9659,17.0963,17.2883,17.1651,17.6089,6.55668,0,-3.31266,-24.8789,+
brf-1,-2.60714,3.35065,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.2141,11.9291,11.7245,12.0408,13.5014,14.8787,14.9912,14.9658,3.35065,0.000152657,-2.60714,-6.93339,+
"CELE_W09B6,4",-4.52312,5.01543,A0A131MBG4;H2L0M1,Uncharacterized protein,10.7789,10.776,11.2011,10.8951,15.1018,15.8048,14.7287,16.1082,5.01543,9.43E-05,-4.52312,-13.6381,+
irg-7,-0.538555,1.68051,A0A131MBU3,Protein irg-7,18.2469,18.4921,18.0862,18.343,18.486,19.0949,18.6693,19.0721,1.68051,0.00381697,-0.538555,-3.10926,+
"CELE_F27B10,1",-1.00256,2.23676,A0A131MCJ0,Uncharacterized protein,14.1769,14.1706,13.6974,13.3656,14.9512,15.1653,14.7827,14.5216,2.23676,0.00097283,-1.00256,-4.18248,+
"CELE_T22F3,3",-3.14789,4.98012,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",12.2741,11.8514,11.6321,11.9399,14.8386,15.4973,14.6679,15.2853,4.98012,9.19E-05,-3.14789,-13.4493,+
die-1,-1.04663,2.6739,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,14.1267,14.1581,13.718,14.0143,14.7368,15.4125,14.7582,15.2962,2.6739,0.000359032,-1.04663,-5.14825,+
dhs-11,0.750104,1.42642,A0A163UT65,"DeHydrogenases, Short chain",15.2906,15.2906,14.9485,15.2859,14.8537,13.8747,14.1222,14.9647,1.42642,0.00744222,0.750104,2.66125,+
tbc-14,-0.978215,2.04874,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.6701,15.3405,14.7615,15.7224,16.0663,16.2508,15.9408,16.1495,2.04874,0.00168043,-0.978215,-3.80281,+
cyp-34a6,0.86133,1.24852,A0A164D3C9;O44656,CYtochrome P450 family,15.7529,15.3083,15.6958,16.429,14.3041,15.4268,14.617,15.3927,1.24852,0.0115507,0.86133,2.35816,+
fipp-1,0.317309,0.394447,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,15.4699,14.4148,15.4962,14.9293,15.029,15.2687,14.1828,14.5604,0.394447,0.136372,0.317309,0.899116,
unc-132,-2.70714,3.00492,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,14.0168,15.8241,14.2198,14.1418,17.5211,17.356,17.34,16.814,3.00492,0.000216125,-2.70714,-5.97171,+
cdh-4,0.739903,1.66842,A0A1C3NSI5;Q19319,Cadherin-4,15.6143,15.803,15.3881,15.7427,14.5094,15.4919,14.6169,14.9703,1.66842,0.00395732,0.739903,3.08745,+
ajm-1,-2.63682,5.19,A0A1C3NSL1,Apical Junction Molecule,11.9171,12.2049,12.2413,12.078,14.2628,14.8545,15.0037,14.8676,5.19,0.000117647,-2.63682,-14.6088,+
"CELE_ZC412,3",0.413762,1.50939,A0A1C3NSL5,Uncharacterized protein,18.7993,19.158,18.5913,18.9076,18.4237,18.5668,18.2106,18.6,1.50939,0.00613803,0.413762,2.80531,+
farl-11,-3.19728,5.70654,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,11.6659,11.9376,11.7363,11.9968,14.6816,15.437,14.9032,15.1038,5.70654,0.00023622,-3.19728,-17.883,+
let-711,-1.33995,2.07934,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,14.317,14.6147,14.2337,13.9844,15.8234,15.3592,16.4145,14.9125,2.07934,0.00157352,-1.33995,-3.8633,+
"C40H1,7",-3.12808,5.48569,A0A1I6CM73,Uncharacterized protein,12.0296,11.8316,11.6299,11.6139,14.9823,14.6351,14.665,15.3349,5.48569,0.000172911,-3.12808,-16.4049,+
spat-2,-1.23735,2.18291,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.4036,15.1741,15.4845,14.2731,15.9712,16.3456,16.4401,16.5278,2.18291,0.00109899,-1.23735,-4.07176,+
aakg-1,-2.07185,2.51475,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,13.3827,13.5771,12.9542,11.7949,14.8144,15.4542,15.0403,14.6875,2.51475,0.000633607,-2.07185,-4.78197,+
grl-23,-1.78717,2.05251,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),15.0814,15.9583,15.9012,14.9412,16.6746,17.4854,16.6199,18.2509,2.05251,0.0016694,-1.78717,-3.81024,+
spat-2,-5.10087,0.76332,A0A1I6CM95,Suppressor of PAr-Two defect,13.5757,0,12.8483,12.9887,14.5589,15.4747,14.7881,14.9943,0.76332,0.0437358,-5.10087,-1.54856,+
"CELE_Y55F3BR,6",-2.93638,4.47959,A0A1I6CMC9,Uncharacterized protein,12.277,11.8445,11.4988,11.9791,14.8097,14.4842,14.6116,15.4395,4.47959,0.000117763,-2.93638,-11.0235,+
vab-10,-2.10861,4.06441,A0A1N7SYP3,Uncharacterized protein,18.6546,18.747,18.9479,19.3414,20.7031,21.3275,20.7838,21.3111,4.06441,0.000124188,-2.10861,-9.32383,+
"eif-3,l;eif-3,L",-2.07512,1.96373,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,16.776,16.9279,16.7213,17.0443,19.6491,18.0783,17.8849,20.1577,1.96373,0.0021621,-2.07512,-3.6372,+
"npp-25;npp-25;npp-25;Y37D8A,17",-0.130642,0.118067,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,14.7991,13.8354,15.6027,14.8009,14.5257,15.4335,14.6882,14.9133,0.118067,0.462401,-0.130642,-0.317032,
cnt-1,-2.56463,3.56183,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,12.3188,12.009,11.6344,12.0701,14.0825,15.3217,14.0565,14.8301,3.56183,0.000137413,-2.56463,-7.57919,+
"C26G2,2",-5.20638,6.71928,A0A1N7SYU2,Uncharacterized protein,12.1931,12.02,12.5006,11.8892,17.2878,17.3288,17.0572,17.7547,6.71928,0,-5.20638,-26.4939,+
"CELE_F43B10,1",-2.76994,4.23677,A0A1N7SYW5,Uncharacterized protein,12.2988,12.0911,11.7374,12.0829,14.0703,15.0618,15.034,15.124,4.23677,9.84E-05,-2.76994,-9.99836,+
ubc-15,0.650639,0.656714,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,15.4607,14.5094,15.3042,16.102,13.7413,14.6593,15.0532,15.3199,0.656714,0.0593755,0.650639,1.36764,
"CELE_Y55F3BR,10",-2.55813,3.47103,A0A9S0,Uncharacterized protein,12.2833,11.8588,11.4381,11.8065,14.062,14.6214,13.781,15.1548,3.47103,0.000131013,-2.55813,-7.29571,+
"CELE_Y38F2AR,12",-0.564068,2.06611,A0A9S2,Uncharacterized protein,14.2153,14.5405,14.2648,14.7663,14.9567,14.8565,15.0333,15.1966,2.06611,0.00158833,-0.564068,-3.83708,+
ttr-42,-1.6571,3.71892,A2V8C3,TransThyretin-Related family domain,18.4719,18.5188,18.6231,18.8389,19.7982,20.5462,20.1392,20.5977,3.71892,0.000100292,-1.6571,-8.09141,+
