geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value N2_d15_N2_d5,log2FC,Student's T-test Test statistic N2_d15_N2_d5,Sign p-val: 0.05 ,,
cka-1,0.162013,0.188481,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,13.0951,14.5308,14.0703,13.9988,13.4878,14.1536,13.55,13.8556,0.188481,0.544174,0.162013,0.480458,,,
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-0.243632,0.202316,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",13.3137,12.9601,13.441,14.0119,13.343,14.7779,12.7744,13.8059,0.202316,0.520192,-0.243632,-0.511003,,,
spp-18,1.52795,2.23817,A0A061AKY5;Q19837,SaPosin-like Protein family,16.8055,17.5007,17.378,16.5791,15.0469,15.1157,15.7014,16.2875,2.23817,0.00512742,1.52795,4.18541,+,,
lin-66,-1.87386,3.29339,A0A061AL58;O62020,Uncharacterized protein,12.317,12.1892,12.2635,12.7647,14.0077,13.7704,14.3544,14.8973,3.29339,0.000972603,-1.87386,-6.76623,+,,
"CELE_F09E10,7",0.0640626,0.0360339,A0A078BPG0,Uncharacterized protein,15.7195,13.3313,13.1655,13.5176,13.6093,13.9933,14.1876,13.6874,0.0360339,0.890057,0.0640626,0.104238,,,
"CELE_F10C1,9",-1.20069,1.64777,A0A078BPH9;G4S1A4,Uncharacterized protein,13.0658,12.3597,12.7821,11.6115,13.9452,13.0582,13.5171,14.1013,1.64777,0.0158701,-1.20069,-3.05033,+,,
itx-1,0.3978,1.48378,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.3792,15.1967,15.3792,15.2648,15.0756,14.6052,14.7545,15.1934,1.48378,0.0224697,0.3978,2.76064,+,,
"CELE_Y41E3,7",0.247739,0.2636,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.6143,15.5077,15.5166,14.3394,14.5143,14.874,15.3494,14.2494,0.2636,0.435341,0.247739,0.641342,,,
"CELE_Y105C5B,15",-0.463153,1.55517,A0A078BQP7;Q9U309,Purple acid phosphatase,14.2368,14.7536,14.3432,14.4718,14.7875,14.7886,14.8223,15.2597,1.55517,0.0193999,-0.463153,-2.88567,+,,
lim-9,0.00433254,0.00499569,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.2082,15.1166,14.3389,14.132,14.2439,14.2245,14.3268,14.9832,0.00499569,0.984299,0.00433254,0.014942,,,
"CELE_Y105E8A,25",1.3153,2.59492,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,14.9721,14.2083,13.9657,14.553,12.7547,13.4247,12.9829,13.2754,2.59492,0.00273933,1.3153,4.96425,+,,
pgp-2,1.03077,2.34507,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.439,14.9654,15.155,15.4384,14.4009,14.1815,13.6723,14.6201,2.34507,0.00450713,1.03077,4.41032,+,,
lpd-3,-0.165133,0.115702,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,17.1681,14.8397,15.6861,15.9769,15.4549,16.4514,16.337,16.0881,0.115702,0.685901,-0.165133,-0.311276,,,
tln-1,0.744198,1.06792,A0A0K3AQU9,TaLiN,14.5501,14.8535,14.223,15.8737,14.1918,13.9737,14.107,14.251,1.06792,0.054512,0.744198,2.05606,,,
max-2,0.613857,0.405997,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,15.6531,14.5138,13.9053,16.096,15.5204,14.5985,13.4376,14.1562,0.405997,0.287676,0.613857,0.920852,,,
egl-27,1.49299,1.03698,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.2126,14.6101,16.28,12.7153,12.576,13.1572,13.132,12.9809,1.03698,0.0589111,1.49299,2.00461,,,
cdc-14,0.7418,1.409,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,11.742,11.9868,11.8271,12.8061,11.472,11.1757,11.0624,11.6847,1.409,0.0258352,0.7418,2.63125,+,,
daf-16,-1.60292,2.63738,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,12.5541,12.0724,12.2682,12.7554,14.585,14.0713,13.2523,14.1532,2.63738,0.00250657,-1.60292,-5.06262,+,,
"CELE_T16H12,3;T16H12,3",1.02762,2.38431,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.5835,12.0612,12.1027,12.7229,11.412,11.2337,10.9874,11.7267,2.38431,0.00419641,1.02762,4.49462,+,,
lev-11,1.02043,1.75892,A0A0K3ARC0,Uncharacterized protein,16.2472,15.6724,15.509,16.4352,15.1948,14.4688,14.6904,15.4279,1.75892,0.0124507,1.02043,3.25205,+,,
gld-2,0.410865,0.297058,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,12.5522,11.2392,10.3677,12.7843,11.3677,11.1951,11.1271,11.6101,0.297058,0.393616,0.410865,0.709578,,,
ncl-1,-2.3259,3.04315,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,12.542,12.1807,12.316,12.7383,14.5409,15.7414,14.0072,14.7912,3.04315,0.00153975,-2.3259,-6.07266,+,,
"CELE_D1069,3",-1.34632,2.34866,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.3731,12.0944,12.3316,12.5939,13.2709,14.0571,14.3065,13.1438,2.34866,0.00444109,-1.34632,-4.41798,+,,
lin-23,2.73634,3.23997,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,15.6396,15.0569,16.4845,15.7004,13.3327,12.299,12.7186,13.5858,3.23997,0.000931148,2.73634,6.61319,+,,
"CELE_Y50D4B,1",0.953534,2.29692,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.4011,12.1045,12.01,12.4652,11.4711,11.1696,10.8206,11.7053,2.29692,0.0048963,0.953534,4.30817,+,,
"CELE_Y39A1A,21",0.965248,2.48103,A0A0K3ARX5;Q9XX11,Uncharacterized protein,12.3942,12.0197,12.2596,12.778,11.4521,11.2233,11.1725,11.7425,2.48103,0.00342193,0.965248,4.70661,+,,
dre-1,0.500213,0.36468,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",15.5708,18.1573,16.945,16.5466,17.0121,16.1905,15.7812,16.2351,0.36468,0.323027,0.500213,0.842434,,,
gck-1,-0.36681,0.484069,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.0399,14.6068,16.002,15.6756,15.9078,15.5024,15.404,15.9773,0.484069,0.234435,-0.36681,-1.06453,,,
gly-7,0.238068,0.118728,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.0861,12.734,14.7532,15.4581,13.0441,13.3419,14.657,14.036,0.118728,0.679445,0.238068,0.318636,,,
"CELE_F40A3,3;F40A3,3",-1.14457,2.78496,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",17.5826,18.1105,18.1486,17.3012,19.056,18.863,18.8798,18.9224,2.78496,0.00222363,-1.14457,-5.41486,+,,
"CELE_Y50D4B,4",0.846535,1.0315,A0A0K3ASH9,Uncharacterized protein,14.7283,14.6614,15.269,15.3,13.0729,14.5398,14.8538,14.1061,1.0315,0.0598376,0.846535,1.9955,,,
cdf-1,1.15097,2.81437,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,12.5581,12.1584,12.2233,12.5177,11.2309,10.7954,11.1403,11.687,2.81437,0.00215217,1.15097,5.48702,+,,
unc-34,-0.28081,0.170556,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,15.5482,16.6145,16.3491,14.1947,15.7234,15.4259,16.9355,15.7449,0.170556,0.575484,-0.28081,-0.440184,,,
tbh-1,0.588033,0.91541,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.2381,16.7317,16.769,17.7514,16.5062,16.1452,16.3245,17.1621,0.91541,0.0784488,0.588033,1.80266,,,
lev-11,-0.370651,0.900584,A0A0K3ATS1,Uncharacterized protein,21.3013,21.6226,21.6428,21.2067,21.9299,22.0167,22.0209,21.2885,0.900584,0.0808712,-0.370651,-1.77801,,,
imp-3,1.49427,0.418812,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,13.22,13.9208,12.4619,13.1327,8.93078,11.0402,10.6452,16.142,0.418812,0.27798,1.49427,0.944811,,,
prdx-2,-0.461529,1.73177,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.1967,21.7105,21.6292,21.7899,22.0854,22.1847,21.9447,21.9577,1.73177,0.0132027,-0.461529,-3.20234,+,,
jhdm-1,-0.90476,1.78043,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,13.8697,14.0829,13.6371,14.7129,15.3243,14.7986,14.6742,15.1245,1.78043,0.0119407,-0.90476,-3.29166,+,,
mrck-1,0.43408,0.356412,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.4491,13.8097,13.2853,12.9935,11.7395,13.5955,13.2878,12.1785,0.356412,0.330888,0.43408,0.82651,,,
nhr-86,1.05579,3.01855,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,12.3474,11.9073,12.338,12.6526,11.2685,11.0428,11.2468,11.4639,3.01855,0.00161194,1.05579,6.00756,+,,
aat-3,0.770578,0.631643,A0A0K3AVL7;O17395,Amino Acid Transporter,13.7955,13.7154,14.1138,14.5997,12.9627,13.0532,12.2852,14.8411,0.631643,0.157894,0.770578,1.32454,,,
"CELE_M02H5,8",-2.4501,5.41262,A0A0K3AVS5,Uncharacterized protein,16.7706,16.4557,16.8819,16.6453,19.1224,19.493,18.9658,18.9728,5.41262,0,-2.4501,-15.9423,+,,
"CELE_T08B1,1",0.565,1.89415,A0A0K3AVV4,Uncharacterized protein,15.2299,15.0815,15.4726,15.3896,15.1187,14.4887,14.6688,14.6374,1.89415,0.00918925,0.565,3.50426,+,,
lipl-5,-0.438216,0.275811,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,12.5115,12.7463,12.3242,11.6584,13.731,13.7747,12.2415,11.2462,0.275811,0.419135,-0.438216,-0.666461,,,
fln-2,-0.13509,0.590516,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.5033,16.4151,16.1892,16.3794,16.3907,16.6015,16.3384,16.6967,0.590516,0.175446,-0.13509,-1.25326,,,
"C14C6,5",1.16168,2.44335,A0A0K3AXM4;O44667,Uncharacterized protein,17.5557,17.1518,17.0527,17.9023,16.5878,15.9716,15.9966,16.4598,2.44335,0.00366096,1.16168,4.6233,+,,
"CELE_T08B1,1",-0.173515,0.0500272,A0A0K3AY44,Uncharacterized protein,12.2605,7.56696,12.2317,12.6748,11.3308,11.1458,11.2457,11.7057,0.0500272,0.84971,-0.173515,-0.142704,,,
zig-11,3.86288,5.66039,A0A0K3AY85,2 (Zwei) IG domain protein,16.2769,15.7868,16.4307,16.2501,12.3575,12.1928,12.7751,11.9676,5.66039,0,3.86288,17.5639,+,,
ilys-5,-1.0459,1.45904,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,15.3527,14.6582,14.8408,16.0504,16.4699,15.8699,15.9315,16.8144,1.45904,0.0235091,-1.0459,-2.71766,+,,
irg-3,-1.13368,3.56599,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,16.2616,16.172,15.862,16.0581,17.5753,17.0789,17.0426,17.1917,3.56599,0.000741071,-1.13368,-7.5924,+,,
tns-1,-0.0990751,0.110054,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.7967,15.0843,14.5449,14.6423,15.5425,14.8938,14.7866,15.2415,0.110054,0.6979,-0.0990751,-0.297452,,,
ubr-4,2.79167,3.00217,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.6862,14.2663,14.7037,13.9764,10.9007,10.8419,12.2295,12.4937,3.00217,0.00164706,2.79167,5.96449,+,,
ccar-1,1.13373,1.98863,A0A0S4XR43,CCAR1 homolog,15.6838,15.4989,15.6726,16.6174,15.0733,14.9261,14.6607,14.2776,1.98863,0.00759077,1.13373,3.68535,+,,
ulp-2,0.128665,0.130757,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.3568,14.8961,13.7463,15.2134,13.9227,14.4907,14.8008,14.4837,0.130757,0.653775,0.128665,0.347587,,,
"CELE_T23F4,2",-0.852823,0.677657,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,13.7214,11.8686,13.9238,14.055,14.6301,13.4505,13.9936,14.9059,0.677657,0.139881,-0.852823,-1.40346,,,
sago-1,1.51935,2.09057,A0A0T7CIX3,Piwi-like protein,14.6002,14.504,13.5997,14.9181,13.2114,12.9299,12.1103,13.2928,2.09057,0.00644388,1.51935,3.88563,+,,
sago-2,-1.29896,0.993583,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,13.6746,16.7754,14.7026,15.4382,16.7445,16.7038,16.0956,16.2426,0.993583,0.0654824,-1.29896,-1.93252,,,
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",1.94236,0.837555,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",15.4848,13.7097,14.7137,14.3998,13.6279,13.9799,13.589,9.34186,0.837555,0.0944392,1.94236,1.67297,,,
daf-4,0.776745,0.82131,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.2304,15.7894,15.0189,14.8508,13.9809,14.3527,13.3982,15.0507,0.82131,0.0981085,0.776745,1.64583,,,
hpo-3,1.1042,2.80438,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,12.5497,12.0427,12.3137,12.7951,11.2987,11.1394,11.1731,11.6731,2.80438,0.00213132,1.1042,5.46244,+,,
acs-22,0.31789,0.451983,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,13.7891,14.413,14.9177,13.6723,14.1217,13.6942,13.6335,14.0711,0.451983,0.253559,0.31789,1.00612,,,
tag-10,1.21658,3.55671,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.9353,15.9125,15.6252,16.0664,15.0082,14.5885,14.3784,14.6979,3.55671,0.000731278,1.21658,7.56294,+,,
imb-2,0.780123,1.65824,A0A131MBF9;O62332,IMportin Beta family,14.6552,13.9765,15.2055,14.7292,13.9174,13.882,13.8402,13.8063,1.65824,0.0155859,0.780123,3.06913,+,,
brf-1,-0.936148,1.43436,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.9838,12.6423,11.8547,11.9026,13.4709,13.1394,12.7689,13.7489,1.43436,0.0244322,-0.936148,-2.67496,+,,
"CELE_W09B6,4",0.375085,0.216036,A0A131MBG4;H2L0M1,Uncharacterized protein,12.5637,13.6647,13.638,15.4934,13.9775,12.4984,13.5548,13.8286,0.216036,0.500333,0.375085,0.540856,,,
irg-7,0.611447,2.00094,A0A131MBU3,Protein irg-7,19.3032,18.6666,18.8452,19.1423,18.4456,18.298,18.1992,18.5686,2.00094,0.00737507,0.611447,3.70926,+,,
"CELE_F27B10,1",1.26194,0.205123,A0A131MCJ0,Uncharacterized protein,12.5327,12.146,11.8592,12.3906,14.3326,3.91271,14.0929,11.5426,0.205123,0.516253,1.26194,0.517146,,,
"CELE_T22F3,3",1.21344,3.72485,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",12.4841,12.438,12.2738,12.7496,11.3367,11.033,11.168,11.5541,3.72485,0.000484211,1.21344,8.11134,+,,
die-1,-2.56344,3.14984,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,12.5758,12.0228,12.2221,12.657,15.0588,15.0866,13.8978,15.6883,3.14984,0.00115489,-2.56344,-6.36123,+,,
dhs-11,-0.38843,0.99969,A0A163UT65,"DeHydrogenases, Short chain",14.7328,14.5548,14.5467,15.3431,15.0343,15.2846,15.3123,15.0999,0.99969,0.0644662,-0.38843,-1.94267,,,
tbc-14,0.559813,1.44473,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.9593,15.0688,14.8847,14.875,14.2654,13.9874,14.3445,14.9511,1.44473,0.0239702,0.559813,2.69289,+,,
cyp-34a6,1.93266,1.74141,A0A164D3C9;O44656,CYtochrome P450 family,13.0764,11.5576,14.0873,14.0232,11.3622,11.0841,11.056,11.5117,1.74141,0.0129554,1.93266,3.21996,+,,
fipp-1,-0.80339,2.16523,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,14.9299,14.6095,14.5956,14.2408,15.5543,15.7114,15.2037,15.1199,2.16523,0.00592848,-0.80339,-4.03577,+,,
unc-132,0.461433,1.13493,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,15.1687,14.3471,14.4985,14.8781,13.9565,14.3631,14.313,14.4141,1.13493,0.0469349,0.461433,2.1677,+,,
cdh-4,-2.13707,2.54692,A0A1C3NSI5;Q19319,Cadherin-4,14.5779,13.0921,12.9828,14.2392,15.3575,16.0375,16.173,15.8722,2.54692,0.00309677,-2.13707,-4.85456,+,,
ajm-1,0.90003,2.90895,A0A1C3NSL1,Apical Junction Molecule,12.0427,12.1788,12.2816,12.5187,11.255,11.1898,11.2619,11.715,2.90895,0.0018363,0.90003,5.72386,+,,
"CELE_ZC412,3",-0.0239773,0.0920444,A0A1C3NSL5,Uncharacterized protein,18.1896,17.836,18.1577,18.1301,18.137,18.0159,18.0333,18.2232,0.0920444,0.738748,-0.0239773,-0.252593,,,
farl-11,1.11165,2.65405,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,12.5083,12.0778,12.1917,12.7921,11.2682,10.9403,11.2586,11.656,2.65405,0.0025351,1.11165,5.10158,+,,
let-711,1.06301,2.7774,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,15.8793,15.3042,15.3884,16.0928,14.6299,14.5406,14.5097,14.7324,2.7774,0.00220964,1.06301,5.39641,+,,
"C40H1,7",1.23346,0.944046,A0A1I6CM73,Uncharacterized protein,14.075,14.7573,13.61,15.2156,12.1926,14.3166,13.9831,12.2316,0.944046,0.0738541,1.23346,1.85025,,,
spat-2,-0.954555,0.882804,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,14.5529,14.9108,15.0863,12.9694,15.2715,16.0483,15.169,14.849,0.882804,0.0847141,-0.954555,-1.74841,,,
aakg-1,1.32199,1.90153,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,14.7717,14.7973,13.9239,13.8926,12.2939,13.639,13.1443,13.0203,1.90153,0.00894778,1.32199,3.51827,+,,
grl-23,1.01334,2.3592,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),12.3988,11.8428,12.335,12.7745,11.2154,11.1904,11.1949,11.6971,2.3592,0.00435141,1.01334,4.44056,+,,
spat-2,-1.56275,3.20436,A0A1I6CM95,Suppressor of PAr-Two defect,12.8533,13.2564,13.5538,13.5393,15.3208,14.5097,14.693,14.9303,3.20436,0.00117197,-1.56275,-6.51275,+,,
"CELE_Y55F3BR,6",-0.15497,0.282136,A0A1I6CMC9,Uncharacterized protein,11.8997,12.0767,12.3249,12.6361,11.9964,12.6013,12.7059,12.2536,0.282136,0.410632,-0.15497,-0.679372,,,
vab-10,-0.040617,0.0471532,A0A1N7SYP3,Uncharacterized protein,19.1162,19.7155,19.0447,19.7817,19.4632,20.1036,19.1478,19.1059,0.0471532,0.856907,-0.040617,-0.134887,,,
"eif-3,l;eif-3,L",1.38918,3.45966,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,17.9479,18.6287,18.6657,18.5,16.9735,17.242,16.8179,17.1523,3.45966,0.000795181,1.38918,7.26083,+,,
"npp-25;npp-25;npp-25;Y37D8A,17",0.189945,0.162258,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,14.3938,16.0699,16.2536,14.9752,15.368,15.1084,15.3659,15.0904,0.162258,0.590474,0.189945,0.421253,,,
cnt-1,0.617249,1.13896,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,14.7335,15.1038,14.2772,15.059,13.8988,14.717,14.2952,13.7935,1.13896,0.0465037,0.617249,2.17442,+,,
"C26G2,2",1.08338,1.92757,A0A1N7SYU2,Uncharacterized protein,12.0976,12.594,11.8982,12.6167,10.7174,11.7878,11.4483,10.9196,1.92757,0.00848146,1.08338,3.56784,+,,
"CELE_F43B10,1",1.50408,0.804677,A0A1N7SYW5,Uncharacterized protein,16.9676,12.6693,15.2697,15.0502,12.7073,13.758,14.0414,13.4339,0.804677,0.102237,1.50408,1.61799,,,
ubc-15,1.56742,1.72912,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,15.4401,14.7199,14.8632,15.5447,13.9815,12.2419,14.0954,13.9793,1.72912,0.0133934,1.56742,3.1975,+,,
"CELE_Y55F3BR,10",0.589516,0.536227,A0A9S0,Uncharacterized protein,15.0545,14.4322,13.3283,15.5359,13.5168,14.3793,14.0736,14.0231,0.536227,0.203477,0.589516,1.15787,,,
"CELE_Y38F2AR,12",-0.0613649,0.0832636,A0A9S2,Uncharacterized protein,13.4022,13.7541,13.7528,13.0202,13.7159,13.8113,12.9448,13.7027,0.0832636,0.760821,-0.0613649,-0.230264,,,
ttr-42,1.65349,3.24682,A2V8C3,TransThyretin-Related family domain,17.5558,17.8404,18.4754,18.2763,16.6593,16.2092,16.0935,16.572,3.24682,0.000938843,1.65349,6.63268,+,,
