geneName,log2FC,pvalue,Leading.proteins,Proteins,Protein.names,Positions.within.proteins,Localization.prob,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04, -Log.p.value, Student's T-test q-value N2_d15_N2_d5,log2FC,Student's T-test Test statistic N2_d15_N2_d5,Sign p-val: 0.05 
pgp-2,1.51523,1.40975,G5EDF9,G5EDF9;A0A0K3AQN5,,13;13,0.999895,23.341,21.9295,23.7218,24.5733,22.3368,21.5555,21.7559,21.8566,1.40975,0.0186093,1.51523,2.63253,+
pgp-2,-0.469971,0.308791,G5EDF9,G5EDF9;A0A0K3AQN5;A0A0K3AWK1;A0A0K3AU66,,521;521;514;514,1,19.909,20.7687,21.3029,18.8524,21.2489,20.283,21.2956,19.8853,0.308791,0.337467,-0.469971,-0.733084,
lev-11,-1.01968,0.512185,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;A0A0K3AUC0;Q27249,Tropomyosin isoforms a/b/d/f;Tropomyosin isoforms c/e,98;189;161;189;189;189;189;60;161,1,20.8617,19.5611,17.9838,21.4556,21.9577,20.3436,19.9513,21.6882,0.512185,0.180075,-1.01968,-1.11508,
lev-11,-2.34282,2.86413,A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866;A0A0K3AUC0,Tropomyosin isoforms a/b/d/f,58;149;149;149;20,1,22.9261,21.746,22.1229,21.9687,23.824,24.2237,24.7437,25.3436,2.86413,0.00104571,-2.34282,-5.61072,+
lev-11,-1.0076,0.925938,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866;A0A0K3AUC0,Tropomyosin isoforms a/b/d/f,173;264;236;264;264;264;135,1,25.3449,25.5837,26.722,24.2789,25.9499,27.0139,26.7184,26.2778,0.925938,0.0570734,-1.0076,-1.82016,
lev-11,-4.2431,3.2834,A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,Tropomyosin isoforms a/b/d/f,21;112;112;112;112;112,1,19.2675,19.9202,21.1537,19.4419,23.6729,23.1417,24.9478,24.9932,3.2834,0.000539419,-4.2431,-6.73741,+
lev-11,-3.36326,3.73245,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866;A0A0K3AUC0,Tropomyosin isoforms a/b/d/f,160;251;223;251;251;251;122,1,20.1862,20.9037,20.0813,19.2361,24.0717,23.4302,22.9369,23.4216,3.73245,0.000332226,-3.36326,-8.13689,+
lev-11,-2.74709,1.49116,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;A0A0K3AUC0;Q27249,Tropomyosin isoforms a/b/d/f;Tropomyosin isoforms c/e,122;213;185;213;213;84;185,1,25.1908,23.3092,23.1749,26.0765,26.349,25.7396,28.6875,27.9636,1.49116,0.015593,-2.74709,-2.77349,+
lev-11,-6.33955,4.98032,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;A0A0K3AUC0;Q27249,Tropomyosin isoforms a/b/d/f;Tropomyosin isoforms c/e,114;205;177;205;205;76;177,1,19.098,19.5447,18.8981,20.5491,25.3626,25.5536,25.8357,26.6962,4.98032,0,-6.33955,-13.4504,+
lev-11,-1.06399,0.748591,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,Tropomyosin isoforms a/b/d/f,28;28;28;28;28,1,20.4802,18.4788,21.3274,21.0578,21.7925,21.4862,20.6125,21.7089,0.748591,0.0912611,-1.06399,-1.52375,
lev-11,-1.58458,1.63898,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,Tropomyosin isoforms a/b/d/f,76;76;76;76;76,1,18.2384,20.1402,20.3167,19.8738,21.2213,20.6539,21.3595,21.6727,1.63898,0.0109596,-1.58458,-3.03457,+
lev-11,-1.92653,1.43912,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,Tropomyosin isoforms a/b/d/f,15;15;15;15;15,1,25.0909,25.2353,24.7327,23.3769,26.9802,27.5772,24.8865,26.698,1.43912,0.0176112,-1.92653,-2.68318,+
,-0.837147,0.427659,A0A0K3AUF2,A0A0K3AUF2;A0A0K3AQW3,,802;858,0.882807,23.4842,24.3237,24.7313,27.0153,24.6033,26.5485,25.5014,26.25,0.427659,0.23218,-0.837147,-0.961259,
lev-11,-1.85912,1.82357,A0A0K3ARB5;Q27249,A0A0K3ARB5;Q27249,Tropomyosin isoforms c/e,19;19,0.976835,18.6965,17.5702,18.7603,19.4817,21.0321,20.6476,20.909,19.3567,1.82357,0.00753111,-1.85912,-3.37166,+
lev-11,-0.396383,0.608065,A0A0K3ARB5;Q27249,A0A0K3ARB5;Q27249,Tropomyosin isoforms c/e,20;20,0.862584,21.1914,20.9461,20.577,20.3822,21.3307,20.4895,21.1832,21.6788,0.608065,0.137142,-0.396383,-1.28377,
lev-11,-2.27912,2.82546,A0A0K3ARB5;Q27249,A0A0K3ARB5;Q27249,Tropomyosin isoforms c/e,6;6,1,19.7377,19.6367,19.8774,19.9885,22.6,21.0657,21.8268,22.8644,2.82546,0.00109749,-2.27912,-5.51441,+
egl-8,-1.33545,1.0973,A0A0K3AS90,A0A0K3AS90;A0A0K3AXK2;A0A0K3AV92;A0A0K3ARR2;A0A0K3AUN1;A0A0K3AS85;A0A0K3AVA5;A0A0K3AXI3;A0A0K3ARS4;A0A0K3AV83;A0A0K3AUL7;A0A0K3AS74;A0A0K3AXJ6;A0A0K3AV97;A0A0K3ARR7;A0A0K3ARQ7;A0A0K3AUM3;A0A0K3AUL3;A0A0K3AS80;A0A0K3AXJ0;A0A0K3AS71;A0A0K3AXH8;G5EBH0,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta egl-8",1163;1175;1191;1203;1223;1235;1244;1251;1256;1263;1272;1284;1304;1316;1329;1332;1341;1344;1410;1422;1438;1450;1369,0.998205,19.667,20.9756,19.7515,18.3044,21.7563,20.9889,21.1133,20.1818,1.0973,0.0382695,-1.33545,-2.10496,+
ubxn-3,1.61112,1.18149,A0A0K3AWX1,A0A0K3AWX1;A0A0K3ATZ0;Q6A589;H2L056;A0A0K3ARL0,,391;396;485;490;111,1,26.2291,24.6718,23.6286,23.842,22.1248,23.6775,23.6823,22.4424,1.18149,0.0310884,1.61112,2.24554,+
ubxn-3,-1.49858,0.918796,A0A0K3AWX1,A0A0K3AWX1;A0A0K3ATZ0;Q6A589;H2L056;A0A0K3ARL0,,378;383;472;477;98,0.999489,20.8702,19.9484,17.7743,20.3774,21.9468,19.9293,21.1922,21.8962,0.918796,0.0577163,-1.49858,-1.80829,
,-3.75518,3.64974,A0A0K3AVS5,A0A0K3AVS5,,10,0.67993,19.427,20.3006,18.7168,18.6917,23.465,22.3017,23.5394,22.8507,3.64974,0.000291545,-3.75518,-7.86235,+
fln-2,0.518997,0.128036,A0A0K3AW96,A0A0K3AW96;D0VWL6;A0A0K3AYH6;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AT74;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AVI4;A0A0K3ASN9;A0A0K3ASM8;A0A0K3AVH5,,1148;1781;1117;765;829;885;973;1750;734;798;854;942;524;493;352;352,1,21.8962,22.2889,22.2839,28.1374,23.5389,22.7835,23.635,22.5729,0.128036,0.630638,0.518997,0.341081,
fln-2,-3.51673,2.3868,A0A0K3AW96,A0A0K3AW96;D0VWL6;A0A0K3AYH6;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AT74;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AVI4;A0A0K3ASN9;A0A0K3ASM8;A0A0K3AVH5,,1306;1939;1275;923;987;1043;1131;1908;892;956;1012;1100;682;651;510;510,0.961697,18.9513,19.1075,21.3324,20.6168,24.9522,23.5613,23.0364,22.5249,2.3868,0.00241945,-3.51673,-4.49999,+
fln-2,-1.28315,1.13324,A0A0K3AW96,A0A0K3AW96;D0VWL6;A0A0K3AYH6;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AT74;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AVI4;A0A0K3ASN9;A0A0K3ASM8;A0A0K3AVH5,,2799;3432;2414;2416;2480;2536;2624;3047;2031;2095;2151;2239;2175;1790;1649;2003,1,24.1065,24.0419,22.2003,22.2459,24.9466,23.9871,23.9962,24.7973,1.13324,0.0352284,-1.28315,-2.16487,+
fln-2,-1.11227,0.659255,A0A0K3AW96,A0A0K3AW96;D0VWL6;A0A0K3AYH6;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AT74;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AVI4;A0A0K3ASN9;A0A0K3ASM8;A0A0K3AVH5,,2725;3358;2340;2342;2406;2462;2550;2973;1957;2021;2077;2165;2101;1716;1575;1929,1,22.0646,22.4318,21.0279,24.6043,23.8979,23.0221,24.3683,23.2894,0.659255,0.117537,-1.11227,-1.37199,
oac-14,0.977427,1.67339,A0A0K3AWB0,A0A0K3AWB0;Q19239,,580;673,1,25.6774,25.3331,25.09,26.0825,24.8829,24.2192,25.0415,24.1295,1.67339,0.0100702,0.977427,3.09642,+
oac-14,-0.687117,0.248144,A0A0K3AWB0,A0A0K3AWB0;Q19239,,588;681,0.999991,24.3862,23.1534,20.8381,20.9396,21.3795,22.2431,24.3223,24.1208,0.248144,0.411778,-0.687117,-0.609169,
,-0.506007,0.225296,A0A0K3AWM6,A0A0K3AWM6,,430,1,25.9493,25.6012,25.5754,23.1712,26.7002,26.3703,23.8664,25.3843,0.225296,0.444985,-0.506007,-0.560775,
lsy-13,-0.00456047,0.00362008,A0A0K3AXE0,A0A0K3AXE0;A3QMD7,,11;86,0.998518,21.0886,21.4999,20.7911,20.251,21.5984,20.8447,21.1628,20.043,0.00362008,0.988469,-0.00456047,-0.0108445,
,2.49422,2.97353,A0A0K3AXT9,A0A0K3AXT9;A0A0K3ASI3,,687;583,1,24.5488,24.5753,24.4112,25.4191,23.091,22.314,21.3517,22.2208,2.97353,0.000808777,2.49422,5.88978,+
,2.08162,1.26559,A0A0K3AXT9,A0A0K3AXT9;A0A0K3ASI3,,697;593,1,26.5519,23.7382,23.6251,26.7241,23.1995,23.1103,22.5907,23.4123,1.26559,0.0262263,2.08162,2.38696,+
,2.58771,1.44273,A0A0K3AXT9,A0A0K3AXT9;A0A0K3ASI3,,677;573,1,24.0563,23.932,20.6189,24.8547,21.0903,20.3276,20.5,21.1932,1.44273,0.0175448,2.58771,2.68942,+
,2.59353,1.72974,A0A0K3AXT9,A0A0K3AXT9;A0A0K3ASI3,,683;579,0.999981,26.2573,25.6321,28.665,26.7989,24.9417,22.9695,24.0447,25.0233,1.72974,0.0090109,2.59353,3.19864,+
,-2.51301,1.22413,A0A0K3AY44;O44557,A0A0K3AY44;O44557;A0A0K3AVV4,,449;589;610,1,19.5968,20.9882,20.0661,16.4617,21.718,20.6425,21.9202,22.8842,1.22413,0.0288021,-2.51301,-2.3171,+
,-1.0532,0.797554,A0A0K3AY44;O44557,A0A0K3AY44;O44557;A0A0K3AVV4,,442;582;603,1,20.3783,19.1438,21.3597,19.1152,21.8112,21.4014,20.9117,20.0854,0.797554,0.078976,-1.0532,-1.60606,
oig-6,1.805,1.30305,A0A0K3AY85;Q9BPN5,A0A0K3AY85;Q9BPN5,,173;301,1,26.0559,26.5591,24.9241,25.4423,24.8996,24.8557,22.1453,23.861,1.30305,0.0242571,1.805,2.45034,+
oig-6,3.19367,3.00031,A0A0K3AY85;Q9BPN5,A0A0K3AY85;Q9BPN5,,152;280,1,23.5871,23.9683,25.3567,24.4127,21.2685,20.0667,21.3877,21.8274,3.00031,0.000821656,3.19367,5.95962,+
,-1.56022,0.982368,A0A0K3AYE8,A0A0K3AYE8,,172,1,24.4572,24.8878,25.6251,27.91,27.9055,27.0344,27.5142,26.667,0.982368,0.0503181,-1.56022,-1.9139,
,4.59351,3.89087,A0A0M7RFG7,A0A0M7RFG7;G5EDZ6,,49;244,1,25.3281,26.0452,24.9236,26.9336,21.2617,21.7142,20.3843,21.4964,3.89087,0.000392157,4.59351,8.68575,+
,1.88312,1.36048,A0A0S4XRR1,A0A0S4XRR1;Q9TXY2,,215;225,1,24.5958,24.8698,26.0051,27.4777,24.4258,22.9297,24.3081,23.7522,1.36048,0.0210737,1.88312,2.54807,+
,1.54554,1.46558,A0A0T7CIX3,A0A0T7CIX3,,487,0.998635,22.9383,22.0394,22.2281,23.7173,21.6439,21.5395,19.9315,21.6258,1.46558,0.0163163,1.54554,2.72901,+
,-1.38509,0.942307,A0A0T7CIX3,A0A0T7CIX3,,136,1,19.4471,20.2607,17.7943,21.2995,21.3052,20.7546,21.0599,21.2222,0.942307,0.0545909,-1.38509,-1.84736,
,-1.57343,1.4985,A0A0T7CIX3,A0A0T7CIX3,,543,1,19.5696,19.6583,19.65,20.2479,21.269,20.3956,20.863,22.8918,1.4985,0.0153353,-1.57343,-2.78629,+
rpl-11.1,-4.95341,4.51463,A0A131MBQ6;Q94300,A0A131MBQ6;Q94300,60S ribosomal protein L11,32;166,1,20.793,20.0731,19.8897,20.7316,24.9599,26.4599,24.8678,25.0134,4.51463,0,-4.95341,-11.1791,+
mdt-18,-2.96501,3.55521,A0A131MCJ5,A0A131MCJ5;Q966M5,Mediator of RNA polymerase II transcription subunit 18,53;114,1,19.6294,19.1603,19.5919,20.5718,22.3347,23.0865,22.1952,23.197,3.55521,0.00026455,-2.96501,-7.5582,+
rnf-5,-0.865623,1.43687,A0A131MD51,A0A131MD51;Q09463,RING finger protein 5,18;18,1,23.4268,22.3253,22.5068,23.375,23.9651,23.6088,24.0779,23.4445,1.43687,0.0176851,-0.865623,-2.6793,+
fipp-1,-1.07505,0.841789,O16293,O16293;A0A164D3G3,,195;195,0.997078,19.0945,21.2773,19.7128,19.6396,21.9341,19.9444,21.4413,20.7045,0.841789,0.0704924,-1.07505,-1.68004,
,-2.20108,2.74505,O02147,O02147;A0A1C3NSL8,Carboxylic ester hydrolase,540;560,0.612164,21.308,20.1025,21.1362,21.2724,22.8932,22.4723,23.4205,23.8374,2.74505,0.00109044,-2.20108,-5.31797,+
spat-2,-1.06386,0.594907,F3Y5Q3,F3Y5Q3;F3Y5Q7;A0A1I6CM84;A0A1I6CM87;A0A1I6CM95,,84;152;152;501;514,0.850926,21.9463,17.9953,20.3673,20.0127,20.6423,21.2153,20.9879,21.7316,0.594907,0.141815,-1.06386,-1.26091,
,-2.96368,2.18275,Q9N350,Q9N350;A0A1I6CMC9,,17;90,1,17.9309,19.3761,19.6897,21.1699,23.3747,22.079,22.1664,22.4012,2.18275,0.00392825,-2.96368,-4.07143,+
,0.806338,0.522668,Q9N350,Q9N350;A0A1I6CMC9,,179;252,1,25.5189,23.3498,23.9741,25.3303,24.1499,24.1082,22.3118,24.3778,0.522668,0.174595,0.806338,1.13378,
,-1.48497,1.68712,A0A1N7SYR3,A0A1N7SYR3;A0A1N7SZF8;A0A1N7SYW0,,844;973;985,1,19.2228,20.559,18.641,19.5258,20.8211,20.3356,21.5111,21.2207,1.68712,0.00992929,-1.48497,-3.1212,+
,-2.08764,1.89652,A1IMB7,A1IMB7,,151,1,19.5254,20.1955,21.6526,20.884,23.5733,21.7845,22.8928,22.3574,1.89652,0.00674096,-2.08764,-3.50875,+
,-0.68522,0.39697,A3QMB7,A3QMB7,,63,0.647627,21.3972,18.4257,19.7594,20.2966,19.9455,20.6474,20.1293,21.8976,0.39697,0.255254,-0.68522,-0.903874,
,-1.6178,1.46013,J7SF86,J7SF86;A4UVK2,,65;130,1,20.7093,18.3312,19.9624,19.0831,20.7098,21.5219,20.5711,21.7545,1.46013,0.0166358,-1.6178,-2.71955,+
,-1.37189,0.997428,U4PRJ1;Q95ZL3,U4PRJ1;A5HU95;Q5TYL1;H2L0G8;Q95ZL3,,143;178;188;239;145,1,17.6405,20.0444,20.1618,19.7342,21.8276,20.8291,20.0543,20.3575,0.997428,0.048897,-1.37189,-1.93891,+
dhs-3,-1.73584,1.325,A5JYX4,A5JYX4;A5JYX5,,101;103,1,19.3751,18.7574,18.2992,21.2439,21.5185,20.5444,20.9012,21.6549,1.325,0.0227532,-1.73584,-2.4876,+
dhs-3,0.305486,0.124328,A5JYX4,A5JYX4;A5JYX5,,81;83,1,26.0653,24.4665,24.5951,22.2333,23.8395,23.0608,23.9176,25.3203,0.124328,0.639741,0.305486,0.332175,
dhs-3,-1.89891,1.34823,A5JYX4,A5JYX4;A5JYX5,,77;79,0.981574,19.6341,18.7559,17.1171,19.9607,20.7993,19.6805,20.9888,21.5947,1.34823,0.0219082,-1.89891,-2.52718,+
dhs-3,-1.44832,2.25625,A5JYX4,A5JYX4;A5JYX5,,130;132,0.5,20.3104,19.1644,20.2899,20.6981,21.698,21.3442,21.4864,21.7275,2.25625,0.00334402,-1.44832,-4.22296,+
dhs-3,-1.28191,1.92528,A5JYX4,A5JYX4;A5JYX5,,131;133,0.5,19.9937,19.1796,18.7537,19.0696,21.0697,20.5825,19.883,20.5889,1.92528,0.00665743,-1.28191,-3.56348,+
,-3.25295,2.64809,A5PEY0,A5PEY0,,153,1,24.4365,24.4373,22.4575,22.6709,27.4033,26.922,25.801,26.8877,2.64809,0.00125659,-3.25295,-5.08763,+
,-0.142312,0.109317,I2HA81,I2HA81;A5Z2T9,,362;364,1,26.4672,26.8578,25.2635,27.0423,26.6272,25.9055,27.2079,26.4594,0.109317,0.675316,-0.142312,-0.295641,
,-2.27573,2.23129,A5Z2W7,A5Z2W7;O45637,,48;59,1,19.471,19.3592,17.832,17.7603,20.8655,20.101,21.3691,21.1898,2.23129,0.0035572,-2.27573,-4.17116,+
,-4.2683,3.62796,A5Z2W7,A5Z2W7;O45637,,56;67,1,19.3769,19.325,21.6318,20.2849,24.4835,24.6633,24.3086,24.2365,3.62796,0.000283286,-4.2683,-7.79138,+
,-1.72275,1.86455,A6PVA5,A6PVA5;O16314,,9;9,1,20.6991,21.6252,19.4246,21.1426,21.99,22.4947,22.7624,22.5354,1.86455,0.00705761,-1.72275,-3.44839,+
,1.94107,2.00646,Q20621,Q20621;A6ZJ46;Q8I4I4,,425;479;420,0.978756,23.3649,21.8957,23.5654,23.609,21.6043,20.7484,20.4864,21.8316,2.00646,0.00565728,1.94107,3.72,+
tag-296,-0.733243,0.425323,A7DT41,A7DT41,,137,1,20.5935,21.7645,19.3712,19.1424,19.6347,21.7686,21.4388,20.9624,0.425323,0.23387,-0.733243,-0.956923,
tag-296,1.37242,0.558684,A7DT41,A7DT41,,240,1,22.4544,21.8561,19.5834,24.9286,21.7511,20.3296,20.3976,20.8546,0.558684,0.157217,1.37242,1.19753,
tag-296,-4.22814,2.39719,A7DT41,A7DT41,,165,1,17.7756,20.1566,18.4736,21.3917,24.5874,23.6456,22.4487,24.0283,2.39719,0.00223853,-4.22814,-4.5225,+
tag-296,-2.13301,1.64127,A7DT41,A7DT41,,223,1,19.091,17.5619,18.9025,20.811,21.5633,20.72,20.9932,21.6218,1.64127,0.0108956,-2.13301,-3.03867,+
tag-296,-5.78988,4.4326,A7DT41,A7DT41,,158,0.989902,19.1749,18.4957,18.0406,18.3972,24.3909,24.2133,23.16,25.5037,4.4326,0,-5.78988,-10.818,+
tag-296,-3.33761,2.58981,A7DT41,A7DT41,,262,1,20.5073,20.3168,21.9282,22.0797,24.1986,24.159,23.8291,25.9958,2.58981,0.00135491,-3.33761,-4.95248,+
