geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04, -Log.p.value,Student's T-test q-value N2_d5_N2_d1,log2FC,Student's T-test Test statistic N2_d5_N2_d1,Sign p-val: 0.05 
max-2,0.463085,0.452781,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,15.5204,14.5985,13.4376,14.1562,14.2807,13.6385,13.8102,14.131,0.452781,0.241871,0.463085,1.00758,
egl-27,-1.34256,1.71211,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,12.576,13.1572,13.132,12.9809,13.5924,15.3326,14.5495,13.7417,1.71211,0.0125475,-1.34256,-3.16653,+
cdc-14,1.42663,4.19383,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,11.472,11.1757,11.0624,11.6847,10.0184,9.87131,9.89537,9.90331,4.19383,0.000573134,1.42663,9.82635,+
daf-16,0.594585,1.01943,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.585,14.0713,13.2523,14.1532,13.4251,13.116,13.6714,13.4711,1.01943,0.0591637,0.594585,1.97546,
"CELE_T16H12,3;T16H12,3",-1.5872,2.25292,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",11.412,11.2337,10.9874,11.7267,12.4847,13.4082,13.6087,12.207,2.25292,0.00489033,-1.5872,-4.21604,+
lev-11,1.28014,2.53276,A0A0K3ARC0,Uncharacterized protein,15.1948,14.4688,14.6904,15.4279,13.6743,13.3467,13.5871,14.0535,2.53276,0.00295988,1.28014,4.82253,+
gld-2,-1.52141,2.074,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,11.3677,11.1951,11.1271,11.6101,13.0836,13.5281,13.015,11.7589,2.074,0.00653505,-1.52141,-3.85272,+
ncl-1,-0.310307,0.366941,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,14.5409,15.7414,14.0072,14.7912,15.027,15.1476,15.1867,14.9605,0.366941,0.308124,-0.310307,-0.846775,
"CELE_D1069,3",3.4224,1.3066,A0A0K3ARJ1;Q6A586,Uncharacterized protein,13.2709,14.0571,14.3065,13.1438,12.4808,10.997,11.3155,6.29544,1.3066,0.0307104,3.4224,2.45636,+
lin-23,-1.71446,2.93467,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,13.3327,12.299,12.7186,13.5858,14.6164,14.6201,14.8182,14.7393,2.93467,0.00177914,-1.71446,-5.78952,+
"CELE_Y50D4B,1",-2.4778,2.07331,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,11.4711,11.1696,10.8206,11.7053,13.6227,12.8805,13.0266,15.548,2.07331,0.00653123,-2.4778,-3.85135,+
"CELE_Y39A1A,21",-0.380262,0.870193,A0A0K3ARX5;Q9XX11,Uncharacterized protein,11.4521,11.2233,11.1725,11.7425,11.3098,11.7244,11.9371,12.1402,0.870193,0.0846927,-0.380262,-1.72741,
dre-1,-0.933095,1.61006,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",17.0121,16.1905,15.7812,16.2351,16.8521,17.5528,17.5296,17.0168,1.61006,0.0158281,-0.933095,-2.98293,+
gck-1,0.733823,2.3625,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,15.9078,15.5024,15.404,15.9773,15.126,15.0707,14.7736,14.886,2.3625,0.00439468,0.733823,4.44764,+
gly-7,-0.40091,0.479823,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.0441,13.3419,14.657,14.036,14.4632,13.9384,14.0462,14.235,0.479823,0.225562,-0.40091,-1.05684,
"CELE_F40A3,3;F40A3,3",0.900038,2.31809,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",19.056,18.863,18.8798,18.9224,17.6745,18.587,18.0588,17.8006,2.31809,0.00452304,0.900038,4.3529,+
"CELE_Y50D4B,4",-1.07671,1.37928,A0A0K3ASH9,Uncharacterized protein,13.0729,14.5398,14.8538,14.1061,14.7622,15.344,15.3902,15.3831,1.37928,0.0260656,-1.07671,-2.58023,+
cdf-1,-1.52648,2.28776,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,11.2309,10.7954,11.1403,11.687,13.5598,12.8471,12.2454,12.3073,2.28776,0.00470651,-1.52648,-4.28889,+
unc-34,0.165084,0.157798,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,15.7234,15.4259,16.9355,15.7449,16.1005,16.2428,15.4881,15.338,0.157798,0.578637,0.165084,0.411001,
tbh-1,2.14754,3.27463,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,16.5062,16.1452,16.3245,17.1621,14.8463,13.869,14.1361,14.6965,3.27463,0.00123989,2.14754,6.71218,+
lev-11,0.22506,0.411607,A0A0K3ATS1,Uncharacterized protein,21.9299,22.0167,22.0209,21.2885,21.6604,21.8609,21.7249,21.1096,0.411607,0.271515,0.22506,0.93136,
imp-3,-0.106523,0.0233262,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,8.93078,11.0402,10.6452,16.142,11.6595,11.537,11.9189,12.0689,0.0233262,0.919211,-0.106523,-0.0683781,
prdx-2,0.874082,3.91311,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,22.0854,22.1847,21.9447,21.9577,20.93,21.236,21.3004,21.2097,3.91311,0.000511211,0.874082,8.76535,+
jhdm-1,0.899523,2.39936,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,15.3243,14.7986,14.6742,15.1245,14.3853,14.2042,13.9326,13.8015,2.39936,0.00401145,0.899523,4.5272,+
mrck-1,-0.634754,0.686573,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,11.7395,13.5955,13.2878,12.1785,13.3518,13.2695,13.1939,13.5251,0.686573,0.131764,-0.634754,-1.41866,
nhr-86,-1.26478,4.10415,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,11.2685,11.0428,11.2468,11.4639,12.3253,12.373,12.634,12.7489,4.10415,0.000612903,-1.26478,-9.47562,+
aat-3,0.62931,0.489297,A0A0K3AVL7;O17395,Amino Acid Transporter,12.9627,13.0532,12.2852,14.8411,12.1389,13.0892,12.9022,12.4945,0.489297,0.220498,0.62931,1.07397,
"CELE_M02H5,8",0.736212,2.29852,A0A0K3AVS5,Uncharacterized protein,19.1224,19.493,18.9658,18.9728,18.7358,18.3593,18.3323,18.1816,2.29852,0.00465863,0.736212,4.31154,+
"CELE_T08B1,1",-0.736097,2.56661,A0A0K3AVV4,Uncharacterized protein,15.1187,14.4887,14.6688,14.6374,15.4472,15.5818,15.5373,15.2916,2.56661,0.0028684,-0.736097,-4.89937,+
lipl-5,-1.69635,1.46289,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,13.731,13.7747,12.2415,11.2462,14.6172,14.4394,14.1656,14.5566,1.46289,0.0219499,-1.69635,-2.72434,+
fln-2,0.766973,3.06139,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.3907,16.6015,16.3384,16.6967,15.8547,15.4755,15.7544,15.8749,3.06139,0.00159193,0.766973,6.12127,+
"C14C6,5",2.39479,4.11976,A0A0K3AXM4;O44667,Uncharacterized protein,16.5878,15.9716,15.9966,16.4598,13.4761,13.7285,14.4,13.8321,4.11976,0.000528926,2.39479,9.53586,+
"CELE_T08B1,1",1.46207,4.62129,A0A0K3AY44,Uncharacterized protein,11.3308,11.1458,11.2457,11.7057,9.92087,9.83609,9.95917,9.86356,4.62129,0.000157635,1.46207,11.6653,+
zig-11,-0.360735,0.84059,A0A0K3AY85,2 (Zwei) IG domain protein,12.3575,12.1928,12.7751,11.9676,12.6669,12.4196,12.6057,13.0438,0.84059,0.0905525,-0.360735,-1.67804,
ilys-5,-1.45492,3.06505,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,16.4699,15.8699,15.9315,16.8144,17.7451,17.5708,17.6705,17.9189,3.06505,0.0015973,-1.45492,-6.13106,+
irg-3,2.77269,5.39277,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,17.5753,17.0789,17.0426,17.1917,14.5273,14.1672,14.347,14.7562,5.39277,0,2.77269,15.8189,+
tns-1,0.12227,0.294375,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.5425,14.8938,14.7866,15.2415,14.9621,15.0611,14.9681,14.9841,0.294375,0.379378,0.12227,0.704172,
ubr-4,-1.1189,1.22679,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,10.9007,10.8419,12.2295,12.4937,12.4933,13.1581,12.2734,13.0165,1.22679,0.0368106,-1.1189,-2.32157,+
ccar-1,-0.456473,1.07358,A0A0S4XR43,CCAR1 homolog,15.0733,14.9261,14.6607,14.2776,14.9522,15.1393,15.5796,15.0925,1.07358,0.0520477,-0.456473,-2.06547,
ulp-2,1.23634,1.46013,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,13.9227,14.4907,14.8008,14.4837,12.7519,13.8253,12.2326,13.9428,1.46013,0.0220636,1.23634,2.71956,+
"CELE_T23F4,2",0.556592,0.699329,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,14.6301,13.4505,13.9936,14.9059,14.0498,13.1419,13.5994,13.9626,0.699329,0.128214,0.556592,1.44037,
sago-1,-0.47114,0.866573,A0A0T7CIX3,Piwi-like protein,13.2114,12.9299,12.1103,13.2928,13.4302,13.4341,13.3097,13.2551,0.866573,0.0851094,-0.47114,-1.72138,
sago-2,4.07255,4.30133,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,16.7445,16.7038,16.0956,16.2426,11.8545,11.9899,12.216,13.436,4.30133,0.000528053,4.07255,10.2621,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-0.631823,0.22936,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",13.6279,13.9799,13.589,9.34186,13.6684,13.1754,13.0629,13.1592,0.22936,0.457481,-0.631823,-0.56946,
daf-4,0.694227,0.903163,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,13.9809,14.3527,13.3982,15.0507,13.7149,13.1534,13.8904,13.247,0.903163,0.0782955,0.694227,1.78229,
hpo-3,0.128509,0.112694,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,11.2987,11.1394,11.1731,11.6731,10.424,11.9341,11.8484,10.5638,0.112694,0.669242,0.128509,0.303929,
acs-22,-0.712253,2.7113,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,14.1217,13.6942,13.6335,14.0711,14.6643,14.6948,14.526,14.4845,2.7113,0.0021338,-0.712253,-5.23699,+
tag-10,-0.636052,1.65226,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,15.0082,14.5885,14.3784,14.6979,14.8529,15.4464,15.6012,15.3167,1.65226,0.0143593,-0.636052,-3.05838,+
imb-2,0.0489998,0.106135,A0A131MBF9;O62332,IMportin Beta family,13.9174,13.882,13.8402,13.8063,14.2464,13.7576,13.8201,13.4258,0.106135,0.684886,0.0489998,0.287795,
brf-1,1.1626,2.55148,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,13.4709,13.1394,12.7689,13.7489,12.2107,11.89,11.9915,12.3855,2.55148,0.00296412,1.1626,4.86492,+
"CELE_W09B6,4",0.235415,0.241905,A0A131MBG4;H2L0M1,Uncharacterized protein,13.9775,12.4984,13.5548,13.8286,12.7863,13.1092,13.2238,13.7984,0.241905,0.441707,0.235415,0.596055,
irg-7,0.268092,0.868962,A0A131MBU3,Protein irg-7,18.4456,18.298,18.1992,18.5686,18.4433,18.1981,17.9343,17.8635,0.868962,0.084769,0.268092,1.72536,
"CELE_F27B10,1",-2.58148,0.473586,A0A131MCJ0,Uncharacterized protein,14.3326,3.91271,14.0929,11.5426,12.9254,14.2495,14.251,12.7808,0.473586,0.229396,-2.58148,-1.04553,
"CELE_T22F3,3",1.38555,4.66141,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",11.3367,11.033,11.168,11.5541,9.88843,9.835,9.84919,9.97705,4.66141,0,1.38555,11.8532,+
die-1,2.2526,2.80819,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,15.0588,15.0866,13.8978,15.6883,12.188,12.711,12.9452,12.8769,2.80819,0.00188561,2.2526,5.4718,+
dhs-11,0.115592,0.482736,A0A163UT65,"DeHydrogenases, Short chain",15.0343,15.2846,15.3123,15.0999,15.0334,15.1715,15.2211,14.8428,0.482736,0.224241,0.115592,1.06212,
tbc-14,-0.168495,0.34407,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.2654,13.9874,14.3445,14.9511,14.4735,14.6009,14.4625,14.6856,0.34407,0.330259,-0.168495,-0.802583,
cyp-34a6,-1.76349,4.01459,A0A164D3C9;O44656,CYtochrome P450 family,11.3622,11.0841,11.056,11.5117,13.1808,13.1618,12.5421,13.1831,4.01459,0.000560197,-1.76349,-9.13657,+
fipp-1,1.35003,2.62703,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,15.5543,15.7114,15.2037,15.1199,14.3137,13.6219,13.703,14.5507,2.62703,0.00237705,1.35003,5.03853,+
unc-132,-0.583913,2.00284,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,13.9565,14.3631,14.313,14.4141,14.8457,14.5438,14.8722,15.1207,2.00284,0.00753415,-0.583913,-3.71294,+
cdh-4,3.40272,2.21667,A0A1C3NSI5;Q19319,Cadherin-4,15.3575,16.0375,16.173,15.8722,14.6285,10.7644,12.3328,12.1037,2.21667,0.00514612,3.40272,4.14098,+
ajm-1,1.28354,1.2381,A0A1C3NSL1,Apical Junction Molecule,11.255,11.1898,11.2619,11.715,11.6345,9.20727,9.73068,9.71515,1.2381,0.0356024,1.28354,2.3406,+
"CELE_ZC412,3",1.8166,5.69768,A0A1C3NSL5,Uncharacterized protein,18.137,18.0159,18.0333,18.2232,16.3825,16.3468,16.0183,16.3954,5.69768,0,1.8166,17.8214,+
farl-11,-0.84426,1.17029,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,11.2682,10.9403,11.2586,11.656,12.5623,12.2601,12.5787,11.0992,1.17029,0.0413702,-0.84426,-2.22679,+
let-711,-0.231048,1.77884,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,14.6299,14.5406,14.5097,14.7324,14.9091,14.9139,14.7055,14.8083,1.77884,0.0110149,-0.231048,-3.28873,+
"C40H1,7",-1.22157,0.888213,A0A1I6CM73,Uncharacterized protein,12.1926,14.3166,13.9831,12.2316,14.2645,13.5869,14.2285,15.5304,0.888213,0.0812268,-1.22157,-1.75742,
spat-2,0.658685,1.22141,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.2715,16.0483,15.169,14.849,14.5842,14.6005,15.0498,14.4684,1.22141,0.0370242,0.658685,2.31253,+
aakg-1,0.308923,0.40481,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,12.2939,13.639,13.1443,13.0203,12.5361,12.4798,12.5641,13.2818,0.40481,0.276907,0.308923,0.918623,
grl-23,0.743356,0.239009,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),11.2154,11.1904,11.1949,11.6971,12.3924,7.84233,13.0013,9.08838,0.239009,0.444922,0.743356,0.589943,
spat-2,1.63537,4.02868,A0A1I6CM95,Suppressor of PAr-Two defect,15.3208,14.5097,14.693,14.9303,13.255,13.2865,13.1384,13.2323,4.02868,0.000562963,1.63537,9.18917,+
"CELE_Y55F3BR,6",-0.620363,1.39234,A0A1I6CMC9,Uncharacterized protein,11.9964,12.6013,12.7059,12.2536,13.4095,12.62,12.8433,13.1659,1.39234,0.025434,-0.620363,-2.60263,+
vab-10,2.24373,3.90307,A0A1N7SYP3,Uncharacterized protein,19.4632,20.1036,19.1478,19.1059,17.4039,16.9936,17.0356,17.4125,3.90307,0.000507795,2.24373,8.72933,+
"eif-3,l;eif-3,L",0.0538673,0.115994,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,16.9735,17.242,16.8179,17.1523,17.153,16.7416,16.7568,17.3188,0.115994,0.662039,0.0538673,0.311987,
"npp-25;npp-25;npp-25;Y37D8A,17",-0.874418,4.0181,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,15.368,15.1084,15.3659,15.0904,16.1433,16.2131,16.1249,15.949,4.0181,0.000561576,-0.874418,-9.14965,+
cnt-1,2.05473,2.67422,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,13.8988,14.717,14.2952,13.7935,11.1371,12.6871,12.2839,12.3774,2.67422,0.00221622,2.05473,5.14903,+
"C26G2,2",-1.0717,1.58022,A0A1N7SYU2,Uncharacterized protein,10.7174,11.7878,11.4483,10.9196,12.1694,12.535,12.8624,11.5929,1.58022,0.0169681,-1.0717,-2.92994,+
"CELE_F43B10,1",-0.000613213,0.00060748,A0A1N7SYW5,Uncharacterized protein,12.7073,13.758,14.0414,13.4339,13.0402,13.4013,13.6621,13.8394,0.00060748,0.99777,-0.000613213,-0.00182608,
ubc-15,-1.06938,0.980011,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,13.9815,12.2419,14.0954,13.9793,13.8559,14.9652,15.4026,14.352,0.980011,0.065739,-1.06938,-1.90998,
"CELE_Y55F3BR,10",-0.386247,1.10888,A0A9S0,Uncharacterized protein,13.5168,14.3793,14.0736,14.0231,14.4562,14.2971,14.4081,14.3763,1.10888,0.0474633,-0.386247,-2.12425,+
"CELE_Y38F2AR,12",0.161765,0.299832,A0A9S2,Uncharacterized protein,13.7159,13.8113,12.9448,13.7027,13.6756,13.3228,13.189,13.3403,0.299832,0.372741,0.161765,0.715154,
ttr-42,0.394135,0.599334,A2V8C3,TransThyretin-Related family domain,16.6593,16.2092,16.0935,16.572,15.3834,16.6743,16.1653,15.7346,0.599334,0.163377,0.394135,1.26861,
"CELE_H29C22,1",1.53489,2.86832,A2V8C8,Uncharacterized protein,17.6766,17.1523,17.0689,18.1387,16.0658,16.055,16.1323,15.6438,2.86832,0.00177132,1.53489,5.62124,+
"CELE_F07G6,10",-1.43548,0.943901,A3FPJ3,Uncharacterized protein,12.0488,11.8308,12.0437,13.1728,12.2307,15.4786,14.18,12.9487,0.943901,0.0714243,-1.43548,-1.85001,
