geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04, -Log.p.value,Student's T-test q-value daf2_d10_eat2_d10,log2FC,Student's T-test Test statistic daf2_d10_eat2_d10,Sign p-val: 0.05 
pps-1,-1.35222,2.70429,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,14.9095,14.5201,14.0743,14.7224,16.4563,15.7657,15.6139,15.7992,2.70429,0.000944865,-1.35222,-5.22028,+
cka-1,-1.84554,1.88769,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,12.7984,12.9611,13.6862,13.8228,14.9148,13.9611,15.9528,15.8218,1.88769,0.00439532,-1.84554,-3.49204,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",0.510369,0.324807,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",12.6173,13.0353,12.4388,12.5493,13.1864,10.5308,11.6429,13.2391,0.324807,0.259602,0.510369,0.764848,
spp-18,-2.28795,2.79944,A0A061AKY5;Q19837,SaPosin-like Protein family,16.373,16.9781,16.7208,17.007,19.7195,19.6969,18.1225,18.6918,2.79944,0.00079817,-2.28795,-5.45029,+
lin-66,1.40283,2.54616,A0A061AL58;O62020,Uncharacterized protein,14.5827,14.6179,13.6819,14.7544,13.2004,13.2416,12.5728,13.0108,2.54616,0.00125878,1.40283,4.85286,+
"CELE_F09E10,7",-1.14226,0.443377,A0A078BPG0,Uncharacterized protein,14.2571,14.4518,14.1071,14.5699,17.8345,17.0631,13.2338,13.8236,0.443377,0.17527,-1.14226,-0.990305,
"CELE_F10C1,9",-2.44391,3.79641,A0A078BPH9;G4S1A4,Uncharacterized protein,11.8453,12.2266,11.2579,11.6011,14.5694,14.4741,13.679,13.984,3.79641,7.38E-05,-2.44391,-8.35479,+
itx-1,-1.01418,4.49469,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.0718,14.9494,14.8635,14.9809,16.1498,16.0867,15.8294,15.8565,4.49469,0,-1.01418,-11.0903,+
"CELE_Y41E3,7",-0.399196,0.316619,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.3709,13.8693,13.9608,13.8687,14.3975,14.9845,12.9662,15.3183,0.316619,0.266629,-0.399196,-0.748654,
"CELE_Y105C5B,15",0.440707,1.36324,A0A078BQP7;Q9U309,Purple acid phosphatase,13.783,13.271,13.2557,13.5441,13.3157,12.9472,12.7502,13.0779,1.36324,0.014175,0.440707,2.5528,+
lim-9,-0.241357,0.664354,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.6326,14.7163,14.7474,15.1376,15.3832,14.8193,14.8473,15.1495,0.664354,0.0902312,-0.241357,-1.38072,
"CELE_Y105E8A,25",-1.05424,2.11344,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.5123,13.1816,13.0543,13.2151,13.9614,13.7784,14.6478,14.7926,2.11344,0.00281214,-1.05424,-3.9313,+
pgp-2,-0.531427,1.71533,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.1777,15.1321,15.0575,15.1647,15.6228,16.1057,15.6253,15.3039,1.71533,0.00632565,-0.531427,-3.17238,+
lpd-3,-1.20751,1.36107,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,14.3259,14.0766,13.9736,15.5266,15.3052,15.0215,16.074,16.332,1.36107,0.0142313,-1.20751,-2.54908,+
tln-1,-0.523805,0.909572,A0A0K3AQU9,TaLiN,14.0114,14.7436,14.0475,15.0478,14.6647,14.9014,15.0604,15.3191,0.909572,0.0453308,-0.523805,-1.79295,+
max-2,-0.799259,1.05948,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.9622,15.2805,14.0682,14.3596,16.1548,15.1678,14.8959,15.649,1.05948,0.0303398,-0.799259,-2.04201,+
egl-27,1.29782,2.6808,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.9714,13.8412,14.4128,14.5895,13.2442,13.2268,12.8905,13.262,2.6808,0.00100373,1.29782,5.16456,+
cdc-14,-2.45929,7.07976,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,10.7319,10.7653,10.6617,10.7681,13.2845,13.3007,12.968,13.2109,7.07976,0,-2.45929,-30.4522,+
daf-16,1.50047,4.08614,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.7956,14.4813,14.4375,15.0285,13.3413,13.1219,12.9981,13.2798,4.08614,0,1.50047,9.40658,+
"CELE_T16H12,3;T16H12,3",-0.607277,2.39023,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.4629,12.3007,12.5033,11.9589,12.9464,12.9749,12.9777,12.7559,2.39023,0.00157235,-0.607277,-4.50742,+
lev-11,-2.06994,3.34561,A0A0K3ARC0,Uncharacterized protein,14.5642,15.0783,13.9281,14.3618,16.8021,16.9075,16.1494,16.3531,3.34561,0.000214229,-2.06994,-6.91852,+
gld-2,-2.5043,2.69181,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,10.6805,10.4422,9.39442,10.5435,11.6598,13.227,12.8715,13.3196,2.69181,0.000984946,-2.5043,-5.19061,+
ncl-1,0.739151,0.732521,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,14.3242,12.2912,13.6919,14.1284,13.1967,12.997,12.3461,12.9394,0.732521,0.0744521,0.739151,1.49662,
"CELE_D1069,3",-2.17291,6.77528,A0A0K3ARJ1;Q6A586,Uncharacterized protein,10.7146,10.8241,10.7882,10.7076,13.0882,13.0249,12.7673,12.8456,6.77528,0,-2.17291,-27.0737,+
lin-23,-0.959986,1.44292,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,14.3646,15.1011,14.299,14.4251,15.1276,16.229,15.7774,14.8958,1.44292,0.011592,-0.959986,-2.68975,+
"CELE_Y50D4B,1",-4.55916,4.75321,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,10.3434,10.6748,10.5864,10.8263,15.5986,15.8312,14.2319,15.0058,4.75321,0,-4.55916,-12.2938,+
"CELE_Y39A1A,21",-2.99461,2.32039,A0A0K3ARX5;Q9XX11,Uncharacterized protein,10.6527,10.4638,10.6992,7.86698,12.8914,12.9515,12.8376,12.9806,2.32039,0.00178434,-2.99461,-4.35779,+
dre-1,-1.88999,1.41178,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",16.7971,16.1175,16.858,15.1961,18.4446,16.6005,17.9721,19.5115,1.41178,0.0126213,-1.88999,-2.63604,+
gck-1,0.285111,0.346272,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.8571,14.8287,14.8672,15.2236,14.6814,15.4939,13.8252,14.6357,0.346272,0.241634,0.285111,0.806868,
gly-7,0.206563,0.288178,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,13.9867,14.2007,14.251,14.5712,14.3704,14.538,13.3101,13.9649,0.288178,0.293938,0.206563,0.691645,
"CELE_F40A3,3;F40A3,3",-0.479401,2.00059,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",18.3115,18.3569,18.4892,18.2786,18.7264,19.1993,18.7377,18.6904,2.00059,0.00342091,-0.479401,-3.70857,+
"CELE_Y50D4B,4",-3.03347,6.17096,A0A0K3ASH9,Uncharacterized protein,13.0031,12.7598,13.2396,12.9808,15.8591,16.0364,16.3143,15.9072,6.17096,0,-3.03347,-21.4244,+
cdf-1,-2.24208,6.88322,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,10.698,10.8586,10.7126,10.8259,13.1981,12.9418,12.8851,13.0385,6.88322,0,-2.24208,-28.2268,+
unc-34,1.99505,4.45564,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,15.0819,14.8671,14.7745,15.3677,13.1527,13.0222,12.6769,13.2592,4.45564,0,1.99505,10.9183,+
tbh-1,-2.2251,5.63131,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,16.6736,16.5867,16.3346,16.5949,18.6965,19.0548,18.5569,18.7819,5.63131,0,-2.2251,-17.3657,+
lev-11,-0.960948,3.41012,A0A0K3ATS1,Uncharacterized protein,21.2103,20.8595,21.0874,20.8664,21.8933,21.9091,22.2696,21.7953,3.41012,0.000222962,-0.960948,-7.1105,+
imp-3,-2.04579,4.07175,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,12.9046,13.0004,13.0576,12.5168,14.9406,15.3301,14.4438,14.9481,4.07175,9.10E-05,-2.04579,-9.35169,+
prdx-2,-0.596067,1.4713,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,21.1287,20.9678,21.3437,21.5406,21.8193,21.3514,22.029,22.1654,1.4713,0.0109262,-0.596067,-2.73893,+
jhdm-1,0.494956,0.634597,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,14.0335,14.1637,13.4546,13.3101,13.3619,13.9144,13.2782,12.4277,0.634597,0.0978673,0.494956,1.32963,
mrck-1,0.741745,1.42169,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,14.1914,12.9244,13.7289,13.7921,12.9324,12.8595,12.7296,13.1484,1.42169,0.0123778,0.741745,2.6531,+
nhr-86,-2.37308,5.65503,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,10.471,10.8163,10.7526,10.6428,13.2412,13.1367,12.723,13.0741,5.65503,0,-2.37308,-17.5272,+
aat-3,0.0110199,0.00575365,A0A0K3AVL7;O17395,Amino Acid Transporter,13.7738,14.022,14.1976,15.0863,14.8507,12.5438,14.7044,14.9367,0.00575365,0.973892,0.0110199,0.0171943,
"CELE_M02H5,8",-1.3957,2.80885,A0A0K3AVS5,Uncharacterized protein,16.5139,16.3679,16.3025,16.1643,17.8814,18.3561,17.4129,17.281,2.80885,0.000804147,-1.3957,-5.47342,+
"CELE_T08B1,1",-1.32558,2.98837,A0A0K3AVV4,Uncharacterized protein,15.0028,14.8971,15.1028,15.2087,16.8075,16.6283,16.2253,15.8527,2.98837,0.000646075,-1.32558,-5.92842,+
lipl-5,-0.00785494,0.00251919,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,16.6334,12.451,12.7817,12.4426,13.7875,13.0386,13.6151,13.8991,0.00251919,0.989034,-0.00785494,-0.00755607,
fln-2,-0.322603,1.1068,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,16.6979,16.9687,16.7577,17.2056,17.2401,17.0084,17.1824,17.4893,1.1068,0.026818,-0.322603,-2.12078,+
"C14C6,5",-0.304652,0.541356,A0A0K3AXM4;O44667,Uncharacterized protein,17.2245,17.3291,16.9134,16.9622,17.8759,17.7461,16.8533,17.1726,0.541356,0.129106,-0.304652,-1.16696,
"CELE_T08B1,1",-4.89742,0.92693,A0A0K3AY44,Uncharacterized protein,10.6035,10.8302,10.7831,0,12.7405,13.151,12.721,13.194,0.92693,0.0435389,-4.89742,-1.82181,+
zig-11,-1.46497,1.24003,A0A0K3AY85,2 (Zwei) IG domain protein,12.0862,11.0736,13.7421,12.2774,13.8044,13.0533,13.6798,14.5018,1.24003,0.0192774,-1.46497,-2.34385,+
ilys-5,-3.35227,3.51248,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,12.065,13.6606,13.2594,12.0087,16.3846,16.399,15.7997,15.8194,3.51248,0.000236123,-3.35227,-7.424,+
irg-3,-0.34506,0.290179,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,15.9325,15.9699,15.4955,15.1808,16.1604,17.0106,14.7837,16.0043,0.290179,0.291989,-0.34506,-0.695698,
tns-1,-0.0794601,0.155774,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,15.7823,15.7919,15.6604,15.6684,15.776,16.3484,15.637,15.4595,0.155774,0.486094,-0.0794601,-0.40633,
ubr-4,-6.00665,1.03892,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,0,11.9561,10.7551,12.7516,14.2463,15.2113,14.8975,15.1344,1.03892,0.0321887,-6.00665,-2.00783,+
ccar-1,-0.65715,1.70773,A0A0S4XR43,CCAR1 homolog,15.023,15.0496,14.7465,14.3862,15.5799,15.5482,15.0462,15.6596,1.70773,0.00640085,-0.65715,-3.15856,+
ulp-2,1.65081,3.66441,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,14.4602,15.024,14.2957,14.8033,13.0063,12.9344,12.7092,13.3301,3.66441,6.63E-05,1.65081,7.91046,+
"CELE_T23F4,2",-0.807207,1.66153,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,14.5471,14.7748,14.0305,14.5973,15.8133,14.8054,15.3543,15.2055,1.66153,0.0071606,-0.807207,-3.07505,+
sago-1,-0.0211189,0.0327504,A0A0T7CIX3,Piwi-like protein,14.1362,14.0414,13.6342,13.658,14.2528,13.9308,13.39,13.9807,0.0327504,0.854854,-0.0211189,-0.0950596,
sago-2,-5.28035,9.58846,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,10.6629,10.6147,10.7247,10.737,15.9714,16.1316,15.8783,15.8794,9.58846,0,-5.28035,-79.9435,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-1.14451,1.96971,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",13.2659,13.5931,13.3036,14.1517,15.1338,14.0937,14.6206,15.0443,1.96971,0.00359298,-1.14451,-3.64876,+
daf-4,-1.7848,2.80756,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,14.4753,14.0473,14.51,13.5032,15.3938,15.8197,16.4897,15.9718,2.80756,0.00080276,-1.7848,-5.47027,+
hpo-3,-2.53236,6.76222,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,10.6859,10.7691,10.5642,10.6948,13.3048,13.2918,12.9594,13.2874,6.76222,0,-2.53236,-26.9374,+
acs-22,-1.24383,4.27859,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,13.6796,13.7942,13.5549,13.6508,14.7458,14.7142,15.1839,15.011,4.27859,0,-1.24383,-10.1685,+
tag-10,-0.99576,1.34583,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,14.8294,14.9925,14.8679,15.2808,16.1245,17.0136,15.4118,15.4037,1.34583,0.0147664,-0.99576,-2.52307,+
imb-2,-1.82144,2.58476,A0A131MBF9;O62332,IMportin Beta family,13.8619,13.1635,13.9737,13.8219,15.6993,16.2368,14.6958,15.4748,2.58476,0.00116389,-1.82144,-4.94088,+
brf-1,-0.416557,1.55248,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.4864,12.8357,12.3836,12.6489,13.0458,12.7342,12.9938,13.2471,1.55248,0.00870793,-0.416557,-2.88094,+
"CELE_W09B6,4",-2.71258,3.16623,A0A131MBG4;H2L0M1,Uncharacterized protein,12.4148,11.579,12.7699,12.7387,15.68,15.5589,14.7706,14.3431,3.16623,0.000311874,-2.71258,-6.40649,+
irg-7,-1.051,2.83079,A0A131MBU3,Protein irg-7,18.4573,18.483,17.9461,17.8792,19.4416,19.381,19.0262,19.1209,2.83079,0.000748252,-1.051,-5.52763,+
"CELE_F27B10,1",0.912989,3.15649,A0A131MCJ0,Uncharacterized protein,14.1458,14.0031,14.2464,13.9139,13.2298,13.2916,12.8022,13.3336,3.15649,0.000420156,0.912989,6.37955,+
"CELE_T22F3,3",-2.45069,5.52201,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",10.5721,10.8726,10.7132,10.7171,13.3209,13.3028,12.7684,13.2858,5.52201,0,-2.45069,-16.6397,+
die-1,0.170676,0.209008,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,13.3717,13.4448,13.714,12.4583,13.1744,13.2054,12.5641,13.3621,0.209008,0.393252,0.170676,0.525616,
dhs-11,1.22392,0.741968,A0A163UT65,"DeHydrogenases, Short chain",16.7545,16.9089,14.8474,14.8397,13.765,13.5004,15.6562,15.5333,0.741968,0.0725567,1.22392,1.51258,
tbc-14,-1.18592,6.45326,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.6036,14.6016,14.5903,14.7006,15.6906,15.8106,15.8825,15.8561,6.45326,0,-1.18592,-23.9024,+
cyp-34a6,-4.11985,1.88758,A0A164D3C9;O44656,CYtochrome P450 family,9.83085,9.20679,12.5598,14.2051,15.1899,15.7969,15.5454,15.7498,1.88758,0.00439367,-4.11985,-3.49182,+
fipp-1,2.01488,4.54316,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,15.3189,15.3967,15.1668,14.7277,13.2832,13.113,12.8723,13.2821,4.54316,0,2.01488,11.3073,+
unc-132,-1.0996,3.02059,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,14.8667,14.488,14.7824,14.8884,16.1923,15.5441,16.0539,15.6335,3.02059,0.000551181,-1.0996,-6.01294,+
cdh-4,1.10727,1.89337,A0A1C3NSI5;Q19319,Cadherin-4,13.652,14.7801,13.7688,14.6286,13.3397,12.9297,12.8374,13.2936,1.89337,0.00433914,1.10727,3.50279,+
ajm-1,-0.581032,0.685455,A0A1C3NSL1,Apical Junction Molecule,12.9455,13.156,12.1875,11.4545,13.0441,13.1996,12.6299,13.194,0.685455,0.0848477,-0.581032,-1.41675,
"CELE_ZC412,3",0.113211,0.151013,A0A1C3NSL5,Uncharacterized protein,18.597,18.6886,18.4328,18.5917,18.8669,19.0285,18.0189,17.9431,0.151013,0.495812,0.113211,0.395294,
farl-11,-1.88232,2.76607,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,10.7302,11.9712,11.1118,10.5329,13.3,13.0025,12.9875,12.5854,2.76607,0.000810297,-1.88232,-5.36885,+
let-711,-1.33252,3.06976,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,14.6028,13.8219,14.4322,14.5107,15.9654,15.3583,15.7342,15.6397,3.06976,0.0004633,-1.33252,-6.14367,+
"C40H1,7",-1.17578,1.27306,A0A1I6CM73,Uncharacterized protein,13.5665,12.9184,14.514,14.3156,14.5763,14.4699,15.9008,15.0706,1.27306,0.017848,-1.17578,-2.39958,+
spat-2,-1.0641,2.57182,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,14.1855,14.3438,14.6448,14.1279,15.5621,15.8213,15.0436,15.1316,2.57182,0.00117553,-1.0641,-4.91127,+
aakg-1,-2.84776,5.02593,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,13.2727,12.6293,13.4365,13.2746,15.9258,16.2658,16.0502,15.7623,5.02593,0,-2.84776,-13.6947,+
grl-23,-2.42181,1.54675,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),12.011,8.21634,11.4746,10.7432,12.844,13.2261,12.9642,13.0982,1.54675,0.00885447,-2.42181,-2.87085,+
spat-2,-1.74109,1.54541,A0A1I6CM95,Suppressor of PAr-Two defect,12.862,13.6701,12.6267,12.5273,14.143,13.3995,15.8371,15.2707,1.54541,0.00884857,-1.74109,-2.86849,+
"CELE_Y55F3BR,6",0.16443,0.338356,A0A1I6CMC9,Uncharacterized protein,13.5166,13.7825,12.9928,12.9953,13.1881,13.2986,12.9785,13.1643,0.338356,0.248542,0.16443,0.791442,
vab-10,-0.994654,4.32142,A0A1N7SYP3,Uncharacterized protein,18.0784,18.1301,18.1264,18.1399,19.3241,19.188,18.8759,19.0655,4.32142,0,-0.994654,-10.3455,+
"eif-3,l;eif-3,L",-1.72202,3.10156,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,16.5486,16.7697,16.9001,17.1028,18.3123,17.9605,18.9907,18.9457,3.10156,0.000437414,-1.72202,-6.22937,+
"npp-25;npp-25;npp-25;Y37D8A,17",-1.33476,1.99572,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,15.1151,14.8798,15.6263,15.6452,16.4943,15.8518,17.1822,17.0772,1.99572,0.0034423,-1.33476,-3.6991,+
cnt-1,-2.11604,2.44019,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,13.211,12.924,13.2353,12.4004,15.9609,14.8263,14.0249,15.4226,2.44019,0.00153803,-2.11604,-4.61635,+
"C26G2,2",-2.60663,2.88507,A0A1N7SYU2,Uncharacterized protein,11.5342,10.4889,11.9452,11.6,13.5636,13.5028,14.9584,13.9699,2.88507,0.000712727,-2.60663,-5.66338,+
"CELE_F43B10,1",1.15894,1.13705,A0A1N7SYW5,Uncharacterized protein,14.458,14.8763,14.1917,12.8478,13.1894,13.1562,12.0314,13.3612,1.13705,0.0249798,1.15894,2.17125,+
ubc-15,-0.626152,1.11773,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,14.3409,13.5595,13.3431,14.4728,14.6706,14.6209,14.3081,14.6214,1.11773,0.0261682,-0.626152,-2.139,+
"CELE_Y55F3BR,10",-1.9077,1.52404,A0A9S0,Uncharacterized protein,14.1099,14.0166,12.2744,13.5986,15.7842,15.5107,13.9367,16.3988,1.52404,0.00937044,-1.9077,-2.83096,+
"CELE_Y38F2AR,12",-0.624068,0.775235,A0A9S2,Uncharacterized protein,13.5852,13.5163,13.611,13.5721,14.3588,13.0704,14.4108,14.9409,0.775235,0.0661896,-0.624068,-1.5686,
ttr-42,-0.860618,0.60483,A2V8C3,TransThyretin-Related family domain,17.2967,17.275,17.1519,17.8419,17.0684,17.1944,19.1209,19.6243,0.60483,0.107131,-0.860618,-1.27816,
