geneName,log2FC,pvalue,Protein IDs,Protein.names,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03, -Log.p.value, Student's T-test q-value rpn6_ev,log2FC,Student's T-test Test statistic rpn6_ev,Sign p-val: 0.05 
itx-1,0.26941,0.397598,A0A078BPJ4;A0A078BPL3;H1ZUX6;A0A078BS63;O45000,,25.1816,24.8685,24.2344,24.3743,24.6056,24.4962,0.397598,0.444951,0.26941,0.940272,
,-0.174011,0.182929,D3YT98;Q2EEM2;N1NV17;Q2XMY1;O62444;A0A078BQL1;D3YT97,,26.7372,25.7236,26.2636,26.2911,26.8317,26.1236,0.182929,0.781748,-0.174011,-0.480066,
dnj-30,-0.152643,0.0896018,A0A078BS22;Q95Y44,,24.9412,26.6273,26.3486,25.5928,26.6609,26.1213,0.0896018,0.887784,-0.152643,-0.251838,
,0.306454,0.325207,A0A0K3AQS9,,33.9025,33.6062,33.9798,32.792,33.7883,33.9888,0.325207,0.554322,0.306454,0.791531,
,2.04661,2.30285,A0A0K3ATS5;A0A0K3AUC6;A0A0K3AQT9;A0A0K3AWP8,,28.8034,27.7425,27.7046,26.1195,26.0723,25.9189,2.30285,0.0105143,2.04661,5.60407,+
,0.0315412,0.12275,A0A0K3ARB5,,33.9754,33.9138,33.7983,33.7089,33.9266,33.9574,0.12275,0.848144,0.0315412,0.335953,
,-1.46259,1.23279,A0A0K3ARI2;U4PBX8;Q9XUF9,,25.8441,25.7987,25.6638,26.1225,27.806,27.7659,1.23279,0.0526215,-1.46259,-2.62475,
F40F8.1,0.227773,0.212954,A0A0K3ARK6;Q20230,UMP-CMP kinase 2,28.725,28.4847,28.6283,29.1942,28.0856,27.8748,0.212954,0.739678,0.227773,0.548674,
ZK652.6,-0.0629374,0.102613,A0A0K3AUB7;A0A0K3AS04;P34664,Uncharacterized protein ZK652.6,25.7381,26.1986,25.6433,25.6484,26.0952,26.0252,0.102613,0.871645,-0.0629374,-0.285321,
itsn-1,1.24138,1.48543,Q9U2T9;A0A0K3AS36;E6N0W0;A0A0K3AUH0;E6N0W1;A0A0K3ARL5,,28.7883,28.7416,28.6145,26.7145,27.9507,27.7551,1.48543,0.0331796,1.24138,3.20636,+
F40A3.3,-0.288887,0.660095,A0A0K3ASH2;O16264,Phosphatidylethanolamine-binding protein homolog F40A3.3,27.556,27.0605,26.9349,27.5883,27.4135,27.4162,0.660095,0.209689,-0.288887,-1.45745,
fln-2,0.525974,0.706361,A0A0K3AVI4;A0A0K3AYI1;A0A0K3ASN4;D0VWL7;A0A0K3AT80;A0A0K3AW96;D0VWL6;A0A0K3AVH5;A0A0K3ASM8;A0A0K3ASN9;A0A0K3AT86;A0A0K3AWA2;D0VWL8;A0A0K3AVH8;A0A0K3AYH6;A0A0K3AT74,,32.3749,32.6144,32.3761,31.2685,32.269,32.2501,0.706361,0.18479,0.525974,1.54762,
tbh-1,-1.24938,1.35738,A0A0K3ATC0;Q9XTQ6,Tyramine beta-hydroxylase,27.8015,27.9007,27.59,28.2099,29.6288,29.2016,1.35738,0.0416653,-1.24938,-2.90459,+
,6.06876,2.20125,A0A0K3AUC2;A0A0K3ATS1;CON__Q3SX28,,31.7468,31.7263,28.2889,24.278,24.6725,24.6052,2.20125,0.0111429,6.06876,5.25133,+
prdx-2,-0.424604,0.557084,Q8IG31;H2KZL7;A0A0K3AUJ9;Q21824,,32.2062,32.5591,32.1874,32.113,33.0998,33.0136,0.557084,0.281995,-0.424604,-1.2566,
,-0.401723,0.127062,A0A0K3AV58;Q8MNX1,,24.9937,25.6937,25.9153,28.1546,25.1528,24.5005,0.127062,0.843331,-0.401723,-0.346622,
W03F9.1,0.379049,0.604766,A0A0K3AV63;O16999,Zinc finger protein ZPR1 homolog,25.6762,25.6999,25.9933,25.2479,25.0615,25.9229,0.604766,0.244379,0.379049,1.34967,
dod-19,1.17305,0.975203,A0A0K3AVF2;O61874,,28.41,28.3909,29.5167,27.7958,26.7881,28.2146,0.975203,0.0932426,1.17305,2.08123,
,-2.25722,1.14333,A0A0K3AY18;A0A0K3AVS5,,23.998,23.8556,24.1075,24.4075,26.9626,27.3626,1.14333,0.0623695,-2.25722,-2.43117,
lipl-5,-0.0148538,0.0109925,A0A0K3AW68;O61866;A0A0K3AYF1;O16956,Lipase,30.4119,30.6638,31.0678,30.1831,30.4901,31.5148,0.0109925,0.985676,-0.0148538,-0.0333324,
oig-6,-0.0455265,0.0463558,A0A0K3AY85;Q9BPN5,,29.7661,30.3877,30.3102,29.6638,30.3782,30.5585,0.0463558,0.94178,-0.0455265,-0.135501,
ilys-5,-0.9994,3.02948,A0A0K3AYJ1;Q19698,,28.1808,28.2298,28.0969,29.0758,29.3824,29.0476,3.02948,0.00147475,-0.9994,-8.76421,+
tag-163,0.0528272,0.0358714,H2L047;H2L046;A0A0S4XR31;H2L045,,27.7314,26.364,26.9839,26.5452,26.8144,27.5611,0.0358714,0.954797,0.0528272,0.105951,
lst-3,1.64893,1.95811,A0A0S4XR43;G5EBS4;A0A0S4XRD3;H2KMJ3,,30.404,30.1343,30.1845,27.8748,28.9738,28.9274,1.95811,0.0151368,1.64893,4.4773,+
tag-10,0.46162,0.852689,A0A131MBC3;G5EER7;A0A131MCY4;G5EG67,,29.4729,29.1511,29.7759,28.6633,29.108,29.2437,0.852689,0.12967,0.46162,1.83517,
imb-2,-0.557803,1.25795,O62332;A0A131MBF9,,26.2462,25.8851,26.5874,26.8294,26.7049,26.8578,1.25795,0.0495531,-0.557803,-2.68026,+
,0.288636,0.44816,A0A131MBU3,,29.9265,29.5011,29.6615,28.917,29.5938,29.7124,0.44816,0.387335,0.288636,1.04182,
nhl-1,0.80566,2.08335,A0A131MCD3;Q03601,RING finger protein nhl-1,26.0591,26.4918,26.1894,25.6504,25.3484,25.3245,2.08335,0.0130829,0.80566,4.86428,+
ajm-1,0.494527,2.14457,G4RTG4;A0A1C3NSM8;A0A1C3NSL1;A0A1C3NSQ2;H2KYC4;A0A1C3NSK1;A0A1C3NSK9;A0A1C3NSL6;Q95ZY7;A0A1C3NSL9;H2KYC6;A0A1C3NSP2;H2KYC5;REV__Q20497,,32.2445,32.3713,32.4178,31.7335,31.8063,32.0103,2.14457,0.0121949,0.494527,5.0624,+
ZC412.3,1.14266,0.436903,A0A1C3NSL5;Q23307,Uncharacterized protein ZC412.3,31.0839,31.7131,31.3971,28.0431,31.3574,31.3657,0.436903,0.399344,1.14266,1.01934,
inx-13;unc-9,1.3139,2.49504,A0A1C3NSM1;O44887;O01393,Innexin;Innexin unc-9,25.7376,25.4399,26.1384,24.3703,24.5311,24.4729,2.49504,0.00738562,1.3139,6.32435,+
ntl-1;let-711,0.0725695,0.0825114,S5ZDJ9;A0A1D3PCL8;A0A1D3PCM5;Q20937;A0A1D3PCL9,,26.6737,25.923,26.7083,26.1833,26.7152,26.1889,0.0825114,0.895059,0.0725695,0.233319,
spat-2,0.507299,0.663936,A0A1I6CM87;A0A1I6CM95;F3Y5Q3;F3Y5Q7;A0A1I6CM84;Q9XXC7;A0A1I6CM86,,29.0712,29.229,29.406,28.0949,29.2208,28.8686,0.663936,0.207872,0.507299,1.46493,
,0.783184,1.04178,Q9N350;A0A1I6CMC9,,29.3559,29.2028,28.9473,28.2449,29.0185,27.893,1.04178,0.0797521,0.783184,2.21786,
,-0.0953134,0.183842,A0A1N7SYR7;A0A1N7SYN7,,29.7544,29.7983,29.6279,29.4477,30.0743,29.9445,0.183842,0.780408,-0.0953134,-0.48218,
eif-3.L,-0.139507,0.254304,A0A1N7SYP6;Q95QW0;A0A1N7SYP7;A0A1N7SYR1,Eukaryotic translation initiation factor 3 subunit L,33.425,33.2639,33.4902,33.1187,33.7591,33.7198,0.254304,0.669422,-0.139507,-0.640333,
col-138;col-179;col-178;col-20,0.731511,1.46895,A3QM98;O17642;O17641;P91249,,28.2251,28.3653,28.1748,27.0973,27.8554,27.618,1.46895,0.0339525,0.731511,3.16667,+
rpl-34,-0.20255,0.248119,A3QMC5,,30.7682,30.2442,30.5968,30.1826,31.1158,30.9184,0.248119,0.681569,-0.20255,-0.626809,
pdi-2,-0.445388,1.28441,A3RMS2;G8JY07;Q17770,Protein disulfide-isomerase 2,32.6165,32.6331,32.346,33.2418,32.8745,32.8156,1.28441,0.0478571,-0.445388,-2.73915,+
,1.45851,0.741606,U4PRJ1;A5HU95;Q5TYL1;H2L0G8,,27.2755,27.4689,27.976,26.022,27.6797,24.6433,0.741606,0.170021,1.45851,1.61647,
C17B7.2,0.691786,0.894999,A5HU97;O45160,UPF0376 protein C17B7.2,28.0204,27.5041,27.7015,27.4589,26.4026,27.2893,0.894999,0.116313,0.691786,1.91946,
guk-1,1.40116,2.46125,A5HU98;P91425,,28.6153,28.9135,29.1531,27.2407,27.4363,27.8014,2.46125,0.00798718,1.40116,6.19239,+
rad-50,-0.174623,0.0907304,A5JYU5;O44199,DNA repair protein rad-50,26.172,26.4279,26.7325,27.9232,26.2,25.7331,0.0907304,0.885266,-0.174623,-0.254768,
,-1.11962,1.33781,A5JYV2;O17616,,26.3751,26.5203,26.8055,27.1435,28.3948,27.5216,1.33781,0.0425172,-1.11962,-2.85978,+
,-0.747505,0.286433,A5JYW3,,27.7326,27.8459,24.6963,27.0974,27.817,27.6028,0.286433,0.614667,-0.747505,-0.709665,
pqn-87,0.910961,0.350532,Q9U207;A5PEX6;G2HK02;K8ESL3;G2HK03,,27.557,27.8833,28.1848,24.8364,28.0153,28.0406,0.350532,0.511895,0.910961,0.844104,
,0.691313,0.701789,A5PEY1,,29.7925,30.0622,30.6686,28.8433,29.4912,30.1148,0.701789,0.186584,0.691313,1.5387,
,-0.100926,0.211873,A5Z2S2,,26.7378,26.3108,26.1136,26.4671,26.4824,26.5154,0.211873,0.740735,-0.100926,-0.546238,
saps-1,3.31715,4.31988,A5Z2S4;Q18696;B2D6K9,,27.5877,27.6626,27.4459,24.0147,24.1622,24.5678,4.31988,0,3.31715,18.7264,+
istr-1,0.166197,0.15428,A5Z2T4;G5EDV6;G5ECX8,,28.3599,28.7121,28.4006,27.5531,28.7645,28.6564,0.15428,0.8202,0.166197,0.412678,
,0.108824,0.148475,Q1NZ17;A5Z2T8;Q1NZ18;Q22015,,29.6596,29.4243,28.8116,29.2927,29.2925,28.9838,0.148475,0.823561,0.108824,0.398767,
,-1.25184,3.08775,A5Z2V3;O45247,,24.1048,24.0993,23.7767,25.3891,25.2531,25.0941,3.08775,0.00155319,-1.25184,-9.07584,+
,-1.36318,0.685722,A5Z2W4;O18052,,30.2974,27.6263,30.0154,30.0444,31.0117,30.9726,0.685722,0.194083,-1.36318,-1.50738,
,-0.186237,0.215558,K8FDY8;O46010;A5Z2W6,,25.9927,25.9198,25.8201,25.4947,26.6405,26.156,0.215558,0.736974,-0.186237,-0.554538,
,-1.29678,2.012,A6PVA1,,25.3664,25.1136,25.4987,27.0439,26.6637,26.1614,2.012,0.0148364,-1.29678,-4.6409,+
,-0.13844,0.266366,Q8I4I4;Q20621;A6ZJ46,,26.2808,26.7877,26.8399,26.7516,26.9694,26.6027,0.266366,0.649126,-0.13844,-0.666536,
,0.958607,0.960341,A6ZJ59;Q22166,,26.6597,27.0183,27.0569,25.2587,26.7959,25.8043,0.960341,0.0980864,0.958607,2.05103,
oxy-5,0.291802,0.177328,A7DT45,,30.5462,31.0838,30.6086,29.2593,30.9361,31.1679,0.177328,0.787186,0.291802,0.467049,
mrg-1,0.0354303,0.00884579,Q9XWW2;A7DTF0,,24.5068,24.9479,25.0054,27.0399,24.8059,22.508,0.00884579,0.988328,0.0354303,0.0268869,
,1.71922,1.98219,Q9U222;A7DTF5,,30.2036,31.0365,30.9949,28.4993,29.2752,29.3028,1.98219,0.0152639,1.71922,4.54989,+
unc-16,-0.180242,0.456296,S6FN04;S6FD02;U4MKU8;S6FN08;S6FWP4;S6EZP3;A7LPE4;C0P271;P34609,JNK-interacting protein,25.9443,25.6626,26.012,25.9053,26.3177,25.9367,0.456296,0.376889,-0.180242,-1.05802,
gpdh-2,-0.205573,0.174264,A7LPE5;A7LPE6;Q7JMU1;P34517,Glycerol-3-phosphate dehydrogenase [NAD(+)];Probable glycerol-3-phosphate dehydrogenase 2,28.9601,30.1456,30.1845,30.2167,30.1079,29.5823,0.174264,0.791114,-0.205573,-0.459897,
,1.20747,0.663189,Q5FC71;A7LPG5,,30.9079,31.4427,31.0812,31.5545,29.1927,29.0622,0.663189,0.207661,1.20747,1.46347,
,-0.235299,0.129519,A7LPH5;Q19267,,27.8768,28.9728,29.0731,27.7838,29.4217,29.4231,0.129519,0.841533,-0.235299,-0.352673,
pnc-1,0.0576172,0.0471267,A7WK39;Q9N426,,28.4079,28.534,29.5045,28.6959,28.3855,29.1922,0.0471267,0.941429,0.0576172,0.137651,
mdt-28,0.655304,0.978367,Q65ZB1;Q23095;A8WHP8,,31.5956,31.9874,32.0968,30.7602,31.2424,31.7112,0.978367,0.0925749,0.655304,2.08767,
,-0.0560296,0.0777389,L8E811;Q8I4B8;L8EC36;Q9U1T6;L8E6L7;A8WI97,,27.1351,27.9131,27.552,27.3557,27.6792,27.7334,0.0777389,0.901783,-0.0560296,-0.220738,
rps-22,-1.3138,2.03614,A8WIR1;O17218,,29.4916,29.8336,29.6355,31.3674,30.4786,31.056,2.03614,0.0143163,-1.3138,-4.71559,+
,1.25611,3.012,A8WIT0;H2L0B7,,25.9226,25.6222,25.5983,24.5581,24.2573,24.5592,3.012,0.00208,1.25611,8.67263,+
,-3.68387,1.40338,A9D0C6;A9D0C3,,23.878,25.0349,24.1612,25.7013,29.0812,29.3433,1.40338,0.0378682,-3.68387,-3.01125,+
,-3.80047,3.77767,O16376;A9D4S6,,24.8363,24.3996,24.0161,27.9294,28.4044,28.3196,3.77767,0.000955752,-3.80047,-13.6492,+
,0.383713,0.377121,A9UJN7,,31.0484,30.091,29.7916,30.253,29.9534,29.5735,0.377121,0.471986,0.383713,0.898654,
hsp-43,0.503157,1.27523,H2KYS1;B0M0L8,,32.4146,32.5875,32.8411,32.3856,31.9911,31.957,1.27523,0.0486111,0.503157,2.71866,+
,0.601213,1.21243,B0M0L9;H2KYT6;Q9BIA9,,26.4557,26.1131,25.9937,25.4338,25.366,25.959,1.21243,0.0549916,0.601213,2.58019,
,0.0116202,0.0198145,Q5FC40;B1Q273,,31.0795,31.2784,31.609,31.5058,31.0936,31.3327,0.0198145,0.975187,0.0116202,0.0595098,
unc-57,0.418262,0.203852,B1V8A0,,26.8026,27.8052,27.5539,25.5388,27.9594,27.4087,0.203852,0.751811,0.418262,0.528076,
,2.437,1.75687,B1V8K3;B1V8K4,,28.2692,26.5344,26.2865,24.5392,24.6444,24.5954,1.75687,0.0202406,2.437,3.90255,+
szy-20,0.0406647,0.0339323,G5EEB4;D2KT99;G5EGU9;Q565A8;B2D6L4;Q9XVV8;Q18094,,27.157,26.089,26.1417,26.0571,26.7768,26.4318,0.0339323,0.957258,0.0406647,0.100421,
,-0.264725,0.449212,B2D6L9,,26.2135,26.1349,25.5957,26.3133,26.4889,25.936,0.449212,0.385128,-0.264725,-1.04392,
rmd-2,-0.390989,1.07027,B2D6P1;P90762;Q8MQB5,,29.3586,29.3053,28.8991,29.5207,29.4568,29.7585,1.07027,0.0733232,-0.390989,-2.27707,
smc-3,3.39021,2.56028,B2FDA8,Structural maintenance of chromosomes protein 3,29.544,29.725,30.2642,27.3849,26.0594,25.9183,2.56028,0.00683333,3.39021,6.5859,+
gcn-1,1.61231,2.27189,B3CJ34,,28.6347,28.9222,28.3225,27.3003,27.1981,26.5441,2.27189,0.0104889,1.61231,5.49463,+
,0.295624,0.282785,H2KYS2;B3WFT8,,30.6553,31.0279,30.8117,29.7218,30.9503,30.9359,0.282785,0.622407,0.295624,0.701865,
abts-1,0.615356,0.721799,G5EC65;G5EDF4;B3WFV9,Anion exchange protein,28.3413,27.4928,27.0172,27.0043,26.9204,27.0806,0.721799,0.177989,0.615356,1.57776,
,-0.417457,1.3245,Q7YTF9;B3WFW5,,26.3821,25.9404,26.2913,26.5073,26.6476,26.7113,1.3245,0.043451,-0.417457,-2.82948,+
ifg-1,-2.25181,1.99704,B5BM23;Q7JMF0;Q21531;B5BM25;B5BM24,,26.1566,27.3128,27.8067,29.3309,29.4055,29.2951,1.99704,0.0149148,-2.25181,-4.59507,+
,1.20423,0.711179,Q9XTY7;B5BM47,,28.4905,27.5556,28.7339,25.6921,27.8516,27.6235,0.711179,0.18318,1.20423,1.55702,
ret-1,-1.3745,0.979009,B5U8N2;Q7JLB0;Q23187,Reticulon-like protein,27.0217,27.804,25.573,28.0385,28.3019,28.1818,0.979009,0.0925592,-1.3745,-2.08898,
,0.0198847,0.0235323,J7SEY3;B6EU63,,29.1156,29.3812,29.5023,29.2805,29.7761,28.8829,0.0235323,0.970343,0.0198847,0.0703969,
,-2.78803,4.02256,Q21020;B6VQ41,,24.0522,23.7358,24.1551,26.8035,26.5388,26.9648,4.02256,0.00118681,-2.78803,-15.7501,+
nep-17,-1.15604,1.72533,B6VQ96;O45569,,27.1695,26.3312,26.3759,27.5166,27.9101,27.918,1.72533,0.0216987,-1.15604,-3.81727,+
mca-3,0.683547,1.0832,Q8MXS0;Q95XP6;B7CED8;Q95XP5;U4PMD6,Calcium-transporting ATPase,30.6893,30.2209,30.533,29.2873,29.9435,30.1618,1.0832,0.0719253,0.683547,2.30409,
,0.462749,1.49664,Q9XWX8;Q8I4D3;D9PTN8;B7FAR9;Q2HQL8,,32.3396,32.1929,32.0735,31.5382,31.7242,31.9554,1.49664,0.0325463,0.462749,3.23354,+
rpl-32,-1.19146,0.799396,B7WN95;Q22716,,30.302,30.0585,30.4183,30.0901,32.1157,32.1474,0.799396,0.147266,-1.19146,-1.72985,
pyk-1,-0.0442098,0.0553376,Q3S1I8;O17836;B7WNA0;Q7JL40;O17835,Pyruvate kinase,30.8839,30.5399,30.948,31.0664,30.3454,31.0927,0.0553376,0.931233,-0.0442098,-0.160368,
tnt-3,2.27947,0.997653,B9WRS6;H2KYL8;H2KYL9;H2KYL7,,29.5039,28.6129,29.7506,26.8339,28.848,25.3471,0.997653,0.087399,2.27947,2.12704,
,3.67505,2.51925,C0Z3L6,,30.4549,30.7221,31.2349,26.1201,27.3832,27.8834,2.51925,0.00758389,3.67505,6.42035,+
taf-12,-1.34829,0.429622,C0Z3M2;Q9U226,,26.5636,27.5837,28.9022,26.7283,30.4047,29.9613,0.429622,0.408794,-1.34829,-1.00477,
uba-1,0.276477,0.302673,Q3S1J5;C1P636;Q27481,,29.1977,28.9534,28.2981,28.8329,28.0283,28.7585,0.302673,0.593301,0.276477,0.744174,
,3.79068,2.96415,C6KRG1;H2KZY6,,28.6507,28.3933,28.694,25.6369,24.567,24.162,2.96415,0.00196226,3.79068,8.42652,+
,0.391447,0.22696,C6KRI9;X5M900;Q22847;X5M5W2,,28.5312,28.0303,29.3675,27.1647,28.9498,28.6401,0.22696,0.718459,0.391447,0.580061,
sao-1,0.783144,1.22022,C6KRN1,,25.6828,25.9566,25.5159,24.5823,24.7514,25.4721,1.22022,0.0541434,0.783144,2.59719,
,-0.0226231,0.0206805,C6KRN4;Q5FC39,,29.6361,30.7663,30.5251,30.1192,30.3354,30.5408,0.0206805,0.974157,-0.0226231,-0.0620534,
nid-1,-0.309677,0.182367,C7FZU4;C7FZU3;Q93791,,29.2616,29.246,28.7396,28.1702,29.7855,30.2205,0.182367,0.781718,-0.309677,-0.478764,
,0.293117,0.980234,C7IVQ8,,31.7649,31.994,31.8875,31.3421,31.7193,31.7057,0.980234,0.0925562,0.293117,2.09147,
fln-1,0.309086,0.941081,D0IMZ7;U4PEE3;D0IMZ8;U4PB53;D0IMZ5;U4PR92;U4PM01;U4PBJ9;U4PR97;U4PM09;U4PEE8;U4PRA0;U4PM04;U4PBK4;U4PB58;U4PEF1;D0IMZ6;H2KZT3;Q9TYW4,,33.5094,33.6394,33.8654,33.1386,33.4456,33.5027,0.941081,0.102944,0.309086,2.01206,
laf-1,0.390107,0.553889,D0PV95,,27.9177,28.4572,28.87,27.7408,28.2256,28.108,0.553889,0.284469,0.390107,1.25035,
tdp-1,1.88376,2.74843,D0VWM8,,25.9491,26.3801,26.7062,24.5193,24.2132,24.6515,2.74843,0.00420884,1.88376,7.39347,+
gpb-1,1.50756,1.7567,D1MN68;P17343,Guanine nucleotide-binding protein subunit beta-1,29.1209,28.8808,29.262,26.8414,27.9162,27.9834,1.7567,0.0202026,1.50756,3.9021,+
hint-3,1.24172,1.14732,Q18227;D3KFR7,,30.3891,29.1018,29.2332,28.5701,27.7314,28.6973,1.14732,0.0617845,1.24172,2.43968,
dph-3;K01H12.1,-0.23912,0.237689,D3YT20;Q21102,DPH3 homolog,27.7765,26.758,27.6961,28.0482,27.2754,27.6243,0.237689,0.701124,-0.23912,-0.603861,
pyk-2,-0.94852,0.504964,D3YT37;D3YT36;Q23539,Pyruvate kinase,26.7422,25.3837,24.8288,25.5931,27.6477,26.5594,0.504964,0.329003,-0.94852,-1.15433,
atx-2,0.992592,0.481208,G5ED29;D4PH96,,27.8645,27.4797,28.5164,25.3489,27.3353,28.1987,0.481208,0.349476,0.992592,1.10745,
dct-16,-0.742591,2.45272,D4YWC3;Q9XX57,,33.5138,33.7524,33.6452,34.2373,34.5697,34.3321,2.45272,0.00791111,-0.742591,-6.15945,+
larp-1,0.530269,0.50179,D5MCN2,La-related protein 1,28.7974,29.8634,29.4374,29.5203,28.4678,28.5193,0.50179,0.330794,0.530269,1.14808,
sup-26,1.7642,2.97637,D5MCQ9;D5MCQ4;D5MCQ1;Q7JMB8;D5MCR5;D5MCQ8;D5MCQ2;D5MCQ3;Q21900;D5MCQ7;D5MCR4;D5MCQ6;D5MCQ5;D5MCR3,,26.5659,26.4991,25.924,24.5353,24.6466,24.5144,2.97637,0.00200966,1.7642,8.48876,+
gfrp-1,-0.201564,0.231442,D6RYD9,,26.5046,26.2336,26.8493,26.3628,26.523,27.3063,0.231442,0.710992,-0.201564,-0.590028,
gsto-1,-0.566327,1.76537,D7SFI3;P34345,Glutathione transferase omega-1,30.3823,30.4672,30.7907,31.1459,31.2198,30.9734,1.76537,0.0203939,-0.566327,-3.92573,+
emb-4,-1.6608,3.37733,D8FRP9;D8FRP8;I2HAI1;Q9U1Q7,,24.0754,24.0523,24.1549,25.7314,26.0272,25.5063,3.37733,0.00192105,-1.6608,-10.7831,+
unc-70,0.0198034,0.034139,G5EG85;S6FN00;Q9U9J8;E0AHA7,,31.3837,31.248,31.8126,31.3252,31.4095,31.6502,0.034139,0.957218,0.0198034,0.101011,
iars-2,0.906713,1.00016,E2JL03,,26.1265,25.6284,26.8334,25.4645,24.8108,25.5929,1.00016,0.0867235,0.906713,2.13217,
ttr-44,2.09004,3.26543,E3W741;Q18878,,29.0494,28.6712,28.7183,26.6324,26.4852,27.0511,3.26543,0.00180247,2.09004,10.0906,+
hpo-34,-0.894247,2.13381,E3W743;Q6A2D2,,29.0209,28.9723,29.3699,30.0119,30.2358,29.7981,2.13381,0.0132995,-0.894247,-5.02712,+
,0.194813,1.14037,E3W759;O17902,,27.7204,27.5499,27.6453,27.4853,27.5267,27.3192,1.14037,0.0634522,0.194813,2.42486,
nstp-5,-1.94401,3.78359,E5QCI0;O02345,,23.8905,23.8901,24.1183,25.7472,25.8398,26.144,3.78359,0.000964286,-1.94401,-13.6967,+
fkb-1,2.70718,3.81019,F1LIM6,Peptidyl-prolyl cis-trans isomerase,26.8337,27.4271,27.3948,24.4637,24.5117,24.5586,3.81019,0.000981818,2.70718,13.9117,+
spat-2,-2.6698,2.75007,F3Y5Q4,,23.9851,24.1203,24.0756,26.0512,27.2696,26.8695,2.75007,0.00422581,-2.6698,-7.40083,+
otub-3,0.158347,0.0644707,F5GU87;Q19681;F5GU86,,27.0686,27.6807,26.8498,25.626,27.0392,28.4589,0.0644707,0.921224,0.158347,0.185254,
mca-1,0.572104,0.759606,F5GU98;G5EC39;G5EC04;G5EFR6,Calcium-transporting ATPase,25.0932,25.6546,26.1487,25.3886,24.886,24.9056,0.759606,0.162998,0.572104,1.65171,
,2.58261,2.17946,F5GUH1;F5GUG7;F5GUG6;F5GUH2,,26.1497,27.1476,27.5207,23.7871,24.6639,24.6191,2.17946,0.0109688,2.58261,5.17806,+
iff-1,-1.73354,3.29655,G1K0V8;P34563;G1K0V9,Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1,30.9981,30.6615,30.4833,32.3088,32.4677,32.5672,3.29655,0.00181366,-1.73354,-10.2789,+
pgp-6;pgp-7;pgp-5,1.37749,1.35876,Q1ZXU6;G1K0X0;Q22656;Q22655;B6VQ78;Q17645,,30.1745,30.136,28.8978,27.9671,28.7301,28.3787,1.35876,0.0415323,1.37749,2.90775,+
,2.66477,3.08074,G2HK16;Q95Q06,,27.4269,26.8053,26.7657,24.4179,23.9492,24.6364,3.08074,0.00154497,2.66477,9.03779,+
gst-5,1.34585,0.97974,G3MTX8;Q09596,Probable glutathione S-transferase 5,27.9919,29.9114,29.3256,27.5127,27.3493,28.3294,0.97974,0.0925598,1.34585,2.09046,
