geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value daf2_d5_N2_d5,log2FC,Student's T-test Test statistic daf2_d5_N2_d5,Sign p-val: 0.05 
gld-2,1.76935,4.78509,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,13.108,13.3404,12.8983,13.0307,11.3677,11.1951,11.1271,11.6101,4.78509,0,1.76935,12.4503,+
ncl-1,-1.84776,2.36215,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,13.1233,13.2828,12.9295,12.354,14.5409,15.7414,14.0072,14.7912,2.36215,0.00260728,-1.84776,-4.44689,+
"CELE_D1069,3",-0.10889,0.0844003,A0A0K3ARJ1;Q6A586,Uncharacterized protein,12.8579,14.5717,13.6722,13.2409,13.2709,14.0571,14.3065,13.1438,0.0844003,0.732645,-0.10889,-0.233172,
lin-23,-0.137937,0.170364,A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23,12.9811,13.007,12.8844,12.5119,13.3327,12.299,12.7186,13.5858,0.170364,0.537855,-0.137937,-0.439747,
"CELE_Y50D4B,1",1.65213,3.60839,A0A0K3ARN9;A0A0K3AT27;A0A0K3AV71;O16286,Uncharacterized protein,12.6791,13.1274,12.9582,13.0105,11.4711,11.1696,10.8206,11.7053,3.60839,0.000228385,1.65213,7.72805,+
"CELE_Y39A1A,21",1.49795,4.05055,A0A0K3ARX5;Q9XX11,Uncharacterized protein,12.6679,13.1328,12.9236,12.858,11.4521,11.2233,11.1725,11.7425,4.05055,0.000132992,1.49795,9.27139,+
dre-1,0.254004,0.326461,A0A0K3AS68;Q94251,"Daf-12, REdundant with;F-box protein dre-1",15.9558,16.6216,16.771,16.8865,17.0121,16.1905,15.7812,16.2351,0.326461,0.322518,0.254004,0.768107,
gck-1,-0.692205,1.11231,A0A0K3ASB9;A0A0K3ASW2;A0A0K3AVW5;A0A0K3AY55;H2L099,Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal Center Kinase family;Germinal center kinase 1,14.3471,15.7522,14.8482,15.0752,15.9078,15.5024,15.404,15.9773,1.11231,0.0403067,-0.692205,-2.12997,+
gly-7,-0.899591,1.29804,A0A0K3ASG4;O61397,Polypeptide N-acetylgalactosaminyltransferase;Probable N-acetylgalactosaminyltransferase 7,12.8568,12.9011,13.0341,12.6887,13.0441,13.3419,14.657,14.036,1.29804,0.026869,-0.899591,-2.44184,+
"CELE_F40A3,3;F40A3,3",0.349675,2.89199,A0A0K3ASH2;O16264,"Uncharacterized protein;Phosphatidylethanolamine-binding protein homolog F40A3,3",19.229,19.3653,19.1852,19.3404,19.056,18.863,18.8798,18.9224,2.89199,0.000956444,0.349675,5.68085,+
"CELE_Y50D4B,4",0.799765,0.952729,A0A0K3ASH9,Uncharacterized protein,14.882,14.4573,15.2848,15.1476,13.0729,14.5398,14.8538,14.1061,0.952729,0.0584351,0.799765,1.86467,
cdf-1,1.77625,3.72655,A0A0K3ASM2;Q95QW4,Cation Diffusion Facilitator family;Cation diffusion facilitator family protein 1,13.0061,13.2643,13.0052,12.683,11.2309,10.7954,11.1403,11.687,3.72655,0.000254545,1.77625,8.11704,+
unc-34,-1.27195,1.75785,A0A0K3AT36;A0A0K3AVD7;A0A0K3AYC9;G5EG53,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;UNC-34,14.2026,15.0414,14.4932,15.0047,15.7234,15.4259,16.9355,15.7449,1.75785,0.00930684,-1.27195,-3.2501,+
tbh-1,1.23175,2.61672,A0A0K3ATC0;Q9XTQ6,Tyramine Beta Hydroxylase;Tyramine beta-hydroxylase,17.6662,17.8817,17.5238,17.9933,16.5062,16.1452,16.3245,17.1621,2.61672,0.00165558,1.23175,5.01459,+
lev-11,0.834324,1.93582,A0A0K3ATS1,Uncharacterized protein,23.0006,22.2853,22.7563,22.5511,21.9299,22.0167,22.0209,21.2885,1.93582,0.00629956,0.834324,3.58361,+
imp-3,1.14212,0.26962,A0A0K3AUD2;Q18408,IntraMembrane Protease (IMPAS) family,12.7313,12.1635,11.3552,15.0767,8.93078,11.0402,10.6452,16.142,0.26962,0.383898,1.14212,0.653759,
prdx-2,0.436795,1.81543,A0A0K3AUJ9;H2KZL7;Q8IG31,PeRoxireDoXin,22.1747,22.6427,22.6826,22.4196,22.0854,22.1847,21.9447,21.9577,1.81543,0.00809442,0.436795,3.35651,+
jhdm-1,0.684047,1.89298,A0A0K3AUW2;Q95Q98,JHDM (Histone demethylase) homolog;JmjC domain-containing histone demethylation protein 1,15.7781,15.9676,15.4427,15.4694,15.3243,14.7986,14.6742,15.1245,1.89298,0.00681719,0.684047,3.50205,+
mrck-1,0.228756,0.192674,A0A0K3AUZ7;O01583,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase mrck-1,12.7559,13.37,12.706,12.8845,11.7395,13.5955,13.2878,12.1785,0.192674,0.497016,0.228756,0.489764,
nhr-86,1.69895,3.79533,A0A0K3AVA9;Q965W2,Nuclear Hormone Receptor family;Nuclear hormone receptor family member nhr-86,12.6024,13.4257,12.7296,13.0602,11.2685,11.0428,11.2468,11.4639,3.79533,0.000272904,1.69895,8.35106,+
aat-3,-0.754259,0.508132,A0A0K3AVL7;O17395,Amino Acid Transporter,12.2343,13.2752,13.096,11.5196,12.9627,13.0532,12.2852,14.8411,0.508132,0.187511,-0.754259,-1.10782,
"CELE_M02H5,8",1.17518,3.32075,A0A0K3AVS5,Uncharacterized protein,20.5728,20.4468,20.1832,20.0518,19.1224,19.493,18.9658,18.9728,3.32075,0.000457002,1.17518,6.84569,+
"CELE_T08B1,1",-0.135461,0.101386,A0A0K3AVV4,Uncharacterized protein,13.9687,15.669,13.6532,15.0808,15.1187,14.4887,14.6688,14.6374,0.101386,0.687514,-0.135461,-0.276015,
lipl-5,0.311571,0.197622,A0A0K3AW68;A0A0K3AYF1;O61866,Lipase;LIPase Like;Lipase,12.9409,13.3299,13.0737,12.895,13.731,13.7747,12.2415,11.2462,0.197622,0.488789,0.311571,0.500691,
fln-2,0.558707,2.9841,A0A0K3AW96;D0VWL6,FiLamiN (Actin binding protein) homolog,17.1875,17.0114,17.0332,17.0301,16.3907,16.6015,16.3384,16.6967,2.9841,0.000794677,0.558707,5.91729,+
"C14C6,5",1.20409,2.44092,A0A0K3AXM4;O44667,Uncharacterized protein,17.6022,17.9422,16.9657,17.3221,16.5878,15.9716,15.9966,16.4598,2.44092,0.00228383,1.20409,4.61797,+
"CELE_T08B1,1",1.54996,3.34395,A0A0K3AY44,Uncharacterized protein,12.9457,13.4114,12.5344,12.7363,11.3308,11.1458,11.2457,11.7057,3.34395,0.000334165,1.54996,6.91366,+
zig-11,2.39645,4.90637,A0A0K3AY85,2 (Zwei) IG domain protein,14.6646,14.9156,14.6061,14.6926,12.3575,12.1928,12.7751,11.9676,4.90637,0,2.39645,13.063,+
ilys-5,-0.40724,0.629907,A0A0K3AYJ1;Q19698,Invertebrate LYSozyme,15.4203,16.3956,15.6699,15.9709,16.4699,15.8699,15.9315,16.8144,0.629907,0.13608,-0.40724,-1.32155,
irg-3,0.592757,1.96425,A0A0M7REP5;A0A0M7RF66;P91316,Infection Response protein,17.9414,18.0534,17.6153,17.6493,17.5753,17.0789,17.0426,17.1917,1.96425,0.00587703,0.592757,3.63821,+
tns-1,1.0506,1.58992,A0A0S4XR31;H2L045;H2L046,TeNSin homolog,16.0681,16.9153,15.4012,16.2823,15.5425,14.8938,14.7866,15.2415,1.58992,0.0141396,1.0506,2.94712,+
ubr-4,2.12465,1.62843,A0A0S4XR36;O01808,UBR E3 ubiquitin ligase homolog,14.211,14.9714,13.4002,12.3817,10.9007,10.8419,12.2295,12.4937,1.62843,0.0129992,2.12465,3.0157,+
ccar-1,1.04134,2.25564,A0A0S4XR43,CCAR1 homolog,15.9062,15.9134,15.2593,16.0242,15.0733,14.9261,14.6607,14.2776,2.25564,0.0029737,1.04134,4.22168,+
ulp-2,-0.0252564,0.0227381,A0A0S4XR45;Q23238,Ubiquitin-Like Protease;Ubiquitin-like protease 2,15.0984,14.8328,13.81,13.8557,13.9227,14.4907,14.8008,14.4837,0.0227381,0.91945,-0.0252564,-0.0666961,
"CELE_T23F4,2",1.7829,2.48046,A0A0S4XR68;A0A0S4XR74;A0A0S4XRI4;O17261,Uncharacterized protein,15.9524,16.4898,15.5611,16.1083,14.6301,13.4505,13.9936,14.9059,2.48046,0.00228726,1.7829,4.70534,+
sago-1,1.23153,1.81096,A0A0T7CIX3,Piwi-like protein,14.3915,14.6744,13.799,13.6058,13.2114,12.9299,12.1103,13.2928,1.81096,0.00814499,1.23153,3.34819,+
sago-2,-3.52364,5.87905,A0A0U1RML5;A0A0U1RML6,Piwi-like protein,13.0358,12.9485,12.6741,13.0336,16.7445,16.7038,16.0956,16.2426,5.87905,0,-3.52364,-19.1264,+
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",-1.41753,0.154886,A0A131MAU8;A0A131MAZ4;A0A131MBF0;Q09931,"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Probable ubiquitin carboxyl-terminal hydrolase K02C4,3",12.7838,16.1689,14.468,1.44776,13.6279,13.9799,13.589,9.34186,0.154886,0.568489,-1.41753,-0.404275,
daf-4,1.74853,2.47653,A0A131MB12;G8JY02;P50488,Serine/threonine-protein kinase receptor;Receptor protein serine/threonine kinase;Cell surface receptor daf-4,15.6361,15.9767,15.8681,16.2957,13.9809,14.3527,13.3982,15.0507,2.47653,0.00228417,1.74853,4.69661,+
hpo-3,1.67096,4.46577,A0A131MBA2;A0A131MC59;A0A131MCX4;Q95X60,Uncharacterized protein,13.0529,13.1946,12.7602,12.9604,11.2987,11.1394,11.1731,11.6731,4.46577,0,1.67096,10.9627,+
acs-22,1.18475,1.42418,A0A131MBB2;Q18916,Fatty Acid CoA Synthetase family,14.1682,14.5332,15.989,15.5692,14.1217,13.6942,13.6335,14.0711,1.42418,0.0206079,1.18475,2.6574,+
tag-10,0.839982,0.884204,A0A131MBC3;A0A131MCY4;G5EER7;G5EG67,Uncharacterized protein,16.2946,16.1949,14.3355,15.2078,15.0082,14.5885,14.3784,14.6979,0.884204,0.069952,0.839982,1.75075,
imb-2,0.463467,1.74145,A0A131MBF9;O62332,IMportin Beta family,14.6148,14.4241,13.9407,14.3202,13.9174,13.882,13.8402,13.8063,1.74145,0.00972081,0.463467,3.22003,+
brf-1,-0.30602,0.544654,A0A131MBG0;A0A131MCT5,BRF (Transcription factor) homolog,12.7888,13.4321,12.8594,12.8237,13.4709,13.1394,12.7689,13.7489,0.544654,0.170454,-0.30602,-1.17279,
"CELE_W09B6,4",5.10122,4.55549,A0A131MBG4;H2L0M1,Uncharacterized protein,18.1146,18.5456,18.1833,19.4207,13.9775,12.4984,13.5548,13.8286,4.55549,0,5.10122,11.3631,+
irg-7,0.691235,3.51778,A0A131MBU3,Protein irg-7,19.0268,19.1906,18.9814,19.0776,18.4456,18.298,18.1992,18.5686,3.51778,0.000346041,0.691235,7.44053,+
"CELE_F27B10,1",1.82953,0.316006,A0A131MCJ0,Uncharacterized protein,13.1074,13.1898,12.1236,12.7781,14.3326,3.91271,14.0929,11.5426,0.316006,0.332906,1.82953,0.747439,
"CELE_T22F3,3",1.75595,4.15034,A0A131MCL1,"Alpha-1,4 glucan phosphorylase",12.8923,13.4142,12.751,13.0582,11.3367,11.033,11.168,11.5541,4.15034,0,1.75595,9.65487,+
die-1,1.51885,1.9646,A0A131MCL4;A0A131MCR4,Dorsal Intercalation and Elongation defect,16.3004,16.0633,16.51,16.9333,15.0588,15.0866,13.8978,15.6883,1.9646,0.00587992,1.51885,3.6389,+
dhs-11,0.0479498,0.0735493,A0A163UT65,"DeHydrogenases, Short chain",15.0893,15.8438,14.7803,15.2094,15.0343,15.2846,15.3123,15.0999,0.0735493,0.761453,0.0479498,0.205187,
tbc-14,1.34803,1.70547,A0A164D380;A0A168H1X0,TBC (Tre-2/Bub2/Cdc16) domain family,14.8553,16.014,15.4592,16.612,14.2654,13.9874,14.3445,14.9511,1.70547,0.0105759,1.34803,3.15445,+
cyp-34a6,1.61853,3.46333,A0A164D3C9;O44656,CYtochrome P450 family,12.3641,13.2767,13.0265,12.8207,11.3622,11.0841,11.056,11.5117,3.46333,0.000330532,1.61853,7.27206,+
fipp-1,1.03488,2.51311,A0A164D3G3;O16293,Factor Interacting with Poly(A) Polymerase,16.0472,16.4329,16.3972,16.8514,15.5543,15.7114,15.2037,15.1199,2.51311,0.00216471,1.03488,4.77828,+
unc-132,-2.01583,1.54701,A0A168H9Z7;H2L0N0;H2L0N1;O01619;Q95ZK4,Uncharacterized protein,10.2837,13.3735,13.0603,12.2659,13.9565,14.3631,14.313,14.4141,1.54701,0.0152717,-2.01583,-2.8713,+
cdh-4,-2.7379,5.04258,A0A1C3NSI5;Q19319,Cadherin-4,13.025,13.3835,13.0428,13.0373,15.3575,16.0375,16.173,15.8722,5.04258,0,-2.7379,-13.785,+
ajm-1,1.67459,4.85299,A0A1C3NSL1,Apical Junction Molecule,13.1122,13.1061,12.9004,13.0015,11.255,11.1898,11.2619,11.715,4.85299,0,1.67459,12.7899,+
"CELE_ZC412,3",1.52185,3.44915,A0A1C3NSL5,Uncharacterized protein,19.7955,20.1051,19.1745,19.4218,18.137,18.0159,18.0333,18.2232,3.44915,0.000327778,1.52185,7.22872,+
farl-11,1.72009,4.48925,A0A1D3PCL0;Q19300,FAR (Factor ARrest) Like,13.1377,12.9324,13.0251,12.9084,11.2682,10.9403,11.2586,11.656,4.48925,0,1.72009,11.0662,+
let-711,0.244432,0.567427,A0A1D3PCL8;A0A1D3PCM5;Q20937,Uncharacterized protein;Uncharacterized protein;NTL-1a,14.9965,15.2469,14.8239,14.323,14.6299,14.5406,14.5097,14.7324,0.567427,0.160109,0.244432,1.21289,
"C40H1,7",1.00649,0.48339,A0A1I6CM73,Uncharacterized protein,13.1229,12.7546,14.8726,15.9999,12.1926,14.3166,13.9831,12.2316,0.48339,0.201081,1.00649,1.0633,
spat-2,0.970181,1.8055,A0A1I6CM84;F3Y5Q7,Suppressor of PAr-Two defect,15.9484,16.3552,16.2828,16.632,15.2715,16.0483,15.169,14.849,1.8055,0.00818962,0.970181,3.33806,+
aakg-1,0.571992,0.579499,A0A1I6CM85;A0A1I6CM90;A0A1I6CM91;A0A1I6CMB9;A0A1T5HUK9;A0A1T5HUL8;Q9BHL6,AMP-Activated protein Kinase Gamma subunit,12.8972,13.1733,14.5788,13.7361,12.2939,13.639,13.1443,13.0203,0.579499,0.154676,0.571992,1.23403,
grl-23,1.5753,3.15193,A0A1I6CM94;A0A1I6CM96;A0A1I6CMA0;A0A1I6CMA4;H2L2E5;Q93424,GRound-Like (Grd related),13.0913,13.3827,12.7234,12.4017,11.2154,11.1904,11.1949,11.6971,3.15193,0.000690554,1.5753,6.36699,+
spat-2,0.461382,0.677094,A0A1I6CM95,Suppressor of PAr-Two defect,14.8033,16.0039,14.9417,15.5504,15.3208,14.5097,14.693,14.9303,0.677094,0.120449,0.461382,1.4025,
"CELE_Y55F3BR,6",0.545341,1.6102,A0A1I6CMC9,Uncharacterized protein,12.9897,13.0292,12.6868,13.0329,11.9964,12.6013,12.7059,12.2536,1.6102,0.0134632,0.545341,2.98317,+
vab-10,0.452152,0.753715,A0A1N7SYP3,Uncharacterized protein,20.0954,20.2813,19.4332,19.8193,19.4632,20.1036,19.1478,19.1059,0.753715,0.0974972,0.452152,1.53239,
"eif-3,l;eif-3,L",0.752695,1.92264,A0A1N7SYP6;Q95QW0,Eukaryotic translation initiation factor 3 subunit L,17.5801,17.3923,18.2137,18.0103,16.9735,17.242,16.8179,17.1523,1.92264,0.00648462,0.752695,3.55843,+
"npp-25;npp-25;npp-25;Y37D8A,17",1.23947,1.4475,A0A1N7SYQ5;A0A1N7SYR4;A0A1N7SYS5;Q9XWV0,Nuclear Pore complex Protein;Nuclear Pore complex Protein;Nuclear Pore complex Protein;Transmembrane protein 33 homolog,15.8287,15.5854,17.4472,17.0293,15.368,15.1084,15.3659,15.0904,1.4475,0.0192527,1.23947,2.69768,+
cnt-1,-1.36938,2.66788,A0A1N7SYT2;Q9XXH8,CeNTaurin;Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,12.688,13.1241,13.015,12.4,13.8988,14.717,14.2952,13.7935,2.66788,0.00133839,-1.36938,-5.13409,+
"C26G2,2",1.49453,2.13123,A0A1N7SYU2,Uncharacterized protein,11.8541,13.0257,13.0141,12.9573,10.7174,11.7878,11.4483,10.9196,2.13123,0.00407767,1.49453,3.96703,+
"CELE_F43B10,1",1.60708,2.22319,A0A1N7SYW5,Uncharacterized protein,14.524,15.5469,15.5152,14.7828,12.7073,13.758,14.0414,13.4339,2.22319,0.00325943,1.60708,4.15443,+
ubc-15,-0.688605,0.755529,A0A1T5HUK0;A0A1T5HUK6;A0A1T5HUL7,UBiquitin Conjugating enzyme,12.7512,13.0022,12.845,12.9454,13.9815,12.2419,14.0954,13.9793,0.755529,0.0969634,-0.688605,-1.53545,
"CELE_Y55F3BR,10",3.76871,4.61096,A0A9S0,Uncharacterized protein,17.4587,18.1853,17.1625,18.2611,13.5168,14.3793,14.0736,14.0231,4.61096,0,3.76871,11.6174,+
"CELE_Y38F2AR,12",1.30483,2.01828,A0A9S2,Uncharacterized protein,14.8264,15.6474,14.3326,14.5878,13.7159,13.8113,12.9448,13.7027,2.01828,0.00541296,1.30483,3.74306,+
ttr-42,2.11663,3.55649,A2V8C3,TransThyretin-Related family domain,18.114,18.0754,18.7389,19.0724,16.6593,16.2092,16.0935,16.572,3.55649,0.000363077,2.11663,7.56226,+
"CELE_H29C22,1",1.58194,2.45467,A2V8C8,Uncharacterized protein,18.7345,18.6543,19.4117,19.5639,17.6766,17.1523,17.0689,18.1387,2.45467,0.00230667,1.58194,4.64823,+
"CELE_F07G6,10",0.792247,1.37262,A3FPJ3,Uncharacterized protein,13.0614,13.2118,12.962,13.0299,12.0488,11.8308,12.0437,13.1728,1.37262,0.0229767,0.792247,2.56883,+
